adashmoq             |блуждать, заблудиться                                                                                                     |[sound:uz_adashmoq.mp3]
janjallashmoq        |ссориться, скандалить, спорить, конфликтовать                                                                             |[sound:uz_janjallashmoq.mp3]
janjalchi            |скандалист, спорщик, забияка                                                                                              |[sound:uz_janjalchi.mp3]
janub                |юг                                                                                                                        |[sound:uz_janub.mp3]
janubiy              |южный                                                                                                                     |[sound:uz_janubiy.mp3]
jar                  |овраг, ров                                                                                                                |[sound:uz_jar.mp3]
jaranglamoq          |звенеть, звучать, издавать звон                                                                                           |[sound:uz_jaranglamoq.mp3]
jarima               |штраф                                                                                                                     |[sound:uz_jarima.mp3]
javdiramoq           |сверкать, блестеть [о глазах]                                                                                             |[sound:uz_javdiramoq.mp3]
javob                |ответ, разрешение                                                                                                         |[sound:uz_javob.mp3]
javob bermoq         |1. отвечать, ответить <br> 2. отпускать [отпустить] <br> 3. разрешать, разрешить [см. ruxsat bermoq]                      |[sound:uz_javob_bermoq.mp3]
jazo                 |наказание, кара                                                                                                           |[sound:uz_jazo.mp3]
jazolamoq            |наказывать, карать                                                                                                        |[sound:uz_jazolamoq.mp3]
jag'                 |челюсть                                                                                                                   |[sound:uz_jag'.mp3]
jigar                |печень                                                                                                                    |[sound:uz_jigar.mp3]
jilmaymoq            |улыбаться, улыбнуться                                                                                                     |[sound:uz_jilmaymoq.mp3]
jilg'a               |ручей, проток                                                                                                             |[sound:uz_jilg'a.mp3]
jimjit               |совершенно тихий                                                                                                          |[sound:uz_jimjit.mp3]
jimlik               |тишина                                                                                                                    |[sound:uz_jimlik.mp3]
jingalak             |кудри, кудрявый                                                                                                           |[sound:uz_jingalak.mp3]
jindek               |чуть-чуть, чуточку, немножко                                                                                              |[sound:uz_jindek.mp3]
jinni                |сумасшедший, безумный                                                                                                     |[sound:uz_jinni.mp3]
jismoniy             |физический                                                                                                                |[sound:uz_jismoniy.mp3]
jiyan                |племянник, племянница                                                                                                     |[sound:uz_jiyan.mp3]
jon                  |душа, дух                                                                                                                 |[sound:uz_jon.mp3]
jonajon              |любимый, родной                                                                                                           |[sound:uz_jonajon.mp3]
jonivor              |живое существо, живой организм                                                                                            |[sound:uz_jonivor.mp3]
josus                |шпион, агент                                                                                                              |[sound:uz_josus.mp3]
jovdiramoq           |сверкать, блестеть [о глазах]                                                                                             |[sound:uz_jovdiramoq.mp3]
joy                  |место, местность, жилище, жилье                                                                                           |[sound:uz_joy.mp3]
joylamoq             |помещать, размещать, складывать, укладывать                                                                               |[sound:uz_joylamoq.mp3]
juda                 |очень                                                                                                                     |[sound:uz_juda.mp3]
juma                 |пятница                                                                                                                   |[sound:uz_juma.mp3]
jun                  |шерсть, руно                                                                                                              |[sound:uz_jun.mp3]
juft                 |пара                                                                                                                      |[sound:uz_juft.mp3]
jo'ja                |цыплёнок, птенец                                                                                                          |[sound:uz_jo'ja.mp3]
jo'mrak              |кран, носик                                                                                                               |[sound:uz_jo'mrak.mp3]
jo'namoq             |отправляться, отправиться                                                                                                 |[sound:uz_jo'namoq.mp3]
jo'natmoq            |отправлять, отправить                                                                                                     |[sound:uz_jo'natmoq.mp3]
jo'xori              |кукуруза [см. makkajo'xori]                                                                                               |[sound:uz_jo'xori.mp3]
kabi                 |наподобие, подобно, вроде                                                                                                 |[sound:uz_kabi.mp3]
kaft                 |ладонь                                                                                                                    |[sound:uz_kaft.mp3]
kalamush             |крыса                                                                                                                     |[sound:uz_kalamush.mp3]
kalit                |ключ                                                                                                                      |[sound:uz_kalit.mp3]
kalish               |калоши [галоши]                                                                                                           |[sound:uz_kalish.mp3]
kalta                |короткий [против. uzun]                                                                                                   |[sound:uz_kalta.mp3]
kaltak               |палка, дубинка                                                                                                            |[sound:uz_kaltak.mp3]
kaltaklamoq          |бить, колотить, избивать палкой                                                                                           |[sound:uz_kaltaklamoq.mp3]
kalxat               |коршун                                                                                                                    |[sound:uz_kalxat.mp3]
kam                  |мало, немного [против. ko'p]                                                                                              |[sound:uz_kam.mp3]
kamaymoq             |уменьшаться [уменьшиться], убавляться [убавиться]                                                                         |[sound:uz_kamaymoq.mp3]
kamar                |пояс, кушак                                                                                                               |[sound:uz_kamar.mp3]
kambag'al            |бедный [против. boy]                                                                                                      |[sound:uz_kambag'al.mp3]
kamon                |лук                                                                                                                       |[sound:uz_kamon.mp3]
kampir               |старуха, старушка                                                                                                         |[sound:uz_kampir.mp3]
kapalak              |бабочка                                                                                                                   |[sound:uz_kapalak.mp3]
kapgir               |1. шумовка <br> 2. маятник                                                                                                |[sound:uz_kapgir.mp3]
kaptar               |голубь                                                                                                                    |[sound:uz_kaptar.mp3]
kar                  |глухой                                                                                                                    |[sound:uz_kar.mp3]
karam                |капуста                                                                                                                   |[sound:uz_karam.mp3]
karra                |раз                                                                                                                       |[sound:uz_karra.mp3]
kasal                |больной, нездоровый, больной человек                                                                                      |[sound:uz_kasal.mp3]
kasal bo'lmoq        |заболевать [заболеть]                                                                                                     |[sound:uz_kasal_bo'lmoq.mp3]
kasallanmoq          |то же, что kasal bolmoq                                                                                                   |[sound:uz_kasallanmoq.mp3]
kasallik             |болезнь                                                                                                                   |[sound:uz_kasallik.mp3]
kasalxona            |больница                                                                                                                  |[sound:uz_kasalxona.mp3]
kasb                 |профессия, специальность                                                                                                  |[sound:uz_kasb.mp3]
katak                |клетка                                                                                                                    |[sound:uz_katak.mp3]
katta                |большой, огромный [против. kichik]                                                                                        |[sound:uz_katta.mp3]
kavlamoq             |раскапывать                                                                                                               |[sound:uz_kavlamoq.mp3]
kavshamoq            |жевать                                                                                                                    |[sound:uz_kavshamoq.mp3]
kashta               |вышивка                                                                                                                   |[sound:uz_kashta.mp3]
kekkaymoq            |см. gerdaymoq                                                                                                             |[sound:uz_kekkaymoq.mp3]
keksa                |старый, пожилой                                                                                                           |[sound:uz_keksa.mp3]
kelajak              |будущее, будущность                                                                                                       |[sound:uz_kelajak.mp3]
kelin                |невеста                                                                                                                   |[sound:uz_kelin.mp3]
kelishmovchilik      |разногласие, отсутствие согласия                                                                                          |[sound:uz_kelishmovchilik.mp3]
kelmoq               |приходить, приезжать, являться [против. ketmoq]                                                                           |[sound:uz_kelmoq.mp3]
keltirmoq            |приносить, привозить                                                                                                      |[sound:uz_keltirmoq.mp3]
kema                 |корабль, судно                                                                                                            |[sound:uz_kema.mp3]
kenja                |самый младший ребёнок в семье                                                                                             |[sound:uz_kenja.mp3]
kerak                |нужный, нужно, надо, необходимо                                                                                           |[sound:uz_kerak.mp3]
kerakli              |нужный, необходимый [против. keraksiz]                                                                                    |[sound:uz_kerakli.mp3]
keraksiz             |ненужный [против. kerakli]                                                                                                |[sound:uz_keraksiz.mp3]
kesak                |комок, кусок сухой глины                                                                                                  |[sound:uz_kesak.mp3]
kesmoq               |резать, отрезать, рубить [разрубить], срубать [срубить]                                                                   |[sound:uz_kesmoq.mp3]
ketma-ket            |друг за другом, один за другим                                                                                            |[sound:uz_ketma-ket.mp3]
ketmoq               |уходить, уезжать, уйти [против. kelmoq]                                                                                   |[sound:uz_ketmoq.mp3]
keyin                |потом, после, через, спустя                                                                                               |[sound:uz_keyin.mp3]
keyingi              |следующий, последующий, последний [см. so'nggi]                                                                           |[sound:uz_keyingi.mp3]
kech                 |вечер, поздно                                                                                                             |[sound:uz_kech.mp3]
kecha                |1. ночь, вечер <br> 2. вчера                                                                                              |[sound:uz_kecha.mp3]
kechagi              |вчерашний                                                                                                                 |[sound:uz_kechagi.mp3]
kechasi              |ночью, в ночь                                                                                                             |[sound:uz_kechasi.mp3]
kezak                |комок, кусок сухой глины                                                                                                  |[sound:uz_kezak.mp3]
kechikmoq            |опаздывать                                                                                                                |[sound:uz_kechikmoq.mp3]
kechirmoq            |прощать, извинять                                                                                                         |[sound:uz_kechirmoq.mp3]
kechki               |вечерний, поздний                                                                                                         |[sound:uz_kechki.mp3]
kechki ovqat         |ужин                                                                                                                      |[sound:uz_kechki_ovqat.mp3]
kechqurun            |вечером                                                                                                                   |[sound:uz_kechqurun.mp3]
keng                 |широкий, обширный                                                                                                         |[sound:uz_keng.mp3]
kengaymoq            |расширяться, шириться                                                                                                     |[sound:uz_kengaymoq.mp3]
kim                  |кто                                                                                                                       |[sound:uz_kim.mp3]
kimdir               |кто-то                                                                                                                    |[sound:uz_kimdir.mp3]
kiprik               |ресница                                                                                                                   |[sound:uz_kiprik.mp3]
kir                  |грязь [на теле, белье и т. п. ], грязный                                                                                  |[sound:uz_kir.mp3]
kirmoq               |входить, заходить, поступать, поступить                                                                                   |[sound:uz_kirmoq.mp3]
kitob                |книга                                                                                                                     |[sound:uz_kitob.mp3]
kiyik                |олень                                                                                                                     |[sound:uz_kiyik.mp3]
kiyim                |одежда                                                                                                                    |[sound:uz_kiyim.mp3]
kiymoq               |надевать [на себя]                                                                                                        |[sound:uz_kiymoq.mp3]
kishi                |человек                                                                                                                   |[sound:uz_kishi.mp3]
kichik               |маленький, малый                                                                                                          |[sound:uz_kichik.mp3]
kon                  |рудник, шахта                                                                                                             |[sound:uz_kon.mp3]
koptok               |мяч [см. to'p]                                                                                                            |[sound:uz_koptok.mp3]
korxona              |предприятие                                                                                                               |[sound:uz_korxona.mp3]
kosa                 |чаша                                                                                                                      |[sound:uz_kosa.mp3]
kovak                |дупло, выемка, углубление [в чём-л.]                                                                                      |[sound:uz_kovak.mp3]
kovlamoq             |копать, рыть, раскапывать, рыться                                                                                         |[sound:uz_kovlamoq.mp3]
kul                  |зола, пепел                                                                                                               |[sound:uz_kul.mp3]
kulgi                |смех                                                                                                                      |[sound:uz_kulgi.mp3]
kulgili              |смешной, смешно                                                                                                           |[sound:uz_kulgili.mp3]
kulmoq               |смеяться, высмеивать                                                                                                      |[sound:uz_kulmoq.mp3]
kulrang              |серый                                                                                                                     |[sound:uz_kulrang.mp3]
kumush               |серебро                                                                                                                   |[sound:uz_kumush.mp3]
kun                  |1. день <br> 2. солнце                                                                                                    |[sound:uz_kun.mp3]
kungaboqar           |подсолнечник                                                                                                              |[sound:uz_kungaboqar.mp3]
kunda                |ежедневно, повседневно                                                                                                    |[sound:uz_kunda.mp3]
kunduz               |день, дневное время                                                                                                       |[sound:uz_kunduz.mp3]
kunduzgi             |днём                                                                                                                      |[sound:uz_kunduzgi.mp3]
kurash               |борьба                                                                                                                    |[sound:uz_kurash.mp3]
kurashmoq            |вести борьбу, бороться                                                                                                    |[sound:uz_kurashmoq.mp3]
kurashchi            |борец                                                                                                                     |[sound:uz_kurashchi.mp3]
kurka                |индюк                                                                                                                     |[sound:uz_kurka.mp3]
kurtak               |почка, зародыш                                                                                                            |[sound:uz_kurtak.mp3]
kutmoq               |ждать, ожидать                                                                                                            |[sound:uz_kutmoq.mp3]
kutib olmoq          |встречать, встретить                                                                                                      |[sound:uz_kutib_olmoq.mp3]
kutubxona            |библиотека                                                                                                                |[sound:uz_kutubxona.mp3]
kuymoq               |горевать; обжечься, сгореть                                                                                               |[sound:uz_kuymoq.mp3]
kuz                  |осень                                                                                                                     |[sound:uz_kuz.mp3]
kuzatmoq             |провожать                                                                                                                 |[sound:uz_kuzatmoq.mp3]
kuzgi                |осенний                                                                                                                   |[sound:uz_kuzgi.mp3]
kuch                 |сила, мощь                                                                                                                |[sound:uz_kuch.mp3]
kuchanmoq            |тужиться, натуживаться                                                                                                    |[sound:uz_kuchanmoq.mp3]
kuchaymoq            |усиливаться, крепчать, крепнуть                                                                                           |[sound:uz_kuchaymoq.mp3]
kuchli               |сильный, мощный [против. kuchsiz]                                                                                         |[sound:uz_kuchli.mp3]
kuchsiz              |слабый                                                                                                                    |[sound:uz_kuchsiz.mp3]
kuchuk               |собака, собачонка, щенок                                                                                                  |[sound:uz_kuchuk.mp3]
ko'k                 |1. синий, голубой <br> 2. небо <br> 3. зелёный                                                                            |[sound:uz_ko'k.mp3]
ko'karmoq            |зеленеть, зазеленеть, расти                                                                                               |[sound:uz_ko'karmoq.mp3]
ko'kat               |зелень, трава [см. o't]                                                                                                   |[sound:uz_ko'kat.mp3]
ko'klam              |весна [см. bahor]                                                                                                         |[sound:uz_ko'klam.mp3]
ko'krak              |грудь                                                                                                                     |[sound:uz_ko'krak.mp3]
ko'l                 |озеро                                                                                                                     |[sound:uz_ko'l.mp3]
ko'mir               |уголь                                                                                                                     |[sound:uz_ko'mir.mp3]
ko'mmoq              |закапывать [закапаться], закрывать [закрыть], хоронить [похоронить]                                                       |[sound:uz_ko'mmoq.mp3]
ko'nmoq              |соглашаться, давать соглашение                                                                                            |[sound:uz_ko'nmoq.mp3]
ko'p                 |много, значительно                                                                                                        |[sound:uz_ko'p.mp3]
ko'paymoq            |множиться, увеличиваться, расти                                                                                           |[sound:uz_ko'paymoq.mp3]
ko'pik               |пена                                                                                                                      |[sound:uz_ko'pik.mp3]
ko'pirmoq            |пениться, вспениваться                                                                                                    |[sound:uz_ko'pirmoq.mp3]
ko'prik              |мост                                                                                                                      |[sound:uz_ko'prik.mp3]
ko'pchilik           |большинство, масса, люди, народ                                                                                           |[sound:uz_ko'pchilik.mp3]
ko'r                 |слепой                                                                                                                    |[sound:uz_ko'r.mp3]
ko'rgazma            |выставка                                                                                                                  |[sound:uz_ko'rgazma.mp3]
ko'rinish            |внешний вид, вид                                                                                                          |[sound:uz_ko'rinish.mp3]
ko'rinmoq            |казаться [показаться], представляться                                                                                     |[sound:uz_ko'rinmoq.mp3]
ko'rmoq              |видеть, рассматривать [рассмотреть]                                                                                       |[sound:uz_ko'rmoq.mp3]
ko'rsatkich          |указатель, показатель                                                                                                     |[sound:uz_ko'rsatkich.mp3]
ko'rsatmoq           |показывать [показать]                                                                                                     |[sound:uz_ko'rsatmoq.mp3]
ko'tarmoq            |поднимать, поднять                                                                                                        |[sound:uz_ko'tarmoq.mp3]
ko'ylak              |платье, рубашка                                                                                                           |[sound:uz_ko'ylak.mp3]
ko'z                 |глаз                                                                                                                      |[sound:uz_ko'z.mp3]
ko'zgu               |зеркало                                                                                                                   |[sound:uz_ko'zgu.mp3]
ko'zoynak            |очки                                                                                                                      |[sound:uz_ko'zoynak.mp3]
ko'cha               |улица                                                                                                                     |[sound:uz_ko'cha.mp3]
ko'chat              |саженец [саженцы], насаждения, рассада                                                                                    |[sound:uz_ko'chat.mp3]
ko'chmoq             |1. переезжать, переселяться, переходить <br> 2. облупливаться [облупиться]                                                |[sound:uz_ko'chmoq.mp3]
ko'ngil              |душа, сердце                                                                                                              |[sound:uz_ko'ngil.mp3]
ko'ngilchan          |добродушный, мягкосердечный                                                                                               |[sound:uz_ko'ngilchan.mp3]
lab                  |1. губа <br> 2. берег [см. yoqa, bet, chekka]                                                                             |[sound:uz_lab.mp3]
lagan                |большое блюдо с плоским дном                                                                                              |[sound:uz_lagan.mp3]
lapashang            |растяпа, разиня                                                                                                           |[sound:uz_lapashang.mp3]
laqab                |прозвище, прозвание                                                                                                       |[sound:uz_laqab.mp3]
laqma                |легковерный, простак, простофиля                                                                                          |[sound:uz_laqma.mp3]
latta                |тряпка                                                                                                                    |[sound:uz_latta.mp3]
lavlagi              |свёкла                                                                                                                    |[sound:uz_lavlagi.mp3]
laylak               |аист                                                                                                                      |[sound:uz_laylak.mp3]
lekin                |но, однако, зато                                                                                                          |[sound:uz_lekin.mp3]
likop(cha)           |тарелка                                                                                                                   |[sound:uz_likop(cha).mp3]
lola                 |тюльпан                                                                                                                   |[sound:uz_lola.mp3]
lolaqizg'aldoq       |полевоймак                                                                                                                |[sound:uz_lolaqizg'aldoq.mp3]
loy                  |грязь, жидкая глина                                                                                                       |[sound:uz_loy.mp3]
loyiq                |достойный, заслуживающий, подходящий                                                                                      |[sound:uz_loyiq.mp3]
loyqa                |муть; мутный                                                                                                              |[sound:uz_loyqa.mp3]
lochin               |сокол                                                                                                                     |[sound:uz_lochin.mp3]
lug'at               |словарь                                                                                                                   |[sound:uz_lug'at.mp3]
lo'ppi               |пухлый, пышный                                                                                                            |[sound:uz_lo'ppi.mp3]
madhiya              |гимн                                                                                                                      |[sound:uz_madhiya.mp3]
mahmadona            |всезнайка, болтун                                                                                                         |[sound:uz_mahmadona.mp3]
mahsulot             |продукция, товар                                                                                                          |[sound:uz_mahsulot.mp3]
majlis               |собрание, заседание                                                                                                       |[sound:uz_majlis.mp3]
makkajo'xori         |кукуруза                                                                                                                  |[sound:uz_makkajo'xori.mp3]
maktab               |школа                                                                                                                     |[sound:uz_maktab.mp3]
mamnun               |довольный                                                                                                                 |[sound:uz_mamnun.mp3]
mana                 |вот                                                                                                                       |[sound:uz_mana.mp3]
manzara              |вид, пейзаж                                                                                                               |[sound:uz_manzara.mp3]
manzil               |адрес                                                                                                                     |[sound:uz_manzil.mp3]
maqol                |пословица                                                                                                                 |[sound:uz_maqol.mp3]
maqsad               |цель                                                                                                                      |[sound:uz_maqsad.mp3]
maqtamoq             |хвалить, восхвалять                                                                                                       |[sound:uz_maqtamoq.mp3]
maqtanmoq            |хвалиться, хвастаться                                                                                                     |[sound:uz_maqtanmoq.mp3]
maqtanchoq           |хвастун                                                                                                                   |[sound:uz_maqtanchoq.mp3]
markaz               |центр, столица                                                                                                            |[sound:uz_markaz.mp3]
marta                |раз                                                                                                                       |[sound:uz_marta.mp3]
masalan              |например, к примеру                                                                                                       |[sound:uz_masalan.mp3]
masofa               |расстояние                                                                                                                |[sound:uz_masofa.mp3]
masxara              |насмешка, издевка                                                                                                         |[sound:uz_masxara.mp3]
masxaraboz           |клоун, шутник                                                                                                             |[sound:uz_masxaraboz.mp3]
masxara qilmoq       |насмехаться, издеваться                                                                                                   |[sound:uz_masxara_qilmoq.mp3]
mayda                |мелкий                                                                                                                    |[sound:uz_mayda.mp3]
maydalamoq           |мельчить, дробить                                                                                                         |[sound:uz_maydalamoq.mp3]
maydon               |площадь, поле                                                                                                             |[sound:uz_maydon.mp3]
maydoncha            |площадка                                                                                                                  |[sound:uz_maydoncha.mp3]
mayin                |нежный, мягкий                                                                                                            |[sound:uz_mayin.mp3]
mayiz                |изюм, кишмиш                                                                                                              |[sound:uz_mayiz.mp3]
mayli                |ладно, хорошо                                                                                                             |[sound:uz_mayli.mp3]
maymun               |обезьяна                                                                                                                  |[sound:uz_maymun.mp3]
maysa                |первая зелень, нежная мягкая травка                                                                                       |[sound:uz_maysa.mp3]
maza                 |1. вкус <br> 2. приятно, хорошо                                                                                           |[sound:uz_maza.mp3]
mazali               |вкусный                                                                                                                   |[sound:uz_mazali.mp3]
maza qilmoq          |наслаждаться                                                                                                              |[sound:uz_maza_qilmoq.mp3]
mashhur              |знаменитый                                                                                                                |[sound:uz_mashhur.mp3]
ma'lum               |известный                                                                                                                 |[sound:uz_ma'lum.mp3]
ma'no                |значение, смысл                                                                                                           |[sound:uz_ma'no.mp3]
mehmon               |гость                                                                                                                     |[sound:uz_mehmon.mp3]
mehmon qilmoq        |угощать                                                                                                                   |[sound:uz_mehmon_qilmoq.mp3]
mehmonxona           |гостиная, гостиница                                                                                                       |[sound:uz_mehmonxona.mp3]
mehnat               |труд                                                                                                                      |[sound:uz_mehnat.mp3]
mehnat qilmoq        |трудиться                                                                                                                 |[sound:uz_mehnat_qilmoq.mp3]
men                  |я                                                                                                                         |[sound:uz_men.mp3]
meros                |наследие                                                                                                                  |[sound:uz_meros.mp3]
merosxo'r            |наследник                                                                                                                 |[sound:uz_merosxo'r.mp3]
meva                 |фрукт, плод                                                                                                               |[sound:uz_meva.mp3]
mevali               |фруктовый, плодовый                                                                                                       |[sound:uz_mevali.mp3]
millat               |нация, национальность                                                                                                     |[sound:uz_millat.mp3]
milliy               |национальный                                                                                                              |[sound:uz_milliy.mp3]
miltiq               |винтовка                                                                                                                  |[sound:uz_miltiq.mp3]
misol                |пример                                                                                                                    |[sound:uz_misol.mp3]
