|part_of_speech|word_de|sentence_de|issue
3011|adj|konsequent|Das ist konsequent gehandelt.|Incorrect structure; should be "Das wurde konsequent gehandelt" or "Das ist konsequent."
3080|adj|zugehörig|Das ist zugehörig.|Requires more context; usually used with an object
3205|interj|ha|Ha, das ist lustig!|Informal interjection; may be stylistically weak in formal contexts
3422|adj|fix|Das Problem wurde fix gelöst.|fix is colloquial and not suitable for formal contexts
3523|interj|hi|Hi, wie geht’s?|Informal interjection; may be stylistically weak in formal contexts
3585|der|der Sex|Das Thema war Sex.|Abrupt phrasing; could be more neutral
3650|verb|einschlagen, schlägt ein, schlug ein, hat eingeschlagen|Er schlug den Nagel ein.|Ambiguous, "einschlagen" could also mean "to succeed"
3653|adj|akademisch|Die Arbeit ist akademisch.|Vague sentence; lacks context
3764|verb|kippen, kippt, kippte, hat gekippt|Der Stuhl kippte.|Lacks context; could be interpreted as passive action without an agent
4036|interj|au|Au, das tut weh!|Informal interjection; may be stylistically weak in formal contexts
4046|verb|scheißen, scheißt, schiss, hat geschissen|Das Kind hat gescheißt.|Vulgar language; inappropriate in formal contexts
4121|adj|Kölner|Das Kölner Dom ist berühmt.|Incorrect article usage; should be "Der Kölner Dom"
4170|die (pl)||Die Taliban kontrollieren das Gebiet.|Missing part of speech abbreviation
4273|adv|binnen|Binnen einer Woche.|Incomplete sentence; lacks a main clause
4274|adj|einstig|Sein einstiger Freund.|Incomplete sentence; lacks a main verb
4280|adj|obig|Das obige Beispiel.|Incomplete sentence; lacks a main verb
4344|verb|abspielen, spielt ab, spielte ab, hat abgespielt|Das Lied spielt ab.|Incorrect usage; "abspielen" typically refers to a deliberate action of playing something
4364|interj|öh|Öh, was meinst du?|Informal interjection; may be stylistically weak in formal contexts
4413|verb|fügen (sich), fügt, fügte, hat gefügt|Sie fügte sich ihrem Schicksal.|Formal and somewhat outdated expression
4435|interj|mmh|Mmh, das schmeckt gut.|Informal interjection; may be stylistically weak in formal contexts
4506|adv|soeben|Ich habe es soeben gesehen.|Vague context; sentence could be more specific
4528|prep|seitens|Seitens des Unternehmens.|Incomplete sentence; lacks a main clause
4561|adj|derzeitig|Die derzeitig Lage.|Incorrect adjective agreement; should be "derzeitige Lage"
4611|adj|fließend|Das Wasser fließt fließend.|Redundant phrasing; "fließend" and "fließt" are repetitive
4679|adv|nirgends|Er wohnt nirgends.|Ambiguous context; sentence lacks clarity
4943|verb|verstoßen, verstößt, verstieß, hat verstoßen|Er hat das Gesetz verstoßen.|Incorrect verb usage; should be "gegen das Gesetz verstoßen"
5067|adj|norwegisch|Die norwegische Fjorde sind wunderschön.|Incorrect noun agreement; should be "Die norwegischen Fjorde sind wunderschön."
