der Mann ist hoch|the man is high
eine Blume riechen|to smell a flower
außerhalb der Stadt|outside the city
eine Gruppe begleiten|to accompany a group
das Publikum begeistern|to inspire the audience
ein Hausbesuch|a house visit
das Wachstum fördern|to promote growth
eine Aufgabe aufgeben|to give up a task
stolz sein|to be proud
großer Verlust|great loss
eine Entscheidung begründen|to justify a decision
eine strenge Regel|a strict rule
um die Ecke|around the corner
einen Lauf machen|to go for a run
einen Artikel schreiben|to write an article
ein berühmter Autor|a famous author
eine Sache ersetzen|to replace something
eine hohe Wahrscheinlichkeit|a high probability
ins Ausland reisen|to travel abroad
bayrische Küche|Bavarian cuisine
diesmal besser|better this time
das Gehirn benutzen|to use the brain
ein hohes Gebäude|a tall building
langfristige Planung|long-term planning
ein herzliches Willkommen|a warm welcome
einen Plan sichern|to secure a plan
hochwertiges Material|high-quality material
Zeit verbringen|to spend time
elektrischer Strom|electric current
ein Amt haben|to hold an office
einen Text kritisieren|to criticize a text
eine Nachricht vermitteln|to convey a message
die Wirklichkeit ist hart|reality is harsh
eine Union bilden|to form a union
ein Studium absolvieren|to complete a degree
eine Idee festhalten|to hold on to an idea
ein Konzept präsentieren|to present a concept
eine Demokratie verteidigen|to defend a democracy
niemals vergessen|never forget
eine Aufnahme machen|to make a recording
eine Ausnahme machen|to make an exception
ein Projekt beenden|to end a project
eine Investition planen|to plan an investment
Lust haben|to feel like
eine Arbeit prüfen|to examine a work
eine Aktie anlegen|to invest in a stock
ein Zuschauer sehen|to see a spectator
helles Licht|bright light
mitten im Raum|in the middle of the room
einer Meinung zufolge|according to an opinion
ein Konflikt lösen|to resolve a conflict
mit der Bahn fahren|to travel by train
ein Land besuchen|to visit a country
ein hohes Einkommen|a high income
ein Restaurant empfehlen|to recommend a restaurant
britische Kultur|British culture
etwas fürchten|to fear something
eine Reise vorbereiten|to prepare a trip
eine Aktivität planen|to plan an activity
einen Auftrag erteilen|to give an order
ein frohes Herz|a happy heart
eine Meinung äußern|to express an opinion
ein freier Geist|a free spirit
ein Objekt zeigen|to show an object
möglicherweise richtig|possibly correct
die zuständige Behörde|responsible authority
ein Problem aufweisen|to show a problem
hoch springen|to jump high
auf einem Hof|in a courtyard
ein Polizist spricht|a police officer speaks
eine Übung machen|to do an exercise
Widerstand leisten|to offer resistance
einen Mantel anziehen|to put on a coat
ein Experte spricht|an expert speaks
ohnehin egal|it doesn't matter anyway
ein Glas füllen|to fill a glass
eine Gemeinde besuchen|to visit a community
eine Pause machen|to take a break
scharfe Kritik|sharp criticism
den Kopf schütteln|to shake the head
Fernsehen schauen|to watch television
eine Formel berechnen|to calculate a formula
eine gelbe Blume|a yellow flower
im Sommersemester|in the summer semester
eine heftige Diskussion|a violent discussion
auf einer Bühne|on a stage
große Freude empfinden|to feel great joy
der Schaden ist groß|the damage is significant
eine umgekehrte Wirkung|a reversed effect
ein Buch veröffentlichen|to publish a book
eine Tabelle aufstellen|to draw up a table
abhängig von etwas|dependent on something
die Strecke fahren|to drive the route
eine Praxis besuchen|to visit a doctor's office
ungefähr 10 Kilometer|approximately 10 kilometers
etwas mitnehmen|to take something along
eine übliche Methode|a usual method
Daten übertragen|to transfer data
die Wissenschaft studieren|to study science
global denken|to think globally
am Nachmittag|in the afternoon
eine Annahme treffen|to make an assumption
die Umgebung erkunden|to explore the surroundings
die Öffentlichkeit informieren|to inform the public
in den Spiegel schauen|to look in the mirror
nach Hause zurückkommen|to return home
einen Platz besetzen|to occupy a place
das Gegenteil behaupten|to claim the opposite
der Sommer ist vorbei|summer is over
ein großer Fan|a big fan
eine Karte kaufen|to buy a ticket
arm sein|to be poor
eine Krise bewältigen|to manage a crisis
eine Strategie entwickeln|to develop a strategy
eine Debatte führen|to conduct a debate
davor stehen|to stand in front of
ein Journalist schreiben|a journalist writes
das Abendessen kochen|to cook dinner
zurückgehen nach Hause|to go back home
großer Schmerz|great pain
erheblich besser|considerably better
ausschließlich für Mitglieder|exclusively for members
griechische Kultur|Greek culture
Griechisch lernen|to learn Greek
naja, mal sehen|oh well, let's see
eine Runde drehen|to take a round
ein Angriff planen|to plan an attack
eine Regel einführen|to introduce a rule
desto besser|the better
ein Wettbewerb gewinnen|to win a competition
über viele Ressourcen verfügen|to have many resources
woher kommst du|where are you from
große Zweifel haben|to have great doubts
ein großer Konzern|a large corporation
gerne tanzen|to love dancing
einen Unfall überleben|to survive an accident
spezifische Anforderungen|specific requirements
stabil bleiben|to remain stable
eine Kamera benutzen|to use a camera
im Schatten sitzen|to sit in the shade
einen Aspekt berücksichtigen|to consider an aspect
ein Pferd reiten|to ride a horse
einem Freund begegnen|to meet a friend
Zugang erhalten|to gain access
elf Spieler|eleven players
eine Suche starten|to start a search
doppelt so gut|twice as good
eine Regel festlegen|to establish a rule
österreichische Spezialitäten|Austrian specialties
sodass es passt|so that it fits
eine Tatsache feststellen|to establish a fact
Alkohol trinken|to drink alcohol
die Schüler informieren|to inform the students
im Norden|in the north
etwas vermuten|to assume something
zufrieden sein|to be satisfied
ein Seil reißen|to tear a rope
dahin gehen|to go there
solange es dauert|as long as it takes
ein Wissenschaftler forschen|a scientist researches
gute Kommunikation|good communication
das Steuer drehen|to turn the steering wheel
die Steuer zahlen|to pay the tax
angeblich wahr|allegedly true
ein günstiger Preis|a favorable price
im Dezember|in December
am Flughafen|at the airport
ins Krankenhaus gehen|to go to the hospital
den Kopf wenden|to turn the head
türkisches Essen|Turkish food
Türkisch sprechen|to speak Turkish
ein Gegner besiegen|to defeat an opponent
ein Leser finden|to find a reader
VWL studieren|to study economics
mit Handel treiben|to trade with
gute Kenntnisse|good knowledge
alles sichtbar|everything visible
etwas zulassen|to allow something
die Mark verwenden|to use the Deutschmark
etwas vorsehen|to plan something
große Schwierigkeiten|great difficulties
einen Fehler wahrnehmen|to detect a mistake
auf ein Problem hinweisen|to point to a problem
im Juli|in July
ein Signal senden|to send a signal
die Qualität kontrollieren|to check the quality
es ist sowieso egal|it doesn't matter anyway
der Bauer arbeitet|the farmer works
einen Kurs belegen|to take a course
einst berühmt|once famous
einen Service anbieten|to offer a service
sprachliche Fähigkeiten|linguistic abilities
die bisherige Arbeit|the work so far
ein Fahrer spricht|a driver speaks
traditionelle Musik|traditional music
wegen etwas weinen|to cry about something
das Leben genießen|to enjoy life
im Dienst|on duty
im Lager|in the storeroom
graue Haare|gray hair
anhand der Daten|based on the data
mit dem Bus fahren|to take the bus
ein Franken|one franc
eine Kategorie wählen|to choose a category
ein netter Mensch|a nice person
freundliche Begrüßung|friendly greeting
eine perfekte Lösung|a perfect solution
reich an Erfahrung|rich in experience
eine Fahrt machen|to take a trip
in den Urlaub fahren|to go on vacation
ausländische Gäste|foreign guests
ein Instrument spielen|to play an instrument
fern von hier|far from here
eine schöne Gegend|a beautiful area
etwas verstecken|to hide something
das Feuer löschen|to extinguish the fire
sich bemühen|to make an effort
Verständnis zeigen|to show understanding
eine AfD-Wahl|an AfD election
Bakterien untersuchen|to examine bacteria
im See tauchen|to dive in the lake
Konsequenzen tragen|to bear consequences
am Problem schuld sein|to be guilty of the problem
die Schuld tragen|to bear the guilt
eine Mehrheit bilden|to form a majority
einen Mantel anhaben|to wear a coat
die Bestimmungen beachten|to observe the regulations
einen Fehler vermeiden|to avoid a mistake
ehrlich sein|to be honest
eine Regel beachten|to observe a rule
statistische Daten|statistical data
ein Hals schmerzen|a sore throat
ein Gesetz durchsetzen|to enforce a law
italienische Küche|Italian cuisine
Italienisch verstehen|to understand Italian
viel Scheiße|much crap
ein Telefon benutzen|to use a telephone
im Herbst|in autumn
eine Ausstellung besuchen|to visit an exhibition
ein Gebäude bauen|to construct a building
im Keller|in the cellar
der Bürgermeister spricht|the mayor speaks
entlang des Flusses|along the river
eine Flasche öffnen|to open a bottle
ein wunderbarer Tag|a wonderful day
einen Zweck erfüllen|to serve a purpose
jemanden ehren|to honor someone
die Verwendung von Technologie|the use of technology
letztlich entscheiden|to decide in the end
eine Fläche messen|to measure an area
eine Wand streichen|to paint a wall
einen Autor zitieren|to quote an author
die Kosten senken|to lower costs
etwas behalten|to keep something
eine Website gestalten|to design a website
etwas beweisen|to prove something
einen Umgang pflegen|to maintain contact
die Ergebnisse überprüfen|to check the results
ein Lehrstuhl annehmen|to accept a professorship
ein Buch schenken|to give a book as a present
einen Vorschlag machen|to make a proposal
einen Moment anhalten|to stop for a moment
entfernte Länder|distant countries
ein Leiter spricht|a leader speaks
von der Leiter fallen|to fall from the ladder
ein Parlament besuchen|to visit a parliament
vom Stuhl stürzen|to fall off the chair
eine Waffe tragen|to carry a weapon
ein Kriterium erfüllen|to meet a criterion
Beifall klatschen|to applaud
etwas zerstören|to destroy something
einem Vortrag zuhören|to listen to a lecture
eine Sitzung ausfallen|to cancel a meeting
eine Weile warten|to wait for a while
nach vorne drängen|to push forward
einerseits richtig|on the one hand, correct
große Spannung|high tension
Fortschritte machen|to make progress
Mathematik lernen|to study mathematics
ein Bad nehmen|to take a bath
eine Methode erläutern|to explain a method
einen Koffer packen|to pack a suitcase
Großbritannien besuchen|to visit Great Britain
vorsichtig fahren|to drive carefully
eine Methode anwenden|to apply a method
wild tanzen|to dance wildly
gesetzliche Regelungen|legal regulations
die Spitze erreichen|to reach the top
ein Gerät benutzen|to use a device
einen starken Willen haben|to have a strong will
sicherlich richtig|certainly correct
auf etwas weisen|to point to something
eine Tradition bewahren|to preserve a tradition
ein Feuer brennen|to burn a fire
freiwillig arbeiten|to work voluntarily
umso besser|the better
einen Antrag stellen|to submit an application
ein Reich gründen|to found an empire
Geld investieren|to invest money
ein Buch bestellen|to order a book
eine Gelegenheit nutzen|to use an opportunity
eine Mauer bauen|to build a wall
stattdessen gehen|to go instead
auf einem Stuhl sitzen|to sit on a chair
einen Ton hören|to hear a sound
im Büro arbeiten|to work in the office
die Umwelt schützen|to protect the environment
Zigaretten rauchen|to smoke cigarettes
eine Beschreibung geben|to give a description
eine Pflanze gießen|to water a plant
eine Tätigkeit ausüben|to perform an activity
eine Landschaft malen|to paint a landscape
auf etwas verweisen|to refer to something
einen Arbeitsplatz finden|to find a job
Daten erfassen|to collect data
eine Komponente benutzen|to use a component
ein Ion untersuchen|to examine an ion
im Laden kaufen|to buy in the shop
feines Essen|fine food
einen Stern sehen|to see a star
einen Schuh tragen|to wear a shoe
das Knie beugen|to bend the knee
null Punkte|zero points
eine Schicht bilden|to form a layer
unglaublich stark|incredibly strong
zurück kommen|to come back
die Realität erkennen|to recognize reality
sobald wie möglich|as soon as possible
eine Tatsache belegen|to prove a fact
ein Fluss fließt|a river flows
eine Alternative bieten|to offer an alternative
sich zu etwas verpflichten|to commit to something
einen Gast begrüßen|to greet a guest
die Führung übernehmen|to take over the leadership
untere Etage|lower floor
ein Handy benutzen|to use a mobile phone
die Hauptstadt besuchen|to visit the capital city
ein Experiment durchführen|to conduct an experiment
Frieden finden|to find peace
der Verlauf der Dinge|the course of things
ein großes Potenzial|a great potential
einen Verlag gründen|to found a publishing company
ein Minister spricht|a minister speaks
ein Vogel fliegt|a bird flies
die Freiheit beschränken|to restrict freedom
eine Branche entwickeln|to develop a sector
ein Schauspieler spielen|an actor performs
einen Plan vorschlagen|to suggest a plan
beinahe fertig|almost finished
jährliche Veranstaltung|annual event
eine wichtige Botschaft|an important message
der Alltag beginnt|the daily routine begins
hoher Umsatz|high turnover
einen Verband gründen|to establish an association
ein Zimmer betreten|to enter a room
eine Regelung finden|to find a settlement
an einem Kurs teilnehmen|to take part in a course
eine Idee überwiegen|to outweigh an idea
einen Grund bedingen|to cause a reason
eine Gestalt sehen|to see a figure
|
das Visum läuft ab|the visa expires
der Minister spricht|the minister speaks
ein Fahrzeug fahren|to drive a vehicle
Wasser fließt|water flows
gemäß den Regeln|according to the rules
einen Vorwurf machen|to make an accusation
erforderliche Maßnahmen|necessary measures
eine gute Haltung|a good posture
der Schriftsteller schreibt|the writer writes
eine gute Stimmung|a good mood
zufällig finden|to find by chance
ein enormer Unterschied|an enormous difference
ein Fach studieren|to study a subject
den Raum begrenzen|to limit the space
ein schönes Lied|a beautiful song
eine große Nation|a large nation
eine Verhandlung führen|to conduct a negotiation
einen Wein trinken|to drink a wine
eine Auflage drucken|to print an edition
billige Produkte|cheap products
dünne Kleidung|thin clothing
jemanden achten|to respect someone
ein Amerikaner spricht|an American speaks
ein Anbieter finden|to find a supplier
eine Industrie aufbauen|to build an industry
Spanien besuchen|to visit Spain
ab nach Hause|off to home
ein Jude beten|a Jew prays
einen Vorgang erklären|to explain a procedure
viel Geld ausgeben|to spend a lot of money
der Meister trainiert|the master trains
die Seite umdrehen|to turn the page
weitgehend fertig|mostly finished
traurig sein|to be sad
volle Aufmerksamkeit|full attention
eine Berechnung machen|to do a calculation
gegenseitig helfen|to help each other
eine kurzfristige Entscheidung|a decision at short notice
eine Stufe nehmen|to take a step
das Urteil des Richters|the judge's sentence
primäre Farben|primary colors
viel Schnee|a lot of snow
vollkommen glücklich|completely happy
England besuchen|to visit England
massive Probleme|massive problems
sämtliche Dokumente|all documents
einen Text übersetzen|to translate a text
dringend benötigt|urgently needed
einen Unfall verursachen|to cause an accident
starke Konkurrenz|strong competition
einen Muskel trainieren|to train a muscle
einen Test bestehen|to pass a test
im Süden|in the south
super gemacht|well done
ökonomische Probleme|economic problems
eine Erzählung hören|to listen to a story
eine Initiative ergreifen|to take an initiative
mit dem Flugzeug|by airplane
DNA analysieren|to analyze DNA
eine Flüssigkeit trinken|to drink a liquid
einen Geburtstag feiern|to celebrate a birthday
ein Kleid tragen|to wear a dress
zeitlich begrenzt|limited in time
einen Ball werfen|to throw a ball
eine Brust abtasten|to examine a breast
elektronische Geräte|electronic devices
sich verabschieden|to say goodbye
den Wunsch ausdrücken|to express the wish
das kleine Detail|the small detail
demokratische Werte|democratic values
die Variable berechnen|to calculate the variable
das Fleisch essen|to eat the meat
die körperliche Arbeit|the physical work
die Liste erstellen|to create the list
von Reisen träumen|to dream of traveling
das Volumen messen|to measure the volume
den Fehler zugeben|to admit the mistake
ah, verstehe|ah, I understand
ein Drittel teilen|to divide a third
den Vorschlag akzeptieren|to accept the proposal
die endgültige Entscheidung|the final decision
die ewige Liebe|the eternal love
eine neue Perspektive|a new perspective
im Restaurant essen|to eat in the restaurant
in den Bergen wandern|to hike in the mountains
die Tasche tragen|to carry the bag
einen Plan vornehmen|to plan something
der Beamte spricht|the official speaks
eine Reise orientieren|to orient a trip
der schmale Weg|the narrow path
einen Streit beginnen|to start a fight
das spannende Buch|the exciting book
wohin gehst du|where are you going
auf dem Dach|on the roof
die Karriere beginnen|to start the career
die Temperatur regeln|to regulate the temperature
insofern richtig|insofar correct
die Zigarette rauchen|to smoke the cigarette
bunte Farben|colorful colors
die Falle stellen|to set the trap
die Nachricht verbreiten|to spread the message
die Auswirkungen untersuchen|to study the effects
einander helfen|to help each other
weshalb nicht|why not
der Unterricht beginnt|the class starts
das Bedürfnis haben|to have the need
das hohe Niveau|the high level
die Tante besuchen|to visit the aunt
die Prüfung bestehen|to pass the exam
das Geschenk mitbringen|to bring the gift
etwas seltsam finden|to find something strange
das Gen entdecken|to discover the gene
ein Team engagieren|to engage a team
den Onkel besuchen|to visit the uncle
soweit ich weiß|as far as I know
mächtige Menschen|powerful people
ausgerechnet jetzt|of all times now
zweimal täglich|twice a day
die Störung beheben|to fix the disturbance
eine Aktion planen|to plan an action
20-jährig|20 years old
künstliche Intelligenz|artificial intelligence
eine Auseinandersetzung haben|to have an argument
den Garten pflegen|to care for the garden
die Ausgaben kontrollieren|to control the expenses
online einkaufen|to shop online
eine Theorie ableiten|to derive a theory
usw.|etc.
die Lampe leuchtet|the lamp shines
eine Anlage erweitern|to expand a facility
die Möglichkeiten erweitern|to widen the possibilities
die Hypothese erweist sich|the hypothesis proves
die Gesundheit fördern|to promote health
zutreffende Aussagen|correct statements
ein Stück aufführen|to perform a piece
den Kandidaten wählen|to choose the candidate
vom Erfolg profitieren|to profit from success
die Rechnung bezahlen|to pay the bill
den Übergang finden|to find the crossing
einen Text zusammenfassen|to summarize a text
jemanden beeindrucken|to impress someone
ein Haus einnehmen|to take a house
ein tiefes Loch|a deep hole
effizientes Management|efficient management
im See schwimmen|to swim in the lake
große Erwartungen|great expectations
eine Frage beantworten|to answer a question
ein klarer Beweis|clear evidence
der Zweite Weltkrieg|the Second World War
eine komplizierte Situation|a complicated situation
die Stirn runzeln|to wrinkle the forehead
eine medizinische Behandlung|a medical treatment
ein Zahn ziehen|to pull a tooth
einen Wunsch aussprechen|to express a wish
sehr beliebt|very popular
kaltes Eis|cold ice cream
ein komischer Witz|a funny joke
westliche Länder|western countries
geistige Fähigkeiten|intellectual abilities
die Länge messen|to measure the length
eine unmögliche Aufgabe|an impossible task
optimale Bedingungen|optimal conditions
das Wetter ist schön|the weather is nice
eine Liste ergänzen|to add to a list
voneinander lernen|to learn from each other
ein Buch auswählen|to choose a book
eine Person befragen|to question a person
den Tisch rücken|to move the table
der Anwalt spricht|the attorney speaks
dahinter stehen|to stand behind it
große Stärke|great strength
Ironie verwenden|to use irony
eine andere Ansicht|a different opinion
AG gründen|to found an incorporated company
ein Projekt ausbilden|to train for a project
empirische Forschung|empirical research
eine gute Kombination|a good combination
eine gründliche Ermittlung|a thorough investigation
ein Gedicht schreiben|to write a poem
sich gut unterhalten|to have a good chat
eine Hochschule besuchen|to attend a college
eine Umsetzung planen|to plan an implementation
starkes Engagement|strong commitment
jemanden erschrecken|to frighten someone
ein Haus erwerben|to acquire a house
ein mysteriöses Wesen|a mysterious being
parallel arbeiten|to work in parallel
hierbei helfen|to help with this
ein altes Schloss|an old castle
das Auto steuern|to steer the car
ein großes Wunder|a great miracle
einen Abschluss feiern|to celebrate a graduation
irgendwelche Probleme|some problems
eine korrekte Antwort|a correct answer
die Vorsitzende wählen|to elect the chairperson
ein Geheimnis verraten|to reveal a secret
anpassen an|to adapt to
automatische Systeme|automatic systems
Physik studieren|to study physics
eine schwere Erkrankung|a severe illness
spanische Musik|Spanish music
Spanisch lesen|to read Spanish
ein Teilnehmer sprechen|a participant speaks
eine Veranstaltung planen|to plan an event
etwas vorhaben|to have something in mind
ein Geheimnis verbergen|to hide a secret
aha, ich verstehe|aha, I see
ein Bild malen|to paint a picture
einen Brief zur Post bringen|to take a letter to the post office
eine reine Seele|a pure soul
regelmäßig üben|to practice regularly
im August|in August
ein gebrochener Knochen|a broken bone
ein lautes Geräusch|a loud noise
die Gegenwart genießen|to enjoy the present
generelle Regeln|general rules
eine Aminosäure analysieren|to analyze an amino acid
effektives Marketing|effective marketing
ein seltenes Phänomen|a rare phenomenon
ein Russe sprechen|a Russian speaks
eine Brücke überqueren|to cross a bridge
daneben stehen|to stand next to it
das Gewicht messen|to measure the weight
jemanden beruhigen|to calm someone
ansonsten nichts|otherwise nothing
total verrückt|completely crazy
eine Familie versorgen|to provide for a family
einen LKW laden|to load a truck
ein neuer Start|a new start
ein Abenteuer wagen|to dare an adventure
weibliche Stimme|female voice
seitdem nicht mehr|since then no more
die Treppe hinauf|up the stairs
eine Decke überwerfen|to throw a blanket over
eine positive Einstellung|a positive attitude
jemanden heiraten|to marry someone
mittels eines Tricks|by means of a trick
ein schwerer Unfall|a serious accident
ein wichtiger Bestandteil|an important component
starker Regen|heavy rain
sich entschuldigen|to apologize
einen Fisch fangen|to catch a fish
moderne Medizin|modern medicine
sein Schicksal akzeptieren|to accept one's fate
die Sonne geht auf|the sun rises
ein lustiges Video|a funny video
auf jemanden zugehen|to approach someone
durchschnittliche Leistung|average performance
am Strand|on the beach
hohe Zinsen|high interest rates
eine Arbeit bewerten|to assess a work
bezüglich der Frage|regarding the question
jemanden begeistern|to inspire someone
eine Ladung liefern|to deliver a load
äußerst wichtig|extremely important
ein lustiger Abend|a funny evening
potenzielle Kunden|potential customers
ein Dichter schreiben|a poet writes
eine Religion ausüben|to practice a religion
religiöse Feste|religious festivals
nackt schlafen|to sleep naked
hochwertige Ware|high-quality goods
berufliche Erfahrungen|professional experiences
lokale Spezialitäten|local specialties
hohe Standards|high standards
der Kanzler spricht|the chancellor speaks
nochmal versuchen|to try again
ein Problem auflösen|to dissolve a problem
aufregen über|to get upset about
wirtschaftliche Abhängigkeit|economic dependence
eine Einrichtung besuchen|to visit an institution
Länder vereinen|to unite countries
einen Termin vereinbaren|to agree on an appointment
eine Besprechung verschieben|to postpone a meeting
eine Wirkung bewirken|to cause an effect
ein großes Bundesland|a large state
eine Aufgabe erleichtern|to make a task easier
staatliche Institutionen|state institutions
rechtliche Fragen|legal questions
ein historisches Viertel|a historic district
eine neue Dimension|a new dimension
ein Ei kochen|to boil an egg
müde sein|to be tired
Geld sparen|to save money
quasi fertig|almost finished
ein Wiener Schnitzel|a Viennese schnitzel
blöde Fragen|stupid questions
Soziologie studieren|to study sociology
tätig sein|to be active
nach Afghanistan reisen|to travel to Afghanistan
eine Flucht planen|to plan an escape
das Ende absehen|to foresee the end
nach Afrika reisen|to travel to Africa
regionale Produkte|regional products
strategische Planung|strategic planning
exakt messen|to measure exactly
eine Diskussion fortsetzen|to continue a discussion
die Leistung steigern|to increase performance
eine Übersetzung lesen|to read a translation
womöglich gefährlich|possibly dangerous
ein starkes Argument|a strong argument
etwas berühren|to touch something
ins Kino gehen|to go to the cinema
die Dauer bestimmen|to determine the duration
es klappt|it works
nach Polen reisen|to travel to Poland
goldene Zeiten|golden times
eine Frage klären|to clarify a question
saubere Kleidung|clean clothes
zum Bahnhof gehen|to go to the station
eine Bewertung schreiben|to write an evaluation
eine Messung durchführen|to conduct a measurement
eine gewaltige Veränderung|an enormous change
relevante Informationen|relevant information
nach Israel reisen|to travel to Israel
die Lippe berühren|to touch the lip
die Hauptstadt der BRD|the capital of the Federal Republic of Germany
ein starker Charakter|a strong character
eine Aufgabe antreten|to take up a task
eine Lehre beginnen|to start an apprenticeship
auf die Kinder aufpassen|to take care of the children
eine Verletzung behandeln|to treat an injury
CSU wählen|to vote for CSU
der Direktor spricht|the director speaks
jemanden enttäuschen|to disappoint someone
einen Fisch fangen|to catch a fish
eine Träne weinen|to shed a tear
damalige Verhältnisse|conditions at that time
dreißig Jahre alt|thirty years old
mathematische Formeln|mathematical formulas
eine Pflicht erfüllen|to fulfill a duty
ein Ziel realisieren|to realize a goal
eine Wohnung einrichten|to furnish an apartment
ein Käufer finden|to find a buyer
ein Rennen gewinnen|to win a race
den Täter finden|to find the culprit
jemanden befreien|to free someone
die Papiere ordnen|to sort the papers
eine genaue Bezeichnung|an exact name
eine Nation verteidigen|to defend a nation
ein besonderer Anlass|a special occasion
mediale Berichterstattung|media coverage
hauptsächlich arbeiten|mainly work
ein großer Hersteller|a major manufacturer
normalerweise pünktlich|normally on time
ein Motiv finden|to find a motive
eine Auswahl treffen|to make a selection
eine Stelle markieren|to mark a spot
mehrfach verwenden|to use multiple times
ein hoher Rang|a high rank
schnell rennen|to run fast
die Wahrheit herausfinden|to find out the truth
nahezu perfekt|nearly perfect
einen Namen benennen|to name a name
schöne Schrift|beautiful handwriting
eine Silbe betonen|to stress a syllable
ein Anstieg der Preise|a rise in prices
eine Kurve nehmen|to take a turn
einen Auftritt haben|to have an appearance
eine Gruppe integrieren|to integrate a group
eine alte Saga|an old saga
eine Firma anmelden|to register a company
gerecht urteilen|to judge fairly
unendliche Möglichkeiten|endless possibilities
im Bundestag sprechen|to speak in the Bundestag
literarische Werke|literary works
volles Bewusstsein|full consciousness
eine Stiftung gründen|to establish a foundation
eine Erhöhung beschließen|to decide on an increase
eine GmbH gründen|to found an Ltd
ungewöhnliche Ereignisse|unusual events
ein großes Fest|a big festival
hohe Anforderungen|high requirements
männliche Stimme|male voice
intensives Training|intensive training
vorgehen gegen|to act against
hohe Arbeitslosigkeit|high unemployment
frisches Brot|fresh bread
eine Geburt feiern|to celebrate a birth
großer Hunger|great hunger
jüdische Bräuche|Jewish customs
ein angenehmes Umfeld|a pleasant environment
allzu schnell|overly fast
der mächtige Graf|the powerful count
eine Reise nach Indien|a trip to India
es lohnt sich|it is worth it
optische Täuschung|optical illusion
militärische Ausrüstung|military equipment
große Mühe|great effort
das Gespräch unterbrechen|to interrupt the conversation
grundlegende Prinzipien|basic principles
ein kleines Boot|a small boat
ein Dutzend Eier|a dozen eggs
den Antrag zurückziehen|to withdraw the application
an die Tür klopfen|to knock on the door
einen Fakt nachweisen|to prove a fact
dunkle Wolken|dark clouds
die Tür aufmachen|to open the door
eine Karte kennzeichnen|to mark a map
die Jugend von heute|the youth of today
sich über etwas wundern|to wonder about something
eine neue Interpretation|a new interpretation
die Leber untersuchen|to examine the liver
eine gute Stellung|a good position
einen Gegenstand aufheben|to pick up an object
hohe Belastung|high load
heilige Orte|holy places
der Umfang des Kreises|the circumference of the circle
genaue Beobachtungen|precise observations
etwas Neues erfinden|to invent something new
viel Mühe erfordern|to require much effort
der alltägliche Gebrauch|everyday use
der Landtag von Bayern|the parliament of Bavaria
dichter Verkehr|heavy traffic
den Verkehr aufhalten|to hold up traffic
einen Apfel schneiden|to cut an apple
einen Kauf tätigen|to make a purchase
das Öl wechseln|to change the oil
ein hoher Betrag|a high amount
ein neues Buch herauskommen|a new book comes out
mit dem Fahrrad fahren|to ride a bicycle
gute Koordination|good coordination
die Nutzung des Internets|the use of the internet
ein schöner Park|a beautiful park
ein Problem resultieren|a problem results
guter Geschmack|good taste
auf den Bildschirm starren|to stare at the screen
den Bus verpassen|to miss the bus
jemanden etwas vorwerfen|to accuse someone of something
ein dicker Bauch|a big belly
einen Verkauf abschließen|to complete a sale
gründliche Vorbereitung|thorough preparation
eine Nachricht ausrichten|to send a message
den Teig rühren|to stir the dough
neuer Trend|new trend
das Konto aktivieren|to activate the account
einen Mechanismus aktivieren|to activate a mechanism
der Nutzen des Projekts|the benefit of the project
eine neue Hose|new pants
nicht lügen|not to lie
eine Sitzung ansetzen|to schedule a meeting
arabische Musik|Arabian music
arabische Schrift|Arabic script
verschiedene Farben mischen|to mix different colors
auf Fakten beruhen|to be based on facts
nach Japan reisen|to travel to Japan
die City besuchen|to visit the city center
eine Klausur schreiben|to take an exam
innen im Gebäude|inside the building
eine Membran testen|to test a membrane
das Metall verarbeiten|to process the metal
ein Netzwerk aufbauen|to build a network
systematische Analyse|systematic analysis
neue Technologie|new technology
die Trennung von Müll|the separation of waste
eine E-Mail senden|to send an email
bei einem Projekt mitmachen|to join a project
der Manager spricht|the manager speaks
die Oma besuchen|to visit grandma
eine Umfrage durchführen|to conduct a survey
eine Operation durchführen|to perform surgery
eine Probe entnehmen|to take a sample
eine Maschine bedienen|to operate a machine
großer Mut|great courage
nachhaltige Entwicklung|sustainable development
zusehen bei|to watch
einen Film bevorzugen|to prefer a movie
hierzu etwas sagen|to say something about this
der Fischer arbeitet|the fisherman works
ein guter Ruf|a good reputation
tiefgründige Überlegungen|profound thoughts
eine überraschende Begegnung|a surprising encounter
ein heftiger Schlag|a heavy blow
daraufhin reagieren|to react as a result
die Handlung eines Buches|the plot of a book
eine bekannte Marke|a well-known brand
eine Festung angreifen|to attack a fortress
ein Projekt finanzieren|to finance a project
freilich wahr|of course true
in dieser Hinsicht|in this respect
einen Schlüssel finden|to find a key
die Zukunft deuten|to interpret the future
eine glatte Oberfläche|a smooth surface
eine schreckliche Nachricht|a terrible message
weiches Kissen|soft pillow
eine moderne Klinik|a modern clinic
bedeutende Entdeckung|significant discovery
ein lebenswichtiges Organ|a vital organ
ein Thema besprechen|to discuss a topic
eine Oberfläche reinigen|to clean a surface
ein guter Standort|a good location
ein zufälliges Treffen|a chance meeting
eine starke Armee|a strong army
kräftige Hände|strong hands
ein gereizter Nerv|an irritated nerve
eine bittere Niederlage|a bitter defeat
einen Termin vereinbaren|to make an appointment
eine angenehme Atmosphäre|a pleasant atmosphere
chemische Synthese|chemical synthesis
