|part_of_speech|word_de|word_pl_de|sentence_de|word_en|sentence_en
581|verb|annehmen, nimmt an, nahm an, hat angenommen||Er nahm das Geschenk freundlich an.|to accept, assume|He accepted the gift kindly.
582|adj|falsch||Die Antwort war leider falsch.|false, wrong|Unfortunately, the answer was wrong.
583|der|der Zusammenhang||Der Zusammenhang bleibt unklar.|connection, context|The context remains unclear.
584|adj|langsam||Der Verkehr in der Stadt ist langsam.|slow|The traffic in the city is slow.
585|der|der Arm||Der Arm schmerzte nach dem Unfall.|arm|His arm hurt after the accident.
586|conj|nachdem||Nachdem er ging, wurde es ruhig.|after|After he left, it became quiet.
587|der|der Tisch||Der Tisch in der Küche ist aus Holz.|table|The table in the kitchen is made of wood.
588|verb|rufen, ruft, rief, hat gerufen||Er rief laut nach seiner Mutter.|to call|He called out loudly for his mother.
589|verb|bieten, bietet, bot, hat geboten||Der Verkäufer bietet einen Rabatt an.|to offer|The seller offers a discount.
590|das|das Herz||Das Herz schlägt schnell vor Aufregung.|heart|The heart beats quickly with excitement.
591|adv|zusammen||Wir haben zusammen eine Lösung gefunden.|together|We found a solution together.
592|adv|inzwischen||Inzwischen hat sich viel verändert.|in the meantime|In the meantime, a lot has changed.
593|adv|ebenso||Ich habe das ebenso verstanden.|just as, as much as, as well|I understood that just as well.
594|der|der Boden||Der Boden im Wald ist feucht und weich.|ground, floor, bottom|The ground in the forest is damp and soft.
595|conj|bevor||Bevor es regnet, gehen wir heim.|before|Before it rains, we are going home.
596|verb|verwenden, verwendet, verwendete, hat verwendet||Er verwendete das alte Werkzeug erneut.|to use|He used the old tool again.
597|die|die Politik||Die Politik bestimmt das Leben.|politics|Politics determines life.
598|der|der Tod||Der Tod kam plötzlich und unerwartet.|death|Death came suddenly and unexpectedly.
599|der|der Erfolg||Sein Erfolg war beeindruckend.|success|His success was impressive.
600|adv|zudem||Zudem hat er noch eine Frage gestellt.|moreover, furthermore, besides|Moreover, he asked another question.
601|die|die Bank||Die Bank gewährte ihm einen Kredit.|bank, bench|The bank granted him a loan.
602|prep|ab||Ab jetzt gilt eine neue Regel.|from, as of|From now on, a new rule applies.
603|adj|persönlich||Die persönliche Geschichte rührte uns.|personal|The personal story moved us.
604|der|der Präsident||Der Präsident hielt eine Rede.|president|The president gave a speech.
605|verb|holen, holt, holte, hat geholt||Er holt die Zeitung aus dem Briefkasten.|to get, fetch|He gets the newspaper from the mailbox.
606|der|der Junge||Der Junge spielt draußen im Garten.|boy|The boy is playing outside in the garden.
607|adj|sogenannt||Er ist der sogenannte Experte im Team.|so-called|He is the so-called expert in the team.
608|die|die Polizei||Die Polizei ermittelt im Fall.|police|The police are investigating the case.
609|die|die Chance||Die Chance kommt nicht oft wieder.|chance|The chance does not come often.
610|adj|gewiss||Ich bin mir dessen ganz gewiss.|certain|I am absolutely certain of it.
611|prep|innerhalb||Innerhalb einer Stunde war er da.|within|He was there within an hour.
612|die|die Kunst||Die Kunst des Malens fasziniert mich.|art|The art of painting fascinates me.
613|die|die Lage||Die Lage verschärft sich täglich.|situation, location|The situation worsens daily.
614|der|der Schüler||Der Schüler schrieb einen Aufsatz.|pupil, student (USA)|The student wrote an essay.
615|adj|gesamt||Das gesamte Team arbeitet hart.|whole, entire|The entire team is working hard.
616|der|der Druck||Der Druck auf den Knopf ist zu stark.|pressure, printing|The pressure on the button is too strong.
617|verb|verschwinden, verschwindet, verschwand, ist verschwunden||Die Sonne verschwand hinter den Wolken.|to disappear|The sun disappeared behind the clouds.
618|verb|wohnen, wohnt, wohnte, hat gewohnt||Er wohnt seit Jahren in Berlin.|to live|He has lived in Berlin for years.
619|verb|bewegen, bewegt, bewegte, hat bewegt||Er bewegt den Tisch in die Ecke.|to move|He moves the table into the corner.
620|verb|enthalten, enthält, enthielt, hat enthalten||Die Box enthält alle Werkzeuge.|to contain|The box contains all the tools.
621|verb|aufnehmen, nimmt auf, nahm auf, hat aufgenommen||Er nahm das Gespräch mit dem Handy auf.|to take in, record, include|He recorded the conversation with the phone.
622|die (pl)||die Kosten|Die Kosten stiegen letztes Jahr.|costs, expenses|The costs increased last year.
623|das|das Wintersemester||Das Wintersemester beginnt im Oktober.|winter semester|The winter semester begins in October.
624|verb|merken, merkt, merkte, hat gemerkt||Er merkte, dass etwas nicht stimmte.|to notice, remember|He noticed that something was wrong.
625|adj|fest||Der feste Plan bringt Sicherheit mit.|firm, solid|The firm plan brings security.
626|adj|aktuell||Die aktuelle Situation erfordert Geduld.|current|The current situation requires patience.
627|der|der Begriff||Der Begriff ist schwer zu definieren.|concept, idea, term|The term is hard to define.
628|verb|erleben, erlebt, erlebte, hat erlebt||Er erlebt das Abenteuer seines Lebens.|to experience|He is experiencing the adventure of his life.
629|adj|relativ||Diese Aufgabe war relativ leicht.|relative|This task was relatively easy.
630|prep|laut||Laut der Nachrichten regnet es morgen.|according to|According to the news, it will rain tomorrow.
631|der|der Fuß||Er tritt mit dem Fuß gegen den Ball.|foot|He kicks the ball with his foot.
632|die (pl)||die Daten|Die Daten wurden erfolgreich gesichert.|data|The data was successfully secured.
633|der|der Krieg||Der Krieg forderte viele Opfer.|war|The war claimed many victims.
634|der|der Gast||Der Gast verließ das Haus schweigend.|guest|The guest left the house silently.
635|die|die Aussage||Die Aussage des Zeugen war klar.|statement|The witness's statement was clear.
636|das|das Gesetz||Das Gesetz wurde letztes Jahr geändert.|law|The law was changed last year.
637|verb|planen, plant, plante, hat geplant||Er plant seinen nächsten Urlaub.|to plan|He is planning his next vacation.
638|adj|schwierig||Die Prüfung war extrem schwierig.|difficult, hard, tough|The exam was extremely difficult.
639|das|das Gut||Das Gut wurde sicher transportiert.|estate, good(s)|The goods were transported safely.
640|der|der Kilometer||Er läuft fünf Kilometer am Tag.|kilometer|He runs five kilometers a day.
641|adj|zusätzlich||Zusätzlich brachte er Getränke mit.|additional|Additionally, he brought drinks.
642|verb|vergessen, vergisst, vergaß, hat vergessen||Er vergisst oft seine Schlüssel.|to forget|He often forgets his keys.
643|der|der Gedanke||Ein interessanter Gedanke kam mir.|thought|An interesting thought came to me.
644|verb|besitzen, besitzt, besaß, hat besessen||Er besitzt ein großes Haus am See.|to own, have|He owns a large house by the lake.
645|part|ach||Ach, das habe ich schon vergessen.|oh|Oh, I have already forgotten that.
646|die|die Partei||Die Partei gewann viele Stimmen.|(political) party|The party won many votes.
647|verb|freuen, freut, freute, hat gefreut||Er freut sich über das Geschenk.|to be happy|He is happy about the gift.
648|verb|hängen, hängt, hängte, hat gehängt||Er hängt das Bild an die Wand.|to hang|He hangs the picture on the wall.
649|verb|berichten, berichtet, berichtete, hat berichtet||Der Reporter berichtet live vor Ort.|to report|The reporter is reporting live on site.
650|die|die Zelle||Die Zelle teilte sich schnell.|cell|The cell divided quickly.
651|adj|eng||Die Gassen der Altstadt sind eng.|narrow, close|The alleys of the old town are narrow.
652|die|die Kultur||Die Kultur des Landes fasziniert mich.|culture|The culture of the country fascinates me.
653|der|der Prozess||Der Prozess beginnt nächste Woche.|trial, process|The trial begins next week.
654|der|der Sohn||Der Sohn hilft seinem Vater im Garten.|son|The son helps his father in the garden.
655|der|der Dank||Der Dank gilt allen, die geholfen haben.|gratefulness|The gratitude goes to all who helped.
656|prep|trotz||Trotz des Regens gingen wir spazieren.|in spite of|In spite of the rain, we went for a walk.
657|verb|fordern, fordert, forderte, hat gefordert||Sie fordern eine faire Bezahlung.|to demand, claim|They demand fair pay.
658|verb|studieren, studiert, studierte, hat studiert||Sie studiert Medizin an der Universität.|to study|She is studying medicine at the university.
659|verb|gefallen, gefällt, gefiel, hat gefallen||Der Film hat mir gut gefallen.|to please|The movie pleased me.
660|das|das Mädchen||Das Mädchen singt ein schönes Lied.|girl|The girl is singing a beautiful song.
661|das|das Verhalten||Das Verhalten ändert sich langsam.|behavior|The behavior is changing slowly.
662|verb|verhalten, verhält, verhielt, hat verhalten||Er verhält sich ruhig in der Krise.|to behave, act|He behaves calmly in the crisis.
663|adv|mindestens||Das dauert mindestens eine Stunde.|at least|That will take at least an hour.
664|adv|ziemlich||Es ist ziemlich spät geworden.|quite, fairly, pretty|It has gotten quite late.
665|das|das Interesse||Das Interesse am Thema wächst.|interest|The interest in the topic is growing.
666|verb|unterscheiden, unterscheidet, unterschied, hat unterschieden||Man kann die beiden kaum unterscheiden.|to distinguish|You can hardly distinguish between the two.
667|adv|wobei||Wobei hast du genau Hilfe benötigt?|whereby, at what, whereat|At what exactly did you need help?
668|adv|jeweils||Die Spiele beginnen jeweils um acht.|each, each time|The games start at eight each time.
669|verb|reichen, reicht, reichte, hat gereicht||Das Geld reicht für den Einkauf.|to reach, be enough|The money is enough for the shopping.
670|num|sieben||Er hat sieben Tage die Woche gearbeitet.|seven|He worked seven days a week.
671|adv|zumindest||Zumindest ein Versuch ist es wert.|at least|At least it’s worth a try.
672|verb|schlagen, schlägt, schlug, hat geschlagen||Er schlug den Ball über das Netz.|to hit, beat|He hit the ball over the net.
673|das|das Tier||Im Wald lebt ein seltenes Tier.|animal|A rare animal lives in the forest.
674|adv|jedenfalls||Jedenfalls werde ich den Zug nehmen.|in any case|In any case, I will take the train.
675|part|am||Er war am besten im ganzen Team.|the (+superlative)|He was the best in the whole team.
676|verb|erhöhen, erhöht, erhöhte, hat erhöht||Er erhöht den Preis um 10 Prozent.|to raise, increase|He raises the price by 10 percent.
677|verb|sorgen, sorgt, sorgte, hat gesorgt||Er sorgt gut für seine Familie.|to worry, take care|He takes good care of his family.
678|die|die Erfahrung||Er sammelte viel Erfahrung im Beruf.|experience|He gained a lot of experience in his job.
679|der|der Patient||Der Patient wartet auf den Arzt.|patient|The patient is waiting for the doctor.
680|adv|morgens||Morgens trinke ich immer Kaffee.|in the morning|In the morning, I always drink coffee.
681|der|der Morgen||Der Morgen ist ruhig und kühl.|morning|The morning is calm and cool.
682|der|der Arzt||Der Arzt hat mir eine Spritze gegeben.|physician, doctor|The doctor gave me an injection.
683|verb|geschehen, geschieht, geschah, ist geschehen||Ein Unfall ist hier geschehen.|to happen, occur|An accident happened here.
684|das|Bayern||In Bayern gibt es schöne Seen.|Bavaria|There are beautiful lakes in Bavaria.
685|verb|lösen, löst, löste, hat gelöst||Wie willst du das Problem lösen?|to solve, loosen|How do you want to solve the problem?
686|adv|irgendwie||Irgendwie fand er den Weg nach Hause.|somehow|Somehow, he found his way home.
687|verb|anbieten, bietet an, bot an, hat angeboten||Er bot mir seine Hilfe freundlich an.|to offer|He kindly offered me his help.
688|verb|vorkommen, kommt vor, kam vor, ist vorgekommen||Das kommt öfter vor, als man denkt.|to happen, occur, seem|That happens more often than you think.
689|adj|okay||Wenn du okay bist, gehen wir weiter.|okay|If you’re okay, we’ll move on.
690|das|das Okay||Wir brauchen das Okay vom Chef.|okay|We need the okay from the boss.
691|verb|wünschen, wünscht, wünschte, hat gewünscht||Er wünscht sich ein neues Fahrrad.|to want, wish|He wishes for a new bicycle.
692|verb|interessieren, interessiert, interessierte, hat interessiert||Das Thema interessiert ihn sehr.|to interest|The topic interests him greatly.
693|der|der Unterschied||Der Unterschied zeigt sich deutlich.|difference|The difference is clearly visible.
694|das|das Foto||Er nahm das Foto und zeigte es allen.|photograph|He took the photograph and showed it to everyone.
695|verb|trinken, trinkt, trank, hat getrunken||Ich trinke jeden Morgen Wasser.|to drink|I drink water every morning.
696|pron|derselbe, dieselbe, dasselbe||Er machte wieder denselben Fehler.|the same (one, ones)|He made the same mistake again.
697|verb|wählen, wählt, wählte, hat gewählt||Er wählt immer denselben Kandidaten.|to choose, elect, vote|He always votes for the same candidate.
698|adj|gleichzeitig||Sie lachten gleichzeitig laut.|simultaneous, at the same time|They laughed loudly at the same time.
699|adj|knapp||Der Vorrat an Lebensmitteln ist knapp.|scarce, slim|The food supply is scarce.
700|der|der Mitarbeiter||Der Mitarbeiter ist sehr zuverlässig.|employee, co-worker|The employee is very reliable.
701|verb|übernehmen, übernimmt, übernahm, hat übernommen||Er übernimmt die Leitung des Projekts.|to take over|He takes over the leadership of the project.
702|das|das Glück||Er hat heute wirklich Glück gehabt.|luck, fortune|He really had good luck today.
703|adj|normal||Nach dem Unfall ist alles wieder normal.|normal|After the accident, everything is normal again.
704|adv|leider||Leider konnte er nicht kommen.|unfortunately|Unfortunately, he could not come.
705|die|die Grundlage||Das ist die Grundlage für den Erfolg.|basis|That is the basis for success.
706|num|acht||Er hat acht Stunden gearbeitet.|eight|He worked for eight hours.
707|die|die Leistung||Die Leistung des Teams war stark.|performance|The team's performance was strong.
708|verb|vorliegen, liegt vor, lag vor, hat vorgelegen||Das Dokument liegt bereits vor.|to be available, exist|The document is already available.
709|verb|erfolgen, erfolgt, erfolgte, ist erfolgt||Die Lieferung erfolgt morgen früh.|to take place, occur|The delivery will take place early tomorrow.
710|die|die Beziehung||Ihre Beziehung hält schon viele Jahre.|relation, relationship|Their relationship has lasted many years.
711|verb|zunehmen, nimmt zu, nahm zu, hat zugenommen||Der Verkehr nimmt jeden Morgen stark zu.|to increase|Traffic increases greatly every morning.
712|das|das Molekül||Das Molekül besteht aus mehreren Atomen.|molecule|The molecule consists of several atoms.
713|verb|stattfinden, findet statt, fand statt, hat stattgefunden||Das Konzert findet morgen statt.|to take place, occur|The concert takes place tomorrow.
714|verb|ankommen, kommt an, kam an, ist angekommen||Der Zug kam pünktlich am Bahnhof an.|to arrive|The train arrived at the station on time.
715|das|das Auftreten||Sein Auftreten war überzeugend.|behavior, conduct, occurrence, appearance|His appearance was convincing.
716|verb|auftreten, tritt auf, trat auf, ist aufgetreten||Ein Fehler trat unerwartet auf.|to appear, occur|An error occurred unexpectedly.
717|adv|insbesondere||Er liebt Sport, insbesondere Fußball.|especially|He loves sports, especially football.
718|adj|technisch||Das Problem ist technischer Natur.|technical|The problem is of a technical nature.
719|pron|wann||Wann hast du Zeit für ein Treffen?|when|When do you have time for a meeting?
720|adv|los||Was ist hier los, warum schreien sie?|rid of, going on|What’s going on here, why are they screaming?
721|das|das Bett||Das Bett steht neben dem Fenster.|bed|The bed is next to the window.
722|die|die Höhe||Die Höhe des Turms beeindruckt.|height, altitude|The height of the tower is impressive.
723|adj|wesentlich||Dieser Punkt ist wesentlich für uns.|essential, fundamental|This point is essential for us.
724|adj|englisch||Der englische Text ist schwer.|English|The English text is difficult.
725|das|das Englisch||Englisch ist eine Weltsprache.|English|English is a global language.
726|adv|zuletzt||Zuletzt sah ich ihn in der Stadt.|last, finally, most recently|I last saw him in the city.
727|adj|rein||Das Wasser aus der Quelle ist rein.|pure, clear, clean|The water from the spring is pure.
728|das|das Zimmer||Das Zimmer ist sauber und aufgeräumt.|room|The room is clean and tidy.
729|conj|indem||Er spart Geld, indem er wenig kauft.|while, by|He saves money by buying little.
730|verb|bauen, baut, baute, hat gebaut||Er baute das Haus ganz alleine.|to build|He built the house all by himself.
731|das|das Verhältnis||Das Verhältnis bleibt angespannt.|relationship|The relationship remains tense.
732|adj|selten||Ein seltener Vogel wurde gesichtet.|rare|A rare bird was spotted.
733|die|die Zeitung||Die Zeitung berichtet täglich.|newspaper|The newspaper reports daily.
734|adj|innere (r, s)||Das innere Gleichgewicht ist wichtig.|internal|The internal balance is important.
735|adv|beispielsweise, bspw.||Beispielsweise mag er keine Hunde.|for example, such as|For example, he doesn’t like dogs.
736|die|die Bedingung||Die Bedingung war schwierig zu erfüllen.|condition, stipulation|The condition was difficult to meet.
737|das|das Fenster||Das Fenster blieb die ganze Nacht offen.|window|The window remained open all night.
738|der|der Zug||Der Zug fährt gleich ab, beeil dich!|train|The train is about to leave, hurry up!
739|adv|derzeit||Derzeit ist keine Änderung geplant.|at the moment|At the moment, no change is planned.
740|verb|funktionieren, funktioniert, funktionierte, hat funktioniert||Die Maschine funktionierte einwandfrei.|to function, work|The machine worked perfectly.
741|conj|sowohl||Er ist sowohl Lehrer als auch Autor.|both . . . and|He is both a teacher and an author.
742|verb|schlafen, schläft, schlief, hat geschlafen||Er schlief ruhig die ganze Nacht.|to sleep|He slept peacefully all night.
743|prep|statt||Er nahm den Bus statt des Fahrrads.|instead of|He took the bus instead of the bike.
744|das|das Werk||Das Werk wurde veröffentlicht.|work|The work was published.
745|adj|grün||Das grüne Gras leuchtete in der Sonne.|green|The green grass glowed in the sun.
746|der|der Bürger||Der Bürger forderte mehr Transparenz.|citizen|The citizen demanded more transparency.
747|verb|dienen, dient, diente, hat gedient||Dieses Werkzeug dient zum Schneiden.|to serve|This tool is used for cutting.
748|adj|echt||Er zeigte echten Enthusiasmus.|genuine, real|He showed genuine enthusiasm.
749|die|die Firma||Die Firma stellt Computer her.|firm, company|The company manufactures computers.
750|die|die Wirtschaft||Die Wirtschaft erholt sich langsam.|economy, commerce|The economy is recovering slowly.
751|verb|stecken, steckt, steckte, hat gesteckt||Der Schlüssel steckt im Schloss.|to put, be located|The key is in the lock.
752|verb|hoffen, hofft, hoffte, hat gehofft||Er hofft auf gute Nachrichten.|to hope|He hopes for good news.
753|verb|erfahren, erfährt, erfuhr, hat erfahren||Er erfährt die Neuigkeiten erst später.|to experience, find out|He will find out the news later.
754|das|das Mittel||Das Mittel wirkte sehr schnell.|means|The means worked very quickly.
755|die|die Folie||Die Präsentation nutzte viele Folien.|slide, foil|The presentation used many slides.
756|verb|leisten, leistet, leistete, hat geleistet||Er leistet gute Arbeit im Team.|to perform, achieve, do|He does good work in the team.
757|die|die Tochter||Die Tochter besucht ihre Eltern.|daughter|The daughter visits her parents.
758|der|der Lehrer||Der Lehrer erklärt die Aufgabe.|teacher|The teacher explains the task.
759|verb|passen, passt, passte, hat gepasst||Der Hut passt perfekt zu seinem Anzug.|to fit|The hat fits perfectly with his suit.
760|verb|beobachten, beobachtet, beobachtete, hat beobachtet||Er beobachtet die Vögel im Garten.|to observe, watch|He observes the birds in the garden.
761|die|die Einführung||Die Einführung verlief problemlos.|introduction|The introduction went smoothly.
762|das|das Element||Wasser ist ein wichtiges Element hier.|element|Water is an important element here.
763|verb|klingen, klingt, klang, hat geklungen||Seine Stimme klingt sehr angenehm.|to sound|His voice sounds very pleasant.
764|verb|lieben, liebt, liebte, hat geliebt||Er liebt sie von ganzem Herzen.|to love|He loves her with all his heart.
765|die|die Dame||Die Dame bestellte einen Kaffee.|lady|The lady ordered a coffee.
766|die|die Vorlesung||Die Vorlesung beginnt um zehn Uhr.|lecture|The lecture begins at ten o'clock.
767|verb|zählen, zählt, zählte, hat gezählt||Kannst du bitte das Geld zählen?|to count|Can you please count the money?
768|adv|meist||Meist ist er pünktlich zur Arbeit.|mostly, usually|He is usually punctual to work.
769|adj|dunkel||Es wurde plötzlich dunkel im Raum.|dark|It suddenly became dark in the room.
770|das|Österreich||Österreich ist bekannt für seine Berge.|Austria|Austria is known for its mountains.
771|das|das Modell||Das Modell war sehr erfolgreich.|model|The model was very successful.
772|die|die Bewegung||Die Bewegung wurde immer schneller.|movement, motion|The movement became faster and faster.
773|adv|unten||Unten im Keller lagert der Wein.|down|Down in the cellar, the wine is stored.
774|die|die Mitte||Er stand in der Mitte des Raums.|middle|He stood in the middle of the room.
775|adv|hin||Er ging hin, um es selbst zu sehen.|there|He went there to see it for himself.
776|prep|aufgrund||Aufgrund der Lage blieb er ruhig.|on the basis of, because of|Because of the situation, he remained calm.
777|verb|beschäftigen, beschäftigt, beschäftigte, hat beschäftigt||Er beschäftigt sich mit der Aufgabe.|to employ, be busy, deal with|He is busy with the task.
778|adv|zuvor||Er war schon zuvor in der Stadt.|previously, before|He had been in the city before.
779|adv|miteinander||Sie sprachen lange miteinander.|with each other|They talked with each other for a long time.
780|adv|dennoch||Es ist schwierig, dennoch machbar.|nevertheless|It is difficult, but nevertheless doable.
781|verb|werfen, wirft, warf, hat geworfen||Er warf den Ball über den Zaun.|to throw|He threw the ball over the fence.
782|das|das Angebot||Das Angebot war sehr verlockend.|offer, supply|The offer was very tempting.
783|das|das Projekt||Das Projekt läuft seit einem Jahr.|project|The project has been running for a year.
784|verb|verkaufen, verkauft, verkaufte, hat verkauft||Er verkauft seine alten Bücher online.|to sell|He sells his old books online.
785|verb|reagieren, reagiert, reagierte, hat reagiert||Er reagierte sofort auf den Alarm.|to react|He reacted immediately to the alarm.
786|der|der Autor||Der Autor liest aus seinem Buch.|author|The author reads from his book.
787|verb|kriegen, kriegt, kriegte, hat gekriegt||Er kriegt jeden Tag neue Aufgaben.|to get, receive|He gets new tasks every day.
788|adv|zirka, ca.||Es sind zirka hundert Leute hier.|approximately|There are approximately one hundred people here.
789|die|die EU (Europäische Union)||Die EU hat neue Gesetze erlassen.|EU|The EU has passed new laws.
790|die|die Größe||Die Größe des Raums beeindruckte alle.|size, height|The size of the room impressed everyone.
791|adj|hart||Der Stein ist hart wie Granit.|hard|The stone is hard like granite.
792|adj|offenbar||Das Geheimnis war offenbar bekannt.|apparent|The secret was apparently known.
793|der|der Bruder||Mein Bruder ist älter als ich.|brother|My brother is older than me.
794|verb|beteiligen, beteiligt, beteiligte, hat beteiligt||Er beteiligt sich an der Diskussion.|to participate, contribute|He participates in the discussion.
795|die|die Phase||Die Phase des Umbaus ist fast vorbei.|phase|The phase of reconstruction is almost over.
796|verb|angeben, gibt an, gab an, hat angegeben||Er gab seine Adresse genau an.|to claim, declare, show off|He gave his address precisely.
797|die|die Reise||Die Reise nach Paris war ein Traum.|journey, trip|The trip to Paris was a dream.
798|adj|erfolgreich||Das Projekt war sehr erfolgreich.|successful|The project was very successful.
799|der|der Zustand||Der Zustand des Autos ist gut.|condition, state|The condition of the car is good.
800|adj|wahr||Die Geschichte ist tatsächlich wahr.|true|The story is actually true.
801|die|die Reihe||Die Reihe von Häusern ist neu gebaut.|row, line|The row of houses is newly built.
802|die|die Natur||Die Natur erholt sich im Frühling.|nature|Nature recovers in spring.
803|verb|rechnen, rechnet, rechnete, hat gerechnet||Er rechnet den Preis für das Auto aus.|to calculate, compute|He calculates the price for the car.
804|adj|bloß||Das bloße Versprechen reichte nicht aus.|bare, mere|The mere promise was not enough.
805|adv|bloß||Es war bloß ein Missverständnis.|only, simply, just|It was just a misunderstanding.
806|adj|notwendig||Eine Klärung der Sache ist notwendig.|necessary|A clarification of the matter is necessary.
807|verb|entdecken, entdeckt, entdeckte, hat entdeckt||Er entdeckte eine neue Insel im Meer.|to discover|He discovered a new island in the sea.
808|verb|dauern, dauert, dauerte, hat gedauert||Das Gespräch dauert länger als erwartet.|to last, take (time)|The conversation is taking longer than expected.
809|adj|wirtschaftlich||Die wirtschaftliche Lage ist angespannt.|economic, financial|The economic situation is tense.
810|adj|privat||Das Gespräch bleibt streng privat.|private|The conversation remains strictly private.
811|adj|modern||Das Gebäude wirkt sehr modern.|modern|The building looks very modern.
812|das|das Haar||Das Haar glänzte im Sonnenlicht.|hair|The hair shone in the sunlight.
813|adv|deswegen||Deswegen wollte er nicht mehr bleiben.|therefore, that’s why|That's why he didn't want to stay anymore.
814|verb|spüren, spürt, spürte, hat gespürt||Er spürte die Sonne auf der Haut.|to sense, notice, feel|He felt the sun on his skin.
815|adj|unabhängig||Sie ist finanziell unabhängig.|independent|She is financially independent.
816|adv|morgen||Morgen beginnt ein neues Kapitel.|tomorrow|A new chapter begins tomorrow.
817|der|der Rahmen||Der Rahmen passt gut zum Bild.|frame, framework|The frame fits the picture well.
818|adv|übrigens||Übrigens, hast du die E-Mail bekommen?|by the way|By the way, did you get the email?
819|die|die Einheit||Die Einheit stärkt die Gruppe.|unity, unit, entity|The unity strengthens the group.
820|adv|überall||Überall lagen verstreute Blätter.|everywhere|Scattered leaves were everywhere.
821|verb|feststellen, stellt fest, stellte fest, hat festgestellt||Der Arzt stellte die Diagnose fest.|to establish, detect, determine|The doctor determined the diagnosis.
822|der|der Stoff||Der Stoff liegt weich in der Hand.|material, substance, fabric|The fabric feels soft in the hand.
823|die|die Rede||Die Rede beeindruckt das Publikum.|speech, talk|The speech impresses the audience.
824|verb|unterstützen, unterstützt, unterstützte, hat unterstützt||Er unterstützt seine Familie tatkräftig.|to support|He actively supports his family.
825|adj|chemisch||Die chemische Reaktion verläuft schnell.|chemical|The chemical reaction proceeds quickly.
826|adj|schlimm||Es war nicht so schlimm, wie gedacht.|bad, serious|It wasn't as bad as expected.
827|adj|schlimm||Mit jedem Tag wurde es schlimmer.|worse|It got worse with each day.
828|die|die Schweiz||Die Schweiz ist bekannt für Käse.|Switzerland|Switzerland is known for cheese.
829|adv|irgendwann||Irgendwann wird er es schaffen.|sometime, some day|He will make it someday.
830|das|das Geschäft||Das Geschäft schließt um 18 Uhr.|business, shop|The shop closes at 6 PM.
831|conj|weder||Er trank weder Kaffee noch Tee.|neither . . . nor|He drank neither coffee nor tea.
832|der|der Anteil||Der Anteil am Gewinn ist hoch.|share, portion|The share of the profit is high.
833|die|die Angabe||Die Angabe war in dem Bericht enthalten.|information, statement|The information was included in the report.
834|das|das Team||Das Team arbeitet effizient zusammen.|team|The team works efficiently together.
835|prep|außer||Außer ihm war niemand zu sehen.|except, apart from|No one was seen except him.
836|der|der Sommer||Der Sommer war heiß und trocken.|summer|The summer was hot and dry.
837|das|das Hotel||Das Hotel liegt direkt am Strand.|hotel|The hotel is right on the beach.
838|adj|laut||Das Geräusch in der Stadt war laut.|loud|The noise in the city was loud.
839|num|eins||Eins ist die kleinste natürliche Zahl.|one|One is the smallest natural number.
840|das|das Alter||Das Alter spielte keine Rolle.|age|Age didn't matter.
841|die|die Sicherheit||Die Sicherheit hat oberste Priorität.|security, safety|Safety has top priority.
842|die|die SPD (Sozialdemokratische Partei Deutschlands)||Die SPD plant eine neue Reform.|SPD|The SPD is planning a new reform.
843|adj|niedrig||Der Preis war erstaunlich niedrig.|low, base|The price was astonishingly low.
844|adj|ständig||Die ständige Ablenkung stört die Arbeit.|constant|The constant distraction disturbs the work.
845|der|der Einsatz||Der Einsatz der Polizei war erfolgreich.|insert, use, application, assignment|The deployment of the police was successful.
846|verb|liefern, liefert, lieferte, hat geliefert||Er liefert die Ware pünktlich.|to deliver, supply|He delivers the goods on time.
847|verb|betonen, betont, betonte, hat betont||Er betonte den wichtigen Punkt.|to stress|He stressed the important point.
848|die|die Erde||Die Erde dreht sich um die Sonne.|earth, ground, soil|The earth revolves around the sun.
849|die|die Studie||Die Studie liefert neue Erkenntnisse.|study|The study provides new insights.
850|adv|vorne, vorn||Er stand ganz vorne in der Schlange.|at/to the front|He stood right at the front of the line.
851|adj|rechte (r, s)||Der rechte Schuh passt perfekt.|right|The right shoe fits perfectly.
852|die|die Meinung||Die Meinung der Experten ist geteilt.|opinion|The opinion of the experts is divided.
853|verb|drehen, dreht, drehte, hat gedreht||Er dreht den Schlüssel im Schloss.|to turn|He turns the key in the lock.
854|der|der Künstler||Der Künstler stellte seine Werke aus.|artist|The artist exhibited his works.
855|adj|aktiv||Er bleibt auch im Alter aktiv.|active|He remains active even in old age.
856|der|der Versuch||Der Versuch gelang beim ersten Mal.|attempt, experiment|The experiment succeeded on the first try.
857|adv|somit||Er hat somit den Wettbewerb gewonnen.|consequently, therefore|Consequently, he won the competition.
858|verb|bezahlen, bezahlt, bezahlte, hat bezahlt||Er bezahlt das Essen an der Kasse.|to pay|He pays for the food at the cashier.
859|die|die Eigenschaft||Ehrlichkeit ist eine gute Eigenschaft.|quality|Honesty is a good quality.
860|adv|längst||Das Problem ist längst gelöst.|long since, a long time ago|The problem has long since been solved.
861|die|die Methode||Die Methode erwies sich als effektiv.|method|The method proved to be effective.
862|die|die Ordnung||Die Ordnung muss eingehalten werden.|order, tidiness|Order must be maintained.
863|das|Russland||Russland ist das größte Land der Welt.|Russia|Russia is the largest country in the world.
864|die|die Wahl||Die Wahl bestimmt die Zukunft.|choice, election|The election determines the future.
865|pron|daraus||Daraus kann man nichts Gutes machen.|from it|Nothing good can come from it.
