adashmoq[sound:adashmoq_1.mp3]                         |блуждать, заблудиться
imlo[sound:imlo_1.mp3]                                 |орфография, правописание
imo[sound:imo_1.mp3]                                   |знак, намёк
imorat[sound:imorat_1.mp3]                             |строение, здание, постройка
in[sound:in_1.mp3]                                     |гнездо, нора, берлога
indin(ga)[sound:indin(ga)_1.mp3]                       |послезавтра
ingichka[sound:ingichka_1.mp3]                         |тонкий
ingramoq[sound:ingramoq_1.mp3]                         |стонать
injiq[sound:injiq_1.mp3]                               |капризный
inoqlashmoq[sound:inoqlashmoq_1.mp3]                   |подружиться, сдружиться
inson[sound:inson_1.mp3]                               |человек [cm. odam]
intizom[sound:intizom_1.mp3]                           |дисциплина
intizomli[sound:intizomli_1.mp3]                       |дисциплинированный
intizomsiz[sound:intizomsiz_1.mp3]                     |недисциплинированный
ip[sound:ip_1.mp3]                                     |нить, нитка, шнур, шнурок
ipak[sound:ipak_1.mp3]                                 |шёлк
ipak qurt[sound:ipak_qurt_1.mp3]                       |кокон, коконы
isimoq[sound:isimoq_1.mp3]                             |нагреваться, разогреваться, теплеть
isitma[sound:isitma_1.mp3]                             |жар, высокая температура
isitmalamoq[sound:isitmalamoq_1.mp3]                   |температурить
ism[sound:ism_1.mp3]                                   |имя [см. nom, ot]
issiq[sound:issiq_1.mp3]                               |горячий, тёплый, жаркий, тепло, жарко
issiqxona[sound:issiqxona_1.mp3]                       |теплица
istak[sound:istak_1.mp3]                               |желание, намерение
istamoq[sound:istamoq_1.mp3]                           |желать [см. xohlamoq]
istiqlol[sound:istiqlol_1.mp3]                         |независимость
isqirt[sound:isqirt_1.mp3]                             |неряха
it[sound:it_1.mp3]                                     |собака
itarmoq[sound:itarmoq_1.mp3]                           |толкать, отталкивать, сдвигать, подвигать
ivimoq[sound:ivimoq_1.mp3]                             |намокать, промокать, размокать, промокнуть
ixlos[sound:ixlos_1.mp3]                               |преданность, привязанность
ixtiyor[sound:ixtiyor_1.mp3]                           |воля, желание, намерение
ixcham[sound:ixcham_1.mp3]                             |миниатюрный, ладный, изящный
iyak[sound:iyak_1.mp3]                                 |подбородок
iqlim[sound:iqlim_1.mp3]                               |климат
iz[sound:iz_1.mp3]                                     |след, отпечаток
izlamoq[sound:izlamoq_1.mp3]                           |искать, разыскивать, отыскивать
igʻvo[sound:ig‘vo_1.mp3]                               |провокация, провоцирование
igʻvogar[sound:ig‘vogar_1.mp3]                         |провокатор, смутьян
ish[sound:ish_1.mp3]                                   |труд, работа, дело, занятие
ishbilarmon[sound:ishbilarmon_1.mp3]                   |знаток своего дела
ishlamoq[sound:ishlamoq_1.mp3]                         |работать, поработать
ishonmoq[sound:ishonmoq_1.mp3]                         |верить, поверить, доверять
ishonch[sound:ishonch_1.mp3]                           |вера, доверие, уверенность, надежда
ishonchli[sound:ishonchli_1.mp3]                       |надёжный, доверенный
ishqalamoq[sound:ishqalamoq_1.mp3]                     |тереть, потирать
ishtaha[sound:ishtaha_1.mp3]                           |аппетит
ishyoqmas[sound:ishyoqmas_1.mp3]                       |лентяй
ishchi[sound:ishchi_1.mp3]                             |рабочий
ich[sound:ich_1.mp3]                                   |внутренность, внутренняя часть, нутро
ichak[sound:ichak_1.mp3]                               |кишка, кишки
ichida[sound:ichida_1.mp3]                             |внутри
ichimlik[sound:ichimlik_1.mp3]                         |напиток, питьё
ichkari[sound:ichkari_1.mp3]                           |внутренняя часть; внутрь
ichki[sound:ichki_1.mp3]                               |внутренний
ichmoq[sound:ichmoq_1.mp3]                             |пить, выпить
jadval[sound:jadval_1.mp3]                             |таблица, расписание
jahl[sound:jahl_1.mp3]                                 |злоба, злость
jahldor[sound:jahldor_1.mp3]                           |злой
jahli chiqmoq[sound:jahli_chiqmoq_1.mp3]               |сердиться, злиться
jahon[sound:jahon_1.mp3]                               |мир, вселенная, свет, [см. dunyo, olam]
jajji[sound:jajji_1.mp3]                               |миниатюрный [очеловеке]
jala[sound:jala_1.mp3]                                 |ливень, проливной дождь
jam boʻlmoq[sound:jam_bo‘lmoq_1.mp3]                   |собираться
jamlamoq[sound:jamlamoq_1.mp3]                         |собирать, подытоживать
janjal[sound:janjal_1.mp3]                             |скандал, ссора, спор, конфликт
janjallashmoq[sound:janjallashmoq_1.mp3]               |ссориться, скандалить, спорить, конфликтовать
janjalchi[sound:janjalchi_1.mp3]                       |скандалист, спорщик, забияка
janub[sound:janub_1.mp3]                               |юг
janubiy[sound:janubiy_1.mp3]                           |южный
jar[sound:jar_1.mp3]                                   |овраг, ров
jaranglamoq[sound:jaranglamoq_1.mp3]                   |звенеть, звучать, издавать звон
jarima[sound:jarima_1.mp3]                             |штраф
javdiramoq[sound:javdiramoq_1.mp3]                     |сверкать, блестеть [о глазах]
javob[sound:javob_1.mp3]                               |ответ, разрешение
javob bermoq[sound:javob_bermoq_1.mp3]                 |1. отвечать, ответить; 2. отпускать [отпустить]; 3. разрешать, разрешить [см. ruxsat bermoq]
jazo[sound:jazo_1.mp3]                                 |наказание, кара
jazolamoq[sound:jazolamoq_1.mp3]                       |наказывать, карать
jagʻ[sound:jag‘_1.mp3]                                 |челюсть
jigar[sound:jigar_1.mp3]                               |печень
jilmaymoq[sound:jilmaymoq_1.mp3]                       |улыбаться, улыбнуться
jilgʻa[sound:jilg‘a_1.mp3]                             |ручей, проток
jimjit[sound:jimjit_1.mp3]                             |совершенно тихий
jimlik[sound:jimlik_1.mp3]                             |тишина
jingalak[sound:jingalak_1.mp3]                         |кудри, кудрявый
jindek[sound:jindek_1.mp3]                             |чуть-чуть, чуточку, немножко
jinni[sound:jinni_1.mp3]                               |сумасшедший, безумный
jismoniy[sound:jismoniy_1.mp3]                         |физический
jiyan[sound:jiyan_1.mp3]                               |племянник, племянница
jon[sound:jon_1.mp3]                                   |душа, дух
jonajon[sound:jonajon_1.mp3]                           |любимый, родной
jonivor[sound:jonivor_1.mp3]                           |живое существо, живой организм
josus[sound:josus_1.mp3]                               |шпион, агент
jovdiramoq[sound:jovdiramoq_1.mp3]                     |сверкать, блестеть [о глазах]
joy[sound:joy_1.mp3]                                   |место, местность, жилище, жилье
joylamoq[sound:joylamoq_1.mp3]                         |помещать, размещать, складывать, укладывать
juda[sound:juda_1.mp3]                                 |очень
juma[sound:juma_1.mp3]                                 |пятница
jun[sound:jun_1.mp3]                                   |шерсть, руно
juft[sound:juft_1.mp3]                                 |пара
joʻja[sound:jo‘ja_1.mp3]                               |цыплёнок, птенец
joʻmrak[sound:jo‘mrak_1.mp3]                           |кран, носик
joʻnamoq[sound:jo‘namoq_1.mp3]                         |отправляться, отправиться
joʻnatmoq[sound:jo‘natmoq_1.mp3]                       |отправлять, отправить
joʻxori[sound:joʻxori_1.mp3]                           |кукуруза [см. makkajoʻxori]
kabi[sound:kabi_1.mp3]                                 |наподобие, подобно, вроде
kaft[sound:kaft_1.mp3]                                 |ладонь
kalamush[sound:kalamush_1.mp3]                         |крыса
kalit[sound:kalit_1.mp3]                               |ключ
kalish[sound:kalish_1.mp3]                             |калоши [галоши]
kalta[sound:kalta_1.mp3]                               |короткий [против. uzun]
kaltak[sound:kaltak_1.mp3]                             |палка, дубинка
kaltaklamoq[sound:kaltaklamoq_1.mp3]                   |бить, колотить, избивать палкой
kalxat[sound:kalxat_1.mp3]                             |коршун
kam[sound:kam_1.mp3]                                   |мало, немного [против. koʻp]
kamaymoq[sound:kamaymoq_1.mp3]                         |уменьшаться [уменьшиться], убавляться [убавиться]
kamar[sound:kamar_1.mp3]                               |пояс, кушак
kambagʻal[sound:kambagʻal_1.mp3]                       |бедный [против. boy]
kamon[sound:kamon_1.mp3]                               |лук
kampir[sound:kampir_1.mp3]                             |старуха, старушка
kapalak[sound:kapalak_1.mp3]                           |бабочка
kapgir[sound:kapgir_1.mp3]                             |1. шумовка; 2. маятник
kaptar[sound:kaptar_1.mp3]                             |голубь
kar[sound:kar_1.mp3]                                   |глухой
karam[sound:karam_1.mp3]                               |капуста
karra[sound:karra_1.mp3]                               |раз
kasal[sound:kasal_1.mp3]                               |больной, нездоровый, больной человек
kasal boʻlmoq[sound:kasal_boʻlmoq_1.mp3]               |заболевать [заболеть]
kasallanmoq[sound:kasallanmoq_1.mp3]                   |то же, что kasal bolmoq
kasallik[sound:kasallik_1.mp3]                         |болезнь
kasalxona[sound:kasalxona_1.mp3]                       |больница
kasb[sound:kasb_1.mp3]                                 |профессия, специальность
katak[sound:katak_1.mp3]                               |клетка
katta[sound:katta_1.mp3]                               |большой, огромный [против. kichik]
kavlamoq[sound:kavlamoq_1.mp3]                         |раскапывать
kavshamoq[sound:kavshamoq_1.mp3]                       |жевать
kashta[sound:kashta_1.mp3]                             |вышивка
kekkaymoq[sound:kekkaymoq_1.mp3]                       |см. gerdaymoq
keksa[sound:keksa_1.mp3]                               |старый, пожилой
kelajak[sound:kelajak_1.mp3]                           |будущее, будущность
kelin[sound:kelin_1.mp3]                               |невеста
kelishmovchilik[sound:kelishmovchilik_1.mp3]           |разногласие, отсутствие согласия
kelmoq[sound:kelmoq_1.mp3]                             |приходить, приезжать, являться [против. ketmoq]
keltirmoq[sound:keltirmoq_1.mp3]                       |приносить, привозить
kema[sound:kema_1.mp3]                                 |корабль, судно
kenja[sound:kenja_1.mp3]                               |самый младший ребёнок в семье
kerak[sound:kerak_1.mp3]                               |нужный, нужно, надо, необходимо
kerakli[sound:kerakli_1.mp3]                           |нужный, необходимый [против. keraksiz]
keraksiz[sound:keraksiz_1.mp3]                         |ненужный [против. kerakli]
kesak[sound:kesak_1.mp3]                               |комок, кусок сухой глины
kesmoq[sound:kesmoq_1.mp3]                             |резать, отрезать, рубить [разрубить], срубать [срубить]
ketma-ket[sound:ketma-ket_1.mp3]                       |друг за другом, один за другим
ketmoq[sound:ketmoq_1.mp3]                             |уходить, уезжать, уйти [против. kelmoq]
keyin[sound:keyin_1.mp3]                               |потом, после, через, спустя
keyingi[sound:keyingi_1.mp3]                           |следующий, последующий, последний [см. soʻnggi]
kech[sound:kech_1.mp3]                                 |вечер, поздно
kecha[sound:kecha_1.mp3]                               |1. ночь, вечер; 2. вчера
kechagi[sound:kechagi_1.mp3]                           |вчерашний
kechasi[sound:kechasi_1.mp3]                           |ночью, в ночь
kezak[sound:kezak_1.mp3]                               |комок, кусок сухой глины
kechikmoq[sound:kechikmoq_1.mp3]                       |опаздывать
kechirmoq[sound:kechirmoq_1.mp3]                       |прощать, извинять
kechki[sound:kechki_1.mp3]                             |вечерний, поздний
kechki ovqat[sound:kechki_ovqat_1.mp3]                 |ужин
kechqurun[sound:kechqurun_1.mp3]                       |вечером
keng[sound:keng_1.mp3]                                 |широкий, обширный
kengaymoq[sound:kengaymoq_1.mp3]                       |расширяться, шириться
kim[sound:kim_1.mp3]                                   |кто
kimdir[sound:kimdir_1.mp3]                             |кто-то
kiprik[sound:kiprik_1.mp3]                             |ресница
kir[sound:kir_1.mp3]                                   |грязь [на теле, белье и т. п. ], грязный
kirmoq[sound:kirmoq_1.mp3]                             |входить, заходить, поступать, поступить
kitob[sound:kitob_1.mp3]                               |книга
kiyik[sound:kiyik_1.mp3]                               |олень
kiyim[sound:kiyim_1.mp3]                               |одежда
kiymoq[sound:kiymoq_1.mp3]                             |надевать [на себя]
kishi[sound:kishi_1.mp3]                               |человек
kichik[sound:kichik_1.mp3]                             |маленький, малый
kon[sound:kon_1.mp3]                                   |рудник, шахта
koptok[sound:koptok_1.mp3]                             |мяч [см. toʻp]
korxona[sound:korxona_1.mp3]                           |предприятие
kosa[sound:kosa_1.mp3]                                 |чаша
kovak[sound:kovak_1.mp3]                               |дупло, выемка, углубление [в чём-л. ]
kovlamoq[sound:kovlamoq_1.mp3]                         |копать, рыть, раскапывать, рыться
kul[sound:kul_1.mp3]                                   |зола, пепел
kulgi[sound:kulgi_1.mp3]                               |смех
kulgili[sound:kulgili_1.mp3]                           |смешной, смешно
kulmoq[sound:kulmoq_1.mp3]                             |смеяться, высмеивать
kulrang[sound:kulrang_1.mp3]                           |серый
kumush[sound:kumush_1.mp3]                             |серебро
kun[sound:kun_1.mp3]                                   |1. день; 2. солнце
kungaboqar[sound:kungaboqar_2.mp3]                     |подсолнечник
kunda[sound:kunda_1.mp3]                               |ежедневно, повседневно
kunduz[sound:kunduz_1.mp3]                             |день, дневное время
kunduzgi[sound:kunduzgi_1.mp3]                         |днём
kurash[sound:kurash_1.mp3]                             |борьба
kurashmoq[sound:kurashmoq_1.mp3]                       |вести борьбу, бороться
kurashchi[sound:kurashchi_1.mp3]                       |борец
kurka[sound:kurka_1.mp3]                               |индюк
kurtak[sound:kurtak_1.mp3]                             |почка, зародыш
kutmoq[sound:kutmoq_2.mp3]                             |ждать, ожидать
kutib olmoq[sound:kutib_olmoq_1.mp3]                   |встречать, встретить
kutubxona[sound:kutubxona_2.mp3]                       |библиотека
kuymoq[sound:kuymoq_1.mp3]                             |горевать; обжечься, сгореть
kuz[sound:kuz_1.mp3]                                   |осень
kuzatmoq[sound:kuzatmoq_1.mp3]                         |провожать
kuzgi[sound:kuzgi_1.mp3]                               |осенний
kuch[sound:kuch_1.mp3]                                 |сила, мощь
kuchanmoq[sound:kuchanmoq_1.mp3]                       |тужиться, натуживаться
kuchaymoq[sound:kuchaymoq_1.mp3]                       |усиливаться, крепчать, крепнуть
kuchli[sound:kuchli_2.mp3]                             |сильный, мощный [против. kuchsiz]
kuchsiz[sound:kuchsiz_1.mp3]                           |слабый
kuchuk[sound:kuchuk_1.mp3]                             |собака, собачонка, щенок
koʻk[sound:ko‘k_1.mp3]                                 |1. синий, голубой; 2. небо; 3. зелёный
koʻkarmoq[sound:ko‘karmoq_1.mp3]                       |зеленеть, зазеленеть, расти
koʻkat[sound:koʻkat_1.mp3]                             |зелень, трава [см. oʻt]
koʻklam[sound:koʻklam_1.mp3]                           |весна [см. bahor]
koʻkrak[sound:ko‘krak_1.mp3]                           |грудь
koʻl[sound:ko‘l_1.mp3]                                 |озеро
koʻmir[sound:ko‘mir_1.mp3]                             |уголь
koʻmmoq[sound:koʻmmoq_1.mp3]                           |закапывать [закапаться], закрывать [закрыть], хоронить [похоронить]
koʻnmoq[sound:ko‘nmoq_1.mp3]                           |соглашаться, давать соглашение
koʻp[sound:ko‘p_1.mp3]                                 |много, значительно
koʻpaymoq[sound:ko‘paymoq_1.mp3]                       |множиться, увеличиваться, расти
koʻpik[sound:ko‘pik_1.mp3]                             |пена
koʻpirmoq[sound:ko‘pirmoq_1.mp3]                       |пениться, вспениваться
koʻprik[sound:ko‘prik_1.mp3]                           |мост
koʻpchilik[sound:ko‘pchilik_1.mp3]                     |большинство, масса, люди, народ
koʻr[sound:ko‘r_1.mp3]                                 |слепой
koʻrgazma[sound:ko‘rgazma_1.mp3]                       |выставка
koʻrinish[sound:ko‘rinish_1.mp3]                       |внешний вид, вид
koʻrinmoq[sound:koʻrinmoq_1.mp3]                       |казаться [показаться], представляться
koʻrmoq[sound:koʻrmoq_1.mp3]                           |видеть, рассматривать [рассмотреть]
koʻrsatkich[sound:ko‘rsatkich_1.mp3]                   |указатель, показатель
koʻrsatmoq[sound:koʻrsatmoq_1.mp3]                     |показывать [показать]
koʻtarmoq[sound:ko‘tarmoq_1.mp3]                       |поднимать, поднять
koʻylak[sound:ko‘ylak_1.mp3]                           |платье, рубашка
koʻz[sound:ko‘z_1.mp3]                                 |глаз
koʻzgu[sound:ko‘zgu_1.mp3]                             |зеркало
koʻzoynak[sound:ko‘zoynak_1.mp3]                       |очки
koʻcha[sound:ko‘cha_1.mp3]                             |улица
koʻchat[sound:koʻchat_1.mp3]                           |саженец [саженцы], насаждения, рассада
koʻchmoq[sound:koʻchmoq_2.mp3]                         |1. переезжать, переселяться, переходить; 2. облупливаться [облупиться]
koʻngil[sound:ko‘ngil_1.mp3]                           |душа, сердце
koʻngilchan[sound:ko‘ngilchan_1.mp3]                   |добродушный, мягкосердечный
lab[sound:lab_1.mp3]                                   |1. губа; 2. берег [см. yoqa, bet, chekka]
lagan[sound:lagan_1.mp3]                               |большое блюдо с плоским дном
lapashang[sound:lapashang_1.mp3]                       |растяпа, разиня
laqab[sound:laqab_1.mp3]                               |прозвище, прозвание
laqma[sound:laqma_1.mp3]                               |легковерный, простак, простофиля
latta[sound:latta_1.mp3]                               |тряпка
lavlagi[sound:lavlagi_1.mp3]                           |свёкла
laylak[sound:laylak_1.mp3]                             |аист
lekin[sound:lekin_1.mp3]                               |но, однако, зато
likop(cha)[sound:likop(cha)_1.mp3]                     |тарелка
lola[sound:lola_1.mp3]                                 |тюльпан
lolaqizgʻaldoq[sound:lolaqizg‘aldoq_1.mp3]             |полевоймак
loy[sound:loy_2.mp3]                                   |грязь, жидкая глина
loyiq[sound:loyiq_1.mp3]                               |достойный, заслуживающий, подходящий
loyqa[sound:loyqa_1.mp3]                               |муть; мутный
lochin[sound:lochin_1.mp3]                             |сокол
lugʻat[sound:lug‘at_1.mp3]                             |словарь
loʻppi[sound:lo‘ppi_1.mp3]                             |пухлый, пышный
madhiya[sound:madhiya_1.mp3]                           |гимн
mahmadona[sound:mahmadona_1.mp3]                       |всезнайка, болтун
mahsulot[sound:mahsulot_1.mp3]                         |продукция, товар
majlis[sound:majlis_1.mp3]                             |собрание, заседание
makkajoʻxori[sound:makkajo‘xori_1.mp3]                 |кукуруза
maktab[sound:maktab_1.mp3]                             |школа
mamnun[sound:mamnun_1.mp3]                             |довольный
mana[sound:mana_1.mp3]                                 |вот
manzara[sound:manzara_1.mp3]                           |вид, пейзаж
manzil[sound:manzil_1.mp3]                             |адрес
maqol[sound:maqol_1.mp3]                               |пословица
maqsad[sound:maqsad_1.mp3]                             |цель
maqtamoq[sound:maqtamoq_1.mp3]                         |хвалить, восхвалять
maqtanmoq[sound:maqtanmoq_1.mp3]                       |хвалиться, хвастаться
maqtanchoq[sound:maqtanchoq_1.mp3]                     |хвастун
markaz[sound:markaz_1.mp3]                             |центр, столица
marta[sound:marta_1.mp3]                               |раз
masalan[sound:masalan_2.mp3]                           |например, к примеру
masofa[sound:masofa_1.mp3]                             |расстояние
masxara[sound:masxara_1.mp3]                           |насмешка, издевка
masxaraboz[sound:masxaraboz_1.mp3]                     |клоун, шутник
masxara qilmoq[sound:masxara_qilmoq_1.mp3]             |насмехаться, издеваться
mayda[sound:mayda_1.mp3]                               |мелкий
maydalamoq[sound:maydalamoq_1.mp3]                     |мельчить, дробить
maydon[sound:maydon_1.mp3]                             |площадь, поле
maydoncha[sound:maydoncha_1.mp3]                       |площадка
mayin[sound:mayin_1.mp3]                               |нежный, мягкий
mayiz[sound:mayiz_1.mp3]                               |изюм, кишмиш
mayli[sound:mayli_1.mp3]                               |ладно, хорошо
maymun[sound:maymun_1.mp3]                             |обезьяна
maysa[sound:maysa_1.mp3]                               |первая зелень, нежная мягкая травка
maza[sound:maza_1.mp3]                                 |1. вкус; 2. приятно, хорошо
mazali[sound:mazali_1.mp3]                             |вкусный
maza qilmoq[sound:maza_qilmoq_1.mp3]                   |наслаждаться
mashhur[sound:mashhur_1.mp3]                           |знаменитый
maʼlum[sound:ma’lum_1.mp3]                             |известный
maʼno[sound:ma’no_1.mp3]                               |значение, смысл
mehmon[sound:mehmon_1.mp3]                             |гость
mehmon qilmoq[sound:mehmon_qilmoq_1.mp3]               |угощать
mehmonxona[sound:mehmonxona_1.mp3]                     |гостиная, гостиница
mehnat[sound:mehnat_1.mp3]                             |труд
mehnat qilmoq[sound:mehnat_qilmoq_1.mp3]               |трудиться
men[sound:men_1.mp3]                                   |я
meros[sound:meros_1.mp3]                               |наследие
merosxoʻr[sound:merosxo‘r_1.mp3]                       |наследник
meva[sound:meva_1.mp3]                                 |фрукт, плод
mevali[sound:mevali_1.mp3]                             |фруктовый, плодовый
millat[sound:millat_1.mp3]                             |нация, национальность
milliy[sound:milliy_1.mp3]                             |национальный
miltiq[sound:miltiq_1.mp3]                             |винтовка
misol[sound:misol_1.mp3]                               |пример
mitti[sound:mitti_1.mp3]                               |очень маленький, крохотный
mix[sound:mix_1.mp3]                                   |гвоздь
miya[sound:miya_1.mp3]                                 |мозг, ум
ming[sound:ming_1.mp3]                                 |тысяча
mingʻirlamoq[sound:ming‘irlamoq_1.mp3]                 |бормотать, ворчать
mol[sound:mol_1.mp3]                                   |1. скот; 2. имущество, богатство; 3. товар
momaqaldiroq[sound:momaqaldiroq_1.mp3]                 |гроза
motam[sound:motam_1.mp3]                               |траур
moy[sound:moy_1.mp3]                                   |масло, сало, жир, мазь, смазка
mozor[sound:mozor_1.mp3]                               |кладбище [см. qabriston], могила [см. qabr]
muallim[sound:muallim_1.mp3]                           |учитель, преподаватель, педагог [см. oʻqituvchi]
muddat[sound:muddat_1.mp3]                             |срок
mudramoq[sound:mudramoq_1.mp3]                         |дремать
muhr[sound:muhr_1.mp3]                                 |печать
mukofot[sound:mukofot_1.mp3]                           |награда, премия
mukofotlamoq[sound:mukofotlamoq_1.mp3]                 |награждать, премировать
mumkin[sound:mumkin_1.mp3]                             |возможный, вероятный, возможно, вероятно
muqova[sound:muqova_1.mp3]                             |переплёт, обложка
muqovalamoq[sound:muqovalamoq_1.mp3]                   |переплетать
musobaqa[sound:musobaqa_1.mp3]                         |соревнование, состязание
musobaqalashmoq[sound:musobaqalashmoq_1.mp3]           |соревноваться, состязаться
mustaqil[sound:mustaqil_1.mp3]                         |самостоятельный; самостоятельно
mustaqillik[sound:mustaqillik_2.mp3]                   |независимость
muz[sound:muz_1.mp3]                                   |лёд [см. yax]
muzlamoq[sound:muzlamoq_1.mp3]                         |замерзать, замёрзнуть, сильно озябнуть, леденеть
muzqaymoq[sound:muzqaymoq_1.mp3]                       |мороженое
mugʻambir[sound:mug‘ambir_1.mp3]                       |лукавый, хитрый
musht[sound:musht_1.mp3]                               |кулак
mushtlamoq[sound:mushtlamoq_1.mp3]                     |бить, побить кулаком
mushtum[sound:mushtum_1.mp3]                           |кулак
mushuk[sound:mushuk_1.mp3]                             |кошка, кот
moʻl[sound:mo‘l_1.mp3]                                 |много, обильно
moʻralamoq[sound:mo‘ralamoq_1.mp3]                     |подсматривать, подглядывать
moʻylov[sound:mo‘ylov_1.mp3]                           |усы
nabira[sound:nabira_1.mp3]                             |внук, внучка
nafaqa[sound:nafaqa_1.mp3]                             |пенсия
nafaqaxoʻr[sound:nafaqaxo‘r_1.mp3]                     |пенсионер
nafas[sound:nafas_1.mp3]                               |дыхание, вздох
nafasolmoq[sound:nafasolmoq_1.mp3]                     |дышать
nafs[sound:nafs_1.mp3]                                 |желание [есть]
nam[sound:nam_1.mp3]                                   |влага, сырость
namlamoq[sound:namlamoq_1.mp3]                         |увлажнять
naqarot[sound:naqarot_1.mp3]                           |припев
naqd[sound:naqd_1.mp3]                                 |наличный
nari[sound:nari_1.mp3]                                 |туда, по той стороне, дальше
narsa[sound:narsa_1.mp3]                               |вещь, предмет
narvon[sound:narvon_1.mp3]                             |приставная лестница
narx[sound:narx_1.mp3]                                 |цена, стоимость
navbat[sound:navbat_1.mp3]                             |очередь, черёд
navbatchi[sound:navbatchi_1.mp3]                       |дежурный
navbatchilik[sound:navbatchilik_1.mp3]                 |дежурство
navroʻz[sound:navroʻz_1.mp3]                           |1. весна; 2. Навруз [праздник]
nay[sound:nay_1.mp3]                                   |най, флейта, свирель
nayza[sound:nayza_1.mp3]                               |пика, копьё, штык
naʼmatak[sound:na’matak_1.mp3]                         |шиповник
nega[sound:nega_1.mp3]                                 |почему, зачем
necha[sound:necha_1.mp3]                               |сколько
nechanchi[sound:nechanchi_1.mp3]                       |который [по счёту], какой [по порядку]
nechta[sound:nechta_1.mp3]                             |сколько
nihol[sound:nihol_1.mp3]                               |молодой росток
nihoyat[sound:nihoyat_1.mp3]                           |наконец, в конце концов
nima[sound:nima_1.mp3]                                 |что
nimadir[sound:nimadir_1.mp3]                           |что-то
nimjon[sound:nimjon_1.mp3]                             |слабый, хилый
niqob[sound:niqob_1.mp3]                               |маска
niyat[sound:niyat_1.mp3]                               |намерение, цель [см. maqsad]
niyat qilmoq[sound:niyat_qilmoq_1.mp3]                 |намереваться
nishonlamoq[sound:nishonlamoq_1.mp3]                   |отличать
nogiron[sound:nogiron_1.mp3]                           |инвалид; ослабевший
noiloj[sound:noiloj_1.mp3]                             |невольно, поневоле, безвыходность
nok[sound:nok_1.mp3]                                   |груша
nom[sound:nom_1.mp3]                                   |имя, название [см. ism, ot]
nomli[sound:nomli_1.mp3]                               |именуемый, под именем, под названием
nom qoʻymoq[sound:nom_qo‘ymoq_1.mp3]                   |давать имя, давать название; называть
non[sound:non_1.mp3]                                   |лепёшка, хлеб
nonushta[sound:nonushta_1.mp3]                         |завтрак
nonushta qilmoq[sound:nonushta_qilmoq_1.mp3]           |завтракать
nordon[sound:nordon_1.mp3]                             |кислый
norozi[sound:norozi_1.mp3]                             |недовольный, несогласный
notanish[sound:notanish_1.mp3]                         |незнакомый
notinch[sound:notinch_1.mp3]                           |неспокойный, беспокойный
notinchlanmoq[sound:notinchlanmoq_1.mp3]               |беспокоиться
notoʻgʻri[sound:noto‘g‘ri_1.mp3]                       |неправильный, неверный
novvoy[sound:novvoy_1.mp3]                             |пекарь
novcha[sound:novcha_1.mp3]                             |высокий, рослый
nozik[sound:nozik_1.mp3]                               |нежный, тонкий, изящный, хрупкий, ломкий
nogʻora[sound:nog‘ora_1.mp3]                           |литавры
nuqta[sound:nuqta_1.mp3]                               |точка
nur[sound:nur_1.mp3]                                   |луч
nurli[sound:nurli_1.mp3]                               |лучистый, светлый
nusxa[sound:nusxa_1.mp3]                               |образец
nutq[sound:nutq_1.mp3]                                 |речь
noʻxat[sound:no‘xat_1.mp3]                             |нут
ob-havo[sound:ob-havo_1.mp3]                           |погода
odam[sound:odam_1.mp3]                                 |человек
odat[sound:odat_1.mp3]                                 |привычка, обычай
odatlanmoq[sound:odatlanmoq_1.mp3]                     |привыкать, приучаться
oddiy[sound:oddiy_1.mp3]                               |обыкновенный, обычный, простой
odob[sound:odob_1.mp3]                                 |воспитанность, вежливость, приличие, учтивость
odobli[sound:odobli_1.mp3]                             |воспитанный, вежливый, учтивый
odobsiz[sound:odobsiz_1.mp3]                           |невоспитанный, невежливый, неучтивый
oftob[sound:oftob_1.mp3]                               |солнце [см. quyosh]
oila[sound:oila_1.mp3]                                 |семья
oilaviy[sound:oilaviy_1.mp3]                           |относящийся к семье, семейный
oilali[sound:oilali_1.mp3]                             |имеющий семью, семейный
ola[sound:ola_1.mp3]                                   |пёстрый, рябой, пегий
olam[sound:olam_1.mp3]                                 |мир [см. dunyo, jahon]
oldin[sound:oldin_1.mp3]                               |сначала, сперва, прежде
oldingi[sound:oldingi_1.mp3]                           |1. передний ; 2. прежний, прошлый
oldinda[sound:oldinda_1.mp3]                           |впереди
olib bormoq[sound:olib_bormoq_1.mp3]                   |нести, относить
olib kelmoq[sound:olib_kelmoq_2.mp3]                   |приносить, привозить
olifta[sound:olifta_1.mp3]                             |щёголь, франт
olim[sound:olim_1.mp3]                                 |учёный
olis[sound:olis_1.mp3]                                 |далёкий, дальний [см. uzoq]
olishmoq[sound:olishmoq_1.mp3]                         |бороться, драться
olma[sound:olma_1.mp3]                                 |яблоко
olmaxon[sound:olmaxon_1.mp3]                           |белка
olmoq[sound:olmoq_1.mp3]                               |брать, взять, принимать
olov[sound:olov_1.mp3]                                 |огонь
olti[sound:olti_1.mp3]                                 |шесть
oltin[sound:oltin_1.mp3]                               |золото
oltmish[sound:oltmish_1.mp3]                           |шестьдесят
olxoʻri[sound:olxo‘ri_1.mp3]                           |слива
olgʻa[sound:olg‘a_1.mp3]                               |вперёд
olcha[sound:olcha_1.mp3]                               |вишня
ombur[sound:ombur_1.mp3]                               |щипцы
ona[sound:ona_1.mp3]                                   |мать
onajon[sound:onajon_1.mp3]                             |мама, мамочка
