|word_deu|part_of_speech_deu|word_eng|sentence_deu|sentence_eng|sentence_lemmatized_deu
14423.0|der Ingwer|noun|the ginger|Der Ingwer im Tee machte die kalten Winterabende erträglicher.|The ginger in the tea made the cold winter evenings more bearable.|der;Ingwer;in;Tee;machen;der;kalt;Winterabend;erträglich
14462.0|zimmern|verb|to carpentry|Der Tischler wird das neue Möbelstück zimmern und wird dafür gelobt.|The carpenter will carpentry the new piece of furniture and will be praised.|der;Tischler;werden;der;neu;Möbelstück;zimmern;und;werden;dafür;loben
14467.0|der Sarg|noun|the coffin|Der Sarg wurde mit vielen Blumen für die Trauerfeier geschmückt.|The coffin was decorated with many flowers for the funeral.|der;Sarg;werden;mit;vieler;Blume;für;der;Trauerfeier;schmücken
14483.0|der Wichser|noun|the jerk|Der Wichser hat meine Meinung niemals respektiert, was unfair war.|The jerk never respected my opinion, which was unfair.|der;Wichser;haben;mein;Meinung;niemals;respektieren;wer;unfair;sein
14485.0|der Schopf|noun|the mane|Der Hengst hatte einen prächtigen Schopf, der im Wind wehte.|The stallion had a magnificent mane that flowed in the wind.|der;Hengst;haben;ein;prächtig;Schopf;der;in;Wind;wehen
14572.0|die Lügengeschichte|noun|the tall tale|Die Lügengeschichte über den Drachen sorgte für großen Spaß im Lager.|The tall tale about the dragon caused great fun at the camp.|der;Lügengeschichte;über;der;Drache;sorgen;für;groß;Spaß;in;Lager
14592.0|der Marquis|noun|the marquis|Der Marquis hielt eine elegante Rede bei der Gala und bezauberte alle.|The marquis delivered an elegant speech at the gala and captivated everyone.|der;Marquis;halten;ein;elegant;Rede;bei;der;Gala;und;bezauberen;alle
14602.0|labern|verb|to jabber|Die Kinder labern während der Autofahrt endlos über ihren Tag.|The children jabber endlessly about their day during the car ride.|der;Kind;labern;während;der;Autofahrt;endlos;über;ihr;Tag
14636.0|die Schwachstelle|noun|vulnerability|Der Hacker entdeckte eine Schwachstelle im Sicherheitssystem.|The hacker discovered a vulnerability in the security system.|der;Hacker;entdecken;ein;Schwachstelle;in;Sicherheitssystem
14646.0|der Schädel|noun|the skull|Der Schädel eines Dinosauriers war in dem Museum ausgestellt.|The skull of a dinosaur was displayed in the museum.|der;Schädel;ein;Dinosaurier;sein;in;der;Museum;ausstellen
14799.0|klagen|verb|to complain|Die Bürger klagen über die steigenden Preise und fordern Lösungen.|The citizens complain about the rising prices and demand solutions.|der;Bürger;klagen;über;der;steigend;Preis;und;fordern;Lösung
14807.0|sachgrundlos|adjective|without reason|Er wurde sachgrundlos entlassen, was die Mitarbeiter beunruhigte.|He was dismissed without reason, which unsettled the employees.|er;werden;sachgrundlos;entlassen;wer;der;Mitarbeiter;beunruhigen
14808.0|befristen|verb|to limit|Die Firma beschloss, die Verträge zu befristen, um flexibler zu sein.|The company decided to limit the contracts to be more flexible.|der;Firma;beschloss;der;Vertrag;zu;befristen;um;flexibel;zu;sein
14814.0|läuten|verb|to ring|Die Glocken werden zur Feier läuten und die Nachbarn zusammenrufen.|The bells will ring for the celebration and gather the neighbors.|der;Glocke;werden;zu;Feier;läuten;und;der;Nachbar;zusammenrufen
14825.0|der Standort|noun|the location|Der Standort der neuen Schule wurde sorgfältig nach Bedarf ausgewählt.|The location of the new school was carefully chosen based on needs.|der;Standort;der;neu;Schule;werden;sorgfältig;nach;Bedarf;ausgewählt
14829.0|tracken|verb|to track|Wir können unsere Lieferungen online tracken und deren Status prüfen.|We can track our deliveries online and check their status.|wir;können;unser;Lieferung;online;tracken;und;der;Status;prüfen
14833.0|das Arbeitsrecht|noun|the labor law|Das Arbeitsrecht schützt die Rechte der Arbeitnehmer umfassend.|The labor law comprehensively protects the rights of employees.|der;Arbeitsrecht;schützen;der;Recht;der;Arbeitnehmer;umfassend
14862.0|Trebegänger|noun|the through walker|Der Trebegänger nutzte den schmalen Pfad, um die Strecke zu verkürzen.|The through walker used the narrow path to shorten the distance.|der;Trebegänger;nutzen;der;schmal;Pfad;um;der;Strecke;zu;verkürzen
14934.0|die Speise|noun|the dish|Die Speise war so köstlich, dass alle Gäste um Nachschlag baten.|The dish was so delicious that all the guests requested seconds.|der;Speise;sein;so;köstlich;dass;aller;Gast;um;Nachschlag;baten
14936.0|überhöht|adjective|overstated|Der überhöhte Preis des Autos schreckte viele potenzielle Käufer ab.|The overstated price of the car deterred many potential buyers.|der;überhöht;Preis;der;Auto;abschrecken;vieler;potenziell;Käufer;ab
14939.0|zurückweisen|verb|to reject|Die Jury entschied sich, das unpassende Konzept zurückzuweisen.|The jury decided to reject the inappropriate concept.|der;Jury;entscheiden;sich;der;unpassend;Konzept;zurückweisen
14961.0|die Schweinehachse|noun|the pig's knuckle|Die Schweinehachse wurde knusprig gebraten und schmeckte hervorragend.|The pig's knuckle was roasted crispy and tasted excellent.|der;Schweinehachse;werden;knusprig;gebraten;und;schmecken;hervorragend
14999.0|schaben|verb|to scrape|Er musste den alten Lack mit einem Schaber gründlich schaben.|He had to scrape off the old paint thoroughly with a scraper.|er;musste;der;alt;Lack;mit;ein;Schaber;gründlich;schaben
15047.0|das Plätzchen|noun|the cookie|Das frisch gebackene Plätzchen duftet verführerisch und zieht alle an.|The freshly baked cookie smells enticing and draws everyone in.|der;frisch;gebacken;Plätzchen;duften;verführerisch;und;anziehen;alle;an
15082.0|schick|adjective|stylish|Die schicke Garderobe des Models zog die Blicke aller auf sich.|The stylish wardrobe of the model attracted everyone's attention.|der;schick;Garderobe;der;Model;ziehen;der;Blick;alle;auf;sich
15084.0|aufsetzen|verb|to put on|Er wird seine schicke Mütze aufsetzen, sobald er das Haus verlässt.|He will put on his stylish cap as soon as he leaves the house.|er;werden;sein;schick;Mütze;aufsetzen;sobald;er;der;Haus;verlässen
15099.0|der Kick|noun|the kick|Der Kick beim Skateboarden bringt mir ein Gefühl von Freiheit zurück.|The kick while skateboarding brings me a sense of freedom again.|der;Kick;bei;skateboarden;zurückbringen;mir;ein;Gefühl;von;Freiheit;zurück
15134.0|der Ausblick|noun|the view|Der Ausblick von der Bergspitze auf das Tal war einfach atemberaubend.|The view from the mountain peak over the valley was simply breathtaking.|der;Ausblick;von;der;Bergspitze;auf;der;Tal;sein;einfach;atemberaubend
15147.0|Hook|noun|the hook|Der Angler hat einen speziellen Hook zum Fischfang ausgesucht.|The fisherman selected a special hook for catching fish.|der;Angler;haben;ein;speziell;Hook;zu;Fischfang;aussuchen
15151.0|austicken|verb|to flip out|Wenn er die Wahrheit erfährt, wird er vermutlich austicken vor Wut.|When he learns the truth, he will likely flip out in rage.|wenn;er;der;Wahrheit;erfahren;werden;er;vermutlich;austicken;vor;Wut
15155.0|krass|adjective|awesome|Die krass gestaltete Graffiti-Wand verzauberte die Passanten.|The awesome graffiti wall enchanted the passersby.|der;krass;gestaltet;Graffiti-Wand;verzauberen;der;Passant
15171.0|der Hausmann|noun|the househusband|Der Hausmann kümmert sich liebevoll um die Kinder und den Haushalt.|The househusband lovingly takes care of the children and the household.|der;Hausmann;kümmern;sich;liebevoll;um;der;Kind;und;der;Haushalt
15261.0|spitz|adjective|sharp|Die spitz zulaufenden Messer erforderten große Vorsicht im Kochraum.|The sharp knives required great caution in the kitchen.|der;spitz;zulaufend;Messer;erfordern;groß;Vorsicht;in;Kochraum
15270.0|bekämpfen|verb|to fight|Umweltaktivisten arbeiten hart, um die Verschmutzung zu bekämpfen.|Environmental activists work hard to fight against pollution.|Umweltaktivist;arbeiten;hart;um;der;Verschmutzung;zu;bekämpfen
15295.0|loslegen|verb|to start|Lass uns endlich loslegen und die Projektarbeit in Angriff nehmen.|Let's finally start and tackle the project work.|Lass;sich;endlich;loslegen;und;der;Projektarbeit;in;Angriff;nehmen
15311.0|einreden|verb|to persuade|Lass mich nicht einreden, dass du nicht das Beste verdienst.|Don't let me persuade you that you don't deserve the best.|Lass;mich;nicht;einreden;dass;du;nicht;der;gute;verdienen
15314.0|bechern|verb|to toast|Wir bechern auf den ersten Wahlsieg der neuen Partei in der Stadt.|We toast to the first electoral victory of the new party in the city.|wir;bechern;auf;der;erster;Wahlsieg;der;neu;Partei;in;der;Stadt
15348.0|anschielen|verb|to squint|Sie musste anschielen, um den entfernten Text auf dem Schild zu lesen.|She had to squint to read the distant text on the sign.|sie;musste;anschielen;um;der;entfernt;Text;auf;der;Schild;zu;lesen
15429.0|das Web|noun|the web|Das Web bietet unbegrenzte Informationen zu nahezu jedem Thema.|The web offers unlimited information on almost any topic.|der;Web;bieten;unbegrenzt;Information;zu;nahezu;jeder;Thema
15608.0|der Lebenslauf|noun|the resume|Ein gut geschriebener Lebenslauf kann entscheidend für den Job sein.|A well-written resume can be crucial for getting the job.|ein;gut;geschrieben;Lebenslauf;können;entscheidend;für;der;Job;sein
15621.0|erscheinen|verb|to appear|Die Sonne wird bald am Horizont erscheinen und den Tag erhellen.|The sun will soon appear on the horizon and brighten the day.|der;Sonne;werden;bald;an;Horizont;erscheinen;und;der;Tag;erhellen
15711.0|das Gästebett|noun|the guest bed|Das Gästebett im Schlafzimmer ist bereit für den ankommenden Besuch.|The guest bed in the bedroom is ready for the arriving guests.|der;Gästebett;in;Schlafzimmer;sein;bereit;für;der;ankommend;Besuch
15713.0|der Kaffeefleck|noun|the coffee stain|Der Kaffeefleck auf dem Hemd ließ den ganzen Look unordentlich wirken.|The coffee stain on the shirt made the whole look appear messy.|der;Kaffeefleck;auf;der;Hemd;lassen;der;ganz;Look;unordentlich;wirken
15743.0|aufknacken|verb|to crack open|Wir müssen die Nüsse aufknacken, um an die leckeren Kerne zu kommen.|We need to crack open the nuts to get to the tasty kernels.|wir;müssen;der;Nüsse;aufknacken;um;an;der;lecker;Kern;zu;kommen
15805.0|verhauen|verb|to beat up|Die Jugendlichen wurden für das Verhauen des Rivalen bestraft.|The youths were punished for beating up the rival.|der;jugendliche;werden;für;der;verhauen;der;Rivale;bestrafen
15816.0|davonkommen|verb|to get away|Trotz der Schwierigkeiten schaffte er es, rechtzeitig davonzukommen.|Despite the difficulties, he managed to get away on time.|trotz;der;Schwierigkeit;schaffen;er;es;rechtzeitig;davonkommen
15824.0|der Besoffener|noun|the drunk|Der Besoffener torkelte über die Straße und belästigte Passanten.|The drunk stumbled across the street and harassed passersby.|der;Besoffener;torkeln;über;der;Straße;und;belästigen;Passant
15905.0|taugen|verb|to be good for|Die alten Werkzeuge taugen nicht mehr für die heutigen Anforderungen.|The old tools are no longer good for today's requirements.|der;alt;Werkzeug;taugen;nicht;mehr;für;der;heutig;Anforderung
15916.0|trostlos|adjective|dreary|Der trostlose Himmel verspricht keinen Sonnenschein für den Tag.|The dreary sky promises no sunshine for the day.|der;trostlos;Himmel;versprechen;kein;Sonnenschein;für;der;Tag
15924.0|handeln|verb|to act|Wir müssen schnell handeln, um das Projekt fristgerecht abzuschließen.|We need to act quickly to finish the project on time.|wir;müssen;schnell;handeln;um;der;Projekt;fristgerecht;abschließen
15951.0|kippen|verb|to tip over|Sei vorsichtig, wenn du das Glas kippst, sonst läuft es über.|Be careful when you tip over the glass, or it will spill.|Sei;vorsichtig;wenn;du;der;Glas;kippen;sonst;überlaufen;es;über
15956.0|die Zuversicht|noun|the confidence|Die Zuversicht der Teammitglieder wuchs mit jedem gewonnenen Spiel.|The confidence of the team members grew with each game won.|der;Zuversicht;der;Teammitglied;wachsen;mit;jeder;gewonnen;Spiel
16002.0|versagen|verb|to fail|Das System könnte versagen, wenn wir keinen Backup-Plan haben.|The system might fail if we don’t have a backup plan.|der;System;können;versagen;wenn;wir;kein;Backup-Plan;haben
16022.0|anfühlen|verb|to feel|Die Seide fühlt sich wunderbar weich und luxuriös auf der Haut an.|The silk feels wonderfully soft and luxurious on the skin.|der;Seide;anfühlen;sich;wunderbar;weich;und;luxuriös;auf;der;Haut;an
16095.0|aufmuntern|verb|to cheer up|Sie versuchte, ihre Freundin aufmuntern, als sie traurig war.|She tried to cheer up her friend when she was sad.|sie;versuchen;ihr;Freundin;aufmuntern;als;sie;traurig;sein
16284.0|reinhören|verb|to listen in|Er wollte in die neue CD reinhören, um einen Eindruck zu bekommen.|He wanted to listen in on the new CD to get an impression.|er;wollen;in;der;neu;CD;reinhören;um;ein;Eindruck;zu;bekommen
16293.0|der Ekel|noun|the disgust|Ein Ekel überkam ihn, als er den verdorbenen Geruch wahrnahm.|Disgust overcame him when he noticed the rotten smell.|ein;Ekel;überkommen;ihn;als;er;der;verdorben;Geruch;wahrnehmen
16315.0|spucken|verb|to spit|Er schloss den Mund und begann nicht mehr zu spucken, als sie kamen.|He closed his mouth and stopped spitting when they arrived.|er;schloss;der;Mund;und;beginnen;nicht;mehr;zu;spucken;als;sie;kommen
16322.0|das Alpha|noun|the alpha|Der Alpha des Rudels zeigt immer Stärke und erreicht seinen Platz.|The alpha of the pack always shows strength and earns his place.|der;Alpha;der;Rudel;zeigen;immer;Stärke;und;erreichen;sein;Platz
16499.0|der Akku|noun|the battery|Der Akku des Handys hielt überraschend lange während des Ausflugs.|The battery of the phone lasted surprisingly long during the outing.|der;Akku;der;Handy;halten;überraschend;lange;während;der;Ausflug
16555.0|geteert|adjective|tarred|Die Straße war nach dem Umbau mit neuem geteerten Asphalt bedeckt.|The road was covered with new tarred asphalt after the renovation.|der;Straße;sein;nach;der;Umbau;mit;neu;geteert;Asphalt;bedecken
16563.0|schweifen|verb|to roam|Die Gedanken schweifen oft während langweiligen Vorlesungen.|Thoughts often roam during boring lectures.|der;Gedanke;schweifen;oft;während;langweilig;Vorlesung
16590.0|einsam|adjective|lonely|Die einsame Hütte am Waldrand strahlte eine besondere Ruhe aus.|The lonely cabin at the edge of the forest radiated a special calmness.|der;einsam;Hütte;an;Waldrand;ausstrahlen;ein;besonderer;Ruhe;aus
16665.0|die Kettensäge|noun|the chainsaw|Die Kettensäge schnitt durch den dicken Baumstamm wie Butter.|The chainsaw cut through the thick tree trunk like butter.|der;Kettensäge;schnitt;durch;der;dick;Baumstamm;wie;Butter
16680.0|sehnen|verb|to yearn|Die Pianistin sehnte sich danach, auf der großen Bühne zu spielen.|The pianist yearned to play on the big stage.|der;Pianistin;sehnen;sich;danach;auf;der;groß;Bühne;zu;spielen
16727.0|das Geröll|noun|the rubble|Nach dem Sturm lag das Geröll überall auf dem Parkplatz verteilt.|After the storm, rubble was scattered everywhere in the parking lot.|nach;der;Sturm;liegen;der;Geröll;überall;auf;der;Parkplatz;verteilen
16729.0|erfahren|verb|to experience|Die Kinder möchten am Ferienlager viel Neues erfahren und lernen.|The children want to experience and learn many new things at the summer camp.|der;Kind;möchten;an;Ferienlager;viel;neue;erfahren;und;lernen
16730.0|das Käuzchen|noun|the little owl|Das Käuzchen saß auf einem Ast und beobachtete neugierig die Umgebung.|The little owl sat on a branch and curiously watched its surroundings.|der;Käuzchen;sitzen;auf;ein;Ast;und;beobachten;neugierig;der;Umgebung
16741.0|verlangen|verb|to demand|Die Angestellten verlangen bessere Arbeitsbedingungen und faire Löhne.|The employees demand better working conditions and fair wages.|der;angestellter;verlangen;gut;Arbeitsbedingung;und;fair;Lohn
16748.0|der Katheter|noun|the catheter|Der Katheter wurde während der Operation sorgfältig eingelegt.|The catheter was carefully inserted during the surgery.|der;Katheter;werden;während;der;Operation;sorgfältig;einlegen
16764.0|platzen|verb|to burst|Der Luftballon wird gleich platzen, wenn er weiter aufgeblasen wird.|The balloon will burst soon if it is inflated any further.|der;Luftballon;werden;gleich;platzen;wenn;er;weiter;aufblasen;werden
16811.0|das Moor|noun|the moor|Das Moor ist geheimnisvoll und beherbergt viele seltene Pflanzen.|The moor is mysterious and harbors many rare plants.|der;Moor;sein;geheimnisvoll;und;beherbergen;vieler;selten;Pflanze
16834.0|die Kacke|noun|the poop|Die Kacke auf dem Bürgersteig musste schnell beseitigt werden.|The poop on the sidewalk needed to be cleaned up quickly.|der;Kacke;auf;der;Bürgersteig;musste;schnell;beseitigen;werden
16839.0|die Platte|noun|the plate|Die zerbrochene Platte lag auf dem Boden und musste entsorgt werden.|The broken plate lay on the floor and had to be disposed of.|der;zerbrochen;Platte;liegen;auf;der;Boden;und;musste;entsorgen;werden
16860.0|zauberhaft|adjective|charming|Die zauberhafte Landschaft verzauberte die Feriengäste sofort.|The charming landscape instantly enchanted the holiday guests.|der;zauberhaft;Landschaft;verzaubern;der;Feriengast;sofort
16861.0|der Tausendsassa|noun|the jack-of-all-trades|Der Tausendsassa half bei der Renovierung und war überall zur Stelle.|The jack-of-all-trades helped with the renovations and was everywhere at once.|der;Tausendsassa;helfen;bei;der;Renovierung;und;sein;überall;zu;Stelle
16893.0|unfassbar|adjective|unfathomable|Es ist unfassbar, wie schnell die Zeit während des Urlaubs verging.|It is unfathomable how quickly time passed during the vacation.|es;sein;unfassbar;wie;schnell;der;Zeit;während;der;Urlaub;vergehen
16903.0|die Leistungsgesellschaft|noun|the performance society|In der Leistungsgesellschaft zählt vor allem der individuelle Erfolg.|In the performance society, individual success matters most.|in;der;Leistungsgesellschaft;zählen;vor;alle;der;individuell;Erfolg
16911.0|die Selbstachtung|noun|the self-respect|Jeder sollte seine Selbstachtung hochhalten und für sich einstehen.|Everyone should maintain their self-respect and stand up for themselves.|jeder;sollen;sein;Selbstachtung;hochhalten;und;für;sich;einstehen
16924.0|brenzlich|adjective|urgent|Die brenzliche Situation erforderte sofortige Maßnahmen der Feuerwehr.|The urgent situation required immediate action from the fire department.|der;brenzlich;Situation;erfordern;sofortig;Maßnahme;der;Feuerwehr
16935.0|das Spenderorgan|noun|the donor organ|Das Spenderorgan rettete das Leben eines Menschen in großer Not.|The donor organ saved the life of a person in great need.|der;Spenderorgan;retten;der;Leben;ein;Mensch;in;groß;Not
16976.0|steuern|verb|to steer|Der Kapitän steuert das Schiff sicher durch die stürmische See.|The captain steers the ship safely through the stormy sea.|der;Kapitän;steuern;der;Schiff;sicher;durch;der;stürmisch;See
16978.0|die Passagiermaschine|noun|the passenger plane|Die Passagiermaschine landete sanft auf dem internationalen Flughafen.|The passenger plane landed softly at the international airport.|der;Passagiermaschine;landen;sanft;auf;der;international;Flughafen
16986.0|gemein|adjective|mean|Die gemeine Bemerkung des Jungen verletzte die Gefühle des Mädchens.|The mean comment from the boy hurt the girl's feelings.|der;gemein;Bemerkung;der;Junge;verletzten;der;Gefühl;der;Mädchen
16998.0|das Weizenkorn|noun|the wheat grain|Das Weizenkorn ist die Grundlage vieler wichtiger Nahrungsmittel.|The wheat grain is the basis of many essential food items.|der;Weizenkorn;sein;der;Grundlage;vieler;wichtig;Nahrungsmittel
17003.0|der Laden|noun|the store|Wir gehen heute in den Laden, um frische Lebensmittel einzukaufen.|We are going to the store today to buy fresh groceries.|wir;gehen;heute;in;der;Laden;um;frisch;Lebensmittel;einkaufen
17003.001|das Laden|noun|the shop|Das Laden in der Stadt bietet eine große Auswahl an Handwerkzeugen.|The shop in the city offers a wide selection of hand tools.|der;Laden;in;der;Stadt;bieten;ein;groß;Auswahl;an;Handwerkzeuge
17005.0|der Scherzartikel|noun|the joke item|Der Scherzartikel sorgt für viel Gelächter bei der Festlichkeit.|The joke item ensures a lot of laughter at the celebration.|der;Scherzartikel;sorgen;für;viel;Gelächter;bei;der;Festlichkeit
17028.0|der Tape|noun|the tape|Er fand ein starkes Tape, um das Paket sicher zu verschließen.|He found a strong tape to securely seal the package.|er;finden;ein;stark;Tape;um;der;Paket;sicher;zu;verschließen
17028.001|das Tape|noun|the tape|Das Tape ist notwendig, um die Poster an die Wand zu kleben.|The tape is necessary to stick the posters to the wall.|der;Tape;sein;notwendig;um;der;Poster;an;der;Wand;zu;kleben
17043.0|der Schnurrbart|noun|the mustache|Sein Schnurrbart war gepflegt und verlieh ihm ein markantes Aussehen.|His mustache was well-groomed and gave him a distinctive look.|sein;Schnurrbart;sein;pflegen;und;verlieh;ihm;ein;markant;Aussehen
17044.0|bepinseln|verb|to paint|Der Künstler wird die Leinwand mit leuchtenden Farben bepinseln.|The artist will paint the canvas with bright colors.|der;Künstler;werden;der;Leinwand;mit;leuchtend;Farbe;bepinseln
17073.0|die Fruchtblase|noun|the amniotic sac|Die Fruchtblase platze während der Geburt und leitete den Prozess ein.|The amniotic sac ruptured during childbirth and initiated the process.|der;Fruchtblase;platzen;während;der;Geburt;und;einleiten;der;Prozess;ein
17078.0|Cuxhaven|noun|Cuxhaven|Cuxhaven ist ein beliebter Ort für Strandurlauber und Schiffsfreunde.|Cuxhaven is a popular place for beachgoers and ship enthusiasts.|Cuxhaven;sein;ein;beliebt;Ort;für;Strandurlauber;und;Schiffsfreund
17083.0|schminken|verb|to makeup|Die Visagistin begann, das Model für das Fotoshooting zu schminken.|The makeup artist began to apply makeup to the model for the photoshoot.|der;Visagistin;beginnen;der;Model;für;der;Fotoshooting;zu;schminken
17086.0|rustikal|adjective|rustic|Das rustikale Design des Hauses vermittelt ein gemütliches Gefühl.|The rustic design of the house conveys a cozy feeling.|der;rustikal;Design;der;Haus;vermitteln;ein;gemütlich;Gefühl
17087.0|die Pinte|noun|the pub|Die Pinte ist nachmittags ein beliebter Treffpunkt für Freunde.|The pub is a popular meeting place for friends in the afternoon.|der;Pinte;sein;nachmittags;ein;beliebt;Treffpunkt;für;Freund
17140.0|die Fotze|noun|the pussy|Diese beleidigende Sprache über die Fotze gehört in die Vergangenheit.|This offensive language about the pussy belongs to the past.|dieser;beleidigend;Sprache;über;der;Fotze;gehören;in;der;Vergangenheit
17171.0|anhalten|verb|to stop|Die Polizei musste den verdächtigen Wagen anhalten und durchsuchen.|The police had to stop the suspicious car and search it.|der;Polizei;musste;der;verdächtig;Wagen;anhalten;und;durchsuchen
17244.0|der Popel|noun|the booger|Der Popel quälte ihn so sehr, dass er unhöflich im Unterricht wurde.|The booger bothered him so much that he became rude in class.|der;Popel;quäln;ihn;so;sehr;dass;er;unhöflich;in;Unterricht;werden
17254.0|der Blödmann|noun|the fool|Der Blödmann hat aus Dummheit seine Schlüssel im Auto vergessen.|The fool forgot his keys in the car out of stupidity.|der;Blödmann;haben;aus;Dummheit;sein;Schlüssel;in;Auto;vergessen
17264.0|der Spinner|noun|the spinner|Der Spinner im Park unterhielt die Kinder mit seinen Tricks.|The spinner in the park entertained the children with his tricks.|der;Spinner;in;Park;unterhalten;der;Kind;mit;sein;Trick
17267.0|der Manta|noun|the manta ray|Der Manta gleitet elegant durch die klaren Gewässer des Ozeans.|The manta ray glides gracefully through the ocean's clear waters.|der;Manta;gleiten;elegant;durch;der;klar;Gewässer;der;Ozean
17269.0|der Dödel|noun|the fool|Der Dödel machte einen denkbar ungeschickten Witz über das Wetter.|The fool made a clumsily inappropriate joke about the weather.|der;Dödel;machen;ein;denkbar;ungeschickt;Witz;über;der;Wetter
17272.0|der Genießer|noun|the connoisseur|Der Genießer schätzte das feine Aroma des handgerösteten Kaffees.|The connoisseur appreciated the fine aroma of the hand-roasted coffee.|der;Genießer;schätzen;der;fein;Aroma;der;handgeröstet;Kaffee
17309.0|der Sattel|noun|the saddle|Der Sattel auf dem Pferd war gut gepolstert für langen Ritt.|The saddle on the horse was well-padded for a long ride.|der;Sattel;auf;der;Pferd;sein;gut;polstern;für;lang;Ritt
17312.0|der Schlauch|noun|the hose|Der Schlauch spritzte Wasser, als ich ihn versehentlich drehte.|The hose sprayed water when I accidentally turned it.|der;Schlauch;spritzen;Wasser;als;ich;ihn;versehentlich;drehen
17318.0|passend|adjective|appropriate|Die passende Kleidung für das Event macht einen großen Unterschied.|The appropriate clothing for the event makes a big difference.|der;passend;Kleidung;für;der;Event;machen;ein;groß;Unterschied
17400.0|verprügeln|verb|to beat up|Er vierte den Plan, seine Probleme nicht weiter mit Gewalt verprügeln.|He decided to no longer beat up his problems with violence.|er;vierten;der;Plan;sein;Problem;nicht;weiter;mit;Gewalt;verprügeln
17404.0|Bangkok|noun|Bangkok|Die Straßen von Bangkok sind voller Farben und lebhaften Aktivitäten.|The streets of Bangkok are filled with colors and lively activities.|der;Straße;von;Bangkok;sein;voll;Farbe;und;lebhaft;Aktivität
17456.0|Longdrink|noun|the long drink|Der Longdrink wurde mit frischen Früchten und Eis garnieren.|The long drink was garnished with fresh fruits and ice.|der;Longdrink;werden;mit;frisch;Frucht;und;Eis;garnieren
17460.0|die Sonnenliege|noun|the sun lounger|Die Sonnenliege am Pool lädt zum Entspannen und Sonnenbaden ein.|The sun lounger by the pool invites to relax and sunbathe.|der;Sonnenliege;an;Pool;einladen;zu;entspannen;und;Sonnenbaden;ein
17468.0|das Handtuch|noun|the towel|Sie nahm das Handtuch, um ihre Hände nach dem Kochen abzutrocknen.|She took the towel to dry her hands after cooking.|sie;nehmen;der;Handtuch;um;ihr;Hand;nach;der;Kochen;abtrocknen
17471.0|dabeihaben|verb|to have with|Ich werde meinen Laptop dabeihaben, falls wir etwas arbeiten müssen.|I will have my laptop with me in case we need to do some work.|ich;werden;mein;Laptop;dabeihaben;falls;wir;etwas;arbeiten;müssen
17480.0|der Anbruch|noun|the beginning|Der Anbruch eines neuen Kapitels fördert frische Perspektiven.|The beginning of a new chapter promotes fresh perspectives.|der;Anbruch;ein;neu;Kapitel;fördern;frisch;Perspektive
17534.0|der Staatsanwalt|noun|the public prosecutor|Der Staatsanwalt führte den Fall mit großer Entschlossenheit an.|The public prosecutor led the case with great determination.|der;Staatsanwalt;anführen;der;Fall;mit;groß;Entschlossenheit;an
17536.0|entlasten|verb|to relieve|Diese Therapie soll die Schmerzen schnell entlasten und heilen.|This therapy should relieve the pain quickly and heal it.|dieser;Therapie;sollen;der;Schmerz;schnell;entlasten;und;heilen
17571.0|das Hemd|noun|the shirt|Das Hemd aus Seide fühlte sich angenehm kühl auf der Haut an.|The shirt made of silk felt pleasantly cool against the skin.|der;Hemd;aus;Seide;anfühlen;sich;angenehm;kühl;auf;der;Haut;an
17591.0|fliehen|verb|to flee|Die Tiere müssen fliehen, wenn Gefahr aus dem Gebüsch nähern.|The animals must flee when danger approaches from the bushes.|der;Tier;müssen;fliehen;wenn;Gefahr;aus;der;Gebüsch;nähern
17597.0|der TÜV|noun|the vehicle inspection|Der TÜV fand einige Mängel, die dringend behoben werden mussten.|The vehicle inspection found some defects that urgently needed fixing.|der;TÜV;finden;einiger;Mangel;der;dringend;behoben;werden;mussten
17627.0|die Prügelstrafe|noun|the corporal punishment|Die Prügelstrafe wurde lange Zeit als Erziehungsmittel angesehen.|Corporal punishment was viewed as a means of education for a long time.|der;Prügelstrafe;werden;lang;Zeit;als;Erziehungsmittel;ansehen
17629.0|einführen|verb|to introduce|Sie planten, ein neues System zur Effizienzsteigerung einzuführen.|They planned to introduce a new system to improve efficiency.|sie;planen;ein;neu;System;zu;Effizienzsteigerung;einführen
17652.0|vermöbeln|verb|to beat|In der alten Geschichte vermöbelten die Helden die Drachen mutig.|In the old story, the heroes beat the dragons bravely.|in;der;alt;Geschichte;vermöbeln;der;Held;der;Drache;mutig
17658.0|der Quark|noun|the quark|Der frische Quark vom Bauernmarkt war perfekt für das Rezept.|The fresh quark from the farmer's market was perfect for the recipe.|der;frisch;Quark;von;Bauernmarkt;sein;perfekt;für;der;Rezept
17658.001|das Quark|noun|the curd|Das Quark eignet sich wunderbar für die Zubereitung von Desserts.|The curd is wonderful for preparing desserts.|der;Quark;eignen;sich;wunderbar;für;der;Zubereitung;von;Dessert
17696.0|zerfallen|verb|to crumble|Die alte Mauer begann zu zerfallen, als die Winterstürme hereinzogen.|The old wall began to crumble as the winter storms rolled in.|der;alt;Mauer;beginnen;zu;zerfallen;als;der;Winterstürme;hereinziehen
17712.0|einst|adverb|once|Einst war das Land voller glanzvoller Burgen und reicher Geschichte.|Once, the land was filled with magnificent castles and rich history.|einst;sein;der;Land;voll;glanzvoll;Burge;und;reich;Geschichte
