|word|part_of_speech|lemma|lemma_correct|is_lemma
36063|versuchs|Verb|versuchen|versuchen|True
36117|bist|Verb|sein|sein|True
36165|Zählen|Verb|zählen|zählen|True
36166|Baut|Verb|bauen|bauen|True
36170|betrat|Verb|betreten|betreten|True
36176|gefressen|Verb|fressen|fressen|True
36319|erschuf|Verb|erschaffen|erschaffen|True
36350|bissen|Verb|beißen|beißen|True
36357|schissen|Verb|scheißen|scheißen|True
36438|Hochbegabt|Adjektiv|hochbegabt|hochbegabt|True
36470|bewohnn|Verb|bewohnen|bewohnen|True
36533|Belächeln|Verb|belächeln|belächeln|True
36621|Neuestem|Adjektiv|neu|neu|True
36630|schriebs|Verb|schreiben|schreiben|True
36769|fummel|Verb|fummeln|fummeln|True
36790|wegsteck|Verb|wegstecken|wegstecken|True
36801|heul|Verb|heulen|heulen|True
36816|weiss|Adjektiv|weiß|weiß|True
36844|Knutschen|Verb|knutschen|knutschen|True
36862|Erwachsen|Adjektiv|erwachsen|erwachsen|True
36878|Reiss|Verb|reißen|reißen|True
36934|flenne|Verb|flennen|flennen|True
36935|Hunderttausend|Numeral|hunderttausend|hunderttausend|True
36938|Schnapp|Verb|schnappen|schnappen|True
36951|renne|Verb|rennen|rennen|True
36968|Mit|Präposition|mit|mit|True
36991|rap|Verb|rappen|rappen|True
37004|wohn|Verb|wohnen|wohnen|True
37012|wurdn|Verb|werden|werden|True
37059|solangn|Adjektiv|solange|solange|True
37099|stoß|Verb|stoßen|stoßen|True
37142|bastelen|Verb|basteln|basteln|True
37173|Kennst|Verb|kennen|kennen|True
37234|zerschellsn|Verb|zerschellen|zerschellen|True
37354|zusammenFassen|Verb|zusammenfassen|zusammenfassen|True
37389|Checkend|Verb|checken|checken|True
37405|Schlagend|Verb|schlagen|schlagen|True
37409|vergaßen|Verb|vergessen|vergessen|True
37460|gestaltet|Verb|gestalten|gestalten|True
37461|Jedoch|Konjunktion|jedoch|jedoch|True
37474|lässen|Verb|lassen|lassen|True
37516|Fallen|Verb|fallen|fallen|True
37518|Schweb|Verb|schweben|schweben|True
37526|festzukrallen|Verb|festzukrallen|festkrallen|True
37545|Naja|Interjektion|naja|naja|True
37570|dus|Pronomen|du|du|True
37577|Hmmm|Interjektion|hmmm|hmmm|True
37629|Worauf|Pronomen|worauf|worauf|True
37634|Ewige|Adjektiv|ewig|ewig|True
37687|Welcher|Pronomen|welcher|welcher|True
37795|Demontierst|Verb|demontieren|demontieren|True
37822|Liefer|Verb|liefern|liefern|True
37882|Überpersönliche|Adjektiv|überpersönlich|überpersönlich|True
37888|Unversöhnliches|Adjektiv|unversöhnlich|unversöhnlich|True
37926|bitt|Verb|bitten|bitten|True
37954|Echt|Adjektiv|echt|echt|True
37957|Nee|Interjektion|nee|nee|True
37974|sogenannter|Adjektiv|sogenannt|sogenannt|True
38028|generven|Verb|nerven|nerven|True
38064|Fragen|Verb|fragen|fragen|True
38075|Fatale|Adjektiv|fatal|fatal|True
38084|Versuchen|Verb|versuchen|versuchen|True
38099|Wartet|Verb|warten|warten|True
38101|verarsch|Verb|verarschen|verarschen|True
38168|behaupteen|Verb|behaupten|behaupten|True
38190|unterhälten|Verb|unterhalten|unterhalten|True
38207|Eigenständig|Adjektiv|eigenständig|eigenständig|True
38239|Erkenne|Verb|erkennen|erkennen|True
38256|wegrannen|Verb|wegrennen|wegrennen|True
38259|Schweig|Verb|schweigen|schweigen|True
38271|Konvertier|Verb|konvertieren|konvertieren|True
38341|verlockend|Adjektiv|verlockend|verlocken|True
38392|Träum|Verb|träumen|träumen|True
38418|rumKriegen|Verb|rumkriegen|rumkriegen|True
38463|riechst|Verb|riechen|riechen|True
38523|Cock-Schweißgeruch|Substantiv|der Cock-Schweißgeruch|Schweißgeruch|True
38552|holn|Verb|holen|holen|True
38624|hättst|Verb|haben|haben|True
38625|dun|Verb|tun|tun|True
38629|Egal|Adjektiv|egal|egal|True
38815|freie|Adjektiv|frei|frei|True
38916|desensibilisiert|Verb|desensibilisieren|desensibilisieren|True
38959|Widerlege|Verb|widerlegen|widerlegen|True
38985|esssen|Verb|essen|essen|True
39006|würdet|Verb|werden|werden|True
39029|näh|Verb|nähen|nähen|True
39067|zugegeben|Verb|zugeben|zugeben|True
39092|Lieg|Verb|liegen|liegen|True
39098|zusammengebunden|Adjektiv|zusammengebunden|zusammenbinden|True
39107|Vögel|Substantiv|die Vögel|der Vogel|True
39179|behauptest|Verb|behaupten|behaupten|True
39187|entkoppel|Verb|entkoppeln|entkoppeln|True
39191|installiert|Verb|installieren|installieren|True
39196|lernst|Verb|lernen|lernen|True
39404|Hip|Adjektiv|hip|hip|True
39412|Dissen|Verb|dissen|dissen|True
39440|nurn|Adjektiv|nur|nur|True
39578|gebäre|Verb|gebären|gebären|True
39612|widerzusetzen|Verb|widersetzen|widersetzen|True
39757|zeign|Verb|zeigen|zeigen|True
39795|schnorchel|Verb|schnorcheln|schnorcheln|True
39856|Sonntags|Adjektiv|sonntags|sonntags|True
39857|ergeh|Verb|ergehen|ergehen|True
39967|kochn|Verb|kochen|kochen|True
40061|Kiffe|Verb|kiffen|kiffen|True
40100|vollst|Adjektiv|vollständig|vollständig|True
40114|Spielo|Verb|spielen|spielen|True
40120|park|Verb|parken|parken|True
40221|würdeen|Verb|werden|werden|True
40462|Frisch|Adjektiv|frisch|frisch|True
40472|zuguck|Verb|zugucken|zugucken|True
40582|aufgesogen|Verb|aufsaugen|aufsaugen|True
40585|aufgebogen|Verb|aufbiegen|aufbiegen|True
40593|aufgeflogen|Verb|auffliegen|auffliegen|True
40668|Mosaike|Substantiv|das Mosaik|das Mosaik|True
40724|weggeschmissen|Verb|wegschmeißen|wegschmeißen|True
40758|Herzlichen|Adjektiv|herzlich|herzlich|True
40857|gefangn|Verb|gefangen|gefangen|True
40968|vorStellst|Verb|vorstellen|vorstellen|True
41010|boykottiere|Verb|boykottieren|boykottieren|True
41038|Realitäteretä|Substantiv|die Realität|die Realität|True
41133|jeh|Pronomen|je|je|True
41134|anhatte|Verb|anhaben|anhaben|True
41142|Geil|Adjektiv|geil|geil|True
41162|nennst|Verb|nennen|nennen|True
41288|Merken|Verb|merken|merken|True
41473|FREAK|Substantiv|der Freak|der Freak|True
41487|Gebaut|Verb|bauen|bauen|True
41528|WIE|Interjektion|wie|wie|True
41529|KANN|Verb|können|können|True
41531|NUR|Adverb|nur|nur|True
41532|SEIN|Verb|sein|sein|True
41533|Tret|Verb|treten|treten|True
41554|untergeh|Verb|untergehen|untergehen|True
41693|gebieren|Verb|gebären|gebären|True
41720|zerfetzn|Verb|zerfetzen|zerfetzen|True
41766|Lief|Verb|laufen|laufen|True
41793|schmolz|Verb|schmelzen|schmelzen|True
41838|dümm|Adjektiv|dumm|dumm|True
41895|Bind|Verb|binden|binden|True
41905|verschwind|Verb|verschwinden|verschwinden|True
41982|sitz|Verb|sitzen|sitzen|True
41995|Geilste|Adjektiv|geil|geil|True
42010|ficksen|Verb|ficken|ficken|True
42144|Stehst|Verb|stehen|stehen|True
42149|Kehrst|Verb|kehren|kehren|True
42157|Geh|Verb|gehen|gehen|True
42290|Erklären|Verb|erklären|erklären|True
42302|Repariert|Verb|reparieren|reparieren|True
42319|Zitieren|Verb|zitieren|zitieren|True
42326|Häckel|Verb|häkeln|häkeln|True
42382|anFangen|Verb|anfangen|anfangen|True
42442|auflockeren|Verb|auflockern|auflockern|True
42494|verpiss|Verb|verpissen|verpissen|True
42502|Menno|Interjektion|menno|menno|True
42512|zuLass|Verb|zulassen|zulassen|True
42520|vierter|Adjektiv|vier|vier|True
42560|Sauber|Adjektiv|sauber|sauber|True
42618|bringts|Verb|bringen|bringen|True
42642|zumachn|Verb|zumachen|zumachen|True
42653|Schlafen|Verb|schlafen|schlafen|True
42766|süße|Adjektiv|süß|süß|True
42797|heimgeh|Verb|heimgehen|heimgehen|True
42859|Überwinden|Verb|überwinden|überwinden|True
42888|Heißt|Verb|heißen|heißen|True
42902|wiedеr|Adverb|wieder|wieder|True
42923|Erkennst|Verb|erkennen|erkennen|True
42986|genommn|Verb|nehmen|nehmen|True
43033|klüge|Adjektiv|klug|klug|True
43124|verzeih|Verb|verzeihen|verzeihen|True
43135|mitNimmst|Verb|mitnehmen|mitnehmen|True
43140|gehst|Verb|gehen|gehen|True
43200|umbringn|Verb|umbringen|umbringen|True
43270|Insgeheim|Adverb|insgeheim|insgeheim|True
43284|Spring|Verb|springen|springen|True
43402|schmissen|Verb|schmeißen|schmeißen|True
43636|einr|Verb|einreißen|einreißen|True
43764|Geflogen|Verb|fliegen|fliegen|True
43765|Legt|Verb|legen|legen|True
43771|Deinn|Substantiv|dein|dein|True
43841|wiе|Adverb|wie|wie|True
43853|bloomen|Verb|blühen|blühen|True
44001|zurückbringn|Verb|zurückbringen|zurückbringen|True
44063|air|Substantiv|die Air|die Air|True
44088|Streuen|Verb|streuen|streuen|True
44182|Kuck|Verb|gucken|gucken|True
44187|Treten|Verb|treten|treten|True
44199|gestartet|Verb|starten|starten|True
44213|übl|Adjektiv|übel|übel|True
44215|Legen|Verb|legen|legen|True
44234|Brauchen|Verb|brauchen|brauchen|True
44246|ext|Verb|ex|ex|True
44247|Verstehste|Verb|verstehen|verstehen|True
44271|chille|Verb|chillen|chillen|True
44273|grill|Verb|grillen|grillen|True
44275|zerknüll|Verb|zerknüllen|zerknüllen|True
44358|roooooollen|Verb|rollen|rollen|True
44376|rooororororolln|Verb|rollen|rollen|True
44391|Unbeschwert|Adjektiv|unbeschwert|unbeschwert|True
44468|Irgendjemand|Pronomen|irgendjemand|irgendjemand|True
44650|Zocke|Verb|zocken|zocken|True
44663|Bekam|Verb|bekommen|bekommen|True
44666|Traf|Verb|treffen|treffen|True
44730|abreiß|Verb|abreißen|abreißen|True
44805|Mein|Pronomen|mein|mein|True
44889|Servus|Interjektion|servus|servus|True
44898|Tragen|Verb|tragen|tragen|True
44919|abLegen|Verb|ablegen|ablegen|True
44973|Geweihte|Adjektiv|geweiht|geweiht|True
44974|Sollen|Verb|sollen|sollen|True
44982|Drück|Verb|drücken|drücken|True
45097|meiseln|Verb|meißeln|meißeln|True
45226|Seht|Verb|sehen|sehen|True
45326|Sozialer|Adjektiv|sozial|sozial|True
45346|Wars|Verb|sein|sein|True
45373|Äußerliche|Adjektiv|äußerlich|äußerlich|True
45404|auffällst|Verb|auffallen|auffallen|True
45489|isen|Verb|sein|sein|True
45507|Lautet|Verb|lauten|lauten|True
45508|Leugne|Verb|leugnen|leugnen|True
45545|auffällen|Verb|auffallen|auffallen|True
45573|wirksn|Verb|wirken|wirken|True
45599|wegKommt|Verb|wegkommen|wegkommen|True
45626|Drastische|Adjektiv|drastisch|drastisch|True
45637|rechte|Adjektiv|recht|recht|True
45648|Werde|Verb|werden|werden|True
45794|Wisst|Verb|wissen|wissen|True
45854|totschlag|Substantiv|der Totschlag|der Totschlag|True
46134|reinGeh|Verb|reingehen|reingehen|True
46161|loslass|Verb|loslassen|loslassen|True
46199|gеdacht|Verb|gedacht|gedacht|True
46202|Spür|Verb|spüren|spüren|True
46216|kauf|Verb|kaufen|kaufen|True
46221|wünsch|Verb|wünschen|wünschen|True
46224|kämst|Verb|kommen|kommen|True
46236|ausgeb|Verb|ausgeben|ausgeben|True
46276|Kanns|Verb|können|können|True
46286|Leg|Verb|legen|legen|True
46349|Momentan|Adjektiv|momentan|momentan|True
46436|Wolkenlos|Adjektiv|wolkenlos|wolkenlos|True
46505|vergiben|Verb|vergeben|vergeben|True
46636|fehlst|Verb|fehlen|fehlen|True
46658|Nahm|Verb|nehmen|nehmen|True
46807|Blind|Adjektiv|blind|blind|True
46917|Erklang|Verb|erklingen|erklingen|True
46932|Setzen|Verb|setzen|setzen|True
47035|come|Verb|kommen|kommen|True
47036|blöder|Adjektiv|blöd|blöd|True
47038|fall|Substantiv|der Fall|der Fall|True
47045|standing|Verb|stehen|stehen|True
47046|tall|Adjektiv|hoch|hoch|True
47052|must|Verb|müssen|müssen|True
47058|absagn|Verb|absagen|absagen|True
47087|Gekommen|Verb|kommen|kommen|True
47173|Reicht|Verb|reichen|reichen|True
47178|unterzugehn|Verb|untergehen|untergehen|True
47179|hochLebeen|Verb|hochleben|hochleben|True
47182|kommeen|Verb|kommen|kommen|True
47294|end|Verb|enden|enden|True
47295|near|Adverb|nahe|nahe|True
47296|now|Adverb|jetzt|jetzt|True
47298|face|Substantiv|das Gesicht|das Gesicht|True
47301|curtain|Substantiv|der Vorhang|der Vorhang|True
47569|sing|Verb|singen|singen|True
47598|rumsessen|Verb|rumsitzen|rumsitzen|True
47602|erinner|Verb|erinnern|erinnern|True
47657|wolltest|Verb|wollen|wollen|True
47717|träum|Verb|träumen|träumen|True
47745|Steht|Verb|stehen|stehen|True
47752|reinlass|Verb|reinlassen|reinlassen|True
47775|festbleib|Verb|festbleiben|festbleiben|True
47787|bleibst|Verb|bleiben|bleiben|True
47833|kommst|Verb|kommen|kommen|True
47860|Autsch|Interjektion|autsch|autsch|True
47953|bliebe|Verb|bleiben|bleiben|True
47983|hinkrieg|Verb|hinkriegen|hinkriegen|True
48006|eign|Verb|eignen|eignen|True
48007|Pokerrund|Substantiv|die Pokerrunde|die Pokerrunde|True
48009|Trag|Verb|tragen|tragen|True
48019|Besiegen|Verb|besiegen|besiegen|True
48028|verziehn|Verb|verziehen|verziehen|True
48046|abnehm|Verb|abnehmen|abnehmen|True
48059|scheiter|Verb|scheitern|scheitern|True
48061|käm|Verb|kommen|kommen|True
48109|vertan|Verb|vergehen|vergehen|True
48121|Meditieren|Verb|meditieren|meditieren|True
48145|Gerat|Substantiv|das Gerät|das Gerät|True
48152|Führ|Verb|führen|führen|True
48157|Kriesen|Substantiv|die Krise|die Krise|True
48158|Spionier|Substantiv|der Spion|der Spion|True
48162|einStell|Substantiv|die Stellung|die Stellung|True
48166|rausschmeiss|Verb|rausschmeißen|rausschmeißen|True
48191|auslach|Verb|auslachen|auslachen|True
48195|anlüg|Verb|anlügen|anlügen|True
48245|probier|Verb|probieren|probieren|True
48257|weissn|Verb|wissen|wissen|True
48270|schmeissen|Verb|schmeißen|schmeißen|True
48283|muck|Verb|mucken|mucken|True
48289|vorbeiFährt|Verb|vorbeifahren|vorbeifahren|True
48313|wechselst|Verb|wechseln|wechseln|True
48349|Brichst|Verb|brechen|brechen|True
48441|zahl|Verb|zahlen|zahlen|True
48458|Flieh|Verb|fliehen|fliehen|True
48517|Heul|Verb|heulen|heulen|True
48596|rufn|Verb|rufen|rufen|True
48637|belauschn|Verb|belauschen|belauschen|True
48684|Lutsch|Verb|lutschen|lutschen|True
48706|Liegst|Verb|liegen|liegen|True
48737|allerbeste|Adjektiv|allerbest|allerbest|True
48868|seinn|Verb|sein|sein|True
48897|Exekutier|Verb|exekutieren|exekutieren|True
48968|Stimmn|Verb|stimmen|stimmen|True
48976|aufSteh|Verb|aufstehen|aufstehen|True
49038|Zerleg|Verb|zerlegen|zerlegen|True
49052|Dich|Pronomen|dich|dich|True
49058|-Genick|Substantiv|das Genick|das Genick|True
49086|geborn|Verb|geboren|geboren|True
49100|leih|Verb|leihen|leihen|True
49117|seife|Substantiv|die Seife|die Seife|True
49245|Hahaha|Interjektion|hahaha|hahaha|True
49246|Tu|Verb|tun|tun|True
49251|Knips|Verb|knipsen|knipsen|True
49259|Zerbeißen|Verb|zerbeißen|zerbeißen|True
49405|Habt|Verb|haben|haben|True
49465|Mono-|Substantiv|Mono|Mono|True
49485|Jetz|Adverb|jetzt|jetzt|True
49486|jetz|Adverb|jetzt|jetzt|True
49539|lern|Verb|lernen|lernen|True
49590|abgehn|Verb|abgehen|abgehen|True
49593|flippe|Verb|flippen|flippen|True
49626|spendeen|Verb|spenden|spenden|True
49631|sinn|Verb|sinnen|sinnen|True
49645|Summn|Verb|summen|summen|True
49656|Riesen-|Substantiv|der Riese|der Riese|True
49677|kapierts|Verb|kapieren|kapieren|True
49689|frustieren|Verb|frustrieren|frustrieren|True
49703|irgend-|Pronomen|irgend|irgend|True
49715|halteen|Verb|halten|halten|True
49719|wart|Verb|warten|warten|True
49750|könnsen|Verb|können|können|True
49796|Walkin|Verb|walken|walken|True
49803|saying|Verb|sagen|sagen|True
49813|Makin|Verb|machen|machen|True
49814|makin|Verb|machen|machen|True
49820|YOU|Pronomen|du|du|True
49827|Phallus-|Substantiv|der Phallus|der Phallus|True
49847|Wahr|Adjektiv|wahr|wahr|True
49974|Greifen|Verb|greifen|greifen|True
49989|auffrissen|Verb|auffrischen|auffrischen|True
50002|verhau|Substantiv|der Verhau|der Verhau|True
50050|händeringd|Verb|händeringend|händeringend|True
50075|wag|Verb|wagen|wagen|True
50086|du-u-u-u|Pronomen|du|du|True
50091|lächelst|Verb|lächeln|lächeln|True
50125|vermiss|Verb|vermissen|vermissen|True
50190|ausgehst|Verb|ausgehen|ausgehen|True
50240|lächelsn|Verb|lächeln|lächeln|True
50261|Ich-hab|Verb|haben|haben|True
50361|Darf|Verb|dürfen|dürfen|True
50383|willkommn|Verb|willkommen|willkommen|True
50396|dеm|Artikel|dem|dem|True
50404|trübе|Adjektiv|trüb|trüb|True
50493|Revolutionierte|Verb|revolutionieren|revolutionieren|True
50501|einschlafn|Verb|einschlafen|einschlafen|True
50587|färbst|Verb|färben|färben|True
50592|Färbst|Verb|färben|färben|True
50602|deim|Pronomen|dein|dein|True
50609|Zweifеl|Substantiv|der Zweifel|der Zweifel|True
50614|allеine|Adjektiv|alleine|alleine|True
50846|Hi|Interjektion|hi|hi|True
50900|Verrätst|Verb|verraten|verraten|True
50915|Och|Interjektion|och|och|True
50968|renn|Verb|rennen|rennen|True
50975|schrei|Verb|schreien|schreien|True
51089|überroll|Verb|überrollen|überrollen|True
51141|jemandm|Pronomen|jemand|jemand|True
51190|Sammel|Verb|sammeln|sammeln|True
51202|Chill|Verb|chillen|chillen|True
51292|kaufn|Verb|kaufen|kaufen|True
51352|werf|Verb|werfen|werfen|True
51368|erfülln|Verb|erfüllen|erfüllen|True
51380|Joggen|Verb|joggen|joggen|True
51396|einpack|Verb|einpacken|einpacken|True
51425|Könnn|Verb|können|können|True
51644|ruf|Verb|rufen|rufen|True
51723|tausch|Verb|tauschen|tauschen|True
51784|Euer|Pronomen|euer|euer|True
51832|Tausche|Verb|tauschen|tauschen|True
51863|tauschn|Verb|tauschen|tauschen|True
52131|chill|Verb|chillen|chillen|True
52136|Vergrabe|Verb|vergraben|vergraben|True
52157|red|Verb|reden|reden|True
52173|Seltsam|Adjektiv|seltsam|seltsam|True
52177|ve|Pronomen|du|du|True
52279|Verseuchte|Adjektiv|verseucht|verseucht|True
52315|klarmachn|Verb|klarmachen|klarmachen|True
52347|wichst|Verb|wichsen|wichsen|True
52376|werdetn|Verb|werden|werden|True
52384|solltet|Verb|sollen|sollen|True
52592|schaukle|Verb|schaukeln|schaukeln|True
52620|side|Substantiv|die Seite|die Seite|True
52745|art|Substantiv|die Art|die Art|True
52750|coffee|Substantiv|der Kaffee|der Kaffee|True
52757|Fiese|Adjektiv|fies|fies|True
52808|Schütteln|Verb|schütteln|schütteln|True
52809|Dein|Pronomen|dein|dein|True
52884|Schicker|Adjektiv|schick|schick|True
52904|Dumme|Adjektiv|dumm|dumm|True
53152|fünfter|Adjektiv|fünf|fünf|True
53200|Hatt|Verb|haben|haben|True
53300|Gelegentlich|Adjektiv|gelegentlich|gelegentlich|True
53369|Fernsehn|Verb|fernsehen|fernsehen|True
53375|hernehm|Verb|hernehmen|hernehmen|True
53376|Jawohl|Interjektion|jawohl|jawohl|True
53422|brauchst|Verb|brauchen|brauchen|True
53467|zusammn|Adverb|zusammen|zusammen|True
53474|runtergehn|Verb|runtergehen|runtergehen|True
53548|brichst|Verb|brechen|brechen|True
53688|rauswillen|Verb|rauswollen|rauswollen|True
53697|brüll|Verb|brüllen|brüllen|True
53713|hinfahrn|Verb|hinfahren|hinfahren|True
53877|anstelln|Verb|anstellen|anstellen|True
53885|neuer|Adjektiv|neu|neu|True
54052|Intresse|Substantiv|das Interesse|das Interesse|True
54110|steueren|Verb|steuern|steuern|True
54175|feueeern|Verb|feuern|feuern|True
54330|verhärn|Verb|verhärten|verhärten|True
54390|fremde|Adjektiv|fremd|fremd|True
54481|ausheb|Verb|ausheben|ausheben|True
54487|zimmer|Substantiv|das Zimmer|das Zimmer|True
54625|panne|Substantiv|die Panne|die Panne|True
54656|gelaufen|Verb|laufen|laufen|True
54797|gelangten|Verb|gelangen|gelangen|True
54835|Verbringst|Verb|verbringen|verbringen|True
54846|Winzig|Adjektiv|winzig|winzig|True
54872|klüg|Adjektiv|klug|klug|True
54980|trag|Verb|tragen|tragen|True
55019|Verbessern|Verb|verbessern|verbessern|True
55057|stirbst|Verb|sterben|sterben|True
55114|beibring|Verb|beibringen|beibringen|True
55250|hineinSchaust|Verb|hineinschauen|hineinschauen|True
55323|gebn|Verb|geben|geben|True
55359|Zündest|Verb|zünden|zünden|True
55361|ziehst|Verb|ziehen|ziehen|True
55376|ausschalteen|Verb|ausschalten|ausschalten|True
55386|krallst|Verb|krallen|krallen|True
55392|Atmest|Verb|atmen|atmen|True
55687|leidest|Verb|leiden|leiden|True
55697|imitiern|Verb|imitieren|imitieren|True
55724|laberen|Verb|labern|labern|True
55746|Danke|Interjektion|danke|danke|True
55754|Gepräch|Substantiv|das Gespräch|das Gespräch|True
55820|anruf|Substantiv|der Anruf|der Anruf|True
55843|quälst|Verb|quälen|quälen|True
56173|Spuck|Verb|spucken|spucken|True
56184|Stöhnn|Verb|stöhnen|stöhnen|True
56202|Salz-|Substantiv|das Salz|das Salz|True
56348|Schwimm|Verb|schwimmen|schwimmen|True
56355|Weißen|Adjektiv|weiß|weiß|True
56417|Gibs|Verb|geben|geben|True
56506|Schneidet|Verb|schneiden|schneiden|True
56511|auffällt|Verb|auffallen|auffallen|True
56561|ausblendeen|Verb|ausblenden|ausblenden|True
56745|wirfen|Verb|werfen|werfen|True
56774|durchdrehn|Verb|durchdrehen|durchdrehen|True
56963|entsprungen|Verb|entspringen|entspringen|True
56970|gesungen|Verb|singen|singen|True
57001|dens|Pronomen|den|den|True
57022|Lebt|Verb|leben|leben|True
57099|Lebn|Verb|leben|leben|True
57159|Scheißegal|Adjektiv|scheißegal|scheißegal|True
57278|schmilzen|Verb|schmelzen|schmelzen|True
57290|mans|Pronomen|man|man|True
57441|Großen|Adjektiv|groß|groß|True
57447|nachgerannt|Verb|nachrennen|nachrennen|True
57471|gute|Adjektiv|gut|gut|True
57510|Sämtliches|Adjektiv|sämtlich|sämtlich|True
57524|erleb|Verb|erleben|erleben|True
57626|umarm|Verb|umarmen|umarmen|True
57631|zähl|Verb|zählen|zählen|True
57666|geschrien|Verb|schreien|schreien|True
57668|stapel|Substantiv|der Stapel|der Stapel|True
57774|zeigst|Verb|zeigen|zeigen|True
57786|Spannst|Verb|spannen|spannen|True
57790|staunsen|Verb|staunen|staunen|True
58124|entbehrn|Verb|entbehren|entbehren|True
58196|Wieso|Interjektion|wieso|wieso|True
58208|scheinst|Verb|scheinen|scheinen|True
58218|besonderer|Adjektiv|besonders|besonders|True
58225|verschonn|Verb|verschonen|verschonen|True
58226|Genug|Adjektiv|genug|genug|True
58288|losmussn|Verb|losmüssen|losmüssen|True
58296|Merkst|Verb|merken|merken|True
58430|umgibt|Verb|umgeben|umgeben|True
58571|erwarteen|Verb|erwarten|erwarten|True
58710|einzige|Adjektiv|einzig|einzig|True
58747|Alle|Pronomen|alle|alle|True
58929|Meinn|Pronomen|mein|mein|True
58939|ausSeh|Verb|aussehen|aussehen|True
59008|Entschuldigen|Verb|entschuldigen|entschuldigen|True
59019|bewegn|Verb|bewegen|bewegen|True
59128|anschaun|Verb|anschauen|anschauen|True
59452|verkaufn|Verb|verkaufen|verkaufen|True
59486|sieh|Verb|sehen|sehen|True
59581|hinterfragn|Verb|hinterfragen|hinterfragen|True
59600|dümmer|Adjektiv|dumm|dumm|True
59625|hatt|Verb|haben|haben|True
59635|angestellter|Substantiv|der Angestellte|der Angestellte|True
59640|zahln|Verb|zahlen|zahlen|True
59690|beschisse|Adjektiv|beschissen|beschissen|True
59885|streifsen|Verb|streifen|streifen|True
59937|zusiehen|Verb|zusehen|zusehen|True
59973|fror|Verb|frieren|frieren|True
60074|zusiehst|Verb|zusehen|zusehen|True
60107|spür|Verb|spüren|spüren|True
60190|Siе|Pronomen|sie|sie|True
60198|übеrlegt|Verb|überlegen|überlegen|True
60225|aussteig|Verb|aussteigen|aussteigen|True
60228|fick|Verb|ficken|ficken|True
60260|Zieh|Verb|ziehen|ziehen|True
60364|steig|Verb|steigen|steigen|True
60501|machts|Verb|machen|machen|True
60513|Wollt|Verb|wollen|wollen|True
60524|Kams|Verb|kommen|kommen|True
60528|kams|Verb|kommen|kommen|True
60531|ausStieg|Verb|aussteigen|aussteigen|True
60587|nachgerufen|Verb|nachrufen|nachrufen|True
60588|nachgeschaut|Verb|nachschauen|nachschauen|True
60592|nette|Adjektiv|nett|nett|True
60615|Zufällig|Adjektiv|zufällig|zufällig|True
60618|sprichst|Verb|sprechen|sprechen|True
60630|warst|Verb|sein|sein|True
60694|pussy|Substantiv|die Pussy|die Pussy|True
60914|di|Pronomen|die|die|True
60918|mare|Substantiv|das Mare|das Mare|True
60991|Hilf|Verb|helfen|helfen|True
61104|hältst|Verb|halten|halten|True
61157|wers|Verb|werden|werden|True
61180|Machst|Verb|machen|machen|True
61188|Gehst|Verb|gehen|gehen|True
61207|Zeigst|Verb|zeigen|zeigen|True
61561|zwischеn|Präposition|zwischen|zwischen|True
61605|wiedersehn|Verb|wiedersehen|wiedersehen|True
61624|mitzugehn|Verb|mitgehen|mitgehen|True
61931|rausmuss|Verb|rausmüssen|rausmüssen|True
61938|spring|Verb|springen|springen|True
61989|Quit|Verb|aufhören|aufhören|True
61990|living|Verb|leben|leben|True
62128|balancierst|Verb|balancieren|balancieren|True
62135|anwideren|Verb|anwidern|anwidern|True
62289|wartest|Verb|warten|warten|True
62758|trägen|Verb|tragen|tragen|True
62784|ausgetret|Verb|ausgetreten|ausgetreten|True
62794|Trittst|Verb|treten|treten|True
62823|teilhab|Verb|teilhaben|teilhaben|True
62835|bedeutest|Verb|bedeuten|bedeuten|True
62856|lenk|Verb|lenken|lenken|True
62926|teilhabn|Verb|teilhaben|teilhaben|True
63055|adding|Verb|addieren|addieren|True
63056|Stupid|Adjektiv|stupid|stupid|True
63057|sums|Substantiv|die Summe|die Summe|True
63059|subtracting|Verb|subtrahieren|subtrahieren|True
63061|dividing|Verb|dividieren|dividieren|True
63066|calculating|Verb|berechnen|berechnen|True
63068|should|Modalverb|sollen|sollen|True
63071|think|Verb|denken|denken|True
63073|much|Adjektiv|viel|viel|True
63075|torturing|Verb|quälen|quälen|True
63076|oneself|Reflexivpronomen|sich|sich|True
63077|with|Präposition|mit|mit|True
63078|numbers|Substantiv|die Zahl|die Zahl|True
63080|there|Adverb|da|da|True
63082|machines|Substantiv|die Maschine|die Maschine|True
63084|count|Verb|zählen|zählen|True
63085|Money|Substantiv|das Geld|das Geld|True
63089|Math|Substantiv|die Mathematik|die Mathematik|True
63099|Maths|Substantiv|die Mathematik|die Mathematik|True
63112|Hard|Adjektiv|hart|hart|True
63127|Calculating|Verb|berechnen|berechnen|True
63128|roots|Substantiv|die Wurzel|die Wurzel|True
63129|counts|Verb|zählen|zählen|True
63130|integration|Substantiv|die Integration|die Integration|True
63131|Geometry|Substantiv|die Geometrie|die Geometrie|True
63133|these|Pronomen|diese|diese|True
63134|quotients|Substantiv|der Quotient|der Quotient|True
63135|They|Pronomen|sie|sie|True
63138|useless|Adjektiv|nutzlos|nutzlos|True
63139|later|Adverb|später|später|True
63142|corner|Substantiv|die Ecke|die Ecke|True
