|word_deu|part_of_speech|word_eng
4815.0|die Wahl|noun|the choice
4816.0|unter|preposition|under
4820.0|das Deodorant|Noun|deodorant
4825.0|frisch|adjective|fresh
4832.0|die Pizza|noun|the pizza
4833.0|das Sushi|noun|the sushi
4835.0|die Wurst|noun|the sausage
4836.0|die Cola|noun|the cola
4836.001|das Cola|noun|the cola
4844.0|welches|pronoun|which
4846.0|welcher|pronoun|which
4847.0|die Nummer|noun|number
4849.0|die App|noun|app
4849.001|das App|noun|app
4864.0|das Meer|noun|sea
4866.0|die Möglichkeit|noun|possibility
4867.0|das Können|noun|skill
4869.0|der Kopfschmerz|noun|the headache
4870.0|bereiten|verb|prepare
4876.0|entscheiden|verb|decide
4905.0|Athen|noun|Athens
4906.0|der Paris|noun|Paris
4908.0|Madrid|noun|Madrid
4912.0|wen|pronoun|whom
4919.0|das Bar|noun|the bar
4919.001|die Bar|noun|bar
4924.0|der Hund|noun|dog
4936.0|die Playlist|noun|the playlist
4955.0|das Konto|Noun|the account
4961.0|froh|adjective|glad
5007.0|die Option|noun|option
5011.0|die Diskussion|noun|discussion
5014.0|lohnen|Verb|to be worth it
5018.0|der Zweifel|noun|doubt
5020.0|tief|adjective|deep
5042.0|schaffen|verb|create
5051.0|die Therapie|noun|therapy
5055.001|der Viertel|noun|quarter
5055.002|die Viertel|Noun|the quarter
5058.0|siebzehn|numeral|seventeen
5059.0|der Therapeut|noun|the therapist
5061.0|nochmal|adverb|again
5124.0|weiß|adjective|white
5126.0|Polizeibeamte|Noun|police officer
5133.0|eigen|adjective|own
5144.0|der Polizist|noun|policeman
5148.0|das Knie|noun|knee
5152.0|der Bulle|noun|the bull
5159.0|das Fenster|noun|window
5165.0|der Fernseher|noun|television
5176.0|ach|interjection|oh
5191.0|drei|number|three
5192.0|vier|noun|four
5211.0|sodass|Conjunction|So that
5225.0|der Amazon|noun|Amazon
5226.0|Prime|noun|Prime
5228.0|halt|interjection|just
5240.0|die Chance|noun|the opportunity
5243.0|dumm|Adjective|dumb
5249.0|der Job|Nomen|the job
5251.0|freiwillig|adjective|voluntary
5260.0|das Prinzip|noun|principle
5264.0|bestimmt|adjective|certain
5273.0|die Idee|noun|idea
5276.0|das Original|noun|original
5342.0|heißen|verb|to mean
5376.0|die Seite|noun|the side
5380.0|automatisch|adverb|automatically
5428.0|so dass|phrase|so that
5446.0|die Dunkelheit|noun|darkness
5450.0|bald|adverb|soon
5464.0|der Gewinnertyp|noun|the winner
5469.0|kriegen|verb|get
5476.0|Gehaltsklasse|noun|salary grade
5482.0|der Schulabschluss|noun|graduation
5486.0|die Fremdsprache|noun|foreign language
5488.0|das Klavier|noun|piano
5495.0|einen|article|a (masculine)
5496.0|der Blumenstrauß|noun|bouquet
5502.0|der Typ|noun|guy
5516.0|lügen|verb|to lie
5520.0|sicher|adjective|safe
5527.0|die Freundin|noun|the friend (feminine)
5529.0|trotzdem|adverb|nevertheless
5553.0|die Milliarde|noun|the billion
5567.0|der Jemand|noun|someone
5576.0|das Detail|noun|detail
5577.0|perfektionieren|verb|to perfect
5580.0|die Parkbank|noun|park bench
5604.0|fürchten|verb|to fear
5615.0|die Kritik|noun|criticism
5646.0|klassifizierbar|adjective|classifiable
5650.0|das Virus|noun|virus
5650.001|der Virus|noun|the virus
5654.0|obwohl|conjunction|although
5657.0|einhundert|numeral|one hundred
5676.0|der Gentleman|Noun|the gentleman
5714.0|das Rätsel|Noun|riddle
5719.0|der Käfig|noun|the cage
5725.0|frei|adjective|free
5729.0|bewegen|verb|move
5731.0|zusammen|adverb|together
5739.0|verwandt|adjective|related
5750.0|entstehen|verb|to arise
5755.0|versteckt|adjective|hidden
5759.0|stecken|Verb|stick
5766.0|zähmen|verb|tame
5770.0|reiten|Verb|to ride
5774.0|die Innenstadt|noun|the city center
5782.0|stattfinden|verb|take place
5809.0|laufen|verb|run
5812.0|der Delfin|noun (masculine)|dolphin
5818.0|die Taube|noun|the pigeon
5820.0|tauchen|verb|dive
5831.0|versinken|verb|to sink
5853.0|das Lieblingswort|noun|favorite word
5855.0|lauten|verb|state
5856.0|das Alphabet|noun|the alphabet
5856.001|der Alphabet|noun|the alphabet (alternative)
5875.0|das Papier|noun|paper
5888.0|führen|Verb|lead
5914.0|zwar|adverb|indeed
5917.0|das Ziel|noun|goal
5919.0|der Beginn|noun|start
5920.0|mitspielen|verb|to play along
5930.0|gewinnen|verb|to win
5941.0|reich|adjective|rich
5965.0|falsch|adjective|wrong
5980.0|der Lieblingsort|noun|the favorite place
5998.0|eh|adverb|anyway
6022.0|schwanger|adjective|pregnant
6024.0|wem|pronoun|whom
6026.0|die Beziehung|noun|relationship
6035.0|der Penis|noun|the penis
6040.0|der Bus|noun|bus
6040.001|die Bus|noun|bus
6050.0|der Sechster|Noun|sixth
6051.0|der Monat|noun|the month
6051.001|das Monat|noun|the month
6053.0|der Glückwunsch|noun|congratulation
6064.0|frühestens|adverb|at the earliest
6068.0|tot|Adjektiv|dead
6073.0|der Krieg|noun|the war
6093.0|der Schlafanzug|noun|the pajamas
6098.0|billig|adjective|cheap
6103.0|der Kleiner|Noun|little one
6107.0|peinlich|adjective|embarrassing
6117.0|das Mischpult|Noun|mixing console
6133.0|der Salat|noun|salad
6137.0|verrückt|adjective|crazy
6141.0|die Mama|noun|the mom
6148.0|das Fahrrad|noun|the bicycle
6150.0|intakt|adjective|intact
6152.0|der Tabak|Noun|tobacco
6168.0|Girl|Noun|girl
6195.0|der Berg|noun|the mountain
6230.0|das Baby|noun|the baby
6301.0|die Verantwortung|noun|the responsibility
6322.0|böse|adjective|evil
6323.0|der Traum|noun|dream
6325.0|wahr|adjective|true
6337.0|der Sechser|noun|six
6339.0|das Lotto|noun|the lottery
6343.0|tun|Verb|to do
6355.0|Guck|verb|look
6448.001|der Kondom|noun|the condom
6465.0|essen|verb|to eat
6468.0|dick|adjective|thick
6469.0|der Bauch|Noun|belly
6497.0|das Kriegen|noun|get
6514.0|das Bein|noun|leg
6517.0|die Hand|noun|the hand
6586.0|erzählen|verb|to tell
6608.0|schenken|verb|to give
6612.0|die Mutter|noun|mother
6621.0|wegnehmen|verb|to take away
6641.0|der Sohn|noun|son
6644.0|der Soldat|noun|the soldier
6647.0|die Waffe|noun|the weapon
6657.0|das Heim|noun|the home
6663.0|willen|noun|sake
6667.0|riskieren|Verb|to risk
6676.0|das Reich|noun|empire
6707.0|das Geschwister|noun|the sibling
6714.0|zielen|verb|aim
6722.0|überleben|Verb|survive
6726.0|ihn|pronoun|him
6727.0|erschießen|verb|shoot
6733.0|die Rache|noun|the revenge
6734.0|das Leid|noun|sorrow
6741.0|nieder|adverb|down
6787.0|der Herrscher|noun|the ruler
6789.0|zufrieden|adjective|content
6901.0|angenehm|adjective|pleasant
6905.0|der Arm|noun|the arm
6908.0|leichtfallen|verb|to come easy
6964.0|a-|prefix|a-
6993.0|zweifelsfrei|Adverb|undoubtedly
6994.0|die Einsamkeit|noun|the solitude
6996.0|die Person|noun|person
6998.0|der Vergleich|Noun|comparison
7004.0|selten|adjective|rare
7015.0|darin|adverb|therein
7021.0|gemeinsam|Adjektiv|together
7073.0|beide|pronoun|both
7161.0|die Welle|noun|wave
7183.0|hoffen|verb|hope
7208.0|schlagen|verb|hit
7217.0|der Film|noun|film
7224.0|brechen|verb|break
7262.0|weißen|verb|white
7273.0|taub|adjective|deaf
7275.0|das Salz|noun|the salt
7280.0|die Träne|Noun|tear
7287.0|dran|Adverb|on it
7298.0|wellen|verb|to wave
7310.0|leben|verb|live
7386.0|der Sturm|noun|storm
7513.0|steppen|verb|step
7526.0|ne|interjection|nah
7527.0|die Packung|noun|the package
7529.0|die Batterie|noun|the battery
7531.0|das Plutonium|noun|the plutonium
7538.0|neugeboren|adjective|newborn
7547.0|bedeutungslos|adjective|meaningless
7549.0|stinken|verb|stink
7565.0|einkaufen|verb|to shop
7566.0|die Atemmaske|noun|the breathing mask
7572.0|das Gras|noun|grass
7575.0|der Geist|Noun|spirit
7578.0|die Lunge|noun|the lung
7581.0|merken|verb|to notice
7591.0|der Vogel|noun|the bird
7605.0|schwimmen|verb|swim
7611.0|die Möwe|noun|seagull
7612.0|neben|preposition|next to
7626.0|das Porzellan|noun|the porcelain
7640.0|der Panda|noun|the panda
7642.0|schmecken|verb|to taste
7673.0|strecken|verb|to stretch
7680.0|bieten|verb|to offer
7690.0|nötig|adjective|necessary
7697.0|das Picknick|noun|picnic
7701.0|der Massagesessel|noun|the massage chair
7707.0|die Spur|noun|trace
7710.0|die Plastikhülle|noun|plastic cover
7719.0|der Müll|noun|the trash
7740.0|die Mikrowelle|noun|the microwave
7746.0|die Urlaubsreise|noun|the vacation trip
7758.0|strahlen|verb|radiate
7769.0|endlos|adjective|endless
7772.0|zittern|verb|to tremble
7782.0|die Umwelt|noun|environment
7788.0|retten|verb|to save
7791.0|der Gummistiefel|noun|rubber boot
7836.0|drunter|adverb|underneath
7867.0|der Boom|noun|boom
7879.0|rufen|verb|to call
7886.0|wegwerfen|verb|to throw away
7940.0|wau|interjection|woof
7943.0|Ah|interjection|Ah
7991.0|schau|verb|look
8006.0|blutrot|Adjective|blood red
8017.0|DAX|noun|DAX index
8019.0|das Rekordhoch|noun|the record high
8020.0|brandneu|adjective|brand-new
8021.0|der Chino|noun|the chino
8040.0|links|adverb|left
8043.0|rechts|adverb|right
8055.0|die Diktatur|noun|dictatorship
8056.0|die Schau|Noun|show
8061.0|die Freiheit|noun|freedom
8065.0|der Milliardär|noun|the billionaire
8081.0|politisch|adjective|political
8099.0|der Faschismus|noun|fascism
8101.0|back|Adverb|back
8115.0|bequem|Adjective|comfortable
8151.0|die Seine|Noun|the seine (river)
8156.0|her|adverb|over here
8170.0|fünfzig|numeral|fifty
8173.0|heiß|Adjektiv|hot
8176.0|braun|adjective|brown
8180.0|die Brandmauer|noun|firewall
8181.0|brennen|verb|to burn
8194.0|stark|adjective|strong
8214.0|jagen|Verb|hunt
8274.0|sinnlos|Adjective|pointless
8303.0|der Mut|noun|courage
8315.0|bedeuten|verb|to mean
8352.0|linksextrem|Adjektiv|far-left
8393.0|schließlich|adverb|finally
8406.0|debattieren|verb|to debate
8422.0|die Schwester|noun|the sister
8423.0|reinkommen|verb|to come in
8427.0|rausgehen|verb|to go out
8438.0|der Applaus|noun|applause
8447.0|die Leukämie|noun|leukemia
8451.0|heilbar|adjective|curable
8504.0|rauskommen|verb|to come out
8525.0|schlimm|adjective|bad
8534.0|drinbleiben|verb|stay inside
8536.0|drin|adverb|inside
8589.0|der Erythrozyt|noun|erythrocyte
8591.0|der Thrombozyt|noun|thrombocyte
8597.0|das Essen|noun|meal
8671.0|woher|adverb|from where
8680.0|gestern|adverb|yesterday
8699.0|der Wind|noun|wind
8701.0|das Blatt|noun|the leaf
8710.0|das Ohr|Noun|ear
8735.0|der Steuerzahler|noun|taxpayer
8738.0|der Fortschritt|Noun|progress
8745.0|die Firma|noun|company
8747.0|impfen|verb|to vaccinate
8749.0|tabu|adjective|taboo
8750.0|Merkel|noun|Merkel
8757.0|Xavier|Proper noun|Xavier
8775.0|die Minute|Noun|Minute
8778.0|die Pause|noun|break
8784.0|dicht|adjective|dense
8787.0|hin|adverb|there
8805.0|ernst|adjective|serious
8814.0|überraschen|verb|to surprise
8829.0|das Haschisch|noun|the hashish
8829.001|der Haschisch|noun|hashish
8831.0|der Likör|noun|the liqueur
8833.0|der Regen|noun|rain
8861.0|deshalb|adverb|therefore
8877.0|packen|verb|to pack
8879.0|vorne|adverb|in front
8890.0|der Schlüssel|noun|the key
8914.0|legen|verb|lay
8921.0|die Lippe|noun|lip
8957.0|der Tee|noun|tea
8957.001|das Tee|noun|the tea
8990.0|das Schloss|noun|castle
8992.0|wundern|verb|to wonder
9000.0|das Erdgeschoss|noun|the ground floor
9006.0|der Schatten|noun|shadow
9014.0|halb|adjective|half
9025.0|die Situation|noun|the situation
9040.0|herkommen|verb|to come from
9049.0|riechen|verb|smell
9057.0|der Zorn|noun|anger
9058.0|der Mir|noun|Mir
9061.0|andr-|prefix|other (partial word)
9062.0|der Ausweg|noun|way out
9065.0|die Flucht|noun|escape
9067.0|vorn|adverb|at the front
9113.0|die Fahne|noun|the flag
9126.0|die Mission|noun|mission
9128.0|erfüllen|verb|fulfill
9130.0|das Plakat|noun|poster
9131.0|acht|numeral|eight
9132.0|das Komma|noun|the comma
9138.0|folgen|verb|follow
9140.0|Hol|Verb|fetch
9154.0|drüben|adverb|over there
9165.0|Aldi|noun|Aldi
9168.0|unser|Possessivpronomen|our
9184.0|die Girlande|noun|the garland
9209.0|bauen|verb|build
9212.0|der Vollidiot|noun|the complete idiot
9229.0|nachts|adverb|at night
9264.0|vereinen|verb|unite
9266.0|der Beton|noun|the concrete
9312.0|der Schuh|noun|shoe
9316.0|golden|adjective|golden
9321.0|die Ewigkeit|noun|eternity
9398.0|pennen|verb|to sleep
9406.0|wann|adverb|when
9435.0|der Kaffee|noun|the coffee
9435.001|das Kaffee|noun|coffee
9486.0|der Affe|noun|monkey
9491.0|die Drohne|noun|drone
9497.0|der Himmel|noun|sky
9500.0|rot|adjective|red
9501.0|Australien|noun|Australia
9506.0|unweit|adverb|not far
9509.0|das Dschungelcamp|noun|jungle camp
9512.0|der Februar|noun|February
9522.0|Erfurt|noun|Erfurt
9527.0|Hanau|noun|Hanau
9534.0|die Maske|noun|the mask
9544.0|die Pandemie|noun|the pandemic
9564.0|der März|noun|March
9583.0|funktionieren|verb|to function
9592.0|die Europa|noun|Europe
9602.0|die Hilfe|noun|help
9605.0|die Lufthansa|noun|Lufthansa
9616.0|falls|conjunction|if
9625.0|der Basketball|noun|the basketball
9630.0|der Rassismus|noun|racism
9631.0|bemerken|verb|notice
9634.0|der Mai|noun|May
9644.0|zweimal|adverb|twice
9645.0|demonstrieren|verb|demonstrate
9676.0|aufrecht|adjective|upright
9679.0|völlig|adverb|completely
9682.0|wünschen|verb|to wish
9694.0|weggehen|verb|to leave
9704.0|Gleiche|noun|the same
9706.0|der September|Substantiv|September
9772.0|die Schmerztablette|noun|the painkiller
9779.0|die Schwäche|noun|weakness
9783.0|die Eifersucht|noun|jealousy
9786.0|Wanderrucksack|noun|hiking backpack
9791.0|verliebt|adjective|in love
9807.0|die Seele|noun|the soul
9834.0|unmöglich|adjective|impossible
9839.0|besitzen|verb|to own
9848.0|der Ballast|noun|the ballast
9870.0|der Ball|noun|ball
9871.0|flach|adjective|flat
9887.0|küssen|verb|kiss
9891.0|fest|adjective|firm
9899.0|der Masochist|noun|masochist
9919.0|hart|adjective|hard
9920.0|vermissen|Verb|miss
9928.0|die Peitsche|noun|the whip
9929.0|dressieren|verb|to train (animals)
9940.0|das Genital|noun|genital
9941.0|direkt|adjective|direct
9944.0|der Kohl|noun|cabbage
9949.0|der Gesichtsausdruck|noun|facial expression
9950.0|der Schrei|noun|scream
9958.0|kalt|adjective|cold
9969.0|der Ring|noun|ring
9977.0|der Volleyball|noun|the volleyball
9988.0|die Vergangenheit|noun|the past
10072.0|Ehrlich|Adjective|honest
10086.0|der Brokkoli|noun|the broccoli
10097.0|schneiden|verb|cut
10098.0|klingen|verb|sound
10184.0|der Hit|noun|the hit
10187.0|die Nation|noun|nation
10206.0|davon|adverb|of it
10215.0|klug|adjective|smart
10265.0|ziehen|verb|to pull
10268.0|die Entschuldigung|noun|apology
10278.0|tierisch|adjective|animalistic
10281.0|fahren|verb|drive
10288.0|glänzen|verb|to shine
10310.0|der Held|noun|hero
10404.0|das Gedicht|noun|the poem
10492.0|der Fall|Nomen|the case
10492.001|das Fall|noun|fall
10502.0|der Gott|noun|god
10504.0|der Dank|noun|thanks
10505.0|garantiert|adjective|guaranteed
10509.0|der Schrank|noun|cabinet
10575.0|das Speed|noun|the speed
10576.0|der Trainer|noun|the coach
10581.0|die Jogginghose|noun|jogging pants
10586.0|bezahlen|verb|to pay
10601.0|entschieden|adjective|determined
10604.0|das Arschloch|noun|jerk
10612.0|der Gewinner|noun|winner
10614.0|der Verlierer|noun|the loser
10620.0|Louis|noun|Louis
10628.0|rocken|verb|to rock
10630.0|siebzig|numeral|seventy
10635.0|die Solidarität|Nomen|solidarity
10657.0|super|adjective|super
10675.0|nähen|verb|sew
10678.0|der Donnerstag|noun|the Thursday
10683.0|der Termin|Noun|appointment
10685.0|der Teufel|Noun|devil
10703.0|zehntausend|numeral|ten thousand
10709.0|ähm|interjection|uhm
10718.0|Br|Noun|br
10719.0|o|letter|o
10725.0|das Outfit|noun|the outfit
10726.0|wert|adjective|worth
10727.0|die Nike|noun|Nike
10785.0|der Rand|noun|edge
10796.0|der Geschmack|Noun|taste
10808.0|der Rucksack|noun|the backpack
10810.0|die Jeans|Noun|the jeans
10810.001|das Jeans|Noun|the jeans
10815.0|die Hundert|noun|the hundred
10815.001|das Hundert|noun|hundred
10830.0|die Masse|Nomen|mass
10924.0|Okay|interjection|okay
10925.0|cool|adjective|cool
10942.0|Lichtenberg|noun|Lichtenberg
10957.0|tiefbraun|adjective|dark brown
10960.0|grau|adjective|gray
10974.0|die Mauer|noun|the wall
10999.0|die Demokratie|noun|democracy
11050.0|die Hoffnung|noun|the hope
11071.0|wann|adverb|when
11075.0|der Alex|noun|Alexanderplatz
11078.0|der Frieden|noun|peace
11204.0|runter|adverb|down
11268.0|deutlich|adjective|clear
11281.0|Kunstausstellung|noun|art exhibition
11330.0|interpretieren|verb|to interpret
11421.0|die Sternennacht|Noun|the starry night
11423.0|abends|Adverb|in the evening
11428.0|Adam|noun|Adam
11448.0|Mona|proper noun|Mona
11453.0|Lisa|proper noun|Lisa
11471.0|das DIN|noun|DIN standard
11471.001|die DIN|Noun|the DIN standard
11533.0|glücklich|adjective|happy
11535.0|wow|Interjection|wow
11540.0|die Katze|noun|the cat
11541.0|kosten|verb|cost
11562.0|die Toilette|noun|the toilet
11567.0|ehm|Interjection|ehm
11615.0|die Falte|noun|the wrinkle
11625.0|der Alter|noun|the age
11625.001|das Alter|noun|age
11631.0|feiern|verb|celebrate
11644.0|das Aroma|noun|aroma
11655.0|wenig|adjective|little
11657.0|blühen|verb|bloom
11658.0|die Ausnahme|noun|exception
11676.0|selbstverliebt|adjective|self-absorbed
11683.0|das Lächeln|Noun|the smile
11691.0|die Entwicklung|noun|the development
11693.0|der Prinz|noun|the prince
11696.0|das Jahrzehnt|noun|decade
11698.0|die Tragödie|noun|the tragedy
11708.0|sin|noun|sine
11717.0|Sebastian|Substantiv|Sebastian
11721.0|vierzehn|Numeral|fourteen
11732.0|offen|adjective|open
11787.0|unterschätzen|verb|to underestimate
11802.0|missverstehen|verb|to misunderstand
11806.0|optisch|adjective|optical
11820.0|die Antilope|noun|antelope
11838.0|hu|Interjection|huh
11922.0|die Aufgabe|noun|task
11926.0|erledigen|verb|to handle
11931.0|freundlich|adjective|friendly
11964.0|der Charakter|noun|character
11969.0|mitarbeiten|verb|to collaborate
11985.0|das Holz|Noun|wood
11992.0|loben|Verb|to praise
12072.0|besser|adjective|better
12094.0|das Karma|noun|karma
12096.0|Dieter|noun|Dieter
12102.0|abschreckend|adjective|daunting
12109.0|der Tod|noun|death
12125.0|der Herzinfarkt|noun|heart attack
12135.0|der Kapitalismus|noun|capitalism
12143.0|das Beispiel|noun|example
12167.0|der Knoten|noun|the knot
12172.0|der Faden|noun|thread
12201.0|das Lernen|Noun|learning
12224.0|die Orange|Noun|the orange
12224.001|das Orange|Noun|the orange
12246.0|der Luxus|Noun|the luxury
12248.0|der Ruhm|noun|the fame
12281.0|die Antwort|noun|answer
12330.0|gewaltbereit|adjective|prone to violence
12331.0|der Ausländer|noun|foreigner
12342.0|Togo|Noun|togo
12362.0|wunderbar|adjective|wonderful
12363.0|der Neger|Noun|the negro
12381.0|die Deutschlandfahne|noun|German flag
12399.0|das Volk|noun|people
12402.0|besorgt|adjective|concerned
12410.0|das Rot|noun|the red
12411.0|grün|adjective|green
12418.0|homophob|adjective|homophobic
12431.0|Schwule|noun|gays
12434.0|heilen|verb|heal
12441.0|Brownie|noun|brownie
12442.0|backen|verb|to bake
12447.0|teilen|verb|to share
12462.0|überhaupt|adverb|at all
12468.0|irgendjemand|pronoun|someone
12473.0|der Döner|noun|kebab
12475.0|die Soße|noun|sauce
12491.0|das Böses|noun|evil
12498.0|die Zukunft|noun|future
12501.0|wahrscheinlich|adverb|probably
12612.0|harmonieren|verb|to harmonize
12619.0|mitmarschieren|verb|to march along
12637.0|selbstgeschrieben|Adjective|self-written
12639.0|ticken|verb|to tick
12654.0|die Uhr|noun|clock
12657.0|der Burger|noun|the burger
12687.0|pünktlich|adjective|punctual
12693.0|abschicken|verb|to send
12697.0|unbedingt|adverb|absolutely
12709.0|die Siegerin|noun|the winner
12737.0|drüber|adverb|over it
12756.0|dringend|adjective|urgent
12932.0|der Adonis|noun|Adonis
12932.001|die Adonis|noun|the Adonis
12946.0|die Mark|noun|mark
12946.001|das Mark|noun|marrow
12950.0|durchschnittlich|adjective|average
12966.0|draus|adverb|out of it
12971.0|das T-Shirt|noun|the T-shirt
12973.0|die Größe|noun|size
12974.0|das M|noun|M
12980.0|die Metapher|noun|the metaphor
12985.0|eng|adjective|narrow
12990.0|wobei|adverb|whereby
12994.0|fair|adjective|fair
13009.0|ihm|pronoun|him
13039.0|das Schwert|noun|sword
13043.0|wehren|verb|to defend
13044.0|martialisch|adjective|martial
13045.0|das Geschrei|noun|the screaming
13081.0|der Ritter|noun|knight
13083.0|stammen|verb|to originate
13086.0|das Geschlecht|noun|gender
13104.0|interessant|adjective|interesting
13117.0|die Plastik|Noun|plastic
13117.001|das Plastik|noun|the plastic
13117.002|der Plastik|Noun|plastic material
13128.0|plus|conjunction|plus
13130.0|der Feuerschaden|Noun|fire damage
13135.0|das Lagerfeuer|noun|the campfire
13146.0|die Arbeit|noun|work
13155.0|das Pappmaché|Noun|the papier-mâché
13157.0|das Latex|noun|latex
13160.0|das Ich|noun|self
13171.0|die Elbe|Noun|Elbe River
13174.0|der Zwerg|noun|the dwarf
13228.0|der Sonntagnachmittag|noun|Sunday afternoon
13230.0|der Lärm|noun|the noise
13232.0|die Schlacht|Noun|battle
13239.0|das Zelt|Noun|tent
13239.001|der Zelt|Noun|tent (archaic)
13244.0|der Schweiß|noun|the sweat
13246.0|die Pubertät|noun|the puberty
13252.0|draußen|adverb|outside
13255.0|die Renaissance|noun|renaissance
13268.0|tauschen|verb|exchange
13271.0|die Rüstung|noun|armor
13276.0|das Shirt|noun|shirt
13285.0|zerstören|verb|to destroy
13318.0|wütend|adjective|angry
13326.0|die Jugend|noun|youth
13349.0|stumm|Adjektiv|mute
13350.0|der Protest|noun|protest
13369.0|die Hymne|noun|anthem
13381.0|die Sicherheit|noun|the security
13385.0|Schuß|noun|shot
13424.0|der Dreck|noun|dirt
13427.0|umgeben|verb|to surround
13434.0|zwingen|verb|to force
13443.0|das Jahr|noun|year
13468.0|die Karriere|noun|career
13602.0|der Brief|noun|letter
13612.0|mitteilen|verb|to inform
13633.0|ausdenken|verb|to invent
13635.0|sowas|Pronomen|such a thing
13640.0|das Kapitel|noun|chapter
13646.0|das Bongo|noun|bongo drum
13646.001|die Bongo|noun|bongo
13646.002|der Bongo|noun|bongo player
13651.0|die Flagge|noun|the flag
13660.0|der Brandenburger|noun|the Brandenburger
13661.0|das Tor|noun|gate
13677.0|lila|adjective|purple
13678.0|Leggins|Noun|leggings
13685.0|der Schild|noun|shield
13685.001|das Schild|noun|sign
13725.0|die Realität|noun|reality
13763.0|der Koch|noun|cook
13763.001|das Koch|Noun|the cook
13775.0|der Thron|noun|throne
13777.0|der Satan|noun|the Satan
13781.0|das Museum|noun|museum
13800.0|der Grundschullehrer|noun|the elementary school teacher
13806.0|irgendwas|pronoun|something
13809.0|die GmbH|noun|LLC
13826.0|das Finale|noun|final
13838.0|die Treppe|noun|stairs
13841.0|der Bundestag|noun|parliament
13847.0|die Revolution|noun|revolution
13914.0|das Manuskript|noun|manuscript
13934.0|der Kollege|noun|colleague
13980.0|das Senfglas|noun|mustard jar
13989.0|die Schlange|noun|snake
13991.0|pinkeln|Verb|pee
13993.0|der Sitz|noun|seat
13998.0|die Wanne|noun|bathtub
14034.0|der Weißwein|noun|white wine
14040.0|lecker|adjective|delicious
14041.0|das Dessert|noun|the dessert
14042.0|der Lecker|Adjective|delicious
14055.0|die Tomate|Noun|the tomato
14056.0|der Mozzarella|Noun|mozzarella
14064.0|Machen|noun|doing
14082.0|das Raumschiff|noun|spaceship
14100.0|das Brot|noun|bread
14102.0|zumindest|adverb|at least
14106.0|glutenfrei|adjective|gluten-free
14130.0|finnisch|adjective|Finnish
14131.0|der Autor|noun|author
14174.0|das Tiramisu|noun|tiramisu
14192.0|laktosefrei|adjective|lactose-free
14199.0|puh|interjection|phew
14245.0|das Rezept|noun|recipe
14247.0|danken|verb|thank
14259.0|die Wiederholung|noun|the repetition
14264.0|die Mediathek|noun|the media library
14321.0|Finnisch|noun|Finnish
14334.0|tatsächlich|adverb|actually
14358.0|hinkommen|verb|to get there
14378.0|der Nudelsalat|Noun|pasta salad
14405.0|Beate|noun|Beate
14440.0|sofort|adverb|immediately
14476.0|die Gelegenheit|noun|opportunity
14496.0|das Maul|noun|mouth
14580.0|anrufen|Verb|to call
14583.0|versprechen|verb|promise
14585.0|erinnern|Verb|remember
14590.0|die Macht|noun|power
14604.0|planen|verb|to plan
14609.0|hängen|Verb|hang
14623.0|aufgeben|verb|to give up
14643.0|der Schlag|noun|the blow
14733.0|Dong|Noun|dong
14735.0|liefern|verb|deliver
14740.0|der Zettel|noun|note
14746.0|der Schneesturm|noun|snowstorm
14748.0|das Kommando|noun|the command
14749.0|der Bikini|noun|the bikini
14749.001|das Bikini|Noun|the bikini
14761.0|der Ford|noun|Ford
14762.0|der Transit|noun|transit
14762.001|das Transit|Noun|the transit
14763.0|das Paket|noun|package
14767.0|wenigstens|adverb|at least
14769.0|obdachlos|adjective|homeless
14770.0|der Nix|noun|the nix
14776.0|die Selbstständigkeit|noun|independence
14813.0|die Türe|noun|door
14817.0|ausbeuten|verb|to exploit
14819.0|die Baracke|noun|the barrack
14827.0|per|preposition|via
14831.0|der Schutz|Noun|the protection
14834.0|befreien|verb|free
14860.0|trennen|verb|separate
14913.0|das Dankeschön|noun|thank you
14949.0|servieren|verb|to serve
14959.0|Sachsen|noun|Saxony
14966.0|Gesundheitspolizei|Noun|health police
14986.0|Hessen|noun|Hesse
14993.0|winken|verb|to wave
14995.0|der Schwabe|noun|Swabian
14998.0|die Leberwurst|noun|liver sausage
15022.0|der Pilz|Noun|Mushroom
15031.0|das Törtchen|noun|small cake
15037.0|die Asche|noun|the ash
15039.0|das Sandwich|noun|sandwich
15039.001|der Sandwich|noun|sandwich
15089.0|Rolex|noun|Rolex
15102.0|absolut|adjective|absolute
15115.0|nett|adjective|nice
15119.0|rauch|Noun|smoke
15138.0|schmuck|Noun|jewelry
15163.0|der Ausgang|noun|exit
15164.0|das Muss|noun|the must
15172.0|der Brauch|Noun|the custom
15175.0|der Drink|noun|the drink
15189.0|die Lady|noun|lady
15193.0|sieben|Numeral|seven
15203.0|der Tanz|noun|dance
15206.0|der Song|noun|the song
15208.0|das Placebo|noun|the placebo
15210.0|blau|adjective|blue
15213.0|die Dame|noun|lady
15214.0|dito|adverb|same
15217.0|hübsch|adjective|pretty
15222.0|der Ehering|noun|wedding ring
15239.0|die Queen|noun|the queen
15267.0|das Kid|noun|kid
15269.0|der Augenblick|noun|the moment
15273.0|der Wunsch|noun|wish
15294.0|darauf|adverb|thereupon
15317.0|der Barkeeper|noun|the bartender
15331.0|vergessen|verb|forget
15341.0|die Offensive|noun|the offensive
15365.0|die Ehe|noun|the marriage
15413.0|Hot|Adjective|hot
15417.0|das A|noun|the A
15419.0|das Top|noun|top
