der Auftritt beginnt                             |выступление начинается
zerstäuben das Parfum                            |распылять парфюм
werden zu einem Problem                          |становиться проблемой
in dem Erholungsheim sein                        |быть в доме отдыха
die Halbinsel ist groß                           |полуостров большой
zu einem annehmbaren Preis                       |по приемлемой цене
das Feuerzeug kaufen                             |купить зажигалку
die Zuversicht bewahren                          |сохранять уверенность
die Карре nähen                                  |шить чехол
die Pflaume pflücken                             |собирать сливу
der Füller schreibt                              |авторучка пишет
die Sinnlosigkeit erkennen                       |осознать бессмысленность
zu einem Ergebnis kommen                         |приходить к результату
der Wasserhahn tropft                            |водопроводный кран капает
zwangloses Gespräch                              |непринужденный разговор
schnell laufen                                   |быстро бегать
der Fernseher ausschalten                        |выключать телевизор
eine glatte Oberfläche                           |гладкая поверхность
einförmig gestalten                              |делать однообразным
sich im Wasser senken                            |опускаться в воду
die Kehrseite ist sichtbar                       |изнанка видна
ein unerwarteter Besuch                          |неожиданный визит
die Nähmaschine benutzen                         |пользоваться швейной машинкой
der Regenschauer ist stark                       |ливень сильный
ein Einzelteil kaufen                            |купить отдельную часть
der Winkel ist eng                               |угол узкий
das Paar tanzt                                   |пара танцует
die Wagenladung sichern                          |закреплять нагрузку автомобиля
der Wegweiser zeigt                              |путеводитель показывает
leichtgläubig sein                               |быть доверчивым
seitwärts blicken                                |смотреть в сторону
das Volumen berechnen                            |рассчитывать объем
ein Fenster ausschlagen                          |выбить окно
der Koffer packen                                |собирать чемодан
der Schauspieler spielt                          |актер играет
die Vollpension buchen                           |бронировать полный пансион
dringlich anrufen                                |срочно звонить
eine verantwortliche Position                    |ответственная позиция
überhaupt nicht                                  |вообще нет
durchfluten ein Tal                              |затопить долину
dafür sein                                       |быть за
verwandt sein                                    |быть родственником
das Verfahren entwickeln                         |разрабатывать метод
die Wellpappe schneiden                          |резать гофрированный картон
das Lineal benutzen                              |пользоваться линейкой
die Besatzung ist bereit                         |экипаж готов
der Zutritt ist verboten                         |доступ запрещен
zu jemandem sagen                                |сказать кому-либо
einerseits zustimmen                             |с одной стороны соглашаться
die feierliche Zeremonie                         |торжественная церемония
der Aufschwung der Wirtschaft                    |подъем экономики
mit dem Rauchen aufhören                         |бросить курить
ein Dokument ausfertigen                         |составлять документ
die Buche ist alt                                |бук старый
einen Tisch reservieren                          |бронировать столик
eine stark befahrene Straße                      |оживленная улица
eine spitze Nadel                                |острая игла
violette Blume                                   |фиолетовый цветок
die Ausdauer ist notwendig                       |выносливость необходима
unter Kopfschmerzen leiden                       |страдать от головной боли
ein simples Design                               |простой дизайн
die Situation analysieren                        |анализировать ситуацию
eine präzise Erklärung                           |точное объяснение
der Streifen ist breit                           |полоса широкая
der Führer leitet                                |руководитель руководит
woher kommst du?                                 |откуда ты?
in die Trompete blasen                           |дуть в трубу
die Ebene ist breit                              |область широкая
sich als nützlich herausstellen                  |оказываться полезным
die Führung ist wichtig                          |руководство важно
zwanzig Jahre                                    |двадцать лет
der Ober bringt                                  |официант приносит
eine unbefangene Meinung                         |непредвзятое мнение
die Kamera fotografieren                         |фотографировать камерой
der Frosch hüpft                                 |лягушка прыгает
sich mit Freunden treffen                        |встречаться с друзьями
die Langeweile vertreiben                        |разгонять скуку
der Übersetzer arbeitet                          |переводчик работает
faulenzen den ganzen Tag                         |лентяйничать весь день
der Federball wird gespielt                      |играют в бадминтон
den Fortschritt begünstigen                      |способствовать прогрессу
die bulgarische Küche                            |болгарская кухня
einen Patienten operieren                        |оперировать пациента
eine Antwort verlangen                           |требовать ответ
teils richtig                                    |частично правильно
die Nacht verbringen                             |проводить ночь
einen Ruf verleumden                             |клеветать на репутацию
ein unverantwortliches Verhalten                 |безответственное поведение
das Schlafzimmer aufräumen                       |убирать спальню
ein ungewöhnliches Ereignis                      |необычное событие
wundervoller Tag                                 |чудесный день
die Kirsche ist süß                              |вишня сладкая
die Übelkeit verursachen                         |вызывать тошноту
das Auto fahren                                  |водить машину
die Geschichte ist interessant                   |история интересная
uns besuchen                                     |посетить нас
die Auffassung ist klar                          |восприятие ясно
die Nachricht lesen                              |читать сообщение
die Rechentechnik nutzen                         |использовать вычислительную технику
die Sendung anschauen                            |смотреть передачу
die Angst wächst                                 |страх растет
das Wetter vorhersagen                           |прогнозировать погоду
etwas lernen                                     |учиться чему-то
die Spiegelung sehen                             |видеть отражение
das Pech haben                                   |иметь неудачу
sich bei der Arbeit regen                        |шевелиться на работе
sich über die Lautstärke beschweren              |жаловаться на громкость
das Misstrauen überwinden                        |преодолевать недоверие
das Jahrhundert erleben                          |пережить столетие
jemanden für ein Vergehen bestrafen              |наказывать за проступок
die Erkältung ist stark                          |простуда сильная
die Pute braten                                  |жарить индейку
verseuchen das Wasser                            |заражать воду
ertragen die Schmerzen                           |выносить боль
die Handuhr ist kaputt                           |наручные часы сломаны
sich über ein Gebiet erstrecken                  |простираться на территорию
ein ungarisches Restaurant                       |венгерский ресторан
mit einem neuen Projekt anfangen                 |начать с нового проекта
der Korken liegt                                 |пробка лежит
weiter arbeiten                                  |продолжать работать
der faulige Geruch                               |запах гнили
mit dem Flugzeug fliegen                         |летать на самолете
der graue Anblick                                |ужасный вид
habe gebracht                                    |привел, довел
das Brot brechen                                 |ломать хлеб
erholen sich nach der Krankheit                  |восстанавливаться после болезни
zum Fenster schauen                              |смотреть в окно
sich für die Reise fertigmachen                  |готовиться к поездке
seine Unart verweisen                            |выговаривать за дурное поведение
der Basketball rollt                             |баскетбольный мяч катится
eine Geschichte nacherzählen                     |пересказывать историю
die Chance ist groß                              |шанс велик
die Birke ist hoch                               |береза высокая
eine termingerechte Lieferung                    |доставка в срок
der Kissenbezug ist sauber                       |наволочка чистая
die Selbststeuerung prüfen                       |проверять автоматическое управление
die Gitarre spielt                               |гитара играет
eine peinliche Situation                         |неловкая ситуация
die Begabung ist selten                          |талант редкий
die Tiere füttern                                |кормить животных
das Maß nehmen                                   |снимать мерки
die Kollektion präsentieren                      |представить коллекцию
hin und her schwanken                            |шататься туда-сюда
der Stöpsel ist verloren                         |пробка потеряна
der Kleiderbügel hängt                           |плечики висят
verzehren das Essen                              |съедать еду
die Salbe auftragen                              |наносить мазь
das Mitleid empfinden                            |испытывать сострадание
sich mit jemandem befreunden                     |подружиться с кем-то
am Fluss fischen                                 |ловить рыбу на реке
ein Haus sichern                                 |обеспечивать безопасность дома
der Krankenschein ist gültig                     |больничный лист действителен
das ist ja sehr erfreulich                       |это очень отрадно
der Appetit wächst                               |аппетит растет
eine unausstehliche Person                       |невыносимый человек
Milch gerinnen                                   |молоко свертывается
der Mann spricht                                 |мужчина говорит
die schöne Blume                                 |прекрасный цветок
eine allwöchentliche Aufgabe                     |еженедельное задание
verschwenden Geld                                |тратить впустую деньги
der Jurist berät                                 |юрист консультирует
die Uhr aufziehen                                |завести часы
ein Haus besitzen                                |владеть домом
der Rundfunkhörer hört                           |радиослушатель слушает
eine Zahlung stunden                             |отсрочить платеж
der Tausch ist fair                              |обмен справедливый
der Kies liegt                                   |гравий лежит
der Besen steht                                  |метла стоит
die Wochenzeitschrift abonnieren                 |подписываться на еженедельный журнал
die Tasche tragen                                |нести сумку
sich mit jemandem streiten                       |ссориться с кем-то
etwas schlucken                                  |глотать что-то
der Geschäftsbesuch ist geplant                  |деловой визит запланирован
der Morgen graut                                 |утро наступает
das Recht haben                                  |иметь право
die Mitternacht ist ruhig                        |полночь спокойная
die Angestellte arbeitet                         |служащая работает
die Telefonzelle benutzen                        |использовать телефонную кабину
eine Oberfläche befühlen                         |ощупывать поверхность
einen Brief senden                               |посылать письмо
ein preiswerteres Angebot                        |более дешёвое предложение
das Mittagessen vorbereiten                      |готовить обед
das Mehl sieben                                  |просеивать муку
der Seehund schwimmt                             |тюлень плавает
erfordern viel Geduld                            |требовать много терпения
die Auskunft ist klar                            |справка ясная
ein mühsamer Weg                                 |утомительный путь
das Gewebe untersuchen                           |исследовать ткань
auf dem Deck stehen                              |стоять на палубе
das Zollamt besuchen                             |посетить таможню
das Gepäcknetz benutzen                          |использовать ручной багаж
die Bindung ist stark                            |связь крепкая
der Steinpilz schmeckt                           |белый гриб вкусный
eine tolerante Gesellschaft                      |терпимое общество
etwas für wichtig halten                         |считать что-то важным
die Fabrik ist groß                              |фабрика большая
der Schaden ist groß                             |повреждение большое
ins Ausland trecken                              |переезжать за границу
das Motorschiff steuern                          |управлять теплоходом
überzeugen den Kunden                            |убеждать клиента
nahezu eine Woche                                |почти неделя
das Glas reinigen                                |чистить стекло
eine Nachricht mitteilen                         |сообщать новость
leise murmeln                                    |тихо бормотать
die Ausbildung ist wichtig                       |образование важно
sich wundern über eine Nachricht                 |удивляться новости
das Fenster öffnen                               |открывать окно
mit einer Decke bedecken                         |прикрыть одеялом
dieselbe Aufgabe erledigen                       |выполнять ту же задачу
die Schaufel benutzen                            |использовать лопату
sich über das Wetter beklagen                    |пожаловаться на погоду
ein Ansuchen stellen                             |подать ходатайство
die Kosten rechnen                               |считать расходы
der Taucher taucht                               |водолаз ныряет
ein schmackhaftes Gericht                        |вкусное блюдо
ein handliches Gerät                             |удобный в обращении прибор
der Dreher arbeitet                              |токарь работает
der Filzstift schreibt                           |фломастер пишет
das Meer schwimmen                               |плавать в море
die Kruste ist knusprig                          |корка хрустящая
einströmen in den Raum                           |вливаться в комнату
die Jagd ist lang                                |охота длинная
Medikamente verabreichen                         |давать лекарства
der Ansager kündigt an                           |диктор объявляет
jemandem beistehen                               |помогать кому-то
zurückgeben das Buch                             |возвращать книгу
versenden die Pakete                             |отправлять посылки
die Zwiebel schneiden                            |резать лук
das Becken füllen                                |наполнить таз
das Schulbuch lesen                              |читать учебник
die Hilfe ist notwendig                          |помощь необходима
der Beiname ist bekannt                          |прозвище известно
zentraler Platz                                  |центральное место
die Frage ist einfach                            |вопрос простой
die Zitrone auspressen                           |выжимать лимон
das Feuer brennen                                |гореть огонь
die Überflutung verhindern                       |предотвращать затопление
die Hemmung ist stark                            |торможение сильное
die Dosis ist richtig                            |доза правильная
der Pass vorzeigen                               |предъявлять паспорт
eine Pause rasten                                |делать привал
eine gewandte Person                             |ловкий человек
Gäste unterbringen                               |размещать гостей
mit jemandem sprechen                            |говорить с кем-то
der Südosten ist heiß                            |юго-восток жаркий
ein leckeres Essen                               |вкусная еда
das kommt mir sehr gelegen                       |это для меня очень кстати
die Kniestrümpfe tragen                          |носить гольфы
das Verdacht hegen                               |подозревать
Eisen rosten                                     |железо ржавеет
jemanden aus der Gruppe ausschließen             |исключать кого-то из группы
vor dem Haus                                     |перед домом
die Praline essen                                |есть шоколадную конфету
das Pflaster aufkleben                           |наклеивать пластырь
die Verbindung herstellen                        |устанавливать связь
der Trickfilm läuft                              |мультфильм идет
ein Geheimnis geheimhalten                       |держать тайну
die Anrede ist höflich                           |обращение вежливое
jemandem ein Geschenk bescheren                  |дарить подарок кому-то
das Sofa kaufen                                  |покупать диван
mit Salzwasser gurgeln                           |полоскать горло солёной водой
ein schändlicher Akt                             |постыдный акт
ein Anwesen kaufen                               |купить земельный участок
vielfach getestet                                |многократно протестировано
das Auto parken                                  |поставить машину
der Stecker ist kaputt                           |штепсельная вилка сломана
in das Bett gehen                                |ложиться в постель
der Zirkus ist lustig                            |цирк веселый
Farben mischen                                   |смешивать краски
der Schalter ist offen                           |касса открыта
das Kernkraftwerk besichtigen                    |посетить атомную электростанцию
erdichten eine Geschichte                        |сочинять историю
das Blut fließt                                  |течет кровь
ein Schloss anbringen                            |установить замок
erlauben das Rauchen                             |разрешать курение
die Fleischgerichte sind vielfältig              |мясные блюда разнообразны
eine Wunde salben                                |натирать рану мазью
die Unzahl bewältigen                            |справляться с несметным количеством
der Kragen ist eng                               |воротник узкий
eine tröstliche Nachricht                        |утешительная новость
der Tee ist heiß                                 |чай горячий
die Zugabe verlangen                             |требовать исполнение на бис
über die Neuigkeiten berichten                   |сообщать о новостях
die Droge ist gefährlich                         |наркотик опасный
erstaunlich Ergebnis                             |удивительный результат
die Haft ist kurz                                |арест короткий
der Scheitel ist tief                            |пробор глубокий
dunkelblau tragen                                |носить темно-синий
der Wert ist hoch                                |стоимость высокая
das Kabelfernsehen schauen                       |смотреть кабельное телевидение
die Haut ist weich                               |кожа мягкая
den Zug versäumen                                |опоздать на поезд
die Rückfahrt planen                             |планировать обратную поездку
habe geliehen                                    |взял взаймы, одолжил
die Erklärung ist klar                           |объяснение понятно
ein rätselhafter Fall                            |загадочный случай
die Tasse heben                                  |поднять чашку
fallen von einem Baum                            |падать с дерева
Produkte vergleichen                             |сравнивать продукты
die Enttäuschung ist groß                        |разочарование велико
die Schlucht überqueren                          |пересекать ущелье
weltweit bekannt                                 |всемирно известный
der Abusus von Medikamenten                      |злоупотребление медикаментами
der Betriebsrat tagt                             |производственный совет заседает
über einen Vorschlag abstimmen                   |проголосовать о предложении
Wasser spritzen                                  |брызгать водой
zweitens wichtig                                 |во-вторых важно
mehrmals versuchen                               |попробовать несколько раз
der Geldwechsel erfolgt                          |происходит обмен валюты
das Foto machen                                  |сделать снимок
ein Kleid anziehen                               |надевать платье
eine Skulptur formen                             |формировать скульптуру
die Volljährigkeit erreichen                     |достигать совершеннолетия
sich in einer Situation verhalten                |вести себя в ситуации
die Familie ist groß                             |семья большая
die Toilette reinigen                            |чистить туалет
ein abgestimmter Plan                            |согласованный план
die Reserve nutzen                               |использовать резерв
die besten Früchte auslesen                      |выбирать лучшие фрукты
das Postamt besuchen                             |посетить почтамт
die Verengung behandeln                          |лечить сужение
die Wirtschaftslage analysieren                  |анализировать экономическое положение
das Rollbrett fahren                             |кататься на роликовой доске
der Würfelzucker ist süß                         |пиленый сахар сладкий
die Sehkraft verbessern                          |улучшать зрение
der Zug abfahren                                 |отправляться поездом
auf die Regeln achten                            |следить за правилами
traditionsgemäß feiern                           |праздновать по традиции
einige Fragen haben                              |иметь несколько вопросов
das Vorstellungsgespräch führen                  |проводить собеседование
eine gemütvolle Stimmung                         |задушевное настроение
der Durchgang ist frei                           |проход свободен
eine unzufriedene Kundin                         |недовольная клиентка
den Daumen drücken                               |держать кулачки
der Stand ist hoch                               |уровень высокий
sich auf den Weg begeben                         |направляться в путь
enttäuschen die Erwartungen                      |разочаровывать ожидания
dreckig machen                                   |делать грязным
viele Freunde                                    |много друзей
ein gehörloser Mensch                            |глухой человек
die Polstermöbel reinigen                        |чистить мягкую мебель
die Treppe hinaufsteigen                         |подниматься по лестнице
sich auf den Weg begeben                         |отправляться в путь
sich beim Kochen schneiden                       |порезаться при готовке
die Krawatte binden                              |завязать галстук
das ganze Haus                                   |весь дом
der März ist kühl                                |март прохладный
einen Sitzplatz besetzen                         |занимать место
die Wand streichen                               |красить стену
ein Haus aufbauen                                |строить дом
der Wecker klingelt                              |будильник звонит
der Rucksack ist schwer                          |рюкзак тяжелый
die Bühne ist leer                               |сцена пустая
für die Freiheit kämpfen                         |бороться за свободу
sich von der Arbeit ausruhen                     |отдыхать от работы
der Kuß ist sanft                                |поцелуй нежный
der Erdteil ist groß                             |часть света большая
der Zweck ist klar                               |цель ясна
die Besprechung ist lang                         |совещание длинное
die Traube essen                                 |есть виноград
die Maus bewegen                                 |двигать мышь
die Tür geöffnet                                 |дверь открыта
die Fahrkarten ausgeben ist notwendig            |продавать проездные билеты необходимо
die Ruptur behandeln                             |лечить разрыв
die Bedingung ist klar                           |условие ясно
vorzüglicher Wein                                |превосходное вино
am angegebenen Ort                               |в указанном месте
eine Art aussterben                              |вид вымирает
etwas mithaben                                   |иметь при себе
die Wiederinbetriebnahme planen                  |планировать возобновление деятельности
die Locke drehen                                 |закручивать локон
sehr gut                                         |очень хорошо
der Zaun ist hoch                                |забор высокий
der Außengebrauch ist empfohlen                  |наружное применение рекомендовано
die Ausreisegenehmigung ist erteilt              |разрешение на выезд выдано
die Bagageabteilung ist sicher                   |камера хранения надежная
die Dusche ist warm                              |душ теплый
dumm benehmen                                    |вести себя глупо
eine undenkbare Situation                        |невообразимая ситуация
der Besitz ist groß                              |владение большое
der Weihnachtsmarkt ist voll                     |рождественская ярмарка полная
der Kugelschreiber schreibt                      |шариковая ручка пишет
die Welle beobachten                             |наблюдать за волной
eine Veranstaltung stattfinden                   |мероприятие состоится
der dunkle Hintergrund hebt die Farbenwirkung    |темный фон усиливает действие красок
allerlei Probleme                                |всевозможные проблемы
sich nach einem Streit beruhigen                 |успокаиваться после ссоры
der Knockdown ist hart                           |нокдаун жесткий
die Stadtbehörden kontaktieren                   |связаться с городскими властями
der Elefant ist groß                             |слон большой
Ressourcen verbrauchen                           |потреблять ресурсы
der Fremde spricht                               |иностранец говорит
aus dem Zimmer stürzen                           |выбежать из комнаты
der Auftrag ist erteilt                          |заказ размещен
die Abwehrreaktion ist stark                     |защитная реакция сильная
sich über ein Geschenk erheitern                 |радоваться подарку
ertrinken im See                                 |утонуть в озере
der Unternehmer plant                            |предприниматель планирует
die Begrüßung ist freundlich                     |приветствие дружелюбное
einen Brief schicken                             |отправлять письмо
die cremefarbenen Tapeten                        |кремовые обои
jemandem auffallen                               |бросаться в глаза кому-то
sich von einem Projekt lösen                     |освобождаться от проекта
das Schnitzel braten                             |жарить шницель
die Billigung ist klar                           |одобрение ясно
das ist mein Buch                                |это моя книга
der Preis ist hoch                               |цена высокая
außer Betrieb sein                               |быть вне эксплуатации
ein Buch lesen                                   |читать книгу
'Hilfe!' ausrufen                                |восклицать 'Помощь!'
die Behauptung ist falsch                        |утверждение неверно
die Wasserpflanze pflanzen                       |сажать водоросль
der Tanz ist schön                               |танец красивый
er ist gehalten, den Schaden zu ersetzen         |он обязан возместить убыток
eine frohe Nachricht                             |радостная новость
Obst umstehen                                    |фрукты портятся
das Halbfabrikat verwenden                       |использовать полуфабрикат
der Käufer zahlt                                 |покупатель платит
sein Gesicht flammte vor Zorn                    |его лицо пылало от гнева
die Geschäftsreise ist wichtig                   |деловая поездка важна
überfordern die Mitarbeiter                      |перегружать сотрудников
dieses Gut verkaufen                             |продавать это имение
eine Nachricht bekommen                          |получить сообщение
ein lobenswerter Versuch                         |похвальная попытка
die Party feiern                                 |устраивать вечеринку
gleichfalls sagen                                |сказать также
der Zufall passiert                              |случай происходит
der blaue Himmel                                 |голубое небо
die Einladung ist herzlich                       |приглашение сердечное
neidisch sein                                    |быть завистливым
der Sack ist schwer                              |мешок тяжелый
das Schaltjahr beachten                          |учитывать високосный год
das fertige Produkt                              |готовый продукт
eine Zitrone raspeln                             |натирать лимон на терке
der Strand ist sauber                            |пляж чистый
ein Gebäude verfallen                            |разрушаться здание
der Roboter arbeitet                             |робот работает
der Beleg aufbewahren                            |хранить квитанцию
ein starrer Blick                                |твердый взгляд
mit Freunden sprechen                            |разговаривать с друзьями
der Führerschein ist verloren                    |водительские права потеряны
das Abenteuer erleben                            |пережить приключение
die Pampelmuse essen                             |есть грейпфрут
eine Theorie veranschaulichen                    |показывать теорию
einen Film ansehen                               |смотреть фильм
gar nichts                                       |совсем ничего
eine Aussage bekräftigen                         |подтвердить заявление
die Luftwaffe fliegt                             |военная авиация летает
die Übelkeit vermeiden                           |избегать тошноты
einschreiben in ein Buch                         |записывать в книгу
die Arbeit ist schwer                            |работа трудная
die Ausstrahlung ist stark                       |влияние сильное
die Hose ist neu                                 |брюки новые
ein unüberbrückbares Hindernis                   |непреодолимое препятствие
der Kohl ist frisch                              |капуста свежая
der Reiseführer erklärt                          |гид объясняет
einer Gewerkschaft angehören                     |быть членом профсоюза
die Kapazität ist groß                           |емкость велика
eine Geschichte anhören                          |слушать историю
die Seestreitkräfte beobachten                   |наблюдать за военно-морскими силами
ein Bild stellen                                 |поставить картину
zu einer Gruppe gehören                          |принадлежать группе
die Pfanne erhitzen                              |нагревать сковороду
innerhalb des Dorfes                             |в пределах деревни
arbeitslos sein                                  |быть безработным
der Kredit wird gewährt                          |кредит предоставлен
die Tapferkeit bewundern                         |восхищаться храбростью
am liebsten schlafen                             |любить спать больше всего
der Dezember beginnt                             |декабрь начинается
der Anruf kommt                                  |приходит телефонный звонок
vom Unterricht fernbleiben                       |отсутствовать на занятиях
das Neubauviertel erkunden                       |исследовать новый район
habe gestürzt                                    |упал
der Bereich ist groß                             |область большая
die Möbel anordnen                               |расставлять мебель
erläutern den Plan                               |объяснять план
der Pfeiler ist stabil                           |колонна стабильная
einschläfern das Tier                            |усыплять животное
wurzeln im Boden                                 |пускать корни в землю
ein genetischer Defekt                           |генетический дефект
der Liebling lacht                               |любимец смеется
das Dach reparieren                              |чинить крышу
überwerfen einen Mantel                          |накидывать пальто
die Kette ist lang                               |вереница длинная
eine unaufmerksame Schülerin                     |невнимательная ученица
endgültig Entscheidung                           |окончательное решение
ein mattes Licht                                 |тусклый свет
die Kante ist scharf                             |край острый
ein bekannter Künstler                           |известный художник
in dem Abteil sitzen                             |сидеть в купе
die Zigarette anzünden                           |зажигать сигарету
der Pfad führt                                   |тропа ведет
verurteilen das Verhalten                        |осуждать поведение
versäume nicht, ihn aufzusuchen                  |не забудь навестить его
ein Geschenk aussuchen                           |выбирать подарок
ein sauberes Zimmer                              |чистая комната
eine gerade Linie                                |прямая линия
diese Nachricht weitergeben                      |передавать это сообщение
die Zwischenlandung machen                       |делать промежуточную посадку
die Kiste ist schwer                             |ящик тяжелый
die Stewardeß begrüßen                           |приветствовать стюардессу
der Schulanfänger lernt                          |первоклассник учится
die Grippe ist gefährlich                        |грипп опасен
etwas geschehen                                  |что-то происходит
das Risiko riskieren                             |рисковать чем-то
einen Beruf umschulen                            |переквалифицировать профессию
die Abfahrt beginnt                              |отправление начинается
die Säge benutzen                                |пользоваться пилой
das Gefängnis besuchen                           |посетить тюрьму
die Rückseite betrachten                         |смотреть на оборотную сторону
das Zeug sortieren                               |сортировать вещи
nur einmal vorhanden                             |единственный
einen Stuhl platzieren                           |разместить стул
gesund aussehen                                  |выглядеть здоровым
die Norm erfüllen                                |соответствовать норме
ein rasches Handeln                              |быстрые действия
die Anregung ist wichtig                         |инициатива важна
warnen vor Gefahr                                |предупреждать об опасности
habe gezankt                                     |ссорился
der Block ist groß                               |блокнот большой
die Sprungschanze benutzen                       |использовать лыжный трамплин
der Ausweg ist gefunden                          |выход найден
ein kräftiger Mann                               |сильный мужчина
die Fertigstellung ist abgeschlossen             |изготовление завершено
jemanden begleiten                               |сопровождать кого-то
