of|IO|The color of the car is red.
opium|NN1|Opium is illegal here.
meticulous|JJ|He is meticulous in his work.
eggplant|NN1|Eggplant is delicious grilled.
inlet|NN1|The inlet is calm.
listed|JJ|The listed items are available.
hereby|RG|I hereby declare this open.
sovereign|NN1|The sovereign ruled wisely.
nonlinear|JJ|The path is nonlinear.
wasteful|JJ|That was a wasteful decision.
ax|NN1|The ax was sharp.
stillness|NN1|The stillness was eerie.
mustang|NN1|The Mustang roared down the road.
attrition|NN1|Attrition is high this year.
two-day|JJ|The two-day event was a success.
nation-state|NN1|The nation-state was established.
gratification|NN1|Gratification was immediate.
timid|JJ|The timid child hid.
asking|NN1|The asking price is too high.
reputable|JJ|The company is reputable.
ordain|VV0|They will ordain new priests.
glisten|VV0|The water glistens in the sun.
taut|JJ|The rope is taut.
front|VV0|They front the money for the project.
malware|NN1|Malware infected the system.
nickname|VV0|They will nickname the dog.
durability|NN1|The durability is impressive.
waterproof|JJ|The watch is waterproof.
dwindle|VV0|The crowd will dwindle soon.
teddy|NN1|The teddy is cute.
pang|NN1|She felt a pang of guilt.
unnecessarily|RG|He spoke unnecessarily.
wad|NN1|He carried a wad of cash.
distraught|JJ|She was distraught after the news.
underworld|NN1|The underworld is mysterious.
subprime|JJ|Subprime loans are risky.
bait|VV0|They bait the trap with cheese.
grace|VV0|She will grace the stage soon.
buggy|NN1|The buggy broke down.
ace|JJ|He is an ace pilot.
birthplace|NN1|The birthplace is preserved.
rebuttal|NN1|His rebuttal was strong.
pursuit|II|She is in pursuit of happiness.
clerical|JJ|Clerical errors were found.
syndicate|NN1|The syndicate operates secretly.
accentuate|VV0|The lights accentuate the artwork.
condominium|NN1|The condominium was sold.
elitist|JJ|His elitist attitude was obvious.
logistical|JJ|Logistical support was needed.
forsake|VV0|They will forsake their land.
stranded|JJ|They were stranded on the island.
unsuccessfully|RG|He tried unsuccessfully.
magnolia|NN1|The magnolia bloomed early.
secretary-general|NN1|The Secretary-General spoke at the UN.
crispy|JJ|The bacon is crispy.
re-examine|VV0|They will re-examine the case.
purposeful|JJ|His purposeful walk showed determination.
spin-off|NN1|The show’s spin-off was announced.
syndicated|JJ|The syndicated show is popular.
allure|NN1|The allure of fame was strong.
theorem|NN1|The theorem was difficult to prove.
sporadic|JJ|The sporadic showers continued.
formality|NN1|The formality was observed.
rafter|NN1|The rafter was replaced.
deficient|JJ|The diet is deficient in nutrients.
regal|JJ|She looked regal in her gown.
resin|NN1|The resin hardened quickly.
honk|VV0|They honk the horn loudly.
unlucky|JJ|It was an unlucky day.
cheekbone|NN1|Her cheekbone was bruised.
posterior|JJ|The posterior view was clear.
fennel|NN1|Fennel adds flavor to dishes.
semantics|NN1|The semantics were debated.
conversational|JJ|His conversational tone was welcoming.
doubtless|RG|He was doubtless right.
unbiased|JJ|The report was unbiased.
tripod|NN1|The tripod is sturdy.
invalid|JJ|The contract is invalid.
rummage|VV0|They rummage through the box.
dependent|NN1|The dependent required care.
ratification|NN1|The ratification was quick.
personalize|VV0|They personalize gifts for customers.
pouring|JJ|The pouring rain continued.
lengthen|VV0|They will lengthen the rope.
swirl|NN1|The swirl was mesmerizing.
honored|JJ|He felt honored to attend.
fractured|JJ|The fractured bone healed slowly.
rescuer|NN1|The rescuer arrived in time.
peruvian|JJ|She enjoys Peruvian cuisine.
case|VV0|They case the neighborhood before striking.
traffic|VV0|They traffic in rare goods.
inward|RG|He turned inward after the loss.
rendezvous|NN1|The rendezvous was planned.
galley|NN1|The galley was cramped.
compulsive|JJ|His compulsive behavior worried everyone.
impossibly|RG|She worked impossibly fast.
refill|VV0|They refill the tank every day.
misinterpret|VV0|They often misinterpret his words.
technologically|RG|The project was technologically advanced.
nonverbal|JJ|His nonverbal cues were clear.
deteriorating|JJ|The situation is deteriorating rapidly.
caramel|NN1|The caramel is sticky.
crippling|JJ|The crippling debt was overwhelming.
filler|NN1|The filler is used sparingly.
bombard|VV0|They bombard the fort every hour.
troll|VV0|He likes to troll online forums.
detriment|NN1|The detriment was clear.
meticulously|RG|She meticulously planned the event.
mesmerize|VV0|The magician will mesmerize the audience.
corner|VV0|They cornered the market.
wishful|JJ|That’s just wishful thinking.
much-needed|JJ|The much-needed rain finally came.
scoot|VV0|I’ll scoot over for you.
prick|VV0|He pricked his finger.
inadequacy|NN1|The inadequacy was obvious.
regularity|NN1|The regularity was maintained.
comfy|JJ|The chair is comfy.
cola|NN1|He ordered a cola.
cartoonist|NN1|The cartoonist is famous.
pap|NN1|She ate pap as a child.
dreaded|JJ|The dreaded test is tomorrow.
showroom|NN1|The showroom was empty.
saturation|NN1|The market’s saturation is high.
tulip|NN1|The tulip bloomed beautifully.
stow|VV0|They stow their gear carefully.
reckoning|NN1|The reckoning was near.
redevelopment|NN1|The redevelopment was necessary.
switching|JJ|The switching mechanism failed.
meatball|NN1|The meatball was delicious.
celtic|JJ|The Celtic design is intricate.
misstep|NN1|His misstep cost him the race.
simulator|NN1|The simulator was realistic.
cocky|JJ|His cocky attitude annoyed everyone.
invincible|JJ|He felt invincible after winning.
inaction|NN1|Their inaction was criticized.
tau|NN1|The Tau symbol is interesting.
abstain|VV0|They will abstain from voting.
chronically|RG|He was chronically late.
sneaky|JJ|The sneaky thief escaped.
piece|VV0|They piece together the puzzle.
instil|VV0|They instil good values in children.
momentous|JJ|The momentous occasion was celebrated.
amp|NN1|The amp was loud.
denominator|NN1|The denominator is the same.
dole|VV0|They dole out tasks evenly.
enclosed|JJ|The enclosed area is secure.
toaster|NN1|The toaster is broken.
devalue|VV0|They devalue the currency.
federalist|JJ|The Federalist Papers are famous.
crazed|JJ|The crazed look in his eyes was frightening.
pretext|NN1|The pretext for war was fabricated.
digestion|NN1|Good digestion is important.
electrician|NN1|The electrician fixed the lights.
inflated|JJ|The price was inflated.
half-dozen|MC|She bought a half-dozen eggs.
stalker|NN1|The stalker was arrested.
repress|VV0|They repress their emotions.
floppy|JJ|The disk is floppy.
porter|NN1|The porter carried our bags.
enumerate|VV0|Please enumerate your reasons.
muzzle|NN1|The muzzle was tight.
dreamy|JJ|The view was dreamy.
binding|NN1|The binding of the book is loose.
silicone|NN1|Silicone is used in many products.
supplant|VV0|They will supplant the old system.
passer-by|NN1|The passer-by helped her.
habitual|JJ|His habitual lateness was a problem.
mamma|NN1|The child called for mamma.
figurative|JJ|He uses figurative language often.
peacekeeper|NN1|The peacekeeper was sent abroad.
rowing|NN1|The rowing team practiced daily.
propeller|NN1|The propeller stopped spinning.
darling|JJ|She wore a darling dress.
cherished|JJ|The cherished memories lingered.
innumerable|JJ|The stars were innumerable.
jubilee|NN1|The jubilee was celebrated with joy.
impasse|NN1|The negotiations reached an impasse.
nap|VV0|She will nap after lunch.
flail|VV0|He began to flail in the water.
rustle|VV0|The leaves rustle in the wind.
padding|NN1|The padding was thick.
stalemate|NN1|The game ended in a stalemate.
decree|VV0|The king decrees a holiday.
sportsman|NN1|The sportsman trained hard.
meningitis|NN1|Meningitis is a serious illness.
idle|VV0|They idle their time away.
orb|NN1|The orb glowed faintly.
deluxe|JJ|The deluxe package is expensive.
solar|NN1|The solar panels were installed.
tattoo|VV0|She will tattoo his name.
hitch|NN1|The hitch was secure.
imbue|VV0|The teacher imbues lessons with passion.
feeding|NN1|The feeding of animals is done daily.
observance|NN1|The observance of the holiday was widespread.
stockholder|NN1|The stockholder attended the meeting.
zebra|NN1|The zebra stripes are unique.
unsalted|JJ|The unsalted butter was bland.
privy|JJ|He was privy to the secrets.
dermatologist|NN1|The dermatologist examined the skin.
supersede|VV0|The new law will supersede the old one.
subordinate|NN1|The subordinate obeyed orders.
pivot|NN1|The pivot was well-oiled.
paradoxical|JJ|The statement was paradoxical.
defuse|VV0|They defuse the bomb with care.
unparalleled|JJ|The view was unparalleled.
resurface|VV0|They will resurface the road.
experimenter|NN1|The experimenter recorded results.
causation|NN1|The causation was unclear.
shank|NN1|The shank was sharp.
whimsical|JJ|The story was whimsical.
skillful|JJ|His skillful play impressed everyone.
archdiocese|NN1|The archdiocese is large.
faggot|NN1|The faggot was burned.
denigrate|VV0|They denigrate his work unfairly.
filipino|JJ|He enjoys Filipino cuisine.
tights|NN2|The tights ripped easily.
predispose|VV0|Genes predispose individuals to certain traits.
attracting|JJ|The attracting force was strong.
drench|VV0|The rain will drench you.
humanism|NN1|Humanism emphasizes human values.
instantaneous|JJ|The change was instantaneous.
despair|VV0|They despair in hard times.
complacent|JJ|He became complacent at work.
allot|VV0|We allot time for breaks.
cardio|NN1|Cardio improves heart health.
meander|VV0|They meander through the park.
yum|UH|Yum, this tastes amazing!
madly|RG|She danced madly all night.
conceptualization|NN1|The conceptualization was brilliant.
moot|JJ|The point is moot now.
miniseries|NN2|The miniseries were exciting.
outdo|VV0|He always tries to outdo others.
tombstone|NN1|The tombstone was old.
actuality|NN1|In actuality, it was simple.
gran|NN1|Gran made her famous pie.
one-man|JJ|It was a one-man show.
all-out|JJ|They made an all-out effort.
grit|VV0|They grit their teeth in pain.
notoriety|NN1|His notoriety spread quickly.
neuroscience|NN1|Neuroscience studies the brain.
uniformity|NN1|There was uniformity in their actions.
whine|NN1|The whine was annoying.
chateau|NN1|The chateau was breathtaking.
absent|VV0|He might absent himself today.
self-employed|JJ|She is self-employed and successful.
tabletop|NN1|The tabletop was polished.
heron|NN1|The heron stood still.
shrapnel|NN1|Shrapnel hit the wall.
inappropriately|RG|He inappropriately interrupted the meeting.
questioning|JJ|His questioning gaze was intense.
veritable|JJ|The storm was a veritable disaster.
babble|VV0|Babies often babble nonsense.
anglican|JJ|The Anglican church was historic.
affix|VV0|Affix the stamp here.
newt|NN1|The newt is small.
federalism|NN1|Federalism is a complex system.
aggregate|VV0|They aggregate data daily.
naturalization|NN1|Naturalization is a long process.
posh|JJ|The party was very posh.
sioux|JJ|They studied Sioux culture.
gratifying|JJ|The results were gratifying.
disoriented|JJ|He felt disoriented after the ride.
limelight|NN1|She enjoyed the limelight.
hectare|NN1|The field spans a hectare.
symptomatic|JJ|The symptomatic patient was treated.
enigma|NN1|The enigma puzzled everyone.
brazen|JJ|His brazen attitude shocked us.
strenuous|JJ|The workout was strenuous.
peer-reviewed|JJ|It's a peer-reviewed journal.
one-quarter|MC1|One-quarter of the cake is gone.
nonproliferation|NN1|Nonproliferation is crucial for peace.
uphill|RL|They walked uphill to the summit.
guard|RR|He stood guard all night.
aristocracy|NN1|The aristocracy lived in luxury.
transformer|NN1|The transformer was broken.
medley|NN1|The medley of songs was great.
somatic|JJ|Somatic symptoms were present.
ornamental|JJ|The ornamental plants were beautiful.
doubling|NN1|The doubling of profits was impressive.
freaky|JJ|The movie was freaky.
lap|VV0|She will lap everyone in the race.
matching|NN1|The matching outfits were cute.
gripping|JJ|The story was gripping.
testicle|NN1|The testicle was swollen.
whatnot|NN1|The drawer was full of whatnot.
clustering|NN1|The clustering of stars was fascinating.
alternating|JJ|They took alternating turns.
infiltration|NN1|The infiltration was successful.
buzzer|NN1|The buzzer rang loudly.
mouthpiece|NN1|He was the mouthpiece for the group.
dull|VV0|The knife will dull quickly.
gripe|NN1|His gripe was with the service.
steamer|NN1|The steamer arrived at the dock.
franc|NN1|He paid in francs.
pare|VV0|She will pare the apple.
leaflet|NN1|The leaflet was informative.
dredge|VV0|They dredge the river regularly.
illogical|JJ|The argument was illogical.
conservatory|NN1|She studies in the conservatory.
fracture|VV0|He will fracture the bone.
attendant|JJ|The attendant services were excellent.
rowdy|JJ|The crowd was rowdy.
secretion|NN1|The secretion was examined.
underrepresented|JJ|The group was underrepresented.
blasphemy|NN1|Blasphemy was punished harshly.
inhuman|JJ|His inhuman actions were condemned.
little-known|JJ|It’s a little-known fact.
anoint|VV0|They will anoint the new leader.
secretariat|NN1|The secretariat organized the event.
ultimatum|NN1|They received an ultimatum.
hapless|JJ|The hapless traveler lost his way.
qur'an|NN1|The Qur'an was recited.
oddity|NN1|His behavior was an oddity.
stagger|NN1|The stagger was noticeable.
oncoming|JJ|The oncoming storm looked severe.
scandalous|JJ|The scandalous news spread fast.
short-sighted|JJ|The decision was short-sighted.
automate|VV0|They automate the process.
purification|NN1|The purification was complete.
muffle|VV0|She will muffle the noise.
stagnation|NN1|Economic stagnation hit hard.
diffuse|JJ|The light was diffuse.
relativism|NN1|Relativism challenges absolutes.
multiracial|JJ|It’s a multiracial society.
drowning|NN1|The drowning was tragic.
misrepresentation|NN1|The misrepresentation was deliberate.
scallions|NN2|Chop the scallions finely.
presumed|JJ|The presumed cause was wrong.
spite|NN1|He acted out of spite.
chirp|VV0|Birds chirp at dawn.
maroon|JJ|He wore a maroon shirt.
rye|NN1|The bread was made of rye.
escalator|NN1|The escalator was broken.
breezy|JJ|The day was breezy.
optic|NN1|He studies optic nerves.
derogatory|JJ|The comment was derogatory.
kennel|NN1|The dog slept in the kennel.
scalpel|NN1|The scalpel was sharp.
wart|NN1|The wart was removed.
cross-border|JJ|It’s a cross-border operation.
nifty|JJ|That gadget is nifty.
over|JJ|The task is over now.
cashmere|NN1|The scarf is made of cashmere.
fearsome|JJ|The beast was fearsome.
polyester|NN1|The shirt is polyester.
cadmium|NN1|Cadmium is a toxic metal.
friar|NN1|The friar prayed silently.
screaming|JJ|The screaming fans were excited.
lair|NN1|The dragon retreated to its lair.
silo|NN1|The silo stored grain.
notch|VV0|He will notch the wood.
masse|RG|People arrived en masse.
wayward|JJ|The wayward child wandered off.
profiling|NN1|The profiling was controversial.
macroeconomic|JJ|The macroeconomic policies were effective.
nervousness|NN1|His nervousness was evident.
father|VV0|He wants to father a child.
choreograph|VV0|She will choreograph the dance.
siphon|VV0|They siphon water from the well.
win-win|JJ|It was a win-win situation.
practise|VV0|They practise daily for the event.
gingerbread|NN1|The gingerbread was delicious.
bathrobe|NN1|Her bathrobe was fluffy.
prepaid|JJ|It’s a prepaid card.
concoction|NN1|The concoction tasted strange.
breakfast|VV0|They will breakfast at dawn.
headquarter|VV0|They headquarter in the city.
synopsis|NN1|The synopsis was brief.
wiki|NN1|The wiki is well-maintained.
tycoon|NN1|The tycoon was successful.
abject|JJ|They lived in abject poverty.
scot|NN1|The Scot was proud.
dissection|NN1|The dissection was detailed.
violinist|NN1|The violinist played beautifully.
roi|NN1|The ROI was satisfactory.
impassioned|JJ|His speech was impassioned.
whisky|NN1|He poured a glass of whisky.
vouch|VV0|I will vouch for him.
re-entry|NN1|The spacecraft’s re-entry was smooth.
prowl|VV0|The cat will prowl at night.
mug|VV0|They mug people in dark alleys.
errant|JJ|His errant ways led him astray.
turquoise|JJ|She wore a turquoise dress.
geothermal|JJ|They use geothermal energy.
site|VV0|They will site the building here.
underpinning|NN1|The underpinning was solid.
foreshadow|VV0|The clouds foreshadowed the storm.
consequent|JJ|The consequent damage was severe.
lonesome|JJ|The lonesome traveler kept walking.
caviar|NN1|They served caviar at dinner.
constitutionality|NN1|The constitutionality was debated.
altercation|NN1|The altercation was brief.
semi-automatic|JJ|He bought a semi-automatic rifle.
non-native|JJ|She is a non-native speaker.
saber|NN1|The saber was sharp.
distal|JJ|The distal end was damaged.
molasses|NN1|The recipe calls for molasses.
triplet|NN1|The triplet was born last week.
decaying|JJ|The decaying leaves smelled bad.
deep-water|JJ|It’s a deep-water dive.
wow|VV0|The show will wow the audience.
consul|NN1|The consul was helpful.
leisurely|JJ|They took a leisurely stroll.
unfriendly|JJ|The staff was unfriendly.
summons|NN1|The summons was delivered.
knitting|NN1|Her knitting was intricate.
contraceptive|JJ|She uses contraceptive methods.
intifada|NN1|The intifada lasted for years.
illustrative|JJ|His example was illustrative.
awning|NN1|The awning provided shade.
apprehensive|JJ|He felt apprehensive about the test.
stub|NN1|The stub was torn.
caseload|NN1|The caseload was overwhelming.
subconscious|NN1|His subconscious revealed his fears.
acceptability|NN1|The acceptability was questioned.
interrelated|JJ|The issues were interrelated.
jaded|JJ|He felt jaded after the trip.
gape|VV0|They gape in astonishment.
quadruple|VV0|They plan to quadruple their profits.
supplementation|NN1|The supplementation was necessary.
grease|VV0|Grease the pan before cooking.
orphaned|JJ|The orphaned child was adopted.
superimpose|VV0|They superimpose images for effect.
reprehensible|JJ|His actions were reprehensible.
forbidding|JJ|The castle had a forbidding appearance.
gloss|VV0|Gloss the surface evenly.
ethereal|JJ|The music was ethereal.
snob|NN1|He was considered a snob.
defraud|VV0|They tried to defraud the company.
hegemonic|JJ|The hegemonic power was challenged.
repertory|NN1|The repertory was extensive.
additive|NN1|The additive improves flavor.
affiliated|JJ|The group was affiliated with the party.
crashing|JJ|The crashing waves were loud.
kink|NN1|There was a kink in the hose.
sleigh|NN1|The sleigh glided over the snow.
gauze|NN1|The gauze was sterile.
extrinsic|JJ|Extrinsic factors influenced the outcome.
standby|NN1|The standby generator activated.
prequel|NN1|The prequel was well-received.
quarrel|VV0|They often quarrel over trivial things.
neocon|NN1|The neocon spoke at the conference.
recast|VV0|They recast the lead actor.
holocaust|NN1|The Holocaust must never be forgotten.
mosaic|JJ|The mosaic pattern was intricate.
insurrection|NN1|The insurrection was crushed.
meld|VV0|They meld ideas from different cultures.
abiding|JJ|He had an abiding love for music.
long-awaited|JJ|The long-awaited day finally arrived.
psych|VV0|He will psych himself up before the match.
ascension|NN1|His ascension to power was quick.
windowsill|NN1|The cat slept on the windowsill.
laid-back|JJ|He has a laid-back attitude.
plunder|VV0|They plunder the village for gold.
captivating|JJ|The movie was captivating.
withholding|JJ|Her withholding nature was evident.
desirability|NN1|The desirability of the product was high.
skit|NN1|The skit was hilarious.
encroach|VV0|They encroach on protected land.
overseer|NN1|The overseer watched the workers.
sup|VV0|They sup on bread and wine.
streaming|JJ|The streaming service is popular.
wandering|JJ|The wandering traveler found a home.
whoop|UH|Whoop, that was fun!
succinctly|RG|He explained the concept succinctly.
birthright|NN1|The land was his birthright.
rekindle|VV0|They rekindle their romance.
composting|NN1|Composting reduces waste.
retainer|NN1|The retainer was misplaced.
belligerent|JJ|His belligerent attitude caused trouble.
fence|VV0|They will fence the garden.
idiocy|NN1|His idiocy was shocking.
sober|VV0|He needs to sober up.
wild|RG|The animals run wild.
discerning|JJ|She has discerning taste.
widening|JJ|The widening gap was concerning.
degeneration|NN1|Degeneration of the tissue was evident.
cog|NN1|The cog was broken.
mobster|NN1|The mobster was arrested.
storybook|NN1|The storybook was well-loved.
included|JJ|The included features are useful.
cut|JJ|The cut edge was sharp.
artful|JJ|His artful lies fooled everyone.
docking|NN1|The docking was smooth.
nautical|JJ|The nautical map was detailed.
maximal|JJ|The maximal output was achieved.
blockage|NN1|The blockage caused a delay.
revitalization|NN1|Revitalization of the area was planned.
guatemalan|JJ|She enjoyed Guatemalan coffee.
uncompromising|JJ|His stance was uncompromising.
flourishing|JJ|The flourishing garden was beautiful.
rigorously|RG|The test was rigorously conducted.
oncology|NN1|Oncology is a specialized field.
alchemy|NN1|Alchemy was practiced in ancient times.
typify|VV0|These traits typify the species.
repugnant|JJ|The smell was repugnant.
well-educated|JJ|She is well-educated and articulate.
reassign|VV0|They will reassign the tasks.
dingy|JJ|The room was dingy and dark.
headway|NN1|The project made significant headway.
tint|NN1|The tint was barely noticeable.
mirage|NN1|The mirage disappeared as they approached.
authoritarianism|NN1|Authoritarianism restricts freedoms.
multimillion-dollar|JJ|It was a multimillion-dollar deal.
aural|JJ|The aural experience was immersive.
timeframe|NN1|The timeframe was extended.
pluralistic|JJ|The society was pluralistic.
trailhead|NN1|The trailhead was marked.
purr|VV0|The cat began to purr.
humbling|JJ|It was a humbling experience.
unproven|JJ|The theory is unproven.
radial|JJ|The radial symmetry was perfect.
fluorescence|NN1|Fluorescence lit up the room.
accredit|VV0|They will accredit the new course.
daydream|VV0|She tends to daydream in class.
know|NN1|He has a vast know of things.
consign|VV0|They consign goods to the store.
forte|NN1|Music is his forte.
ballplayer|NN1|The ballplayer hit a home run.
vending|JJ|The vending machine was empty.
widower|NN1|The widower lived alone.
hound|VV0|They hound him for answers.
institutionalized|JJ|The system was highly institutionalized.
wickedness|NN1|His wickedness was clear.
andean|JJ|They explored Andean culture.
enthrall|VV0|The magician will enthrall the audience.
springboard|NN1|The project was a springboard for success.
pained|JJ|His pained expression was noticeable.
horrified|JJ|She was horrified by the news.
whoo-hoo|UH|Whoo-hoo, we won!
supercomputer|NN1|The supercomputer processed data quickly.
coy|JJ|She gave a coy smile.
nationalistic|JJ|His nationalistic views were strong.
smudge|NN1|There was a smudge on the paper.
circular|NN1|The circular was distributed widely.
saunter|VV0|They saunter through the park.
amorphous|JJ|The blob was amorphous.
rattlesnake|NN1|The rattlesnake rattled its tail.
councilman|NN1|The councilman addressed the crowd.
zodiac|NN1|He studied the zodiac signs.
hard-pressed|JJ|They were hard-pressed for time.
pelt|VV0|They pelt him with questions.
trinket|NN1|She bought a trinket from the market.
pushy|JJ|The salesman was pushy.
downtime|NN1|The system experienced downtime.
graft|VV0|They graft the plant carefully.
fission|NN1|Fission releases energy.
snarky|JJ|His snarky comment was ignored.
censor|NN1|The censor reviewed the film.
convertible|JJ|The convertible roof was down.
reprieve|NN1|He received a reprieve from the judge.
coal-fired|JJ|The coal-fired plant was old.
punt|VV0|They will punt the ball.
apnea|NN1|Sleep apnea is serious.
nativity|NN1|The nativity scene was displayed.
cost-benefit|JJ|A cost-benefit analysis was conducted.
high-priced|JJ|The item was high-priced.
perpendicular|JJ|The lines were perpendicular.
headstone|NN1|The headstone was engraved.
coolly|RG|He coolly handled the situation.
gruff|JJ|His gruff voice was intimidating.
chickpea|NN1|Chickpeas are nutritious.
diversified|JJ|The portfolio was diversified.
rewind|VV0|They rewind the tape.
oy|UH|Oy, what a day!
glassy|JJ|The water was glassy and calm.
ice|VV0|They ice the cake.
scorn|VV0|They scorn those who disagree.
barometer|NN1|The barometer dropped suddenly.
all-star|NN1|The all-star played well.
sql|NN1|SQL is used in databases.
harbinger|NN1|The cold was a harbinger of winter.
ancillary|JJ|The ancillary staff was helpful.
amiss|JJ|Something seemed amiss in the report.
charging|NN1|The charging was completed.
undead|NN2|The undead rose from the grave.
non-christian|JJ|They celebrate non-Christian holidays.
cadaver|NN1|The cadaver was studied in class.
mistreatment|NN1|The mistreatment was reported.
assail|VV0|They assail the castle.
botanist|NN1|The botanist studied rare plants.
schism|NN1|The schism divided the group.
gynecologist|NN1|The gynecologist examined her.
notepad|NN1|He wrote in his notepad.
redistricting|NN1|The redistricting was controversial.
longhorn|NN1|The longhorn grazed in the field.
handicap|VV0|They handicap the race.
populism|NN1|Populism gained popularity.
pruning|NN1|The pruning was necessary.
thoroughfare|NN1|The thoroughfare was busy.
clot|VV0|The blood will clot soon.
unfunded|JJ|The project was unfunded.
medial|JJ|The medial side was damaged.
finisher|NN1|The finisher crossed the line first.
sizeable|JJ|The house had a sizeable garden.
slander|NN1|The slander was hurtful.
tonal|JJ|The tonal shift was surprising.
lingo|NN1|He picked up the local lingo quickly.
whining|NN1|The whining was unbearable.
untimely|JJ|His untimely death shocked everyone.
slain|JJ|The slain hero was mourned.
quaker|JJ|She practices Quaker beliefs.
departed|JJ|The departed were honored.
skewed|JJ|The results were skewed.
tested|JJ|The tested method worked well.
namespace|NN1|The namespace was defined.
eccentricity|NN1|His eccentricity was charming.
uptick|NN1|There was an uptick in sales.
cauliflower|NN1|The cauliflower was roasted.
navigational|JJ|The navigational system was reliable.
quaker|NN1|The Quaker spoke at the meeting.
revulsion|NN1|She felt revulsion at the sight.
bewildering|JJ|The maze was bewildering.
uneasily|RG|He uneasily accepted the offer.
passivity|NN1|His passivity frustrated others.
monastic|JJ|The monastic life was peaceful.
twinkle|NN1|The twinkle in his eye was charming.
motorcade|NN1|The motorcade passed by quickly.
defending|JJ|The defending champion won again.
shackle|VV0|They will shackle the prisoner.
panacea|NN1|There is no panacea for all problems.
stunt|VV0|They will stunt the growth of the plant.
extraneous|JJ|The extraneous information was ignored.
quark|NN1|He studied quark physics.
gripe|VV0|He always gripes about work.
goad|VV0|They tried to goad him into a fight.
franciscan|JJ|The Franciscan monk was kind.
unfathomable|JJ|The depth was unfathomable.
sprinter|NN1|The sprinter was fast.
tout|NN1|The tout sold tickets outside.
ventilator|NN1|The ventilator was noisy.
toxicology|NN1|He studied toxicology.
pariah|NN1|He became a social pariah.
soluble|JJ|The substance is soluble in water.
deleterious|JJ|The effects were deleterious.
auditing|NN1|The auditing revealed discrepancies.
stabbing|NN1|The stabbing shocked the community.
lightness|NN1|The lightness of the fabric was nice.
eugenics|NN1|Eugenics is a controversial topic.
self-reliance|NN1|He valued self-reliance.
treetop|NN1|The bird perched on the treetop.
treasured|JJ|The gift was treasured.
neurosurgeon|NN1|The neurosurgeon performed the operation.
self-regulation|NN1|Self-regulation is important in children.
catapult|NN1|The catapult launched the stone.
inwardly|RG|She inwardly rejoiced at the news.
archetypal|JJ|He is the archetypal hero.
botch|VV0|They botch the job every time.
kickback|NN1|The kickback was substantial.
stockbroker|NN1|The stockbroker made a fortune.
keeping|NN1|The keeping of records was crucial.
legging|NN1|She wore a legging and a tunic.
corrugated|JJ|The corrugated roof was rusty.
exorcism|NN1|The exorcism was terrifying.
unsecured|JJ|The unsecured loan had a high interest rate.
look-alike|NN1|The look-alike fooled many people.
high-frequency|JJ|The high-frequency waves were studied.
godmother|NN1|The godmother attended the christening.
delirious|JJ|He was delirious with fever.
truckload|NN1|A truckload of goods arrived.
unconscionable|JJ|His actions were unconscionable.
equalize|VV0|They will equalize the scores.
arraignment|NN1|The arraignment was scheduled for Monday.
cacophony|NN1|The cacophony was overwhelming.
left-hander|NN1|The left-hander threw the ball.
dictum|NN1|The dictum was followed strictly.
elect|NN1|The elect were chosen carefully.
all-day|JJ|They planned an all-day event.
proviso|NN1|The contract had a proviso.
irrigate|VV0|They irrigate the fields every day.
persian|NN1|The Persian rug was expensive.
tracer|NN1|The tracer was used in the experiment.
salmonella|NN1|Salmonella was found in the food.
high-pressure|JJ|They used a high-pressure system.
threesome|NN1|The threesome went hiking.
dialectical|JJ|The dialectical method was used.
hotbed|NN1|The region was a hotbed of activity.
imperialist|JJ|The imperialist policies were criticized.
impressively|RG|He impressively solved the puzzle.
cordless|JJ|The cordless phone was convenient.
foreboding|NN1|The foreboding was felt by all.
basilica|NN1|The basilica was ancient.
redress|VV0|They seek to redress the grievances.
masquerade|NN1|The masquerade was exciting.
wheelbarrow|NN1|The wheelbarrow was full of soil.
smudge|VV0|They smudge the ink.
smattering|NN1|There was a smattering of applause.
centralize|VV0|They centralize operations for efficiency.
layering|NN1|The layering of the cake was perfect.
worshipper|NN1|The worshipper prayed silently.
unix|NN1|He uses Unix systems daily.
beef|VV0|They will beef up security.
monetize|VV0|They plan to monetize the website.
bleep|NN1|The bleep was loud and annoying.
mackerel|NN1|They caught a mackerel for dinner.
insular|JJ|His insular views were outdated.
highlander|NN1|The Highlander wore a kilt.
articulated|JJ|The articulated bus was long.
immutable|JJ|The law was considered immutable.
snub|VV0|They snub their rivals.
shuttle|VV0|They shuttle between the two cities.
deranged|JJ|The deranged man was arrested.
tasteless|JJ|The joke was tasteless.
onwards|RG|The journey continued onwards.
disparaging|JJ|He made disparaging remarks.
welder|NN1|The welder repaired the gate.
crucible|NN1|The crucible was heated.
cob|NN1|He chewed on a cob of corn.
outhouse|NN1|The outhouse was behind the cabin.
piper|NN1|The piper played a tune.
diagonally|RG|They moved diagonally across the board.
amok|RG|He ran amok in the streets.
rigidly|RG|The rules were rigidly enforced.
override|NN1|The override was activated.
ciao|UH|Ciao, see you later!
prosecutorial|JJ|The prosecutorial approach was aggressive.
fluoride|NN1|Fluoride is added to the water.
guardsman|NN1|The guardsman stood at attention.
message|VV0|They message each other daily.
uninvited|JJ|The uninvited guest arrived late.
necrosis|NN1|Necrosis set in quickly.
cabal|NN1|The cabal met in secret.
hippocampus|NN1|The hippocampus is vital for memory.
botany|NN1|Botany is the study of plants.
