adashmoq yo'lda|блуждать в дороге
necha soat?|сколько часов?
nechanchi raqam?|какой номер?
nechta olma?|сколько яблок?
nihol ekish|сажать молодой росток
nihoyat tugadi|наконец закончилось
nima qilding?|что ты сделал?
nimadir yangi|что-то новое
nimjon o'simlik|слабое растение
niqob kiyish|надевать маску
niyat bildirish|выражать намерение
niyat qilmoq safar|намереваться в путешествие
nishonlamoq yutuq|отмечать достижение
nogiron odam|инвалид человек
noiloj qolish|остаться безвыходным
nok daraxti|дерево груши
nom qo'yish|давать имя
nomli kitob|книга с названием
nom qo'ymoq kitobga|давать название книге
non kesmoq|резать хлеб
nonushta taomlari|завтрак блюда
nonushta qilmoq erta tongda|завтракать ранним утром
nordon ta'm|кислый вкус
norozi odam|недовольный человек
notanish joy|незнакомое место
notinch kecha|беспокойная ночь
notinchlanmoq oila|беспокоиться за семью
noto'g'ri javob|неправильный ответ
novvoy non|хлеб пекарь
novcha yigit|высокий юноша
nozik qo'l|нежная рука
nog'ora chalmoq|играть на литаврах
nuqta qo'yish|ставить точку
nur taratmoq|излучать свет
nurli xonalar|светлые комнаты
nusxa olish|взять образец
nutq o'qimoq|читать речь
no'xat pishirish|готовить нут
ob-havo yaxshi|хорошая погода
odam yaxshi|хороший человек
odat qilish|делать привычку
odatlanmoq ish|привыкать к работе
oddiy kiyim|простая одежда
odob qoidalari|правила приличия
odobli bola|вежливый ребенок
odobsiz odam|невоспитанный человек
oftob charaqlaydi|солнце светит
oila baxtli|счастливая семья
oilaviy sayohat|семейное путешествие
oilali yigit|женатый юноша
ola sigir|пёстрая корова
olam go'zal|прекрасный мир
oldin kel|приходи сначала
oldingi safar|прошлый раз
oldinda yurgan|идущий впереди
olib bormoq sovg'a|нести подарок
olib kelmoq kitob|принести книгу
olifta odam|щёголь человек
olim yaxshi|ученый хороший
olis joy|далекое место
olishmoq sport|бороться в спорте
olma daraxti|яблоня
olmaxon shoxda|белка на ветке
olmoq sovg'a|брать подарок
olov yonmoqda|горит огонь
olti oy|шесть месяцев
oltin uzuk|золотое кольцо
oltmish odam|шестьдесят человек
olxo'ri daraxti|сливовое дерево
olg'a bor|идти вперёд
olcha yig'ish|собирать вишню
ombur ishlatmoq|использовать щипцы
ona mehribon|добрая мать
onajon uyda|мама дома
ont ichmoq|давать клятву
opa kelgan|пришла сестра
opichmoq bola|носить ребенка на спине
oppoq ko'ylak|белое платье
oq uy|белый дом
oqarmoq soch|седеть волосы
oqizmoq suv|спускать воду
oqlamoq devor|белить стену
oqmoq daryo|течет река
oqsamoq oyoq|хромать нога
oqsoq odam|хромой человек
oqshom sayr|вечерняя прогулка
oriq bola|худой ребенок
orol katta|большой остров
orqa hovli|задний двор
orqalamoq yuk|нести на спине груз
orqali o'tish|проходить через
ortiq kerak emas|больше не нужно
ortiqcha yuk|лишний груз
orzu niyatlari|желание мечты
orzu qilmoq baxtni|мечтать о счастье
osmon bulutli|облачное небо
osmoq rasm|вешать картину
oson masala|лёгкая задача
osonlashmoq ish|облегчаться работа
ost ko'rpa|нижняя подстилка
ostki qavat|нижний этаж
ostona oldida|на пороге
ot minish|ездить на лошади
ota mehribon|добрый отец
otajon qadrli|любимый папочка
ota-ona uyi|дом родителей
otlanmoq safar|готовиться к путешествию
to'p otmoq|бросать мяч
ov qilish|заниматься охотой
ovlamoq qushlar|охотиться на птиц
ovoz baland|громкий голос
ovoz bermoq saylovda|голосовать на выборах
ovqat pishirish|готовить еду
ovqatlanmoq oilada|есть в семье
ovunmoq bola|перестать капризничать ребенок
ovchi ovlamoq|охотник ловит
ohak bilan oqartmoq|белить известью
oxir keldi|конец пришёл
oxirgi sahifa|последняя страница
oy yoritmoqda|светит луна
oydin tun|лунная ночь
oyi mehribon|любимая мать
oylik maosh|месячная зарплата
oyna toza|чистое стекло
oynachi ishchi|работа стекольщика
oyoq og'riq|боль в ноге
oz suv|мало воды
ozaymoq miqdor|уменьшаться количество
ozmoq odam|худеть человек
ozod bo'lish|становиться свободным
ozoda xona|чистая комната
ozodlik kuni|день свободы
ozod qilmoq qamoqdan|освободить из тюрьмы
og'ayni do'st|близкий друг
og'ir yuk|тяжёлый груз
og'iz ochiq|открытый рот
og'rimoq bosh|болит голова
og'riq kuchli|сильная боль
og'zaki nutq|устная речь
osh tayyorlamoq|готовить плов
oshmoq narx|повышаться цена
oshna do'st|приятель друг
oshpaz ishchi|работа повара
oshqozon og'riq|боль в желудке
och qolmoq|оставаться голодным
ochiq eshik|открытая дверь
ochko'z odam|жадный человек
ochlik davom etmoqda|голод продолжается
ochmoq deraza|открывать окно
pahlavon kuchli|сильный богатырь
pakana odam|низкорослый человек
palak yig'ish|собирать плети
pana joy|место укрытия
panja qo'l|кисть руки
panjara temir|железная решётка
paqir toza|чистое ведро
par yengil|лёгкое перо
parda yopish|закрывать занавеску
parranda ucha|летит птица
parvarish qilmoq gul|ухаживать за цветком
parcha non|кусок хлеба
past uy|низкий дом
pastki qavat|нижний этаж
pastlamoq ovoz|понижаться голос
pat uchib ketdi|перо улетело
paxta yig'ish|собирать хлопок
paxtakor dalada|хлопкороб на поле
paydo bo'lmoq yangi|появляться новое
paypoq kiyish|надевать носки
payt keldi|время пришло
payshanba kuni|день четверг
pashsha uchmoqda|летает муха
pachaq meva|измятый фрукт
pachaqlamoq kitob|мять книгу
peshana keng|широкий лоб
peshin ovqat|обеденная еда
pilla yig'ish|собирать коконы
pillachi uyi|дом шелковода
piyoda yurmoq|ходить пешком
piyoz kesmoq|резать лук
pishirmoq ovqat|готовить еду
pishloq tatli|вкусный сыр
pishmoq meva|созревает фрукт
pichan tayyorlash|заготовка сена
pichirlamoq sir|шептать секрет
pichoq o'tkir|острый нож
poda yurish|движение стада
podsho kuchli|сильный царь
polvon jangchi|борец воин
portlamoq bomba|взрываться бомба
posbon xizmat|служба стража
poyabzal toza|чистая обувь
poyga yugurish|гонка бег
poygachi yetakchi|лидер гонки
poylamoq do'st|ждать друга
poytaxt katta|большая столица
poshna baland|высокий каблук
pufak uchmoqda|летит пузырь
pufakcha suvda|пузырёк в воде
puflamoq sovuq|дуть холодно
pul yig'ish|собирать деньги
puchuq bola|курносый ребенок
po'st meva|кожура фрукта
po'stloq daraxt|кора дерева
po'choq yong'oq|скорлупа ореха
qabr toza|чистая могила
qabriston katta|большое кладбище
qadam tashlamoq|делать шаг
qadamoq tugma|пришивать пуговицу
qafas ichida|внутри клетки
qalam o'yinchoq|игрушка карандаш
qaldirg'och uchmoqda|летает ласточка
qalin devor|толстая стена
qalpoq issiq|тёплая шапка
qaltiramoq sovuq|дрожать от холода
qand qattiq|твёрдый сахар
qanday savol?|какой вопрос?
qani kitob?|где книга?
qanot qush|крыло птицы
qancha odam?|сколько людей?
qaramoq oynaga|смотреть в зеркало
qarash shirin|нежный взгляд
qari ota|старый отец
qarimoq yillar|стареть годы
qarindosh ko'p|много родственников
qariya odam|старый человек
qarich uzun|длинная пядь
qarmoq baliq|удочка рыба
qarsak chalmoq|хлопать в ладоши
qarz to'lash|платить долг
qarg'a uchmoqda|летает ворона
qatiq yangi|свежее кислое молоко
qatnashmoq tadbirda|участвовать в мероприятии
qator odamlar|ряд людей
qattiq non|твёрдый хлеб
qavat yuqori|верхний этаж
qayerga bormoq?|куда идти?
qayerda yashaysan?|где живёшь?
qayerdan kelasan?|откуда ты?
qayiq suzmoqda|плывёт лодка
qaymoq mazali|вкусные сливки
qaynamoq suv|кипятится вода
qaynatma go'sht|варёное мясо
qaynoq choy|горячий чай
qaysar bola|упрямый ребенок
qaysarlik qilish|показывать упрямство
qaysi kitob?|какая книга?
qaytmoq uyga|возвращаться домой
qashimoq bosh|чесать голову
qachon kelasan?|когда придёшь?
qidirmoq kalit|искать ключ
qil qizil|красный волос
qilich o'tkir|острая сабля
qilichbozlik musobaqa|соревнование по фехтованию
qilmoq ish|делать работу
qimirlamoq daraxt|шевелится дерево
qimmat kiyim|дорогая одежда
qirq gul|сорок цветов
qirqmoq daraxt|резать дерево
qirg'ich ishlatmoq|использовать тёрку
qirg'oq yaqin|близко к берегу
qisqa so'z|короткое слово
qisqarmoq vaqt|сокращаться время
qitiqlamoq bola|щекотать ребенка
qiyin topshiriq|трудное задание
qiyom pishirish|готовить варенье
qiyshiq devor|кривая стена
qiz chiroyli|красивая девушка
qizarmoq yuz|краснеть лицо
qizil olma|красное яблоко
qiziq hikoya|интересный рассказ
qiziqish katta|большой интерес
qiziqmoq kitob|интересоваться книгой
qizg'anchiq bola|жадный ребенок
qish keladi|приходит зима
qishki kiyim|зимняя одежда
qishlamoq tog'da|зимовать в горах
qoida yozish|писать правила
uyda qolmoq|оставаться дома
qoloq o'quvchi|отстающий ученик
qon oqmoqda|течёт кровь
barmoq qonamoq|кровоточит палец
qop to'ldirish|наполнять мешок
yer qoplamoq|покрывать землю
qopqoq ochmoq|открывать крышку
qor yog'moqda|идёт снег
qora rang|чёрный цвет
osmon qoraymoq|темнеет небо
qorbobo keladi|приходит Дед Мороз
qorin og'riq|боль в животе
qorong'i xona|тёмная комната
qorovul eshik|охранник у двери
qorqiz kelmoqda|приходит снегурочка
pishgan qovoq|созревшая тыква
qovun kesish|резать дыню
qovurma tayyorlash|готовить жареное
go'sht qovurmoq|жарить мясо
qovurg'a sinishi|перелом ребра
ishidan qoyil qolmoq|восхищаться работой
katta qozon|большой казан
qog'oz yozish|писать на бумаге
chiroyli qosh|красивые брови
ovqat qoshiq|ложка еды
tez qochmoq|быстро бежать
quduq qazish|копать колодец
qulay kreslo|удобное кресло
devor qulamoq|падает стена
katta qulaylik|большое удобство
qulf yopish|закрыть замок
eshik qulflamoq|запирать дверь на замок
quloq eshitish|слышать ухом
qum to'kmoq|сыпать песок
suvda qurbaqa|лягушка в воде
qurilish boshlamoq|начинать строительство
daraxt qurimoq|сохнет дерево
uy qurmoq|строить дом
qurt topish|найти гусеницу
quruq yer|сухая земля
keng quruqlik|обширная суша
quruvchi ishlaydi|работает строитель
bola qusmoq|рвёт ребенка
do'st qutqarmoq|спасать друга
bolani quvlamoq|гоняться за ребенком
quvnoq musiqa|весёлая музыка
natijaga quvonmoq|радоваться результату
hursand quvonch|радость счастье
uzun quvur|длинная труба
quvvat to'ldirish|наполнять силой
tez quyon|быстрый заяц
quyosh charaqlaydi|светит солнце
suv quymoq|лить воду
quyoshli kun|солнечный день
quyuq yog'|густое масло
uchayotgan qush|летает птица
do'stni quchoqlamoq|обнимать друга
uzun qo'l|длинная рука
qo'lqop kiyish|надевать перчатки
og'riq qo'ltiq|боль в подмышке
qush qo'nmoq|садится птица
qo'ng'iroq chalmoqda|звенит звонок
bog'ni qo'riqlamoq|охранять сад
yovvoyi hayvondan qo'rqmoq|бояться дикого животного
qo'rqoq bola|трусливый ребенок
qo'y boqmoq|пасти овец
kitob qo'ymoq|класть книгу
chopayotgan qo'zi|бежит ягнёнок
chiroyli qo'g'irchoq|красивая кукла
qo'shiq kuylamoq|петь песню
qo'shiq aytmoq|петь песню
qo'shni uy|соседний дом
yangi rahbar|новый руководитель
rahmat aytmoq|говорить спасибо
rais tanlandi|выбран председатель
turli rang|разные цвета
raqam yozmoq|писать цифры
raqqos raqs|танцор танец
chiroyli raqqosa|красивая танцовщица
raqs kechasi|ночной танец
rasm chizish|рисовать картинку
rassom ijodi|творчество художника
rayhon hidi|запах базилика
reja tuzmoq|составлять план
rivoch o'sadi|растёт ревень
rohat dam|спокойствие
rohatlanmoq hayot|наслаждаться жизнью
rost gap|правдивая речь
rostdan sodir bo'ldi|действительно случилось
rozi odam|согласный человек
rozilik bildirmoq|выражать согласие
ruxsat olmoq|получать разрешение
ruxsat bermoq ota-ona|разрешать родители
ruxsatsiz kirish|вход без разрешения
ro'mol taqmoq|надевать платок
ro'yxat tuzmoq|составлять список
sabab topmoq|находить причину
sababli kechikdi|по причине опоздал
sababsiz ketdi|ушёл без причины
sabr sinovi|испытание терпения
sabr qilmoq|терпеть
sabzavot ekish|сажать овощи
sabzi qirqish|резать морковь
saf oldida|впереди ряда
saflamoq askarlar|выстраивать солдат
sahar uyg'onmoq|просыпаться на рассвете
saharlab yurish|ранним утром гулять
sahifa o'qimoq|читать страницу
sakkiz do'st|восемь друзей
sakramoq baland|прыгать высоко
sakson yosh|восемьдесят лет
sal sovuq|чуть холодно
salla o'rash|завязывать чалму
salom berish|приветствовать
salomlashmoq ko'chada|здороваться на улице
salom bermoq mehmonlarga|приветствовать гостей
salqin bog'|прохладный сад
sanamoq pul|считать деньги
sanchmoq igna|втыкать иглу
saqich chaynamoq|жевать жвачку
saqlamoq meva|хранить фрукты
sara mevalar|отборные фрукты
saralamoq kitoblar|сортировать книги
sardor tayyor|командир готов
sarimsoq hid|запах чеснока
sariq rang|желтый цвет
saroy katta|большой дворец
sartarosh ishchi|парикмахер работает
sartaroshxonada ishlamoq|работать в парикмахерской
sariyog' mazali|вкусное масло
sarg'aymoq barglar|желтеют листья
sassiq hid|вонючий запах
savat to'ldirish|наполнять корзину
savol berish|задавать вопрос
saylov kun|день выборов
sayohat qilmoq|путешествовать
sayohatchi hikoyasi|рассказ путешественника
sayramoq qush|птица поет
sayyoh keladi|приходит турист
sachramoq suv|разбрызгивается вода
sa'va kiyim|щеголь одежда
sekin yurish|медленно ходить
sekinlashmoq ish|замедляться работа
sel bosmoqda|затопляет ливень
semirmoq odam|толстеет человек
semiz mushuk|толстый кот
sen bolam|ты мой ребенок
sepkil yuz|веснушчатое лицо
sepmoq gul|поливать цветы
seskanmoq tovush|вздрагивать от звука
sevinmoq natija|радоваться результату
sevinch onasi|радость матери
sevmoq yurak|любить сердцем
sezmoq og'riq|чувствовать боль
seshanba kuni|день вторник
sigir sut|молоко коровы
silamoq bola|гладить ребенка
silliq yuz|гладкое лицо
sim elektr|электрический провод
sinamoq mashina|испытывать машину
sinf xona|классная комната
sinfdosh qiz|одноклассница девочка
sinmoq shisha|разбилось стекло
siqim tuz|щепотка соли
sira kelmadi|совсем не пришёл
sirka ta'm|вкус уксуса
sirpanmoq muz|скользить по льду
sirg'anmoq toqqa|соскальзывать с горы
sirg'anchiq yer|скользкая земля
siyoh qora|черные чернила
siz yaxshi|вы хороший
sig'moq xalta|вмещаться в сумку
sichqon uyda|мышь в доме
singil yaxshi|младшая сестра хорошая
soat sakkiz|восемь часов
sohil bo'yi|береговая линия
solmoq kitob|класть книгу
son katta|большое количество
sop mustahkam|прочная рукоятка
soqol uzun|длинная борода
soqov odam|немой человек
soqovlanmoq qo'rqish|заикаться от страха
sotib olmoq uy|покупать дом
sotmoq sabzi|продавать морковь
sotuvchi do'konda|продавец в магазине
sovimoq choy|остывает чай
sovun bilan yuvmoq|мыть с мылом
sovuq havo|холодная погода
sovg'a olmoq|получать подарок
soya daraxt|тень дерева
soz chalinadi|играет музыкальный инструмент
sozanda o'ynaydi|музыкант играет
sog' odam|здоровый человек
sog'aymoq bola|выздоравливает ребенок
sog'inmoq ona|скучать по матери
sog'liq yaxshi|хорошее здоровье
sog'lom bo'lish|быть здоровым
sog'moq sigir|доить корову
soch uzun|длинные волосы
sochilmoq o'yinchoqlar|рассыпались игрушки
sochiq ho'l|мокрое полотенце
sochmoq urug'|сеять семена
sportchi yugurmoqda|бежит спортсмен
suhbat qurish|вести беседу
suhbatlashmoq do'st|беседовать с другом
supurgi bilan supurmoq|подметать веником
supurmoq uy|подметать дом
surat chizish|рисовать картину
surmoq rasm|двигать картину
sut ichmoq|пить молоко
suv toza|чистая вода
suvarak topish|найти таракана
suyak qattiq|твердая кость
suyuq sho'rva|жидкий суп
suzmoq hovuz|плавать в бассейне
sug'ormoq bog'|орошать сад
so'kmoq bola|ругать ребенка
so'lak oqmoqda|течёт слюна
gul so'lmoq|цветок вянет
so'nggi sahifa|последняя страница
so'nmoq chiroq|гаснет свет
so'qmoq tor|узкая тропинка
so'ramoq savol|задавать вопрос
so'rashmoq do'st|спрашивать друга
so'roq tushunish|понимать вопрос
so'rg'ich bola|соска ребенка
so'z aytmoq|говорить слово
so'z bermoq va'da|обещать слово
so'zlamoq hikoya|рассказывать историю
so'ngra kelmoq|потом приходить
tabiat chiroyli|прекрасная природа
tabriklamoq tug'ilgan kun|поздравлять с днем рождения
tag qisqa|нижняя часть
tajriba o'tkazish|проводить эксперимент
takror qilish|повторять урок
takrorlamoq so'zlar|повторять слова
talaba universitet|студент университета
talaffuz to'g'ri|правильное произношение
talay pul|много денег
tamom bo'ldi|закончилось
kitob tamomlamoq|заканчивать книгу
tana og'riq|боль в теле
tanaffus qilmoq|делать перерыв
tanbeh qattiq|строгое замечание
tanbeh bermoq|делать замечание
tanimoq odam|узнавать человека
yangi tanish|новый знакомый
tanlamoq kiyim|выбирать одежду
taom mazali|вкусная еда
taqmoq zanjir|носить цепочку
taqsimlamoq kitoblar|распределять книги
taraf yovvoyi|дикая сторона
soch taramoq|расчесывать волосы
tarbiya yaxshi|хорошее воспитание
tarbiyalamoq bola|воспитывать ребенка
tarbiyali oila|воспитанная семья
tarbiyasiz bola|невоспитанный ребенок
tarbiyachi maktab|воспитатель школы
tarix o'qituvchi|учитель истории
tarixiy joy|историческое место
taroq ishlatmoq|использовать расчёску
tarozi tortmoq|взвешивать на весах
tartib saqlamoq|сохранять порядок
tartibli odam|аккуратный человек
tartibsiz xona|беспорядочная комната
tarqalmoq odamlar|расходятся люди
tarvuz pishgan|созрел арбуз
tasma bog'lamoq|завязывать ленту
tasodifan uchrashish|случайно встретиться
taxir ta'm|горький вкус
taxlamoq kiyim|складывать одежду
taxta tozalamoq|чистить доску
tayoq ushlamoq|держать палку
tayyor bo'lish|быть готовым
tayyorlamoq taom|готовить еду
tayyorlanmoq imtihon|готовиться к экзамену
tag'in kelmoq|снова прийти
tashimoq yuk|переносить груз
tashlamoq tosh|бросать камень
tashna bo'lmoq|испытывать жажду
tashnalik his qilmoq|чувствовать жажду
tanglay yutmoq|глотать нёбом
ta'til boshlamoq|начинать каникулы
tebranmoq daraxt|качаться дерево
tegmoq qo'l|касаться руки
tekin olish|получить даром
tekinga berish|давать бесплатно
tekis yer|ровная земля
tekislamoq yuz|ровнять поверхность
tekshirish natija|проверка результатов
tekshirmoq hujjat|проверять документы
telpak kiyish|носить тёплую шапку
temir eshik|железная дверь
tepa chiqmoq|подниматься на холм
tepalik ko'rinmoq|видна возвышенность
tepmoq to'p|пинать мяч
ter oqmoq|течёт пот
terak katta|большой тополь
teri nam|влажная кожа
terimchi mehnat|труд сборщика
terlamoq yugurmoq|потеть от бега
termoq mevani|собирать фрукты
teskari tomoni|обратная сторона
tevarak joy|окрестность места
tez yugurmoq|быстро бежать
tezlik oshirish|увеличивать скорость
teshik yasalmoq|делать отверстие
teshmoq devor|пробивать стену
teng odamlar|равные люди
tengdosh do'st|ровесник друг
tenglamoq imkoniyat|уравнивать возможности
tenglik tamoyili|принцип равенства
tikan o'simlik|колючка растения
tikilmoq rasm|уставиться на картину
tikmoq kiyim|шить одежду
tikuvchi malakali|опытный портной
til so'zlash|говорить на языке
tilak bildirmoq|выражать пожелание
tilamoq baxt|желать счастья
tilla uzuk|золотое кольцо
timsoh havzada|крокодил в пруду
tiniq suv|чистая вода
tinmoq yomg'ir|прекращается дождь
tinch hayot|спокойная жизнь
tinchimoq yurak|успокаиваться сердцем
tinchlanmoq bolalar|успокаивать детей
tinchlik zamon|мирное время
tipratikan uy|ёж в доме
tirik jon|живое существо
tirishmoq maqsad|стараться ради цели
tirishqoq talaba|старательный студент
tirnamoq yuz|царапать лицо
tirnoq toza|чистый ноготь
tirsak yengil|легкий локоть
tirtiq chandiq|шрам на теле
titramoq sovuqda|дрожать на холоде
titroq qo'l|дрожащая рука
tiyin pul|копейка деньги
tizza og'riq|боль в колене
tish og'riq|зубная боль
tishlamoq non|кусать хлеб
tinglamoq qo'shiq|слушать песню
tobut olib borish|нести гроб
tok uzum|виноградное растение
tokcha kitob|полка для книг
tol daraxt|ива дерево
tola paxta|хлопковое волокно
tolqon yasalmoq|делать толокно
tom suv|вода на крыше
tomir qon|кровеносный сосуд
tomizmoq dori|капать лекарство
tommoq yomg'ir|капать дождь
tomon yurish|идти в сторону
tomoq og'riq|боль в горле
tomosha ko'rish|смотреть представление
tomoshabin zal|зрители в зале
tomchi yomg'ir|капля дождя
tomchilamoq yomg'ir|капающий дождь
topishmoq jumboq|загадка вопрос
topmoq javob|найти ответ
topshiriq bajarish|выполнять задание
topshirmoq maktub|вручать письмо
toqat qilmoq achchiq|терпеть горечь
toqat qilmoq og'riq|терпеть боль
tor ko'cha|узкая улица
toraymoq yer|сужаться земля
tortmoq arqon|тянуть веревку
totmoq ta'm|пробовать на вкус
tovon og'riq|боль в пятке
tovoq toza|чистое блюдо
tovuq tuxum|яйцо курицы
tovus chiroyli|красивый павлин
tovush yoqimli|приятный голос
toy qo'shiq|малыш поет
toychoq o'smoqda|жеребёночек растёт
toza xona|чистая комната
tozalamoq uy|чистить дом
tozalik saqlash|сохранять чистоту
tog' baland|высокая гора
tog'a mehmon|дядя в гостях
tog'ora suv|таз с водой
tosh katta|большой камень
toshbaqa uyda|черепаха в доме
toshmoq daryo|река разливается
tong oydin|ясный рассвет
tugamoq kitob|кончаться книга
tugma kiyim|пуговица на одежде
tugmacha rangi|цвет пуговки
tuk yengil|легкий пушок
tulki yo'lda|лиса на дороге
tumov og'riq|боль от насморка
tumshuq qush|клюв птицы
tun sokin|спокойная ночь
tungi osmon|ночное небо
tunuka temir|листовое железо
tup gul|куст цветка
tuproq toza|чистая почва
turar joy yangi|новое жильё
turmoq joy|стоять на месте
turmush oson|лёгкая жизнь
turna ko'l|журавль на озере
turp shirin|сладкая редька
turtki kuch|сильный толчок
turtmoq eshik|толкать дверь
turshak shirin|сладкий урюк
tut daraxt|тутовое дерево
tutamoq olma|держать яблоко
tutmoq baliq|ловить рыбу
tutqich mustahkam|прочная рукоятка
tutun oq|белый дым
tuvak gul|горшок для цветов
tuxum pishirmoq|готовить яйцо
tuya cho'l|верблюд в пустыне
tuyaqush katta|большой страус
tuynuk toza|чистое отверстие
tuyoq ot|копыто лошади
tuz sho'r|соленая соль
tuzalmoq kasal|выздоравливать больной
tuzatmoq xato|исправлять ошибку
tuzlamoq baliq|засаливать рыбу
tuzli taom|солёное блюдо
tuzdon yangi|новая солонка
tuzoq qo'ymoq|ставить ловушку
tush ko'rish|видеть сон
tushlik mazali|вкусный обед
tushmoq narvon|спускаться по лестнице
tushunarli so'z|понятное слово
tushunmoq gap|понимать речь
to'garak qo'shiq|песенный кружок
to'kmoq suv|лить воду
to'la xona|полная комната
to'lamoq pul|платить деньги
to'ldirmoq daftar|заполнять тетрадь
to'lmoq idish|наполняться сосуд
to'lqin katta|большая волна
to'nka eski|старый пень
to'p o'yin|игра с мячом
to'piq og'riq|боль в щиколотке
to'plamoq kitob|собирать книги
to'polon boshlamoq|начинать шум
to'polonchi bola|шумный ребенок
to'pponcha yangilamoq|обновить пистолет
to'q ovqat|сытная еда
to'qimoq ko'ylak|вязать свитер
to'qqiz yosh|девять лет
to'qson yil|девяносто лет
to'r to'qimoq|вязать сеть
to'rt kun|четыре дня
to'satdan kelmoq|внезапно прийти
to'siq yasalmoq|делать преграду
to'smoq yo'l|заграждать путь
to'ti chiroyli|красивый попугай
to'xtamoq mashina|останавливать машину
to'y bazmi|свадебное торжество
to'ymoq osh|наедаться пловом
to'g'ramoq go'sht|резать мясо
to'g'ri yo'l|правильный путь
to'g'rilamoq xato|исправлять ошибку
to'shak yotmoq|лежать на постели
uka qadrli|дорогой младший брат
ulamoq ip|соединять нить
ular ketdi|они ушли
ulashmoq yordam|раздавать помощь
ulgurmoq vaqt|успевать вовремя
umid qilmoq|надеяться
umr uzoq|долгая жизнь
umumiy qoida|общее правило
un oq|белая мука
undosh tovush|согласный звук
uni bilmoq|знать его
unli harf|гласная буква
unutmoq kitob|забыть книгу
urinmoq harakat|пытаться стараться
urinchoq talaba|старательный студент
urishmoq do'st|ссориться с другом
urishqoq bola|драчливый ребенок
urmoq dushman|бить врага
ust yuzasi|поверхность верха
usta hunarmand|опытный мастер
ustaxona katta|большая мастерская
ust-bosh toza|чистая одежда
ustki qavat|верхний этаж
ustoz hurmatli|уважаемый учитель
ustun baland|высокий столб
uxlamoq sokin|спать спокойно
uya qurmoq|строить гнездо
uyalmoq xato|стыдиться ошибки
uyat his|чувствовать стыд
uy toza|чистый дом
uyatsiz bola|бесстыдный ребенок
uyatchang qiz|застенчивая девушка
uyqu chuqur|глубокий сон
uyg'atmoq bola|будить ребёнка
uyg'onmoq erta|рано просыпаться
uyg'oq bola|бодрствующий ребенок
uzatmoq qo'l|протягивать руку
uzaymoq vaqt|удлиняться время
uzmoq gul|срывать цветок
uzoq yo'l|долгий путь
uzoqlashmoq shahar|удаляться от города
uzuk chiroyli|красивое кольцо
uzum shirali|сочный виноград
uzun ko'ylak|длинное платье
ushlamoq qo'l|держать руку
uch qirrali|треугольный
uchmoq qush|летать птица
uchramoq do'st|встретить друга
uchrashuv bo'lishi|состоится встреча
uchqun chaqnamoq|искра сверкает
uchun kerak|необходимо для
uchuvchi malakali|опытный пилот
va shunday|и так
vafot kuni|день смерти
vafot etmoq|скончаться
vahima qilmoq|паниковать
vahimali voqea|ужасное событие
vaqt o'tmoq|время идёт
varaq toza|чистый лист
varaqlamoq kitob|листать книгу
varrak uchirmoq|запускать змея
vatan sevgi|любовь к родине
vazifa bajarish|выполнять задачу
va'da bajarish|выполнение обещания
va'da bermoq|обещать
vergul qo'ymoq|ставить запятую
viloyat markazi|центр области
voqea sodir bo'lmoq|происходит событие
vovullamoq it|лает собака
xabar kelmoq|приходит известие
xafa bo'lmoq|обижаться
xafa qilmoq|обижать
xalaqit bermoq|мешать
xalq yig'ilmoq|собирается народ
xalta to'ldirmoq|наполнять сумку
xamir tayyorlamoq|готовить тесто
xaridor bozor|покупатель на рынке
xartum uzun|длинный хобот
xarxasha haqlar|капризные желания
xarxasha qilmoq|капризничать
xat yozmoq|писать письмо
xato javobi|ошибочный ответ
xato qilmoq|ошибаться
xayol surmoq|мечтать
xayr aytmoq|говорить до свидания
xil mahsulot|вид продукции
xira chiroq|тусклый свет
xizmat uchun|для службы
xizmat qilmoq|служить
xohlamoq uxlash|хотеть спать
xol katta|большая родинка
xola mehmon|тётя в гостях
xom go'sht|сырая рыба
xona katta|большая комната
xonadon katta|большая семья
xonanda mashhur|знаменитый певец
xotin aqli|женский ум
xotira yaxshi|хорошая память
xuddi shunday|точно так
xudo so'z|слово Бога
xulq yaxshi|хороший характер
xunuk ko'rinish|некрасивый вид
xurrak otmoq|храпеть
xursand bo'lmoq|радоваться
xushmuomala bola|вежливый ребенок
xo'mraymoq yuz|хмуриться
xo'p aytmoq|сказать ладно
xo'roz sayramoq|петух поёт
xo'rsinmoq yurak|вздыхать сердцем
xo'tik bolasi|ослёнок
xo'sh deyman|я говорю ну
yakshanba kuni|воскресный день
yalamoq muzqaymoq|лизать мороженое
yalang'och bola|голый ребенок
yalinmoq yordam|умолять о помощи
yalpiz choy|чай с мятой
yalpoq tosh|плоский камень
yalt etmoq yulduz|сверкнуть звездой
yaltiramoq ko'z|блестеть глазами
yalqov bola|ленивый ребёнок
yaltiroq buyum|блестящий предмет
yana kelmoq|снова прийти
yangi kitob|новая книга
yangilik eshitmoq|слышать новость
yanchmoq bug'doy|молотить пшеницу
yapaloq yer|плоская земля
yaqin do'st|близкий друг
yaqinda uchrashmoq|недавно встречаться
yaqinlashmoq uy|приближаться к дому
yara og'riq|боль в ране
yarash tuzmoq|заключить перемирие
yarashmoq do'st|мириться с другом
yarim soat|полчаса
yarimta non|половинка хлеба
yarqiramoq quyosh|сверкать солнцем
yasama gul|искусственный цветок
yasamoq stol|мастерить стол
yasanmoq kiyim|наряжаться в одежду
yax muz|лёд замерзает
