|word|part_of_speech|lemma
28891|aufwollen|Verb|aufwollen
28893|irgendwar|Pronomen|irgendwo
28925|Fängt|Verb|fangen
28981|anlogen|Verb|anlogenen
29035|träumst|Verb|träumen
29056|Ständig|Adjektiv|ständig
29080|wohinweißt|Verb|wohinweisen
29085|fürchtest|Verb|fürchten
29197|Johnny|Substantiv|Johnny
29200|baun|Verb|bauen
29209|Tindern|Verb|tindern
29230|träumn|Verb|träumen
29238|Bengeln|Verb|bengeln
29241|ausbrechn|Verb|ausbrechen
29245|fucking|Adjektiv|fucking
29246|Systеm|Substantiv|das System
29252|andеrs|Adjektiv|anders
29269|neugebaut|Adjektiv|neugebaut
29289|drehn|Verb|drehen
29302|verschwommn|Verb|verschwimmen
29305|Scholln|Verb|schollen
29371|Graue|Substantiv|die Graue
29395|schlechtwerdn|Verb|schlechtwerden
29401|finds|Verb|finden
29409|hinkomm|Verb|hinkommen
29467|viert|Adjektiv|viert
29503|non-stop|Adjektiv|non-stop
29554|70|Numeral|70
29573|Granini|Substantiv|Granini
29637|ranfahr|Verb|ranfahren
29643|Wusst|Verb|wissen
29691|Toyota|Substantiv|Toyota
29692|Corolla|Substantiv|Corolla
29698|Merci|Interjektion|merci
29702|Thats|Pronomen|das
29705|call|Verb|rufen
29716|95|Numeral|95
29752|legn|Verb|legen
29754|unserr|Pronomen|unser
29776|Verflossenem|Adjektiv|verflossen
29777|Schwimmt|Verb|schwimmen
29797|fleigen|Verb|fliegen
29824|fällts|Verb|fällen
29828|hinterherschau|Verb|hinterherschaun
29832|Zurückholn|Verb|zurückholen
29847|Zwischendrin|Adverb|zwischendrin
29852|beginnn|Verb|beginnen
29875|Es-es|Pronomen|es
29879|Wunderbar|Adjektiv|wunderbar
29880|Upside-down|Adjektiv|upsidedown
29889|Gedank|Substantiv|der Gedanke
29897|leergeraucht|Adjektiv|leergeraucht
29943|Surreal|Adjektiv|surreal
29962|su|Pronomen|du
29966|ah-ah|Interjektion|ah-ah
30029|Bella|Substantiv|Bella
30030|Ciao|Interjektion|ciao
30031|bella|Adjektiv|bella
30042|Trafen|Verb|treffen
30120|Bringen|Verb|bringen
30230|unsre|Pronomen|unsere
30276|Bewegen|Verb|bewegen
30344|verschwende|Verb|verschwenden
30353|Maskierter|Substantiv|der Maskierte
30396|aufFang|Verb|auffangen
30448|Musst|Verb|müssen
30480|Taking|Verb|nehmen
30482|ride|Substantiv|die ride
30485|time|Substantiv|die time
30486|machine|Substantiv|die machine
30488|1991|Numeral|1991
30491|sixteen|Numeral|sechzehn
30493|dad|Substantiv|der Dad
30495|us|Pronomen|wir
30496|smoking|Verb|rauchen
30497|drinking|Verb|trinken
30498|beer|Substantiv|das Bier
30500|roof|Substantiv|das Dach
30501|Hope|Substantiv|die Hoffnung
30503|wont|Verb|werden
30505|mum|Substantiv|die Mum
30506|she|Pronomen|sie
30507|would|Verb|würden
30508|disapprove|Verb|missbilligen
30513|90ern|Substantiv|die 90er
30531|ham|Verb|haben
30550|aufgenommn|Verb|aufnehmen
30562|bekomm|Verb|bekommen
30568|ausghen|Verb|ausgehen
30570|fürn|Pronomen|für einen
30582|1990s|Substantiv|die 1990er
30630|zurückschätzen|Verb|zurückschätzen
30631|blick|Substantiv|der Blick
30646|schwärm|Verb|schwärmen
30657|Throwing|Verb|werfen
30659|empty|Adjektiv|leer
30660|bottles|Substantiv|die Flasche
30662|16th|Numeral|16.
30663|floor|Substantiv|der Boden
30664|Were|Verb|sein
30665|running|Verb|laufen
30671|some|Pronomen|einige
30673|The|Artikel|der
30676|long|Adjektiv|lang
30678|hot|Adjektiv|heiß
30680|nights|Substantiv|die Nächte
30684|hope|Substantiv|die Hoffnung
30685|tomorrow|Substantiv|morgen
30686|we|Pronomen|wir
30689|late|Adjektiv|spät
30691|school|Substantiv|die Schule
30698|Afterparty-Rave|Substantiv|der Afterparty-Rave
30699|Laber|Verb|labern
30708|abend|Substantiv|der Abend
30726|achter|Adjektiv|achter
30743|Fres|Substantiv|der Fres
30765|erfahrn|Verb|erfahren
30784|1990|Numeral|1990
30819|blickn|Verb|blicken
30845|Ha|Interjektion|ha
30846|Jön|Verb|gehen
30848|Reggel|Substantiv|der Reggel
30849|irány|Substantiv|der irány
30852|Amennyi|Substantiv|das Amennyi
30853|nálad|Pronomen|bei dir
30855|Az|Pronomen|das
30856|odaviszed|Verb|mitnehmen
30857|Hamamma|Substantiv|das Hamamma
30858|Attól|Pronomen|davon
30859|majd|Adverb|dann
30860|megváltozik|Verb|verändern
30862|Közérzeted|Substantiv|das Közérzeted
30863|És|Konjunktion|und
30864|egész|Adjektiv|ganz
30865|nap|Substantiv|der Tag
30866|Mondogatod|Verb|sagen
30867|Magadba|Pronomen|in dich
30868|Minek|Pronomen|warum
30870|mi|Pronomen|was
30872|meg|Verb|nehmen
30875|nincs|Verb|sein
30876|Mikor|Adverb|wann
30878|Csuklódon|Substantiv|der Csuklódon
30879|Kattan|Verb|klicken
30881|bilincs|Substantiv|der Bilincs
30884|Pozíciódón|Substantiv|die Pozíciódón
30885|változtatnál|Verb|verändern
30886|De|Konjunktion|aber
30887|ezen|Pronomen|diesem
30889|Ajtón|Substantiv|die Ajtó
30891|Kilincs|Substantiv|der Kilincs
31041|Fruchtsaftverordnung|Substantiv|die Fruchtsaftverordnung
31117|Drei-Wetter-Taft|Substantiv|der Drei-Wetter-Taft
31120|Ham|Verb|haben
31178|beschwer|Verb|beschweren
31197|waren|Verb|sein
31226|bräuchen|Verb|brauchen
31230|siebter|Adjektiv|siebter
31270|fands|Verb|finden
31357|gehten|Verb|gehen
31361|verlässen|Verb|verlassen
31406|stirben|Verb|sterben
31415|wunde|Substantiv|die Wunde
31430|brichen|Verb|brechen
31435|sche|Verb|scheinen
31440|Haie|Substantiv|die Haie
31455|Kommst|Verb|kommen
31460|drück|Verb|drücken
31486|losbleib|Verb|losbleiben
31549|andren|Adjektiv|anderer
31551|lichen|Verb|lichen
31572|Tabakschicht|Substantiv|die Tabakschicht
31598|hochzieh|Verb|hochziehen
31608|losrennen|Verb|losrennen
31612|zurückdreh|Verb|zurückdrehen
31642|mitKommst|Verb|mitkommen
31709|Dezemberbei|Substantiv|der Dezemberbei
31711|zwanzigrad|Numeral|zwanzig
31728|kaltdass|Adjektiv|kalt
31732|gfrieren|Verb|gefrieren
31738|Laterneund|Substantiv|die Laterneund
31745|glitzeren|Verb|glitzern
31768|gelecktdie|Verb|gelecken
31771|blieben|Verb|bleiben
31804|Typisch|Adjektiv|typisch
31820|vorbeiEin|Adverb|vorbei
31866|Alsie|Verb|sein
31869|ws|Abkürzung|ws
31872|tuedass|Verb|tun
31889|Frier|Verb|frieren
31929|herhol|Verb|herholen
31934|wähl|Verb|wählen
31935|112|Numeral|112
31943|Dummich|Interjektion|dumm
31947|Rambimmel|Substantiv|der Rambimmel
31948|rabammel|Substantiv|der rabammel
31950|bumm|Verb|bummen
31958|hamwa|Verb|haben
31963|müd|Adjektiv|müde
31988|Big|Adjektiv|groß
31989|Bang|Adjektiv|knallen
31995|Bumm|Verb|bummen
32020|Krrrksn|Interjektion|krrrksn
32057|Besten|Substantiv|die Besten
32111|Früher|Adjektiv|früher
32114|Bunnie|Substantiv|die Bunnie
32252|getrüben|Verb|trüben
32256|Möge|Verb|mögen
32294|ann|Verb|an
32304|scheissen|Verb|scheißen
32371|asphaltiern|Verb|asphaltieren
32405|Discovery|Substantiv|die Discovery
32408|90|Numeral|90
32418|discovern|Verb|entdecken
32422|Q7|Substantiv|Q7
32429|Dеutsche|Adjektiv|deutsch
32432|Porschе-Fahren|Substantiv|das Porsche-Fahren
32450|Asphaltwüste|Substantiv|die Asphaltwüste
32460|260|Numeral|260
32471|VW-Bus|Substantiv|der VW-Bus
32473|Eintausend|Numeral|Eintausend
32489|Brumm-Brumm|Substantiv|Brumm-Brumm
32501|Lalala|Interjektion|Lalala
32506|Lalalala|Interjektion|Lalalala
32507|Laaa|Interjektion|Laaa
32514|Falschparken|Substantiv|das Falschparken
32560|Disney|Substantiv|Disney
32579|30|Numeral|30
32620|Wäre|Verb|sein
32678|gehörn|Verb|gehören
32679|Gestatt|Verb|gestatten
32744|Lebenslang|Adjektiv|lebenslang
32771|sichs|Pronomen|sich
32779|Schöneres|Substantiv|das Schöneres
32795|Romantische|Adjektiv|romantisch
32801|Höllenritt|Substantiv|der Höllenritt
32805|Dritt|Substantiv|das Dritt
32975|schwengen|Verb|schwingen
33010|Fällst|Verb|fallen
33021|findest|Verb|finden
33068|Leisen|Adjektiv|leise
33082|KB|Substantiv|KB
33086|eure|Pronomen|euer
33087|Lieblings-Rapperin|Substantiv|die Lieblings-Rapperin
33104|Chewbacca|Substantiv|Chewbacca
33109|Teleskop-Schlagstock|Substantiv|der Teleskop-Schlagstock
33112|Raplegende|Substantiv|die Raplegende
33113|funky|Adjektiv|funky
33114|Motherfucker|Substantiv|der Motherfucker
33122|schmeiß|Verb|schmeißen
33128|dAmour|Substantiv|d'Amour
33146|ruhigen|Adjektiv|ruhig
33148|Zerbrechlichen|Adjektiv|zerbrechlich
33155|verdächtige|Adjektiv|verdächtig
33165|verschlungen|Adjektiv|verschlungen
33179|Gegenprogramm|Substantiv|das Gegenprogramm
33276|Internet-Armee|Substantiv|die Internet-Armee
33352|Hätte|Verb|haben
33357|vielbenutzt|Adjektiv|vielbenutzt
33371|ick|Pronomen|ich
33373|dit|Pronomen|das
33376|jern|Pronomen|irgend
33381|keen|Adjektiv|kein
33388|jewonnen|Verb|gewinnen
33412|Angelina|Substantiv|Angelina
33413|Jolie|Substantiv|Jolie
33420|anner|Adjektiv|ander
33424|se|Pronomen|sie
33426|anjequatsch|Interjektion|anjequatsch
33431|palavert|Verb|palavern
33436|Kiss|Substantiv|der Kiss
33446|Brad|Substantiv|Brad
33447|Pitt|Substantiv|Pitt
33472|jeschmissen|Verb|schmeißen
33476|NEIN|Interjektion|NEIN
33489|haten|Verb|haten
33503|Is|Verb|sein
33526|pubertierend|Adjektiv|pubertierend
33533|eener|Pronomen|ein
33546|jewesen|Verb|sein
33547|Hätten|Verb|haben
33552|NE|Interjektion|NE
33573|Ohohohohoh|Interjektion|Ohohohohoh
33581|bekloppen|Verb|bekloppen
33590|losgerocken|Verb|losrocken
33593|Birnen|Substantiv|die Birne
33607|icke|Pronomen|ich
33608|jetze|Adverb|jetzt
33616|Fukushimaaktie|Substantiv|die Fukushimaaktie
33622|allet|Pronomen|alles
33656|keener|Adjektiv|kein
33667|kleen|Adjektiv|klein
33668|Skit|Substantiv|das Skit
33676|diesjahr|Adjektiv|dieses Jahr
33686|mikrig|Adjektiv|mikrig
33691|Haste|Verb|haben
33692|irgendwat|Pronomen|irgendwas
33694|jemacht|Verb|machen
33706|rübergestolpern|Verb|rübergestolpern
33711|jehst|Verb|gehen
33740|Ick|Pronomen|ich
33754|hälen|Verb|halten
33756|et|Pronomen|es
33770|verpatzt|Adjektiv|verpatzt
33826|druff|Adjektiv|drauf
33852|Blockwärter|Substantiv|der Blockwärter
33865|erwünschen|Verb|erwünschen
33935|aufgehört|Verb|aufhören
33960|gezähmt|Adjektiv|gezähmt
33986|kriegn|Verb|kriegen
34009|flaschenfrei|Adjektiv|flaschenfrei
34011|birgen|Verb|bergen
34044|reindrehen|Verb|reindrehen
34082|pfeifn|Verb|pfeifen
34101|reinbügel|Verb|reinbügeln
34136|binn|Pronomen|bin
34151|trinkn|Verb|trinken
34278|Schweigefuch|Substantiv|der Schweigefuchs
34333|Internetverbot|Substantiv|das Internetverbot
34356|war|Verb|sein
34371|Twittern|Verb|twittern
34377|Whats-App|Substantiv|die Whats-App
34380|Statusfeld|Substantiv|das Statusfeld
34391|Farmville-Feld|Substantiv|das Farmville-Feld
34408|World|Substantiv|die Welt
34410|Warcraft|Substantiv|Warcraft
34433|Schlimmeres|Substantiv|das Schlimmere
34562|GEZ|Substantiv|die GEZ
34629|meinst|Verb|meinen
34637|Bestimmen|Verb|bestimmen
34664|rannen|Verb|rennen
34694|Joy|Substantiv|Joy
34737|aufbiss|Verb|aufbeißen
34748|Sammeltaxe|Substantiv|die Sammeltaxe
34773|chilln|Verb|chillen
34781|Heb|Verb|heben
34812|Yayeyeheah|Interjektion|Yayeyeheah
34818|Hihi|Interjektion|Hihi
34821|Ahaha|Interjektion|Ahaha
34856|fly|Adjektiv|fliegen
34859|sick|Adjektiv|sick
34865|Kalli|Substantiv|Kalli
34875|siezt|Verb|siezen
34879|duz|Verb|duzen
34881|Sis|Substantiv|Sis
34892|trittst|Verb|treten
34894|möchteen|Verb|möchten
34920|piepsend|Adjektiv|piepsend
34927|Terrorstyle|Substantiv|der Terrorstyle
34932|Froschgift|Substantiv|das Froschgift
34940|Schrottwichtel|Substantiv|der Schrottwichtel
34948|Nosliw|Substantiv|Nosliw
34997|Gemüsefach|Substantiv|das Gemüsefach
35000|Alli|Substantiv|Alli
35012|Kaliba|Substantiv|Kaliba
35022|knabberen|Verb|knabbern
35053|Leguane|Substantiv|die Leguane
35087|Eingeweid|Substantiv|das Eingeweid
35088|Tjaa|Interjektion|Tjaa
35123|Ro-man-tik|Substantiv|die Ro-man-tik
35127|Barkeeperstyle|Substantiv|der Barkeeperstyle
35132|Zitron|Substantiv|die Zitrone
35135|blas|Verb|blasen
35192|Kauft|Verb|kaufen
35197|Oho|Interjektion|Oho
35209|wegmuss|Verb|wegmüssen
35230|Ahhhhhhhhhhhh|Interjektion|Ahhhhhhhhhhhh
35231|Argh|Interjektion|Argh
35243|anfangn|Verb|anfangen
35252|Maut-Kontrolle|Substantiv|die Maut-Kontrolle
35258|ganze|Adjektiv|ganz
35264|Nacht-Unterhemd|Substantiv|das Nacht-Unterhemd
35286|zurücklehn|Verb|zurücklehnen
35343|Wach|Adjektiv|wach
35354|TKKG|Substantiv|TKKG
35363|Erstgeborenen|Substantiv|die Erstgeborenen
35395|wiederho|Verb|wiederholen
35399|wiederhoooo|Verb|wiederholen
35412|Sherlock|Substantiv|Sherlock
35413|Holme|Substantiv|die Holme
35429|Robo-Cop|Substantiv|der Robo-Cop
35443|Gesetzeszeile|Substantiv|die Gesetzeszeile
35467|Obama|Substantiv|Obama
35501|Studieren|Verb|studieren
35502|Isso|Interjektion|isso
35512|gemieden|Verb|meiden
35517|Bringt|Verb|bringen
35522|Pyrokratie|Substantiv|die Pyrokratie
35558|vertraun|Verb|vertrauen
35568|feiger|Adjektiv|feige
35570|Rufen|Verb|rufen
35577|Einheits-Look|Substantiv|der Einheits-Look
35578|Kaliba69|Substantiv|Kaliba69
35587|Triple-Moral|Substantiv|die Triple-Moral
35588|Puk|Substantiv|der Puk
35629|Holmes|Substantiv|Holmes
35826|Fäde|Substantiv|die Fäde
35833|vollgetankt|Adjektiv|vollgetankt
35868|nimmen|Verb|nehmen
35896|check|Verb|checken
35935|Nennst|Verb|nennen
35964|lachsen|Verb|lachen
36063|versuchs|Verb|versuchen
36117|bist|Verb|sein
36165|Zählen|Verb|zählen
36166|Baut|Verb|bauen
36170|betrat|Verb|betreten
36176|gefressen|Verb|fressen
36204|6000|Numeral|6000
36218|Boss-Geschöpf|Substantiv|das Boss-Geschöpf
36240|Battle|Substantiv|das Battle
36245|whack|Verb|whacken
36246|MC|Substantiv|der MC
36313|Bosom|Substantiv|das Bosom
36319|erschuf|Verb|erschaffen
36338|allergrösste|Adjektiv|allergrößte
36350|bissen|Verb|beißen
36357|schissen|Verb|scheißen
36438|Hochbegabt|Adjektiv|hochbegabt
36470|bewohnn|Verb|bewohnen
36533|Belächeln|Verb|belächeln
36599|15-Punkte-Schnitt|Substantiv|der 15-Punkte-Schnitt
36621|Neuestem|Adjektiv|neu
36630|schriebs|Verb|schreiben
36723|Raucherkette|Substantiv|die Raucherkette
36728|Lungenriss|Substantiv|der Lungenriss
36766|Cola-Rum-Mische|Substantiv|die Cola-Rum-Mische
36769|fummel|Verb|fummeln
36790|wegsteck|Verb|wegstecken
36801|heul|Verb|heulen
36816|weiss|Adjektiv|weiß
36838|CD-Schrank|Substantiv|der CD-Schrank
36844|Knutschen|Verb|knutschen
36862|Erwachsen|Adjektiv|erwachsen
36876|zusammenAtmen|Verb|zusammenatmen
36878|Reiss|Verb|reißen
36934|flenne|Verb|flennen
36935|Hunderttausend|Numeral|hunderttausend
36938|Schnapp|Verb|schnappen
36951|renne|Verb|rennen
36967|geehrt|Adjektiv|geehrt
36968|Mit|Präposition|mit
36970|Nichtmitinnen|Substantiv|die Nichtmitinnen
36978|Augenlied|Substantiv|das Augenlied
36991|rap|Verb|rappen
37004|wohn|Verb|wohnen
37010|drohn|Verb|drohnen
37012|wurdn|Verb|werden
37026|Roggenfänger|Substantiv|der Roggenfänger
37041|Wellenempfänger|Substantiv|der Wellenempfänger
37056|Alphabeet|Substantiv|das Alphabeet
37059|solangn|Adjektiv|solange
37099|stoß|Verb|stoßen
37111|125000|Numeral|125000
37117|Wuiii|Interjektion|wuiii
37125|reimend|Adjektiv|reimend
37128|durchbrechend|Adjektiv|durchbrechend
37133|Gelenkprothese|Substantiv|die Gelenkprothese
37140|Kontrathese|Substantiv|die Kontrathese
37142|bastelen|Verb|basteln
37147|Monsterwesen|Substantiv|das Monsterwesen
37165|zu-Tode-Streichel-Methode|Substantiv|die zu-Tode-Streichel-Methode
37173|Kennst|Verb|kennen
37178|Huxley|Substantiv|Huxley
37234|zerschellsn|Verb|zerschellen
37254|Quantenzirkel|Substantiv|der Quantenzirkel
37257|Rasurfraktal|Substantiv|das Rasurfraktal
37260|Edelstahlgewindeflansch|Substantiv|der Edelstahlgewindeflansch
37263|612|Numeral|612
37293|100|Numeral|100
37322|billiarden|Numeral|billiarden
37332|halbbewusst|Adjektiv|halbbewusst
37354|zusammenFassen|Verb|zusammenfassen
37384|Weltraumrasse|Substantiv|die Weltraumrasse
37389|Checkend|Verb|checken
37392|zerstörend|Adjektiv|zerstörend
37393|Verrückten|Substantiv|die Verrückten
37394|Deprimierten|Substantiv|die Deprimierten
37405|Schlagend|Verb|schlagen
37406|verängstigter|Adjektiv|verängstigt
37407|Bekloppten|Substantiv|die Bekloppten
37409|vergaßen|Verb|vergessen
37425|Selbstverarschung|Substantiv|die Selbstverarschung
37435|Labyrinthedichtkunst|Substantiv|die Labyrinthedichtkunst
37460|gestaltet|Verb|gestalten
37461|Jedoch|Konjunktion|jedoch
37463|fallend|Adjektiv|fallend
37468|erkaltet|Adjektiv|erkaltet
37474|lässen|Verb|lassen
37476|schallend|Adjektiv|schallend
37491|schwebenstoppen|Verb|schwebenstoppen
37516|Fallen|Verb|fallen
37518|Schweb|Verb|schweben
37526|festzukrallen|Verb|festzukrallen
37545|Naja|Interjektion|naja
37570|dus|Pronomen|du
37577|Hmmm|Interjektion|hmmm
37629|Worauf|Pronomen|worauf
37634|Ewige|Adjektiv|ewig
37687|Welcher|Pronomen|welcher
37725|dar|Pronomen|dar
37728|Ich-Sicht|Substantiv|die Ich-Sicht
37785|Keins|Pronomen|keins
37795|Demontierst|Verb|demontieren
37822|Liefer|Verb|liefern
37882|Überpersönliche|Adjektiv|überpersönlich
37888|Unversöhnliches|Adjektiv|unversöhnlich
37897|Nonexistenz|Substantiv|die Nonexistenz
37926|bitt|Verb|bitten
37954|Echt|Adjektiv|echt
37957|Nee|Interjektion|nee
37974|sogenannter|Adjektiv|sogenannt
38028|generven|Verb|nerven
38055|Zerfragen|Verb|zerfragen
38064|Fragen|Verb|fragen
38075|Fatale|Adjektiv|fatal
38084|Versuchen|Verb|versuchen
38089|fragend|Adjektiv|fragend
38099|Wartet|Verb|warten
38101|verarsch|Verb|verarschen
38117|Jo|Interjektion|jo
38168|behaupteen|Verb|behaupten
38190|unterhälten|Verb|unterhalten
38197|abgetrennt|Adjektiv|abgetrennt
38207|Eigenständig|Adjektiv|eigenständig
38239|Erkenne|Verb|erkennen
38256|wegrannen|Verb|wegrennen
38259|Schweig|Verb|schweigen
38271|Konvertier|Verb|konvertieren
38273|Sockosophie|Substantiv|die Sockosophie
38275|Sockismus|Substantiv|der Sockismus
38280|sockifizieren|Verb|sockifizieren
38341|verlockend|Adjektiv|verlockend
38392|Träum|Verb|träumen
38402|Zeuginne|Substantiv|die Zeuginne
38407|Freistöße|Substantiv|die Freistöße
38418|rumKriegen|Verb|rumkriegen
38424|Koksdröhnung|Substantiv|die Koksdröhnung
38426|Hormonstörung|Substantiv|die Hormonstörung
38435|rumspielen|Verb|rumspielen
38451|Multiplayer-Mode|Substantiv|der Multiplayer-Mode
38463|riechst|Verb|riechen
38480|Herpe|Substantiv|die Herpe
38523|Cock-Schweißgeruch|Substantiv|der Cock-Schweißgeruch
38552|holn|Verb|holen
38555|Einsatztrupp|Substantiv|der Einsatztrupp
38575|jizzn|Verb|jizzn
38577|wüsen|Verb|wüsen
38592|Schlüpfer-Pic|Substantiv|das Schlüpfer-Pic
38606|Appartmentschlüssel|Substantiv|der Appartmentschlüssel
38619|Schamhaarbüschel|Substantiv|das Schamhaarbüschel
38624|hättst|Verb|haben
38625|dun|Verb|tun
38629|Egal|Adjektiv|egal
38667|Ü-30ern|Substantiv|die Ü-30ern
38777|untenrum|Adjektiv|untenrum
38792|fickbar|Adjektiv|fickbar
38815|freie|Adjektiv|frei
38893|verehrt|Adjektiv|verehrt
38906|Oki-digidigi-doke|Interjektion|oki-digidigi-doke
38916|desensibilisiert|Verb|desensibilisieren
38959|Widerlege|Verb|widerlegen
38962|Isaac|Substantiv|Isaac
38985|esssen|Verb|essen
39006|würdet|Verb|werden
39029|näh|Verb|nähen
39032|rosan|Adjektiv|rosan
39067|zugegeben|Verb|zugeben
39092|Lieg|Verb|liegen
39098|zusammengebunden|Adjektiv|zusammengebunden
39107|Vögel|Substantiv|die Vögel
39179|behauptest|Verb|behaupten
39187|entkoppel|Verb|entkoppeln
39191|installiert|Verb|installieren
39196|lernst|Verb|lernen
39248|Okidoke|Interjektion|okidoke
39388|dissend|Adjektiv|dissend
39404|Hip|Adjektiv|hip
39407|unhip|Adjektiv|unhip
39412|Dissen|Verb|dissen
39440|nurn|Adjektiv|nur
39491|Nadelbrett|Substantiv|das Nadelbrett
39551|lachend|Adjektiv|lachend
39578|gebäre|Verb|gebären
39612|widerzusetzen|Verb|widersetzen
39683|hüüü|Interjektion|hüüü
39694|meins|Pronomen|meins
39704|deins|Pronomen|deins
39709|keins|Pronomen|keins
39710|siebenhundert|Numeral|siebenhundert
39757|zeign|Verb|zeigen
39765|Taj|Substantiv|Taj
39767|jippie|Interjektion|jippie
39795|schnorchel|Verb|schnorcheln
39800|Eigenes|Pronomen|eigenes
39844|fly-y|Interjektion|fly-y
39856|Sonntags|Adjektiv|sonntags
39857|ergeh|Verb|ergehen
39861|Müßigang|Substantiv|der Müßigang
39878|Abruzze|Substantiv|die Abruzze
39881|Sternwart|Substantiv|die Sternwart
39922|Kaiserlautern|Substantiv|Kaiserlautern
39936|Betzenberg|Substantiv|der Betzenberg
39967|kochn|Verb|kochen
40017|erweckend|Adjektiv|erweckend
40061|Kiffe|Verb|kiffen
40100|vollst|Adjektiv|vollständig
40114|Spielo|Verb|spielen
40120|park|Verb|parken
40168|Titanic-Bau|Substantiv|der Titanic-Bau
40219|Sudden|Adjektiv|sudden
40221|würdeen|Verb|werden
40225|Zeitmaschiene|Substantiv|die Zeitmaschiene
40316|Versöhnungssex|Substantiv|der Versöhnungssex
40462|Frisch|Adjektiv|frisch
40472|zuguck|Verb|zugucken
40582|aufgesogen|Verb|aufsaugen
40585|aufgebogen|Verb|aufbiegen
40593|aufgeflogen|Verb|auffliegen
40626|Taugenicht|Substantiv|der Taugenicht
40635|Anziehsach|Substantiv|das Anziehsach
40658|Mund-zu-Mund-Verarschung|Substantiv|die Mund-zu-Mund-Verarschung
40662|Möbiliar|Substantiv|das Möbiliar
40668|Mosaike|Substantiv|das Mosaik
40724|weggeschmissen|Verb|wegschmeißen
40729|entglitten|Verb|entglitten
40733|zerrissen|Verb|zerrissen
40745|Doppel-KO|Substantiv|das Doppel-KO
40758|Herzlichen|Adjektiv|herzlich
40857|gefangen|Verb|fangen
40923|allerschönster|Adjektiv|aller schönste
40968|vorStellst|Verb|vorstellen
40971|Meisten|Substantiv|die meisten
41010|boykottiere|Verb|boykottieren
41038|Realitäteretä|Substantiv|die Realität
41133|jeh|Pronomen|je
41134|anhatte|Verb|anhaben
41139|Psychopharmaka|Substantiv|die Psychopharmaka
41142|Geil|Adjektiv|geil
41162|nennst|Verb|nennen
41239|Nja|Interjektion|nja
41240|nja|Interjektion|nja
41263|ba|Interjektion|ba
41288|Merken|Verb|merken
41347|Kids|Substantiv|die Kids
41349|amoklaufen|Verb|amoklaufen
41404|bababa|Interjektion|bababa
41473|FREAK|Substantiv|der Freak
41487|Gebaut|Verb|bauen
41527|JAAA|Interjektion|jaaa
41528|WIE|Interjektion|wie
41529|KANN|Verb|können
41531|NUR|Adverb|nur
41532|SEIN|Verb|sein
41533|Tret|Verb|treten
41545|runterzerr|Verb|runterzerren
41554|untergeh|Verb|untergehen
41693|gebieren|Verb|gebären
41720|zerfetzn|Verb|zerfetzen
41766|Lief|Verb|laufen
41775|Geschmolzen|Adjektiv|geschmolzen
41793|schmolz|Verb|schmelzen
41801|Hühner|Substantiv|die Hühner
41802|Miroslav|Substantiv|Miroslav
41838|dümm|Adjektiv|dumm
41895|Bind|Verb|binden
41905|verschwind|Verb|verschwinden
41911|Iso-Drink|Substantiv|der Iso-Drink
41982|sitz|Verb|sitzen
41989|Gummi-Twist|Substantiv|der Gummi-Twist
41995|Geilste|Adjektiv|geil
42010|ficksen|Verb|ficken
42083|Gaumenglut|Substantiv|die Gaumenglut
42090|guttuen|Verb|gut tun
42139|One|Pronomen|one
42140|two|Pronomen|two
42141|three|Pronomen|three
42144|Stehst|Verb|stehen
42149|Kehrst|Verb|kehren
42153|Resi|Substantiv|Resi
42157|Geh|Verb|gehen
42241|Reparierer|Substantiv|der Reparierer
42247|romatisch|Adjektiv|romatisch
42268|Tapezieren|Verb|tapizieren
42290|Erklären|Verb|erklären
42295|galanen|Verb|galan
42302|Repariert|Verb|reparieren
42319|Zitieren|Verb|zitieren
42324|Klick-Laminat|Substantiv|das Klick-Laminat
42326|Häckel|Verb|häkeln
42365|Liebesgelaber|Substantiv|das Liebesgelaber
42382|anFangen|Verb|anfangen
42418|solcher|Pronomen|solcher
42431|Ehrfucht|Substantiv|die Ehrfucht
42442|auflockeren|Verb|auflockern
42494|verpiss|Verb|verpissen
42502|Menno|Interjektion|menno
42512|zuLass|Verb|zulassen
42520|vierter|Adjektiv|vier
42524|A3|Substantiv|die A3
42560|Sauber|Adjektiv|sauber
42564|Rosie|Substantiv|Rosie
42618|bringts|Verb|bringen
42642|zumachn|Verb|zumachen
42653|Schlafen|Verb|schlafen
42766|süße|Adjektiv|süß
42797|heimgeh|Verb|heimgehen
42859|Überwinden|Verb|überwinden
42888|Heißt|Verb|heißen
42898|Allür|Substantiv|Allür
42902|wieder|Adverb|wieder
42923|Erkennst|Verb|erkennen
42933|Fata|Substantiv|die Fata
42934|Morgana|Substantiv|Morgana
42954|Gekautes|Substantiv|das Gekautes
42956|Verdautes|Substantiv|das Verdautes
42986|genommn|Verb|nehmen
43033|klüge|Adjektiv|klug
43113|Aiaiaiai|Interjektion|aiaiaiai
43122|aiaiaiai|Interjektion|aiaiaiai
43124|verzeih|Verb|verzeihen
43135|mitNimmst|Verb|mitnehmen
43140|gehst|Verb|gehen
43200|umbringn|Verb|umbringen
43211|Cobain|Substantiv|Cobain
43270|Insgeheim|Adverb|insgeheim
43280|rausrufen|Verb|rausrufen
43284|Spring|Verb|springen
43293|Macce|Substantiv|Macce
43371|totschick|Adjektiv|totschick
43402|schmissen|Verb|schmeißen
43433|Tinder|Substantiv|Tinder
