-même (aujourd'hui-même)                                          | же (сегодня же)
faire du commerce                                                 | торговать
faire du ski                                                      | катАться на лЫжах
faire faillite                                                    | обанкротиться
faire grève                                                       | бастовать
faire la rénovation                                               | делать ремонт
faire le ménage                                                   | делать уборку
faire le ménage                                                   | убирать
faire le tour de...                                               | обходить/обОйти
faire mal                                                         | болЕть
faire payer qq                                                    | отплатить
faire peur                                                        | испугать
faire semblant                                                    | делять вид, что
faire tomber                                                      | ронять
faire un scandale                                                 | скандалить
faire, s'occuper de, se consacrer à faire du sport                | заниматься, заниматься спортом
fatigué                                                           | устАлый
faux                                                              | непрАвильный
faux                                                              | лОжный
fermer                                                            | закрывать
feuille (d'arbre )                                                | лист (листья)
fiable                                                            | надёжный
fiable                                                            | dependable
fidèle                                                            | верный
fille                                                             | девочка
fillette                                                          | дЕвочка
filmer                                                            | снимать - снять
finalement                                                        | в конце концов
finalement, ce n'était pas très difficile                         | В конце концов это было не так трудно
finir (intransitif)                                               | заканчивать - закончить
finir, terminer                                                   | кончать - кончить
fixer (une date)                                                  | назначать
fleur, des fleurs                                                 | цветОк, цветЫ
fonctionner                                                       | функционировать
fonder                                                            | основать
forcer (à faire qqc)                                              | заставлять - заставить
formation de l'instrumental pluriel                               | журналист-АМИ родител-ЯМИ
formation du datif pluriel                                        | журналист-АМ родител-ЯМ
formation du locatif pluriel                                      | улиц-АХ музе-ЯХ
forme féminine de два                                             | две
fort                                                              | сИльный
fort (bruit)                                                      | громкий
forêt                                                             | лес
fossé                                                             | ров
fou                                                               | сумасшедший
fourmi                                                            | муравей
fournir                                                           | поставлять
frapper                                                           | ударить
frapper à la porte                                                | стучать
frigo                                                             | холодильник
from reliable sources                                             | de source sûre
front                                                             | лоб
fréquent                                                          | чАстый
fumer                                                             | курИть
furieux, en colère                                                | сердИтый
fâcher                                                            | рассердить
félicitations                                                     | поздравляю
féliciter qqun                                                    | поздравлять
féminin                                                           | жЕнский
gagner                                                            | победить
gagner (au jeu...)                                                | выигрывать / выиграть
gagner (en travaillant)                                           | зарабатывать / заработать
gagner sa vie                                                     | зарабатывать на жизнь
gagner un prix                                                    | получить приз
gai, joyeux                                                       | весёлый
garage                                                            | гарАж
garder (conserver)                                                | сохранять
garçon                                                            | мАльчик
genou                                                             | колено
gibier                                                            | дичь
glace                                                             | лёд
glissant                                                          | скользкий
gorge                                                             | гОрло
gorge                                                             | гОрло
grand                                                             | высОкий
grand, important                                                  | крупный
gratuit                                                           | свободный
gris                                                              | серый
gros                                                              | толстый
grâce à                                                           | благодаря
guide                                                             | гид
guide                                                             | гид
guitare                                                           | гитАра
guitare                                                           | гитара
guitariste                                                        | гитарист
gymnastique                                                       | гимнАстика
génial                                                            | великий
génial, trop cool (vulgaire)                                      | охуенный
général (adj)                                                     | всеобщий
généreux                                                          | щедрый
géographie                                                        | геогрАфия
haut                                                              | высОкий
haïr                                                              | ненавидеть
hebdomadaire                                                      | еженедельный
hier                                                              | вчерА
hocher la tête                                                    | кивнуть
honnête                                                           | честный
horizontal                                                        | горизонтАльный
horrible, horriblement                                            | ужАсный, ужАсно
hotêl                                                             | гостИница
humide                                                            | мОкрый
humilier                                                          | ужинать
hélas                                                             | увы
hôpital                                                           | больница
ici                                                               | situation : тут, здесь destination : сюдА
idiot idiote                                                      | дурак; дура
il a de la chance                                                 | ему везёт
il est temps de faire quelque chose                               | пора
il fait beau                                                      | хорОшая погОда
il fait chaud                                                     | жАрко
il fait doux                                                      | теплО
il fait froid                                                     | хОлодно
il fait mauvais                                                   | плохАя погОда
il fait semblant de dormir                                        | он делает вид, что спит
il faut faire quelque-chose                                       | надо что-то делять
il gagne bien sa vie                                              | он хорошо зарабатывать
il n'y a pas de... (l'absence)                                    | нет чего-либо
il ne touche pas grand chose (argent)                             | он немного зарабатывает
il neige                                                          | идёт снег
il passe beaucoup de temps à regarder la télévision               | он долго смотрит телевизор
il pleut                                                          | идёт дождь
il pleut, et toi tu vas te promener                               | идёт дождь, и ты идёшь гулять
il viens de chez un ami                                           | он едет ОТ друга
il y a (la présence)                                              | есть, В гостинице есть ресторан и дискотЕка
il y a fort longtemps                                             | давным-давно
il y a longtemps que j'ai visité ce musée                         | я давно смотрел этот музей
il y a longtemps, cela fait longtemps que                         | давно
il y a un an                                                      | год назад
ils habitent dans la plus grande ville de Russie                  | они живут в самом большом городе России
ils ne seront pas au travail                                      | Их не будет на работе
ils ne sont pas au travail Ils sont au travail                    | Их нет на работе Они на рабОте
ils ont gagné beaucoup d'argent au poker                          | они выиграли крупную сумму в покер
ils ont gagné leur procès                                         | они выиграли дело
ils sont tous deux enseignants                                    | они оба педагоги
ils vont chercher leur pain, leurs fruits, leur viande au magasin | они ходят в магазин за хлебом, за фруктами, за мясом
imaginer                                                          | воображать - вообразить
immédiatement                                                     | немедленно
impatient                                                         | нетерпеливый
important                                                         | вАжный
important                                                         | вАжный
importer                                                          | импортировать
imprimante                                                        | принтер
inaccessible                                                      | неприступный
inattendu                                                         | неожиданный
incertain                                                         | неуверенный
incroyable !                                                      | невероятно !
industriel                                                        | промышленный
indécis                                                           | нерешительный
inflammable                                                       | горючий
influencer                                                        | влиять - повлиять
informer                                                          | сообщать - сообщить
informer                                                          | информировать
ingénieur                                                         | инженЕр
inquiéter                                                         | беспокОить
insister, persister                                               | настАивать - настоЯть
insulter                                                          | оскорблять
interdire                                                         | запрещать - запретить
interdire                                                         | запрещать - запретить
interdit                                                          | запрещённый
international                                                     | международный
intéressant                                                       | интерЕсный
intéressant                                                       | интересный
intéresser                                                        | интересовать - заинтересовать (n)
inutile                                                           | бесполЕзный
inventer (machine etc)                                            | изобретать
investir                                                          | вкладывать - вложить
investir                                                          | инвестировать
inviter                                                           | приглашАть (n) - пригласИть
ivre                                                              | пьяный
j'ai des informations                                             | у меня есть кое какая информация
j'ai faim                                                         | я хочу есть
j'ai une proposition pour Vous                                    | Я к вам кое с каким предложением
j'aime beaucoup                                                   | я очень люблю
j'aime faire du vélo                                              | я люблю кататься на велосипеде
jaloux                                                            | ревнивый
jamais                                                            | никогдА
jaune                                                             | жёлтый
je crois en elle, elle est douée                                  | Я верю в неё, она способна
je la crois, elle est honnête                                     | Я ей верю, она честная
je n'aime pas beaucoup                                            | я не очень люблю
je ne croyais pas qu'il était si vieux                            | я не думал, что он такой старый
je ne sais pas ce que signifie kitaï en français                  | Я не знаю, что значит китай по-французски
je suis né en 1977                                                | я родился в тысяча девятьсот семьдесят седьмом году
je suis né le 26 juillet 1981                                     | я родился двадцать шестого июля тысяча девятьсот восемьдесят первого года
je viens de commencer à lire ce livre                             | я только начала читать эту книгу
je voudrais, mais je ne peux pas                                  | я хочу, но не могу
jean                                                              | джинсы
jeter                                                             | кидать - кинуть
jeter un coup d'oeil                                              | взглянуть
jeter à terre                                                     | сорить
jeter, lancer, abandonner                                         | бросАть - брОсить
jeudi                                                             | четверг
jeune (2)                                                         | Юный
jouer de (instrument)                                             | играть на
jouer à (jeu, sport)                                              | играть в 
jour férié                                                        | выходной
journal                                                           | газЕта
journal                                                           | газЕта
joyeux                                                            | радостный
joyeux                                                            | весёлый
jupe                                                              | юбка
jurer (de faire qqc)                                              | клясться
jusqu'à                                                           | до
juste avant de faire qqc                                          | перед тем, как
juste avant qqc                                                   | перед
l'Afrique                                                         | Африка
l'Allemagne                                                       | гермАния
l'Amérique                                                        | амЕрика
l'Asie                                                            | Азия
l'Espagne                                                         | испАния
l'Europe                                                          | ЕврОпа
l'Inde                                                            | индия
l'Italie                                                          | итАлия
l'Océanie                                                         | океАния
l'abeille                                                         | пчелА
l'abricot                                                         | абрикОс
l'absence                                                         | прОпуск
l'accord                                                          | соглашЕние
l'accord (entre deux personnes)                                   | договор
l'accouchement                                                    | роды
l'accoudoir                                                       | подлокотник
l'accueil                                                         | ресепши
l'accusation                                                      | обвинение
l'acier                                                           | стали
l'action (firme)                                                  | акция
l'adjoint                                                         | заместитель
l'administration.                                                 | администрация
l'adolescent                                                      | подросток
l'adresse                                                         | Адрес
l'affiche publicitaire                                            | рекламный плакат
l'agence                                                          | агентство
l'agence de recrutement                                           | кадровое агентство
l'agence de voyages                                               | турагентство
l'agenda                                                          | ежедневник
l'agent                                                           | агент
l'agent de sécurité                                               | охранник
l'agriculteur                                                     | фермер
l'agriculture                                                     | сельское хозЯйство
l'aiguille.                                                       | стрелка
l'ail                                                             | чеснок
l'air                                                             | вОздух
l'alcoolisme                                                      | алкоголизм
l'alliance                                                        | обручальное кольцо
l'allusion                                                        | намёк
l'allée                                                           | прохОд
l'allée                                                           | аллея
l'alpiniste                                                       | альпинист
l'amande                                                          | миндаль
l'ambassade                                                       | посОльство
l'ambassadeur                                                     | посОл
l'amende                                                          | штраф
l'amiral                                                          | адмирал
l'amitié                                                          | дружба
l'ampoule                                                         | лампочка
l'analyse                                                         | анализ
l'anecdote                                                        | анекдот
l'angle droit                                                     | прямой угол
l'animal                                                          | животное
l'annexe                                                          | приложение
l'annulation                                                      | отмена
l'année dernière                                                  | в прошлом году
l'année scolaire commence en septembre                            | учебный год начинается в сентябре
l'apiculteur                                                      | пчеловод
l'apéritif                                                        | аперитив
l'araignée                                                        | паУк
l'arbre                                                           | дЕрево
l'architecture                                                    | архитектура
l'archéologue                                                     | археолог
l'argent                                                          | дЕньги
l'argent                                                          | серебрО
l'argument                                                        | аргумент
l'armoire                                                         | шкаф платяной
l'armoire                                                         | гардероб
l'arrosage                                                        | полив
l'arrêt                                                           | остановка
l'art                                                             | искУсство
l'artichaut                                                       | артишок
l'articulation                                                    | сустав
l'ascenseur                                                       | лифт
l'aspirateur                                                      | пылесос
l'assiette                                                        | тарЕлка
l'assistant                                                       | помощник
l'associé                                                         | партнёр
l'assurance                                                       | страхование
l'astuce                                                          | хитрость
l'atelier                                                         | цех
l'attaque                                                         | нападЕние
l'attention                                                       | внимание
l'aube                                                            | рассвет
l'auteur                                                          | автор
l'automne                                                         | Осень
l'avenir                                                          | будущее
l'avenue                                                          | проспЕкт
l'avertissement                                                   | предостеражение
l'avidité                                                         | жадность
l'avion                                                           | самолёт
l'avion                                                           | самолёт
l'avocat                                                          | адвокат
l'avocat (fruit)                                                  | авокадо
l'avortement                                                      | аборт
l'emballage                                                       | упаковка
l'employeur                                                       | работодАтель
l'employé                                                         | рабОтник
l'emprunteur                                                      | заёмщик
l'enfance                                                         | детство
l'enfer                                                           | ад
l'engrais                                                         | удобрение
l'ennui                                                           | скука
l'enseigne                                                        | вывеска
l'entrepreneur                                                    | предприниматель
l'entreprise                                                      | компАния
l'entreprise                                                      | предприятие
l'entreprise, la société                                          | фирма
l'entrée                                                          | подъезд
l'enveloppe                                                       | конвЕрт
l'envie                                                           | желание
l'envoi                                                           | отправка
l'epoux                                                           | супруг
l'escalier                                                        | лЕстница
l'esclave                                                         | раб
l'espace                                                          | кОсмос
l'espion                                                          | шпион
l'espoir                                                          | надежда
l'essence                                                         | бензИк
l'est                                                             | востОк
l'evier                                                           | мОйка
l'excuse, le prétexte                                             | отговОрка
l'exemplaire                                                      | экземпляр
l'exemple                                                         | пример / образец
l'exigence                                                        | требование
l'explosion                                                       | взрыв
l'exportateur                                                     | экспортёр
l'exportation                                                     | экспорт
l'expéditeur                                                      | отправитель
l'expérience                                                      | Опыт
l'expérience                                                      | експеримент
l'habitude                                                        | привычка
l'hacker                                                          | хакер
l'hamburger                                                       | гамбургер
l'haricot                                                         | фасоль
l'herbe                                                           | трава
l'histoire                                                        | история
l'historien                                                       | историк
l'hiver                                                           | зимА
l'hiver est passé                                                 | зима прошла
l'homme d'affaires                                                | бизнесмен
l'homosexuеl                                                      | гомосексуалист
l'honnêteté                                                       | честность
l'horaire                                                         | расписание
l'horreur                                                         | ужас
l'huile                                                           | мАсло
l'humiliation                                                     | унижение
l'humour                                                          | юмор
l'hypothèse                                                       | гипотеза
l'héritage                                                        | наследство
l'héritier                                                        | наследник
l'image                                                           | имидж
l'immobilier                                                      | недвижимость
l'impasse                                                         | тупик
l'impatience                                                      | нетерпение
l'importation                                                     | импорт
l'importeur                                                       | импортёр
l'impôt                                                           | налог
l'incertitude                                                     | неуверенность
l'inconfort                                                       | дискомфорт
l'indignation                                                     | возмущение
l'indignation                                                     | жАлоба
l'industrie                                                       | промЫшленность
l'industrie pharmaceutique                                        | фармацевтика
l'infirmière                                                      | медсестра
l'inflation                                                       | инфляция
l'informaticien                                                   | компьютерщик
l'infraction                                                      | нарушение
l'initiative                                                      | начинание
l'inquiétude                                                      | беспокойство
l'insecte                                                         | насекОмое
l'insomnie                                                        | бессонница
l'instant                                                         | миг
l'instrument                                                      | инструмЕнт
l'insulte                                                         | инсульт
l'insulte                                                         | оскорбление
l'intention                                                       | намерение
l'interlocuteur                                                   | собеседник
l'intermédiaire.                                                  | посредник
l'interrupteur                                                    | выключатель
l'intoxication alimentaire                                        | отравление
l'inventeur                                                       | изобретатель
l'invention                                                       | изобретение
l'investisseur                                                    | инвестор
l'itinéraire                                                      | маршрут
l'objectif                                                        | задача
l'obligation                                                      | обязательство
l'océan                                                           | океАн
l'oeil                                                            | глаз
l'oeuf                                                            | яйцО
l'offense                                                         | обИда
l'officier                                                        | офицер
l'offre, la proposition                                           | предложение
l'oignon                                                          | лук
l'oiseau                                                          | птИца
l'omelette                                                        | омлет
l'oncle                                                           | дядя
l'ongle                                                           | нОготь
l'opinion                                                         | мнение
l'opéra.                                                          | опера
l'opération                                                       | операция
l'or                                                              | зОлото
l'orage                                                           | бУря
l'orange                                                          | апельсИн
l'ordinateur                                                      | компьЮтер
l'ordre (pas le désordre)                                         | порядок
l'oreille                                                         | Ухо
l'organisateur                                                    | организатор
l'organisation                                                    | организация
l'ouest                                                           | зАпад
l'ouvrier                                                         | рабочий
l'uniforme                                                        | форма
l'union                                                           | союз
l'université                                                      | университЕт
l'usine                                                           | завод
l'âge                                                             | возраст
l'échange                                                         | обмен
l'échec                                                           | неудача
l'éclaireur                                                       | разведчик
l'écolier                                                         | школьник
l'économie                                                        | экономика
l'écran                                                           | монитОр
l'écran                                                           | дисплей
l'écriture                                                        | писАние
l'égoïste                                                         | эгоист
l'électricité                                                     | электричество
l'élevage                                                         | животновОдство
l'élevage de moutons                                              | овцеводство
l'éleveur                                                         | животновод
l'éloge                                                           | похвала
l'élève                                                           | ученик
l'éléphant                                                        | слон
l'épicerie                                                        | бакалея
l'épidémie                                                        | эпидемия
l'éponge                                                          | мочАлка
l'éponge                                                          | губка
l'époque                                                          | зпОха
l'épouse                                                          | супруга
l'équipe d'ouvrier                                                | бригада
l'étagère                                                         | пОлка
l'étape                                                           | этап
l'étincelle                                                       | искра
l'étoile                                                          | звезда
l'étonnement                                                      | удивление
l'été                                                             | лЕто
l'évanouissement                                                  | Обморок
l'événement                                                       | событие
la Belgique                                                       | Бельгия
la Chine                                                          | китай
la Finlande                                                       | Финляндия
la Grèce                                                          | грЕция
la Norvège                                                        | норвЕгия
la Pologne                                                        | пОльша
la Turquie                                                        | тУрция
la bague                                                          | пЕрстень
la baignoire                                                      | вАнна
la balançoire                                                     | качели
la baleine                                                        | кит
la banane                                                         | банан
la banlieue                                                       | пригород
la barbe                                                          | борода
la bas                                                            | там, туда
la bas                                                            | вон там
la beauté                                                         | красота
la belle mère                                                     | тёща
la belle soeur                                                    | золОвка
la betterave                                                      | стёкла
la bibliothèque                                                   | книжный шкаф
la blanchisserie                                                  | прачечная
la blessure                                                       | рАна
la blessure                                                       | повреждение
la blouse                                                         | халат
la botte                                                          | сапОг
la boucherie                                                      | мясная лавка
la bougie                                                         | свеча
la bouilloire                                                     | чайник
la bourse                                                         | биржа
la boutique de souvenirs                                          | магазин сувениров
la boîte                                                          | корОбка
la boîte aux lettres                                              | почтовый ящик
la boîte de nuit                                                  | ночной клуб
la braguette                                                      | ширинка
la branche                                                        | ветвь
la brique                                                         | кирпич
la brochure                                                       | брошюра
la brosse à dent                                                  | зубная щётка
la brume                                                          | туман
la bûche                                                          | полено
la cabine                                                         | кабина
la cabine d'essayage                                              | примЕрочная
la cacahuète                                                      | арахис
la cahier                                                         | тетрадь (féminin)
la caisse                                                         | кАсса
la calculatrice                                                   | калькулятор
la calvitie                                                       | лысина
la canne                                                          | трость
la capacité                                                       | спосОбность
la capitale                                                       | столица
la capuche                                                        | капюшон
la carotte                                                        | морковь
la carte                                                          | план
la carte d'identité                                               | удостовепение
la carte postale                                                  | открытка
la casquette                                                      | кепка
la casserole                                                      | кастрюля
