|frequency_rank|part_of_speech_short|word_de|word_forms_de|sentence_de|word_translations_en|word_en|sentence_en|part_of_speech|sentence_original_de|sentence_original_en|sentence_lemmatized_de
145|115|conj|sondern||Er ist nicht faul, sondern sehr fleißig.|but (on the contrary)|but (on the contrary)|He is not lazy, but very hardworking.|conjunction|Nicht er mag Fußball, sondern seine Schwester.|He doesn’t like soccer, but his sister does.|er;sein;nicht;faul;sondern;sehr;fleißig
146|116|adv|heute||Heute ist der letzte Tag, um sich zu bewerben.|today|today|Today is the last day to apply.|adverb|Heute ist mein Geburtstag.|Today is my birthday.|heute;sein;der;letzter;Tag;um;sich;zu;bewerben
147|117|pron|beide||Beide Freunde trafen sich nach Jahren wieder.|both|both|Both friends met again after years.|pronoun|Er hat zwei Kinder und liebt sie beide.|He has two children and loves them both.|beide;Freund;wiedertreffen;sich;nach;Jahr;wieder
148|118|adj|hoch||Die hohen Berge sind mit Schnee bedeckt.|high, tall|high|The high mountains are covered with snow.|adjective|Diese Berge sind sehr hoch.|These mountains are very high.|der;hoch;Berg;sein;mit;Schnee;bedecken
148.001|118|adj|hoch||Der Turm ist so hoch, dass er den Himmel berührt.|high, tall|tall|The tower is so tall it touches the sky.|adjective|Diese Berge sind sehr hoch.|These mountains are very high.|der;Turm;sein;so;hoch;dass;er;der;Himmel;berühren
149|119|pron|damit||Er nahm den Brief, öffnete ihn und las damit weiter.|with it|with it|He took the letter, opened it, and continued with it.|pronoun|Ich nehme den Wagen und fahre damit zur Arbeit.|I take the car and drive to work with it.|er;nehmen;der;Brief;öffnen;ihn;und;weiterlesen;damit;weiter
150|120|conj|ohne||Sie verließ das Büro ohne ein Wort zu sagen.|without|without|She left the office without saying a word.|conjunction|Du sprichst, ohne nachzudenken.|You talk without thinking.|sie;verlassen;der;Büro;ohne;ein;Wort;zu;sagen
151|120|prep|ohne||Er ging ohne seinen Regenschirm nach draußen.|without|without|He went outside without his umbrella.|preposition|Ich verlasse meine Wohnung nie ohne Schlüssel.|I never leave my apartment without a key.|er;gehen;ohne;sein;Regenschirm;nach;draußen
152|121|der|der Mann|die Männer|Der Mann am Fenster sah nachdenklich in die Ferne.|man|man|The man at the window looked thoughtfully into the distance.|noun|Sie wohnt mit einem Mann zusammen.|She lives with a man.|der;Mann;an;Fenster;sehen;nachdenklich;in;der;Ferne
153|122|pron|welche|welche, welcher, welches|Die Bibliothek, welche du empfohlen hast, ist einzigartig.|which|which|The library which you recommended is unique.|pronoun|Welchen Film magst du lieber?|Which movie do you like better?|der;Bibliothek;welche;du;empfehlen;haben;sein;einzigartig
154|123|verb|tun|tun, tut, tat, hat getan|Was soll ich tun, wenn der Computer nicht startet?|to do|to do|What should I do if the computer doesn’t start?|verb|Heute habe ich nichts zu tun.|Today I have nothing to do.|was;sollen;ich;tun;wenn;der;Computer;nicht;starten
155|124|adv|einmal||Einmal wurden die Daten falsch interpretiert.|once|once|Once, the data was misinterpreted.|adverb|Ich möchte einmal im Leben nach Paris fahren.|I want to go to Paris once in my life.|einmal;werden;der;Datum;falsch;interpretieren
156|125|pron|ihnen||Ich habe ihnen die Neuigkeiten mitgeteilt.|them|them|I shared the news with them.|pronoun|Er gibt ihnen den Schlüssel, damit Tina und Erik in seiner Wohnung schlafen können.|He gives them the key so that Tina and Erik can sleep in his apartment.|ich;haben;ihnen;der;Neuigkeit;mitteilen
157|125|pron|Ihnen||Ich habe Ihnen die neuesten Forschungsergebnisse gesendet.|you|you|I have sent you the latest research findings.|pronoun|Kann ich Ihnen etwas zu trinken anbieten?|Can I offer you something to drink?|ich;haben;ihnen;der;neu;Forschungsergebnis;senden
158|126|verb|heißen|heißen, heißt, hieß, hat geheißen|Mein Hund heißt Max und ist sehr verspielt.|to be called|to be called|My dog is called Max and is very playful.|verb|Sein Freund heißt Markus.|His friend is called Markus.|mein;Hund;heißen;Max;und;sein;sehr;verspielen
159|127|conj|ob||Ich weiß nicht, ob er die Einladung erhalten hat.|whether, if|whether|I don’t know whether he received the invitation.|conjunction|Ich kann mich nicht entscheiden, ob ich Bier oder Wein nehme.|I can’t decide if I’ll have beer or wine.|ich;wissen;nicht;ob;er;der;Einladung;erhalten;haben
159.001|127|conj|ob||Es bleibt unklar, ob die Ergebnisse generalisierbar sind.|whether, if|if|It remains unclear if the results are generalizable.|conjunction|Ich kann mich nicht entscheiden, ob ich Bier oder Wein nehme.|I can’t decide if I’ll have beer or wine.|es;bleiben;unklar;ob;der;Ergebnis;generalisierbar;sein
160|128|verb|denken|denken, denkt, dachte, hat gedacht|Ich denke oft an die schönen Momente aus der Vergangenheit.|to think|to think|I often think about the beautiful moments from the past.|verb|Ich denke gerade an meinen letzten Urlaub.|I’m thinking about my last vacation.|ich;denken;oft;an;der;schön;Moment;aus;der;Vergangenheit
161|129|pron|dabei||Er war immer dabei, wenn es etwas Neues zu lernen gab.|with (somebody), there|with (somebody)|He was always there when there was something new to learn.|pronoun|Lisa ist auch dabei.|Lisa will be there too.|er;sein;immer;dabei;wenn;es;etwas;neue;zu;lernen;geben
161.001|129|pron|dabei||Ich war dabei, als er das Rennen gewann.|with (somebody), there|there|I was there when he won the race.|pronoun|Lisa ist auch dabei.|Lisa will be there too.|ich;sein;dabei;als;er;der;rennen;gewinnen
162|130|prep|seit||Wir haben seit Jahren keinen Kontakt mehr.|since, for|since|We haven’t been in contact since years ago.|preposition|Ihre Schwester ist seit drei Monaten im Ausland.|Her sister has been abroad for three months.|wir;haben;seit;Jahr;kein;Kontakt;mehr
162.001|130|prep|seit||Ich wohne seit drei Jahren in dieser Stadt.|since, for|for|I have been living in this city for three years.|preposition|Ihre Schwester ist seit drei Monaten im Ausland.|Her sister has been abroad for three months.|ich;wohnen;seit;drei;Jahr;in;dieser;Stadt
163|131|adj|einfach||Das Problem lässt sich mit einer einfachen Formel lösen.|simple, easy|simple|The problem can be solved with a simple formula.|adjective|Die Prüfung war sehr einfach.|The exam was very simple.|der;Problem;lässt;sich;mit;ein;einfach;Formel;lösen
163.001|131|adj|einfach||Die Übung war einfach und schnell erledigt.|simple, easy|easy|The exercise was easy and quickly finished.|adjective|Die Prüfung war sehr einfach.|The exam was very simple.|der;Übung;sein;einfach;und;schnell;erledigen
164|131|part|einfach||Er konnte einfach nicht glauben, was passiert war.|simply|simply|He simply couldn’t believe what had happened.|particle|Du musst einfach nur geradeaus gehen.|You must simply walk straight ahead.|er;können;einfach;nicht;glauben;was;passieren;sein
165|132|adv|erst||Erst machen wir Pause, dann arbeiten wir.|first, only, not until|first|First, we take a break, then we work.|adverb|Erst solltest du deine Eltern fragen.|First you should ask your parents.|erst;machen;wir;Pause;dann;arbeiten;wir
165.001|132|adv|erst||Er hat erst nach dem Mittagessen angerufen.|first, only, not until|only|He only called after lunch.|adverb|Erst solltest du deine Eltern fragen.|First you should ask your parents.|er;haben;erst;nach;der;Mittagessen;anrufen
165.002|132|adv|erst||Wir haben erst angefangen, den Markt zu analysieren.|first, only, not until|not until|We have only just started analyzing the market. |adverb|Erst solltest du deine Eltern fragen.|First you should ask your parents.|wir;haben;erst;anfangen;der;Markt;zu;analysieren
166|132|part|erst||Er ist erst jetzt angekommen, also lass uns warten.|||He just arrived, so let’s wait.|particle|Jetzt geht es erst richtig los!|It’s just beginning!|er;sein;erst;jetzt;ankommen;also;lass;sich;warten
167|133|das|das Kind|die Kinder|Das Kind spielte im Garten und lachte laut.|child|child|The child played in the garden and laughed loudly.|noun|Das Kind geht gern zur Schule.|The child likes going to school.|der;Kind;spielen;in;Garten;und;lachen;laut
168|134|das|das Land|die Länder|Das Land hat eine reiche Geschichte und Kultur.|land, country, state|land|The land has a rich history and culture.|noun|Welches Land würdest du gern besuchen?|Which country would you like to visit?|der;Land;haben;ein;reich;Geschichte;und;Kultur
168.001|134|das|das Land|die Länder|Er liebt sein Land und ist stolz darauf.|land, country, state|country|He loves his country and is proud of it.|noun|Welches Land würdest du gern besuchen?|Which country would you like to visit?|er;lieben;sein;Land;und;sein;stolz;darauf
168.002|134|das|das Land|die Länder|Das Land hat neue Gesetze verabschiedet.|land, country, state|state|The state has passed new laws.|noun|Welches Land würdest du gern besuchen?|Which country would you like to visit?|der;Land;haben;neu;Gesetz;verabschieden
169|135|verb|stellen|stellen, stellt, stellte, hat gestellt|Sie stellte die Tasse vorsichtig auf den Tisch.|to place, set, put|to place|She carefully placed the cup on the table. |verb|Er stellt sein Fahrrad in den Garten.|He puts his bike in the garden.|sie;stellen;der;Tasse;vorsichtig;auf;der;Tisch
169.001|135|verb|stellen|stellen, stellt, stellte, hat gestellt|Bitte stellen Sie den Wecker für sieben Uhr.|to place, set, put|to set|Please set the alarm for seven o'clock.|verb|Er stellt sein Fahrrad in den Garten.|He puts his bike in the garden.|Bitte;stellen;sie;der;Wecker;für;sieben;Uhr
169.002|135|verb|stellen|stellen, stellt, stellte, hat gestellt|Er stellte die Kiste in die Ecke des Raumes.|to place, set, put|to put|He put the box in the corner of the room.|verb|Er stellt sein Fahrrad in den Garten.|He puts his bike in the garden.|er;stellen;der;Kiste;in;der;Ecke;der;Raum
170|136|verb|zeigen|zeigen, zeigt, zeigte, hat gezeigt|Kannst du mir zeigen, wie das funktioniert?|to show|to show|Can you show me how this works?|verb|Können Sie mir den Weg zeigen?|Could you show me the way?|Kannst;du;mir;zeigen;wie;der;funktionieren
171|137|adj|natürlich||Der Fluss folgt seinem natürlichen Lauf.|natural|natural|The river follows its natural course.|adjective|Ich beobachte wilde Tiere in ihrer natürlichen Umgebung.|I observe wild animals in their natural environment.|der;Fluss;folgen;sein;natürlich;Lauf
172|137|adv|natürlich||Das war natürlich eine unerwartete Überraschung.|naturally, of course|naturally|That was naturally an unexpected surprise.|adverb|Natürlich vermisse ich dich.|Of course I miss you.|der;sein;natürlich;ein;unerwartet;Überraschung
172.001|137|adv|natürlich||Er kam zu spät, aber natürlich entschuldigte er sich.|naturally, of course|of course|He came late, but of course, he apologized.|adverb|Natürlich vermisse ich dich.|Of course I miss you.|er;kommen;zu;spät;aber;natürlich;entschuldigen;er;sich
173|138|adj|alt||Das alte Buch hatte einen einzigartigen Geruch.|old|old|The old book had a unique smell.|adjective|Wie alt bist du?|How old are you?|der;alt;Buch;haben;ein;einzigartig;Geruch
174|139|adv|dort drüben||Dort drüben sehen wir die Zellwand in der Mikroskopaufnahme.|over there, there|over there|Over there, we see the cell wall in the microscope image.|adverb|Die Bibliothek ist dort drüben.|The library is over there.|dort;drüben;sehen;wir;der;Zellwand;in;der;Mikroskopaufnahme
174.001|139|adv|dort drüben||Dort drüben beginnt der experimentelle Bereich.|over there, there|there|There, the experimental area begins.|adverb|Die Bibliothek ist dort drüben.|The library is over there.|dort;drüben;beginnen;der;experimentell;Bereich
175|140|das|Deutschland||Deutschland hat eine reiche Geschichte und Kultur.|Germany|Germany|Germany has a rich history and culture.|noun|Meine Familie wohnt in einer kleinen Stadt im Westen von Deutschland.|My family lives in a small town in the west of Germany.|Deutschland;haben;ein;reich;Geschichte;und;Kultur
176|141|adj|gleich||Die Patienten erhalten die gleiche Behandlung wie vorher.|same, right away, just|same|The patients receive the same treatment as before.|adjective|Die zwei Schwestern tragen das gleiche Kleid.|The two sisters are wearing the same dress.|der;Patient;erhalten;der;gleich;Behandlung;wie;vorher
176.001|141|adj|gleich||Ich komme gleich, warte noch eine Sekunde!|same, right away, just|right away|I’ll be there right away, wait a second!|adjective|Die zwei Schwestern tragen das gleiche Kleid.|The two sisters are wearing the same dress.|ich;gleichkommen;gleich;warten;noch;ein;Sekunde
176.002|141|adj|gleich||Sie kommt gleich, also warten wir noch kurz.|same, right away, just|just|She’ll be here just now, so let’s wait a moment.|adjective|Die zwei Schwestern tragen das gleiche Kleid.|The two sisters are wearing the same dress.|sie;gleichkommen;gleich;also;warten;wir;noch;kurz
177|142|verb|nehmen|nehmen, nimmt, nahm, hat genommen|Du solltest diese frischen Kräuter für das Gericht nehmen.|to take|to take|You should take these fresh herbs for the dish.|verb|Ich nehme ein Wasser.|I’ll take a water.|du;solltest;dieser;frisch;Kräuter;für;der;Gericht;nehmen
178|143|verb|dürfen|dürfen, darf, durfte, hat gedurft|Teilnehmer dürfen ihre Meinung während der Umfrage äußern.|to be allowed to may|to be allowed to|Participants are allowed to express their opinion during the survey.|verb|Darf ich heute Abend mit Lisa ins Kino?|May I go to the movies with Lisa tonight?|Teilnehmer;dürfen;ihr;Meinung;während;der;Umfrage;äußern
179|144|adj|wichtig||Es ist wichtig, regelmäßig Sport zu treiben.|important|important|It’s important to exercise regularly.|adjective|Er hat eine wichtige Frage.|He has an important question.|es;sein;wichtig;regelmäßig;Sport;zu;treiben
180|145|adv|vielleicht||Vielleicht können wir später darüber sprechen.|perhaps, maybe|perhaps|Perhaps we can talk about it later.|adverb|Vielleicht gibt es noch einen anderen Weg.|Maybe there’s another way.|vielleicht;können;wir;spät;darüber;sprechen
180.001|145|adv|vielleicht||Vielleicht wird die Theorie in weiteren Studien bestätigt.|perhaps, maybe|maybe|Maybe the theory will be confirmed in further studies.|adverb|Vielleicht gibt es noch einen anderen Weg.|Maybe there’s another way.|vielleicht;werden;der;Theorie;in;weit;Studie;bestätigen
181|145|part|vielleicht||Es war vielleicht ein bisschen zu spät, um zu reagieren.|quite|quite|It was quite late to react. |particle|Du kannst vielleicht laut sein!|You can be quite loud!|es;sein;vielleicht;ein;bisschen;zu;spät;um;zu;reagieren
182|146|verb|hören|hören, hört, hörte, hat gehört|Ich konnte das Geräusch aus der Ferne hören.|to hear, to listen (to)|to hear|I could hear the sound from afar.|verb|Kannst du mich hören?|Can you hear me?|ich;können;der;Geräusch;aus;der;Ferne;hören
182.001|146|verb|hören|hören, hört, hörte, hat gehört|Ich höre gerne Musik, um mich zu entspannen.|to hear, to listen (to)|to listen (to)|I like to listen to music to relax.|verb|Kannst du mich hören?|Can you hear me?|ich;hören;gerne;Musik;um;sich;zu;entspannen
183|147|das|das Haus|die Häuser|Das Haus am See ist sehr malerisch und ruhig.|house|house|The house by the lake is very picturesque and peaceful.|noun|Meine Eltern wohnen in einem kleinen Haus.|My parents live in a small house.|der;Haus;an;See;sein;sehr;malerisch;und;ruhig
184|148|part|nein|nein, nee, nö|„Nein“, sagte sie, als er fragte, ob sie ihm folgen würde.|no|no|“No,” she said when he asked if she would follow him.|particle|Nein, ich habe das nicht verstanden.|No, I didn’t understand that.|nein;sagen;sie;als;er;fragen;ob;sie;ihm;folgen;werden
185|149|pron|wer||Weißt du, wer heute für das Projekt zuständig ist?|who, whoever|who|Do you know who’s in charge of the project today?|pronoun|Wer ist da?|Who is there?|Weißt;du;wer;heute;für;der;Projekt;zuständig;sein
185.001|149|pron|wer||Wer das Rätsel löst, gewinnt den Hauptpreis.|who, whoever|whoever|Whoever solves the puzzle wins the grand prize.|pronoun|Wer ist da?|Who is there?|wer;der;Rätsel;lösen;gewinnen;der;Hauptpreis
186|150|pron|dazu||Dazu kommt noch der Zeitdruck, der uns belastet.|in addition, furthermore, to that, for that, of that|in addition|In addition, there’s the pressure of time, which stresses us.|pronoun|Ich koche heute und brauche dazu Eier.|I’m cooking tonight and I need eggs for that.|dazu;kommen;noch;der;Zeitdruck;der;uns;belasten
186.001|150|pron|dazu||Die Arbeit ist schwer, dazu schlecht bezahlt.|in addition, furthermore, to that, for that, of that|furthermore|The work is hard; furthermore, poorly paid.|pronoun|Ich koche heute und brauche dazu Eier.|I’m cooking tonight and I need eggs for that.|der;Arbeit;sein;schwer;dazu;schlecht;bezahlen
186.002|150|pron|dazu||Ich kann nichts dazu sagen, da ich nicht dabei war.|in addition, furthermore, to that, for that, of that|to that|I can't say anything to that since I wasn't there. |pronoun|Ich koche heute und brauche dazu Eier.|I’m cooking tonight and I need eggs for that.|ich;können;nichts;dazu;sagen;da;ich;nicht;dabei;sein
186.003|150|pron|dazu||Dazu gab es viele Gründe, die wir berücksichtigt haben.|in addition, furthermore, to that, for that, of that|for that|For that, there were many reasons we considered.|pronoun|Ich koche heute und brauche dazu Eier.|I’m cooking tonight and I need eggs for that.|dazu;geben;es;vieler;Grund;der;wir;berücksichtigen;haben
186.004|150|pron|dazu||Dazu gibt es noch viele andere Beispiele.|in addition, furthermore, to that, for that, of that|of that|There are many other examples of that.|pronoun|Ich koche heute und brauche dazu Eier.|I’m cooking tonight and I need eggs for that.|dazu;geben;es;noch;vieler;anderer;Beispiel
187|151|adj|eigentlich||Die eigentliche Ursache des Verhaltens wurde nicht gefunden.|actual, real|actual|The actual cause of the behavior was not found.|adjective|Steffen ist der eigentliche Chef der Firma, aber er ist selten da.|Steffen is the real boss of the company, but he’s rarely there.|der;eigentlich;Ursache;der;verhalten;werden;nicht;finden
187.001|151|adj|eigentlich||Die eigentliche Todesursache ist unbekannt.|actual, real|real|The actual cause of death is unknown.|adjective|Steffen ist der eigentliche Chef der Firma, aber er ist selten da.|Steffen is the real boss of the company, but he’s rarely there.|der;eigentlich;Todesursache;sein;unbekannt
188|151|adv|eigentlich||Eigentlich wollte ich heute Abend ausgehen.|actually|actually|Actually, I wanted to go out tonight.|adverb|Eigentlich mag ich kein Eis, aber ich esse es trotzdem.|Actually, I don’t like ice cream, but I eat it anyway.|eigentlich;wollen;ich;heute;Abend;ausgehen
189|151|part|eigentlich||Eigentlich war die Software bereits vor einer Woche fertig.|||Actually, the software was ready a week ago.|particle|Was studiert deine Schwester eigentlich genau?|What exactly is your sister studying?|eigentlich;sein;der;Software;bereits;vor;ein;Woche;fertig
190|152|adj|letzte|letzte, letzter, letztes|Die letzte Studie zeigte einen Anstieg der Genexpression.|last|last|The last study showed an increase in gene expression.|adjective|Das ist das letzte Auto, das ich für meinen Sohn kaufe, das nächste bezahlt er selbst.|This is the last car I’m buying for my son; the next one he’ll be paying for himself.|der;letzter;Studie;zeigen;ein;Anstieg;der;Genexpression
191|153|verb|fragen|fragen, fragt, fragte, hat gefragt|Du solltest den Lehrer fragen, ob er dir helfen kann.|to ask|to ask|You should ask the teacher if he can help you.|verb|Die Touristen fragen nach dem Weg.|The tourists ask for directions.|du;solltest;der;Lehrer;fragen;ob;er;dir;helfen;können
192|154|der|der Herr|die Herren|Herr Müller ist der Lehrer unserer Klasse.|Mr.|Mr.|Mr. Müller is the teacher of our class.|noun|Unser neuer Lehrer heißt Herr Schmidt.|Our new teacher is called Mr. Schmidt.|Herr;Müller;sein;der;Lehrer;unser;Klasse
193|155|verb|halten|halten, hält, hielt, hat gehalten|Der Bus hält an der nächsten Haltestelle.|to stop, hold|to stop|The bus stops at the next stop.|verb|Er hält ein Buch in seinen Händen.|He’s holding a book in his hands.|der;Bus;halten;an;der;nächster;Haltestelle
193.001|155|verb|halten|halten, hält, hielt, hat gehalten|Er hielt das Glas vorsichtig, um es nicht zu zerbrechen.|to stop, hold|to hold|He held the glass carefully to avoid breaking it.|verb|Er hält ein Buch in seinen Händen.|He’s holding a book in his hands.|er;halten;der;Glas;vorsichtig;um;es;nicht;zu;zerbrechen
194|156|verb|glauben|glauben, glaubt, glaubte, hat geglaubt|Ich glaube nicht, dass er die Wahrheit sagt.|to believe|to believe|I don’t believe that he is telling the truth.|verb|Sie glaubt ihm nicht.|She doesn’t believe him.|ich;glauben;nicht;dass;er;der;Wahrheit;sagen
195|157|die|die Frage|die Fragen|Ich habe eine Frage zu den neuesten Entwicklungen.|question|question|I have a question about the latest developments.|noun|Die Studierenden stellen zu dem neu eingeführten Thema viele Fragen.|The students ask many questions about the newly introduced topic.|ich;haben;ein;Frage;zu;der;neu;Entwicklung
196|158|verb|gelten|gelten, gilt, galt, hat gegolten|Die Regeln gelten nur für Mitglieder des Vereins.|to be valid|to be valid|The rules are valid only for members of the club.|verb|Die Karte für den Zug gilt nur heute.|The ticket for the train is only valid today.|der;Regel;gelten;nur;für;Mitglied;der;Verein
197|159|adj|gerade||Er lief gerade den Weg entlang, ohne anzuhalten.|straight|straight|He walked straight along the path without stopping.|adjective|Ich überhole nur auf einer geraden Strecke.|I only pass other cars on a straight stretch.|er;laufen;gerade;der;Weg;entlang;ohne;anhalten
198|159|adv|gerade||Ich habe gerade mein Mittagessen gegessen.|just, just now, right now|just|I just ate my lunch.|adverb|Das Geschäft schließt gerade.|The store is closing right now.|ich;haben;gerade;mein;Mittagessen;gessen
198.001|159|adv|gerade||Ich habe gerade das perfekte Rezept für die Suppe gefunden.|just, just now, right now|just now|I just found the perfect recipe for the soup.|adverb|Das Geschäft schließt gerade.|The store is closing right now.|ich;haben;gerade;der;perfekt;Rezept;für;der;Suppe;finden
198.002|159|adv|gerade||Ich bin gerade beschäftigt, ruf mich später an.|just, just now, right now|right now|I’m busy right now, call me later.|adverb|Das Geschäft schließt gerade.|The store is closing right now.|ich;sein;gerade;beschäftigen;anruf;mich;spät;an
199|160|verb|folgen|folgen, folgt, folgte, ist gefolgt|Ich werde dir folgen, solange du den richtigen Weg zeigst.|to follow|to follow|I will follow you as long as you show the right way.|verb|Der Hund folgt meinem Vater.|The dog follows my father.|ich;werden;dir;folgen;solange;du;der;richtig;Weg;zeigen
200|161|verb|sprechen|sprechen, spricht, sprach, hat gesprochen|Er spricht perfekt Englisch, obwohl er aus Spanien kommt.|to speak|to speak|He speaks perfect English, even though he’s from Spain.|verb|Der Student möchte mit dem Professor sprechen.|The student would like to speak to the professor.|er;sprechen;perfekt;Englisch;obwohl;er;aus;Spanien;kommen
201|162|verb|führen|führen, führt, führte, hat geführt|Der Chef führt das Meeting mit klarer Autorität.|to lead|to lead|The boss leads the meeting with clear authority.|verb|Jakob führt uns durch das Museum.|Jakob leads us through the museum.|der;Chef;führen;der;Meeting;mit;klar;Autorität
202|163|verb|bringen|bringen, bringt, brachte, hat gebracht|Kannst du mir bitte das Dokument bringen?|to bring, take|to bring|Can you bring me the document, please?|verb|Der Mann bringt mir einen Kaffee an meinen Tisch.|The man brings me a coffee at my table.|Kannst;du;mir;bitte;der;Dokument;bringen
202.001|163|verb|bringen|bringen, bringt, brachte, hat gebracht|Ich werde die Unterlagen zur Besprechung bringen.|to bring, take|to take|I will bring the documents to the meeting. |verb|Der Mann bringt mir einen Kaffee an meinen Tisch.|The man brings me a coffee at my table.|ich;werden;der;Unterlage;zu;Besprechung;bringen
203|164|die|die Welt|die Welten|Die Welt verändert sich schneller, als wir wahrhaben wollen.|world|world|The world is changing faster than we care to admit.|noun|Ich möchte gerne um die Welt reisen.|I would like to travel around the world.|der;Welt;verändern;sich;schnell;als;wir;wahrhaben;wollen
204|165|adv|gar||Ich habe gar nichts gehört, als du angerufen hast.|at all|at all|I didn’t hear anything at all when you called.|adverb|Das ist gar kein Problem.|That’s no problem at all.|ich;haben;gar;nichts;gehören;als;du;anrufen;haben
205|166|adj|eigen||Das eigene Repository enthält alle wichtigen Daten.|own|own|The own repository contains all the important data.|adjective|Jeder Mensch hat ihren eigenen Charakter.|Everyone has their own character.|der;eigen;Repository;enthalten;aller;wichtig;Datum
206|167|adj|genau||Das ist genau das, was ich gesucht habe.|exact|exact|This is exactly what I was looking for.|adjective|Die genaue Zeit ist 10:43 Uhr.|The exact time is 10:43.|der;sein;genau;der;wer;ich;suchen;haben
207|168|verb|mögen|mögen, mag, mochte, hat gemocht|Ich mag es, am Wochenende zu entspannen.|to like|to like|I like to relax on the weekends.|verb|Mein Bruder mag meinen Freund nicht.|My brother doesn’t like my boyfriend.|ich;mögen;es;an;Wochenende;zu;entspannen
208|169|adv|spät||Es ist zu spät, um die Daten für diese Phase zu sammeln.|late|late|It's too late to collect the data for this phase.|adverb|Es ist schon spät.|It’s getting late.|es;sein;zu;spät;um;der;Datum;für;dieser;Phase;zu;sammeln
209|169|adj|spät||Er kam spät zur Party und verpasste den Anfang.|late|late|He arrived late to the party and missed the beginning.|adjective|Ich komme später zu dir.|I’ll be coming over later.|er;kommen;spät;zu;Party;und;verpassen;der;Anfang
210|170|adv|bereits||Der Zug ist bereits abgefahren, als wir ankamen.|already|already|The train had already left when we arrived.|adverb|Du musst nicht noch einkaufen gehen, ich habe es bereits erledigt.|You don’t have to go shopping; I have already done it.|der;Zug;sein;bereits;abfahren;als;wir;ankommen
211|171|adj|möglich||Es ist nicht möglich, den Termin zu verschieben.|possible|possible|It’s not possible to reschedule the appointment.|adjective|Ich besuche meine Eltern so oft wie möglich.|I visit my parents as often as possible.|es;sein;nicht;möglich;der;Termin;zu;verschieben
212|171|adv|so ... wie möglich||Kommen Sie bitte so schnell wie möglich zu uns.|as ... as possible, if possible|as ... as possible|Please come to us as quickly as possible.|adverb|Die Aufgabe soll möglichst schnell erledigt werden.|The task should be completed as quickly as possible.|Kommen;sie;bitte;so;schnell;wie;möglich;zu;uns
212.001|171|adv|so ... wie möglich||Kommen Sie bitte so früh wie möglich zu uns.|as ... as possible, if possible|if possible|Please come as early as possible, if possible.|adverb|Die Aufgabe soll möglichst schnell erledigt werden.|The task should be completed as quickly as possible.|Kommen;sie;bitte;so;früh;wie;möglich;zu;uns
213|172|das|das Prozent|die Prozente|Nur 10 Prozent der Leute haben geantwortet.|percent|percent|Only 10 percent of the people responded.|noun|Für Studenten kostet das Gericht 20 Prozent weniger.|For students, the meal costs 20 percent less.|nur;10;Prozent;der;Leute;haben;antworten
214|173|conj|während||Während ich koche, kannst du den Tisch decken.|while, whereas|while|While I cook, you can set the table.|conjunction|Luisa arbeitet, während er das Essen vorbereitet.|Luisa is working while he is preparing the food.|während;ich;kochen;kannst;du;der;Tisch;decken
214.001|173|conj|während||Er mag Kaffee, während ich Tee bevorzuge.|while, whereas|whereas|He likes coffee, whereas I prefer tea.|conjunction|Luisa arbeitet, während er das Essen vorbereitet.|Luisa is working while he is preparing the food.|er;mögen;Kaffee;während;ich;Tee;bevorzugen
215|173|prep|während||Während des Urlaubs habe ich viel gelesen.|during, while|during|During the holiday, I read a lot.|preposition|Während man isst, soll man nicht reden.|You shouldn’t talk while you’re eating.|während;der;Urlaub;haben;ich;viel;lesen
215.001|173|prep|während||Während des Gesprächs hörte ich plötzlich ein Geräusch.|during, while|while|While the conversation was happening, I suddenly heard a noise.|preposition|Während man isst, soll man nicht reden.|You shouldn’t talk while you’re eating.|während;der;Gespräch;hören;ich;plötzlich;ein;Geräusch
216|174|pron|einige||Einige der Gäste verließen die Veranstaltung vorzeitig.|a few, some|a few|A few of the guests left the event early.|pronoun|Für einige Probleme haben wir bereits Lösungen, für andere noch nicht.|For some problems we already have solutions, for others not yet.|einige;der;Gast;verlassen;der;Veranstaltung;vorzeitig
216.001|174|pron|einige||Einige fanden die Ausstellung sehr inspirierend.|a few, some|some|Some found the exhibition very inspiring.|pronoun|Für einige Probleme haben wir bereits Lösungen, für andere noch nicht.|For some problems we already have solutions, for others not yet.|einige;finden;der;Ausstellung;sehr;inspirierend
217|175|pron|dafür||Ich habe viel Geld bezahlt, aber es war es dafür wert.|for it, for that|for it|I paid a lot of money, but it was worth it for that.|pronoun|Dafür musst du dich nicht entschuldigen.|You don’t have to apologize for that.|ich;haben;viel;Geld;bezahlen;aber;es;sein;es;dafür;wert
217.001|175|pron|dafür||Ich habe nichts dafür, aber ich helfe gern.|for it, for that|for that|I have nothing for that, but I’m happy to help.|pronoun|Dafür musst du dich nicht entschuldigen.|You don’t have to apologize for that.|ich;haben;nichts;dafür;aber;ich;helfen;gern
218|176|adj|kurz||Die Präsentation war kurz, aber informativ.|short|short|The presentation was short but informative.|adjective|Der Film dauert nur eine Stunde, er ist sehr kurz.|The film lasts only one hour; it is very short.|der;Präsentation;sein;kurz;aber;informativ
219|177|adj|richtig||Die Berechnungen stimmen mit den richtigen Werten überein.|correct, right|correct|The calculations correspond with the correct values.|adjective|Alle wissen die richtige Antwort.|Everybody knows the correct answer.|der;Berechnung;übereinstimmen;mit;der;richtig;Wert;überein
