|frequency_rank|part_of_speech_short|word_de|word_forms_de|sentence_de|word_translations_en|word_en|sentence_en|part_of_speech|sentence_original_de|sentence_original_en
3742|3642|das|Ägypten||Ägypten hat eine reiche Geschichte.|Egypt|Egypt|Egypt has a rich history.|noun|Die Hauptstadt von Ägypten ist Kairo.|The capital of Egypt is Cairo.
3743|3643|der|der Applaus|die Applause|Der Applaus war ohrenbetäubend laut.|applause|applause|The applause was deafeningly loud.|noun|Die Ministerin erhält Applaus für ihre Rede.|The minister receives applause for her speech.
3744|3644|die|die Ausprägung|die Ausprägungen|Die Ausprägung der Ideen dauerte Zeit.|shaping, markedness|shaping|The shaping of ideas took time.|noun|Das Umfeld spielt in der Jugend eine große Rolle bei der Ausprägung des Charakters.|The environment plays an important role in the shaping of the character in youth.
3745|3645|der|der Block|die Blöcke|Der Block ist vollgeschrieben.|block|block|The block is fully written.|noun|Jeden Abend rennt er eine Runde um den Block.|Every evening he runs a round around the block.
3746|3646|verb|rauschen|rauschen, rauscht, rauschte, hat gerauscht|Der Wind rauscht durch die Bäume.|to rustle, roar, rush|to rush|The wind rushes through the trees.|verb|Ich kann das Meer rauschen hören.|I can hear the sea rushing.
3747|3647|verb|tauschen|tauschen, tauscht, tauschte, hat getauscht|Er tauschte die Bücher gegen CDs.|to exchange, change, swap, switch|to exchange|He exchanged the books for CDs.|verb|Karla und Paul tauschen ihre Plätze im Kino, damit Klara besser sehen kann.|Karla and Paul switch places in the cinema so that Klara can see better.
3748|3648|verb|zusammenleben|zusammenleben, lebt zusammen, lebte zusammen, hat zusammengelebt|Wir leben seit Jahren zusammen.|to live together|to live together|We have been living together for years.|verb|Sonia und Tina leben zusammen in einer kleinen Wohnung.|Sonia and Tina live together in a small flat.
3749|3649|das|das Budget|die Budgets|Das Budget begrenzt die Ausgaben.|budget|budget|The budget limits the expenses.|noun|Die Firma verfügt über ein jährliches Budget von 20 Millionen Euro.|The company has an annual budget of 20 million euros.
3750|3650|das|das Gemüse|die Gemüse|Das Gemüse ist frisch vom Markt.|vegetables|vegetables|The vegetables are fresh from the market.|noun|Gemüse ist gesund, weil es viel Vitamine enthält.|Vegetables are healthy because they contain a lot of vitamins.
3751|3651|adj|gültig||Das Ticket ist bis morgen gültig.|valid|valid|The ticket is valid until tomorrow.|adjective|Mein Pass ist noch drei Jahre gültig.|My passport is still valid for three years.
3752|3652|pron|jegliche|jegliche, jeglicher, jegliches|Er hat jegliche Hoffnung verloren.|any|any|He has lost any hope.|pronoun|Jeglicher Kontakt mit den Bakterien macht dich krank.|Any contact with the bacteria will make you sick.
3753|3653|verb|mitbekommen|mitbekommen, bekommt mit, bekam mit, hat mitbekommen|Er hat das Gespräch mitbekommen.|to notice, catch, get|catch|He caught the conversation.|verb|Sie arbeitet so konzentriert, dass sie den Streit hinter sich nicht mitbekommt.|She’s so focused that she doesn’t notice the fight behind her.
3754|3654|der|der Skandal|die Skandale|Der Skandal erschütterte das Land.|scandal|scandal|The scandal shook the country.|noun|Die Presse freut sich über den Skandal und berichtet über jedes Detail.|The press is pleased with the scandal and reports on every detail.
3755|3655|verb|weggehen|weggehen, geht weg, ging weg, ist weggegangen|Er ist in die Stadt weggegangen.|to leave, go away|go away|He went away to the city.|verb|Viele Leute gehen nach dem Abitur weg, um in einer anderen Stadt zu studieren.|Many people go away after graduation to study in another city.
3756|3656|die|die Abgabe|die Abgaben|Die Abgabe erfolgt am Dienstag.|delivery, handing in|delivery|The delivery takes place on Tuesday.|noun|Die Abgabe des Textes ist noch bis nächste Woche möglich.|The handing in of the text is still possible until next week.
3757|3657|verb|blühen|blühen, blüht, blühte, hat geblüht|Die Blumen blühen im Frühling.|to bloom|to bloom|The flowers bloom in spring.|verb|Der Apfelbaum blüht mit weißen Blüten.|The apple tree blooms with white flowers.
3758|3658|adj|israelisch||Das israelische Team gewann das Spiel.|Israeli|Israeli|The Israeli team won the match.|adjective|Tel Aviv ist eine israelische Stadt.|Tel Aviv is an Israeli city.
3759|3659|der|der Nachweis|die Nachweise|Der Nachweis für die Zahlung fehlt.|proof, evidence, certificate|proof|The proof of payment is missing.|noun|Wir benötigen einen Nachweis darüber, dass sie im Moment studieren.|We need proof that you are currently studying.
3760|3660|die|die Steuerung|die Steuerungen|Die Steuerung des Fahrzeugs ist präzise.|control, steering|control|The control of the vehicle is precise.|noun|Die Steuerung der Maschine erfordert viel Übung.|The control of the machine requires a lot of practice.
3761|3661|verb|zurückgeben|zurückgeben, gibt zurück, gab zurück, hat zurückgegeben|Er gibt das Buch rechtzeitig zurück.|to give back, return|return|He returns the book on time.|verb|Ich möchte das Kleid zurückgeben, da es mir nicht passt.|I want to give the dress back because it doesn’t fit me.
3762|3662|der|der Aufenthalt|die Aufenthalte|Der Aufenthalt war viel zu kurz.|stay, residence|stay|The stay was much too short.|noun|Während des Aufenthalts in Mexiko lernt sie viel Spanisch.|During her stay in Mexico she learns a lot of Spanish.
3763|3663|verb|auflegen|auflegen, legt auf, legte auf, hat aufgelegt|Er hat das Telefon schnell aufgelegt.|to publish, put on, hang up|to hang up|He hung up the phone quickly.|verb|Noch bevor sie antworten kann, legt ihr Freund auf.|Even before she can answer, her friend hangs up.
3764|3664|verb|kippen|kippen, kippt, kippte, hat gekippt|Der Stuhl kippte langsam nach hinten.|to tilt, overbalance|to tilt|The chair tilted backward slowly.|verb|Der Stuhl kippt und Sören fällt auf den Boden.|The chair tilts and Sören falls to the ground.
3765|3665|adj|vergeblich||Alle Bemühungen waren vergeblich.|futile|futile|All efforts were futile.|adjective|Alle Versuche, einen Käufer für das Haus zu finden, sind bislang vergeblich.|All attempts to find a buyer for the house have been futile so far.
3766|3666|verb|wischen|wischen, wischt, wischte, hat gewischt|Sie wischt den Staub vom Regal.|to wipe, mop|to wipe|She wipes the dust from the shelf.|verb|Einmal in der Woche wischen sie den Boden in der Wohnung.|Once a week they mop the floor of the apartment.
3767|3667|die|die Beurteilung|die Beurteilungen|Die Beurteilung fiel positiv aus.|judgment|judgment|The judgment was positive.|noun|Meiner Beurteilung nach ist die Verletzung nicht sehr schlimm.|In my judgment, the injury isn’t very bad.
3768|3668|verb|erbringen|erbringen, erbringt, erbrachte, hat erbracht|Er hat überzeugende Beweise erbracht.|to raise, produce, show|to produce|He produced convincing evidence.|verb|Die Suche nach Robin erbringt, dass er nicht mehr in Berlin wohnt.|The search for Robin shows that he no longer lives in Berlin.
3769|3669|adv|folglich||Folglich änderte er die Richtung.|consequently|consequently|Consequently, he changed direction.|adverb|Da Julius keinen Abschluss hat, kann er folglich nicht studieren.|Julius does not have a diploma, consequently he cannot study.
3770|3670|der|der Hörer|die Hörer|Der Hörer lag neben dem Telefon.|listener, receiver|receiver|The receiver was lying next to the phone.|noun|Die Hörer können beim Radio anrufen und sich ein Lied wünschen.|The listeners can call the radio and request a song.
3771|3671|der|der Prinz|die Prinzen|Der Prinz reitet durch das Schloss.|prince|prince|The prince rides through the castle.|noun|Prinz Harry ist der Enkel von Königin Elizabeth.|Prince Harry ist the grandson of Queen Elizabeth.
3772|3672|der|der Radius|die Radien|Der Radius des Kreises ist bekannt.|radius|radius|The radius of the circle is known.|noun|Der Durchmesser eines Kreises ist doppelt so groß wie der Radius.|The diameter of a circle is twice as large as the radius.
3773|3673|das|das Schaf|die Schafe|Das weiße Schaf grast auf der Wiese.|sheep|sheep|The white sheep is grazing in the meadow.|noun|Der Hund bewacht die Schafe auf der Wiese.|The dog guards the sheep on the meadow.
3774|3674|adj|schuldig||Er fühlte sich schuldig für den Fehler.|guilty|guilty|He felt guilty for the mistake.|adjective|Ich fühle mich schuldig, weil ich meinen Eltern eine Lüge erzähle.|I feel guilty about telling my parents a lie.
3775|3675|das|das Tagebuch|die Tagebücher|Sie schreibt täglich in ihr Tagebuch.|diary|diary|She writes in her diary every day.|noun|Jeden Abend schreibt Frau Höfler ihre Sorgen in ihr Tagebuch.|Every evening Mrs. Höfler writes her worries in her diary.
3776|3676|verb|zielen|zielen, zielt, zielte, hat gezielt|Der Schütze zielt genau auf die Mitte.|to aim|to aim|The shooter aims directly at the center.|verb|Er zielt mit der Waffe direkt auf das Tier.|He aims his gun right at the animal.
3777|3677|adj|elementar||Elementare Kenntnisse sind erforderlich.|elementary, basic|basic|Basic knowledge is required.|adjective|Die Entdeckung der Elektrizität war eine elementare Veränderungen für das Leben der Menschen.|The discovery of electricity was a basic change in people’s lives.
3778|3678|adv|nebenbei||Nebenbei arbeitet er als Autor.|on the side, in addition|on the side|He works as an author on the side.|adverb|Sie arbeitet und kümmert sich nebenbei um ihre alten Eltern.|She works and takes care of her old parents on the side.
3779|3679|der|der Ökonom|die Ökonomen|Der Ökonom analysiert die Daten.|economist|economist|The economist analyzes the data.|noun|Der Wirtschaftsminister lässt sich von verschiedenen Ökonomen beraten.|The Minister of Economic Affairs is consulted by various economists.
3780|3680|das|das Versprechen|die Versprechen|Das Versprechen wurde nicht gehalten.|promise|promise|The promise was not kept.|noun|Leider musste sie ihr Versprechen brechen.|Unfortunately, she had to break her promise.
3781|3681|das|das Werkzeug|die Werkzeuge|Das Werkzeug liegt in der Kiste.|tool|tool|The tool is in the box.|noun|Affen nutzen Steine als Werkzeug, um an Nahrung zu gelangen.|Monkeys use stones as a tool to get food.
3782|3682|das|das Adjektiv|die Adjektive|Das Adjektiv beschreibt das Nomen.|adjective|adjective|The adjective describes the noun.|noun|Adjektive wie “klein”, “rot” oder “schön” beschreiben Substantive genauer.|Adjectives like “small”, “red”, or “beautiful” describe nouns more precisely.
3783|3683|verb|bremsen|bremsen, bremst, bremste, hat gebremst|Er bremste das Auto scharf ab.|to brake, slow down|to brake|He braked the car sharply.|verb|Die Fahrerin muss bremsen, da Kühe auf der Straße sind.|The driver has to brake because there are cows on the road.
3784|3684|verb|einbauen|einbauen, baut ein, baute ein, hat eingebaut|Sie haben ein neues System eingebaut.|to install, build in, fit|to install|They installed a new system.|verb|Sie bauen einen Schrank in die Wand ein.|They build a cabinet into the wall.
3785|3685|adj|finale|finale, finaler, finales|Die finale Runde entschied das Spiel.|final|final|The final round decided the game.|adjective|Das ist die finale Version von meinem Plan, ich ändere nichts mehr.|This is the final version of my plan; I won’t change it anymore.
3786|3686|das|das Getränk|die Getränke|Das Getränk schmeckte erfrischend.|drink, beverage|drink|The drink tasted refreshing.|noun|Getränke sind im Preis enthalten.|Drinks are included in the price.
3787|3687|adv|hierzulande||Hierzulande ist das Leben anders.|in these parts, in this country, round here|in these parts|In these parts, life is different.|adverb|Hierzulande sagt man zu seiner Großmutter Oma und zum Großvater Opa.|In this country you call your grandmother Grandma and your grandfather Grandpa.
3788|3688|adj|physiologisch||Die physiologische Reaktion war normal.|physiological|physiological|The physiological reaction was normal.|adjective|Sie untersuchen die physiologischen Auswirkungen der Krankheit auf den Körper.|They examine the physiological effects of the disease on the body.
3789|3689|die|die Unternehmung|die Unternehmungen|Die neue Unternehmung war riskant.|company, venture, enterprise|venture|The new venture was a risky one.|noun|Wir investieren viel Geld in ganz unterschiedliche Unternehmungen.|We are investing a lot of money in very different enterprises.
3790|3690|verb|vorlesen|vorlesen, liest vor, las vor, hat vorgelesen|Er las den Kindern eine Geschichte vor.|to read sth to sb|to read sth to sb|He read a story to the children.|verb|Damit mein Kind richtig sprechen lernt, lese ich ihm viel aus Büchern vor.|So that my child learns to speak properly, I read to him a lot from books.
3791|3691|verb|berechtigen|berechtigen, berechtigt, berechtigte, hat berechtigt|Das Ticket berechtigt zum Eintritt.|to entitle|to entitle|The ticket entitles you to entry.|verb|Meine Freundin Mia ist dazu berechtigt, mein Zeugnis abzuholen.|My friend Mia is entitled to pick up my certificate.
3792|3692|der|der Bruch|die Brüche|Der Bruch im Knochen heilte langsam.|fracture, break|fracture|The fracture in the bone healed slowly.|noun|Der Bruch in meinem Bein heilt sehr schnell.|The fracture in my leg heals very fast.
3793|3693|adj|endlos||Die Diskussion schien endlos zu sein.|endless, infinite|endless|The discussion seemed endless.|adjective|Seit zwei Tagen führen meine Eltern eine endlose Diskussion.|For two days my parents have been having an endless discussion.
3794|3694|die|die Erweiterung|die Erweiterungen|Die Erweiterung des Hauses begann.|expansion, extension|expansion|The expansion of the house began.|noun|Morgen kaufe ich mir endlich die Erweiterung von meinem Lieblingsspiel.|Tomorrow I’m finally buying the expansion of my favorite game.
3795|3695|die|die Lüge|die Lügen|Die Lüge wurde schnell entlarvt.|lie|lie|The lie was quickly exposed.|noun|Ich verlasse meinen Freund, weil er zu viele Lügen erzählt.|I’m leaving my friend because he tells too many lies.
3796|3696|der|der Reichtum|die Reichtümer|Reichtum bringt nicht immer Glück.|wealth|wealth|Wealth does not always bring happiness.|noun|Reichtum und Gesundheit, das wünsche ich dir für die Zukunft!|Wealth and health, that’s what I wish you for the future!
3797|3697|das|das Schema|die Schemas|Das Schema war schwer zu verstehen.|scheme|scheme|The scheme was hard to understand.|noun|Er arbeitet nach einem festen Schema.|He works according to a fixed scheme.
3798|3698|verb|spiegeln|spiegeln, spiegelt, spiegelte, hat gespiegelt|Der Spiegel spiegelt das Licht.|to shine, reflect|to reflect|The mirror reflects the light.|verb|Diana sitzt am Meer und die Sonne spiegelt sich im Wasser.|Diana sits by the sea and the sun is reflected in the water.
3799|3699|adj|städtisch||Das städtische Leben ist hektisch.|municipal, urban|urban|Urban life is hectic.|adjective|Ich möchte, dass mein Kind städtisch aufwächst.|I want my child to grow up urban.
3800|3700|verb|wandeln|wandeln, wandelt, wandelte, ist gewandelt|Die Stadt hat sich sehr gewandelt.|to change, convert|to change|The city changed a lot.|verb|Meine Meinung wird sich nicht wandeln.|My opinion will not change.
3801|3701|adj|harmlos||Ein harmloser Fehler fiel niemandem auf.|harmless|harmless|A harmless mistake went unnoticed.|adjective|Dieses Tier ist harmlos, obwohl es gefährlich aussieht.|This animal is harmless, although it looks dangerous.
3802|3702|adj|reichlich||Das reichliche Essen machte alle satt.|plenty, generous|generous|The generous meal made everyone full.|adjective|Meine Oma kocht immer reichlich Essen, sodass wir noch zwei Tage davon essen können.|My grandma always cooks plenty of food so we can eat it for two more days.
3803|3703|verb|ringen|ringen, ringt, rang, hat gerungen|Er rang lange mit der Entscheidung.|to wrestle, struggle|struggle|He struggled with the decision for a long time.|verb|Sie ringt mit dem Gedanken, das Baby zu bekommen.|She’s wrestling with the idea of having the baby.
3804|3704|adj|spektakulär||Das Feuerwerk war spektakulär.|spectacular|spectacular|The fireworks were spectacular.|adjective|Johannas Party morgen wird sicher spektakulär.|Johanna’s party tomorrow will be spectacular.
3805|3705|verb|stabilisieren|stabilisieren, stabilisiert, stabilisierte, hat stabilisiert|Die Maßnahmen stabilisierten die Lage.|to stabilize|to stabilize|The measures stabilized the situation.|verb|Die Beziehungen zwischen den Ländern stabilisieren sich.|The relations between countries are stabilizing.
3806|3706|der|der Strich|die Striche|Der Strich im Bild war sehr fein.|stroke, line|line|The line in the picture was very fine.|noun|Ich versuche seit vielen Minuten, einen ganz geraden Strich zu zeichnen.|I’ve been trying to draw a straight line for many minutes.
3807|3707|der|der Wirt|die Wirte|Der Wirt serviert uns das Abendessen.|host, innkeeper|host|The host serves us dinner.|noun|Zu meinem Geburtstag essen und schlafen wir bei einem bayrischen Wirt.|For my birthday we eat and sleep at a Bavarian innkeeper’s place.
3808|3708|die|die Addition|die Additionen|Die Addition dieser Zahlen ist einfach.|addition, summation|addition|The addition of these numbers is simple.|noun|Wer gut in Mathe sein will, muss die Addition beherrschen.|If you want to be good at math, you have to master addition.
3809|3709|verb|besagen|besagen, besagt, besagte, hat besagt|Die Regeln besagen das Gegenteil.|to say|to say|The rules say the opposite.|verb|Das Gesetz besagt, dass man nicht stehlen darf.|The law says you can’t steal.
3810|3710|die|die Geduld||Die Geduld zahlt sich am Ende aus.|patience|patience|Patience pays off in the end.|noun|Wenn du etwas nicht kannst, brauchst du Geduld, weil du viel üben musst.|When you can’t do something, you need patience because you have to practice a lot.
3811|3711|die|die Innenstadt|die Innenstädte|Die Innenstadt ist abends belebt.|town center, downtown|downtown|The downtown area is lively in the evening.|noun|Die Bahn fährt nicht Richtung Innenstadt, du nimmst dir besser ein Taxi.|The train doesn’t go downtown; you’d better take a cab.
3812|3712|die|die Konstruktion|die Konstruktionen|Die Konstruktion war äußerst stabil.|construction, design|construction|The construction was extremely stable.|noun|Das Haus ist eine interessante Konstruktion.|The house has an interesting construction.
3813|3713|das|das Lehrbuch|die Lehrbücher|Das Lehrbuch erklärt alles gut.|textbook|textbook|The textbook explains everything well.|noun|Das Lehrbuch in der Schule erklärt nicht alle Themen.|The textbook at school doesn’t explain all the topics.
3814|3714|verb|siegen|siegen, siegt, siegte, hat gesiegt|Das Team siegte trotz aller Hindernisse.|to win, triumph|triumph|The team triumphed despite all obstacles.|verb|Bei dem Spiel wird der Klügste siegen.|The smartest man will win the game.
3815|3715|die|die Stichprobe|die Stichproben|Die Stichprobe ist repräsentativ.|sample|sample|The sample is representative.|noun|Die Stichproben unterscheiden sich in ihrer Qualität, sind aber allgemein akzeptabel.|The samples differ in quality but are generally acceptable.
3816|3716|verb|trocknen|trocknen, trocknet, trocknete, hat getrocknet|Die Kleidung trocknet schnell.|to dry|to dry|The clothes dry quickly.|verb|Ich lasse meine Haare immer an der Luft trocknen.|I always let my hair dry in the open air.
3817|3717|der|der Vorsprung|die Vorsprünge|Der Vorsprung schrumpfte schnell.|lead, advance|lead|The lead quickly shrank.|noun|Mark ist sehr schnell und hat bei dem Rennen einen großen Vorsprung.|Mark is very fast and has a big lead in the race.
3818|3718|adv|vorwiegend||Er isst vorwiegend vegetarisch.|mainly|mainly|He mainly eats vegetarian.|adverb|Ich fahre vorwiegend mit dem Auto zur Arbeit, weil ich dann schneller da bin.|I mainly travel to work by car because I can get there faster.
3819|3719|verb|bekennen|bekennen, bekennt, bekannte, hat bekannt|Er hat das Verbrechen bekannt.|to confess, admit|to confess|He confessed to the crime.|verb|Mark bekennt sich dazu, dass er Männer liebt.|Mark admits that he loves men.
3820|3720|adj|dauernd||Der dauernde Regen nervte uns.|constant, lasting|constant|The constant rain annoyed us.|adjective|Er hat dauernd Probleme mit der Polizei.|He’s in constant trouble with the police.
3821|3721|adj|eigenständig||Sie führt ein eigenständiges Leben.|independent|independent|She leads an independent life.|adjective|Eine eigenständige Person ist von niemandem abhängig.|An independent person is not dependent on anyone.
3822|3722|adj|elegant||Die elegante Frau betrat den Raum.|elegant|elegant|The elegant woman entered the room.|adjective|Die Königin bewegt sich sehr elegant.|The queen moves very elegantly.
3823|3723|die|die Haftung|die Haftungen|Die Firma übernahm die volle Haftung.|liability|liability|The company took full liability.|noun|Das Hotel übernimmt keine Haftung für verlorene Gegenstände.|The hotel accepts no liability for lost items.
3824|3724|adj|mutmaßlich||Der mutmaßliche Täter wurde gefasst.|presumed, suspected|suspected|The suspected perpetrator was caught.|adjective|Die Polizei fasst den mutmaßlichen Mörder.|The police catch the suspected murderer.
3825|3725|adv|vergleichsweise||Vergleichsweise ist das günstig.|comparatively|comparatively|Comparatively, this is inexpensive.|adverb|Mit ihren 30 Jahren ist sie für diesen Job vergleichsweise jung.|At 30, she is comparatively young for this job.
3826|3726|adj|vermehrt||Vermehrter Regen verzögert den Verkehr.|increased|increased|Increased rain is delaying traffic.|adjective|Die vermehrte Nachfrage führt zu einem deutlichen Anstieg der Preise.|Increased demand is leading to a significant increase in prices.
3827|3727|verb|bedauern|bedauern, bedauert, bedauerte, hat bedauert|Er bedauert seine Entscheidung sehr.|to regret, feel sorry|to regret|He deeply regrets his decision.|verb|Mark bedauert, dass er Johannas Geburtstag vergessen hat.|Mark regrets that he forgot Johanna’s birthday.
3828|3728|verb|begeben (sich)|begeben (sich), begibt, begab, hat begeben|Sie begaben sich in den nächsten Raum.|to proceed|to proceed|They proceeded to the next room.|verb|Alle Reisenden nach Madrid sollen sich zu Gate 26 begeben.|All passengers to Madrid are to proceed to gate 26.
3829|3729|verb|durchgehen|durchgehen, geht durch, ging durch, ist durchgegangen|Wir sind die Dokumente durchgegangen.|to go through, pass, bolt|to go through|We went through the documents.|verb|Das Pferd erschreckt sich und geht durch.|The horse gets scared and bolts.
3830|3730|verb|vorschreiben|vorschreiben, schreibt vor, schrieb vor, hat vorgeschrieben|Das Gesetz schreibt strenge Regeln vor.|to dictate|to dictate|The law dictates strict rules.|verb|Ich lasse mir von meinen Eltern nicht vorschreiben, was ich studiere.|I won’t have my parents dictate what I study.
3831|3731|verb|zutrauen|zutrauen, traut zu, traute zu, hat zugetraut|Er hat sich getraut, es zu versuchen.|to dare to do sth|to dare to do sth|He dared to try it.|verb|Er traut sich zu, das Problem allein zu lösen.|He dares to solve the problem on his own.
3832|3732|adv|abseits||Er war ständig abseits im Spiel.|offside, off the beaten track|offside|He was always offside during the game.|adverb|Wir wollen einen Platz für unser Zelt finden, der etwas abseits liegt.|We want to find a place for our tent that is a little off the beaten track.
3833|3733|adj|asymmetrisch||Ihr Gesicht war leicht asymmetrisch.|asymmetric|asymmetric|Her face was slightly asymmetric.|adjective|Der Schnitt von diesem Kleid ist asymmetrisch.|The cut of this dress is asymmetric.
3834|3734|adj|bescheiden||Der bescheidene Mann lehnte das Lob ab.|modest|modest|The modest man declined the praise.|adjective|Obwohl Edward reich ist, lebt er sehr bescheiden in einem kleinen Haus.|Although Edward is rich, he lives very modestly in a small house.
3835|3735|verb|entfallen|entfallen, entfällt, entfiel, ist entfallen|Der Name ist mir völlig entfallen.|to slip (sb’s mind), be dropped|to slip (sb’s mind)|The name slipped my mind completely.|verb|Das Datum ist mir gerade entfallen.|The date just slipped my mind.
3836|3736|die|die FIFA||Die FIFA organisiert das Turnier.|FIFA|FIFA|FIFA organizes the tournament.|noun|FIFA ist die Abkürzung für Fédération Internationale de Football Association.|FIFA is the abbreviation for Fédération Internationale de Football Association.
3837|3737|die|die Hemmung|die Hemmungen|Er überwand seine Hemmungen schnell.|inhibition|inhibition|He quickly overcame his inhibitions.|noun|Viele Leute verlieren ihre Hemmungen, wenn sie Alkohol trinken.|Many people lose their inhibitions when they drink alcohol.
3838|3738|das|das Schlafzimmer|die Schlafzimmer|Das Schlafzimmer ist gemütlich.|bedroom|bedroom|The bedroom is cozy.|noun|Unser Haus hat drei Schlafzimmer.|Our house has three bedrooms.
3839|3739|die|die Tragödie|die Tragödien|Die Tragödie erschütterte alle.|tragedy|tragedy|The tragedy shook everyone.|noun|Die griechische Tragödie König Ödipus endet mit dem tragischen Tod des Helden.|The Greek tragedy King Oedipus ends with the tragic death of the hero.
3840|3740|die|die Wunde|die Wunden|Die Wunde heilte schneller als gedacht.|wound|wound|The wound healed faster than expected.|noun|Aus der frischen Wunde fließt Blut.|Blood flows from the fresh wound.
3841|3741|num|achtzehn||Die Schülerin ist achtzehn Jahre alt.|eighteen|eighteen|The student is eighteen years old.|number|Mit achtzehn Jahren gilt man als erwachsen.|With eighteen years one is considered an adult.
3842|3742|das|das Chaos||Nach dem Fest herrschte das reine Chaos.|chaos|chaos|After the party, pure chaos reigned.|noun|Schnee und Eis können Chaos auf den Straßen verursachen.|Snow and ice can cause chaos on the roads.
3843|3743|die|die Krone|die Kronen|Die Krone des Königs ist aus Gold.|crown|crown|The king’s crown is made of gold.|noun|Die Königin trägt eine Krone auf dem Kopf.|The queen wears a crown on her head.
3844|3744|verb|reiben|reiben, reibt, rieb, hat gerieben|Er reibt den Käse über die Pasta.|to rub|to rub|He rubs the cheese over the pasta.|verb|Luke versucht, den Fleck aus seinem Hemd zu reiben.|Luke tries to rub the mark out of his shirt.
3845|3745|der|der Reporter|die Reporter|Der Reporter stellte kritische Fragen.|reporter|reporter|The reporter asked critical questions.|noun|Der Reporter von der Presse fotografiert die Mannschaft nach dem Spiel.|The reporter from the press photographs the team after the match.
3846|3746|der|der Schluck|die Schlucke|Er trank einen großen Schluck Wasser.|sip|sip|He took a big sip of water.|noun|Sie trinkt einen Schluck Wasser aus der Flasche.|She drinks a sip of water from the bottle.
3847|3747|der|der Schock|die Schocke|Der Schock saß tief nach dem Unfall.|shock|shock|The shock ran deep after the accident.|noun|Nach dem Unfall steht er unter Schock.|He’s in shock after the accident.
3848|3748|verb|aufschreiben|aufschreiben, schreibt auf, schrieb auf, hat aufgeschrieben|Er schrieb die Telefonnummer auf.|to write down|to write down|He wrote down the phone number.|verb|Wenn ich es nicht aufschreibe, vergesse ich es.|If I don’t write it down, I forget it.
3849|3749|verb|reizen|reizen, reizt, reizte, hat gereizt|Das Thema reizte heftige Debatten.|to annoy, provoke, tempt|to provoke|The topic provoked heated debates.|verb|Mein Bruder reizt mich so lange, bis ich ihn haue.|My brother keeps tempting me until I hit him.
3850|3750|das|das Attribut|die Attribute|Das wichtigste Attribut war die Farbe.|adjunct, attribute|attribute|The most important attribute was the color.|noun|Tanja hat viele schöne Attribute.|Tanja has many beautiful attributes.
3851|3751|verb|aufreißen|aufreißen, reißt auf, riss auf, hat aufgerissen|Er reißt den Brief schnell auf.|to tear open|to tear open|He tears the letter open quickly.|verb|Du sollst das Geschenk nicht immer sofort aufreißen.|You shouldn’t always tear open the gift right away.
3852|3752|die|die Diagnose|die Diagnosen|Die Diagnose war ein Schock für sie.|diagnosis|diagnosis|The diagnosis was a shock for her.|noun|Morgen fährt er ins Krankenhaus und bekommt seine Diagnose.|Tomorrow he goes to the hospital and gets his diagnosis.
3853|3753|verb|hinzukommen|hinzukommen, kommt hinzu, kam hinzu, ist hinzugekommen|Sie ist später dem Team hinzugekommen.|to be added, join|to join|She joined the team later.|verb|Zu unserer Gruppe darf jeder hinzukommen.|Anyone can join our group.
3854|3754|adj|prinzipiell||Prinzipiell ist das Risiko gering.|in principle|in principle|In principle, the risk is low.|adjective|Prinzipiell haben meine Eltern recht, aber ich höre trotzdem nicht auf sie.|In principle, my parents are right, but I still don’t listen to them.
3855|3755|verb|reflektieren|reflektieren, reflektiert, reflektierte, hat reflektiert|Der Spiegel reflektiert das Licht.|to reflect|to reflect|The mirror reflects the light.|verb|Mein Gesicht wird von deiner Brille reflektiert.|My face is reflected off your glasses.
3856|3756|die (pl)|die Unterlagen (pl)|die Unterlagen (pl)|Die Unterlagen wurden gemailt.|documents|documents|The documents were emailed.|noun|Bitte bringen Sie mir die Unterlagen bis morgen vorbei.|Please bring the documents to me by tomorrow.
3857|3756|die|die Unterlage|die Unterlagen|Er nutzt eine Unterlage für seine Maus.|base, pad, document|pad|He uses a pad for his mouse.|noun|Schicken Sie uns Ihre Unterlagen bitte per Post.|Please send your documents by mail.
3858|3757|verb|vernachlässigen|vernachlässigen, vernachlässigt, vernachlässigte, hat vernachlässigt|Er vernachlässigte seine Pflichten.|to neglect|to neglect|He neglected his duties.|verb|Ich vernachlässige meinen Mann, weil ich so viel arbeite.|I neglect my husband because I work so much.
3859|3758|verb|versinken|versinken, versinkt, versank, ist versunken|Er versank tief im weichen Sand.|to sink|to sink|He sank deep into the soft sand.|verb|Nach dem Sturm versinkt das Schiff im Meer.|After the storm, the ship sinks into the sea.
3860|3759|verb|erhitzen|erhitzen, erhitzt, erhitzte, hat erhitzt|Er erhitzte das Wasser für den Tee.|to heat (up)|to heat (up)|He heated the water for the tea.|verb|Kannst du bitte schon das Wasser für den Tee erhitzen?|Can you heat the water for the tea already, please?
3861|3760|der|der Ersatz|die Ersätze|Der Ersatz für das Gerät war notwendig.|replacement, compensation|replacement|The replacement for the device was necessary.|noun|Für das Spiel brauchen wir einen Ersatz für Paul, er ist krank.|For the game we need a replacement for Paul, he’s sick.
3862|3761|die|die EU-Kommission||Die EU-Kommission plant neue Gesetze.|European Commission|European Commission|The European Commission is planning new laws.|noun|Die EU-Kommission ist die Regierung der Europäischen Union.|The European Commission is the government of the European Union.
